Biracko mjesto:;BPS - SEFER HALILOVIc;STRANKA ZA BOSNU I HERCEGOVINU;SDP - SOCIJALDEMOKRATSKA PARTIJA BIH;HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE;DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH;DEMOKRATSKA STRANKA INVALIDA BIH;BOSS - BOSANSKA STRANKA - MIRNES AJANOVIc;SDA - STRANKA DEMOKRATSKE AKCIJE;HSS - NHI;NARODNA STRANKA RADOM ZA BOLJITAK;STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE;????? ?????????? ???????????????? - ???? - ??????? ?????;SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE;STRANKA UDRUzENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE;STRANKA DEMOKRATSKE AKTIVNOSTI A-sda;STRANKA ZA NAROD BOSNE I HERCEGOVINE;SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc;PARTIJA PRAVOG PUTA;TVOJA I MOJA - TIM STRANKA U BIH;STRANKA KOKUZA - SKOK;NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc;HRVATSKA KOALICIJA HDZ 1990 - HSP BIH;LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOSKA STRANKA E-5;KOALICIJA PREOKRET: GDS BIH I NEP BIH;Ukupno za biracko mjesto:
116A050;29;24;54;0;0;0;5;79;0;48;1;3;1;1;1;1;57;0;0;2;0;0;0;0;306
117A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117A001;29;37;140;2;1;3;5;81;0;91;24;0;1;2;3;1;88;2;0;11;2;2;0;6;531
117A002;27;27;100;6;1;1;6;35;1;116;31;1;0;0;1;1;45;0;0;9;6;0;0;3;417
117A003;36;35;99;8;1;1;5;39;1;117;28;1;0;1;4;2;70;1;0;11;8;0;0;7;475
117A004;23;75;111;1;0;0;5;124;0;120;16;0;1;0;11;7;94;3;0;10;5;0;0;7;613
117A005;19;99;141;1;1;0;10;164;0;22;17;0;1;3;50;1;102;4;0;4;4;0;1;4;648
117A006;26;36;29;1;0;0;0;68;0;15;8;0;1;0;11;0;60;0;0;1;0;0;0;0;256
117A007;10;55;50;0;0;0;2;188;0;27;23;0;0;2;3;1;66;1;0;9;2;0;0;1;440
117A008;18;27;35;0;1;1;10;97;0;25;5;0;2;0;3;0;40;0;0;10;0;2;0;0;276
117A009;26;22;48;1;0;0;2;109;0;7;17;0;0;0;4;3;72;0;0;1;1;0;0;0;313
117A010;30;54;96;0;0;0;15;156;0;87;37;0;0;2;3;3;76;12;0;10;5;0;0;2;588
117A011;23;76;71;0;0;1;10;146;0;11;14;0;0;0;9;8;68;1;1;9;0;0;1;6;455
117A012;13;58;83;0;0;2;7;101;0;77;21;0;2;0;4;2;90;5;0;15;1;1;1;11;494
117A013;4;55;54;1;0;0;4;63;0;19;13;0;0;0;4;2;69;1;0;7;1;0;0;13;310
117A014;18;12;78;2;1;0;2;46;0;43;14;0;1;2;4;3;66;0;0;4;0;0;0;8;304
117A015;21;57;79;1;0;0;8;71;0;35;26;0;0;2;13;4;68;0;1;13;6;0;1;2;408
117A016;17;24;36;2;1;0;5;84;0;25;9;0;0;0;5;3;74;0;0;8;3;1;0;0;297
117A017;11;46;54;0;0;0;3;35;0;33;7;0;1;0;3;4;45;0;0;2;1;0;0;2;247
183A001;3;4;41;73;0;0;0;9;25;37;7;0;0;0;0;0;7;0;0;0;0;64;0;0;270
183A002;0;0;6;7;0;0;0;0;53;5;1;0;0;0;0;0;0;0;0;0;0;22;0;0;94
183A003;0;0;5;104;0;0;0;0;23;29;0;0;0;0;0;0;0;0;0;0;0;76;0;0;237
183A004;0;0;2;98;1;0;1;0;21;35;1;0;0;0;0;0;1;1;0;0;1;169;0;0;331
183A005;0;0;4;83;1;0;0;0;19;25;1;0;0;0;0;0;0;0;0;0;0;51;0;0;184
183A006;0;12;46;54;2;0;1;8;197;27;14;1;0;0;0;0;4;0;0;1;3;33;0;0;403
183A007;0;1;2;41;1;0;0;0;15;38;1;0;0;0;0;0;0;0;0;0;0;50;0;0;149
POSTOM;13;121;100;98;0;0;12;124;6;3;3;0;0;2;16;11;68;4;0;3;18;28;5;1;636
ODUSTVO;14;62;149;41;0;4;5;114;5;19;17;67;0;0;2;1;43;2;1;7;6;12;1;1;573
POTVRDJENI;1;1;3;1;0;0;0;6;0;1;0;0;0;0;0;1;5;0;0;0;1;0;0;0;20
Ukupno:;5906;14631;43816;8757;315;241;2406;42453;559;11152;3517;427;192;297;2238;2766;22418;523;38;3462;1810;2503;422;291;171140
