Biraèko mjesto:;BPS - SEFER HALILOVIÆ;STRANKA ZA BOSNU I HERCEGOVINU;SDP - SOCIJALDEMOKRATSKA PARTIJA BIH;HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE;DEMOKRATSKA STRANKA INVALIDA BIH;BOSS - BOSANSKA STRANKA - MIRNES AJANOVIÆ;?????????????? ???????;SDA - STRANKA DEMOKRATSKE AKCIJE;HSS - NHI;NARODNA STRANKA RADOM ZA BOLJITAK;STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE;????? ?????????? ???????????????? - ???? - ??????? ?????;HRVATSKA DEMOKRATSKA UNIJA BIH;STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE;STRANKA DEMOKRATSKE AKTIVNOSTI A-sda;STRANKA ZA NAROD BOSNE I HERCEGOVINE;HODŽIÆ HAZIM - NEZAVISNI KANDIDAT;SAVEZ ZA BOLJU BUDUÆNOST BIH - SBB BIH FAHRUDIN RADONÈIÆ;PARTIJA PRAVOG PUTA;STRANKA KOKUZA - SKOK;NAŠA STRANKA - NOVA SOCIJALISTIÈKA PARTIJA ZDRAVKO KRSMANOVIÆ;HRVATSKA KOALICIJA HDZ 1990 - HSP BIH;SDU BIH - LDS BIH - E5 - KOALICIJA ZA TUZLANSKI KANTON;KOALICIJA PREOKRET: GDS BIH I NEP BIH;Ukupno za biraèko mjesto:
050A092;12;33;68;1;0;6;0;43;0;37;2;0;0;5;0;0;0;124;0;3;7;1;0;29;371
050A093;2;4;92;4;2;1;0;5;0;10;0;9;0;1;3;0;0;1;0;0;1;2;0;2;139
050A094;10;22;216;8;0;28;0;49;3;14;2;3;0;1;1;6;0;84;1;6;17;1;1;3;476
050A095;14;17;190;17;3;25;0;33;2;20;4;4;0;10;1;12;2;66;1;4;28;0;1;8;462
050A096;10;14;178;10;2;17;0;15;0;10;4;10;0;2;1;7;0;63;1;10;12;0;2;6;374
050A097;4;6;179;11;0;30;0;34;0;9;2;3;0;4;1;5;1;59;1;7;13;3;1;3;376
050A098;7;21;253;8;1;23;0;37;3;21;8;1;0;0;3;7;0;66;0;5;15;1;0;7;487
050A099;14;6;204;9;0;31;0;46;0;10;1;2;0;3;3;9;0;75;0;12;11;2;5;0;443
050A100;8;16;136;7;0;12;0;34;0;10;1;2;0;0;0;0;1;59;0;3;10;2;6;5;312
050A101;10;33;166;16;0;9;0;46;1;20;4;3;0;0;3;1;0;55;0;12;21;2;2;9;413
050A102;8;42;100;14;0;17;0;84;0;25;2;0;0;4;3;1;1;57;0;7;11;2;3;2;383
050A103;19;23;195;6;5;19;0;40;0;24;0;1;0;3;0;0;1;88;0;15;12;2;1;4;458
050A104;15;13;118;30;0;16;0;35;0;13;2;1;0;1;0;2;0;38;0;4;5;7;1;4;305
050A105;13;33;114;1;4;30;0;108;0;22;1;0;0;0;3;0;1;97;0;8;7;0;4;6;452
050A106;16;30;218;6;0;20;0;56;1;15;0;1;0;1;7;4;0;85;0;13;13;1;3;2;492
050A107;15;19;108;1;1;35;0;64;1;17;7;0;0;1;4;0;0;74;0;6;6;1;4;0;364
050A108;2;10;155;5;1;26;0;42;0;30;4;0;0;0;4;2;2;59;0;7;15;0;6;2;372
050A109;11;20;137;6;3;23;0;74;0;18;5;0;0;1;2;0;0;69;1;14;5;0;4;5;398
050A110;8;15;192;8;0;31;0;38;0;28;1;0;0;4;3;1;1;55;0;9;13;0;3;5;415
050A111;26;14;120;0;0;53;0;54;0;15;4;1;0;0;2;0;0;52;1;24;5;0;2;2;375
050A112;5;13;122;10;2;28;0;22;0;14;1;0;0;0;0;2;0;46;0;12;4;1;0;0;282
050A113;15;9;143;3;10;31;0;44;0;22;0;0;0;1;3;0;0;62;0;9;7;0;7;1;367
050A114;1;8;143;7;0;31;0;40;0;17;1;0;0;0;0;1;0;43;1;20;2;2;0;0;317
050A115;8;32;105;7;3;12;0;28;0;40;6;0;0;0;0;0;0;65;0;4;29;4;3;0;346
050A116;9;17;123;19;2;20;1;22;0;77;4;0;0;2;0;1;0;46;1;11;7;1;1;0;364
050A117;8;31;133;5;1;33;0;48;0;32;2;4;0;1;6;5;4;71;1;17;4;3;1;2;412
050A118;8;10;175;10;0;21;0;37;0;11;6;1;0;2;2;2;0;41;0;21;14;0;3;0;364
050A119;11;13;162;5;4;22;0;21;0;10;3;0;0;0;1;2;0;65;5;8;10;1;4;1;348
050A120;16;17;97;2;2;17;0;30;0;117;5;0;0;2;1;0;0;49;1;11;20;0;1;0;388
050A121;9;22;114;9;0;15;0;23;0;78;4;0;0;0;2;2;0;41;1;7;13;0;3;2;345
050A122;13;33;239;10;3;19;0;38;2;19;4;1;0;3;4;1;0;80;0;12;17;3;2;1;504
050A123;8;24;139;9;5;20;0;35;0;18;0;1;0;0;2;4;0;90;1;13;6;2;3;7;387
050A124;9;23;220;13;1;15;0;33;2;8;3;3;0;1;0;0;2;48;0;10;17;5;8;3;424
050A125;14;21;206;8;0;20;0;27;2;15;3;4;1;0;2;1;1;67;0;9;26;2;6;2;437
050A126;6;23;210;11;3;25;1;35;2;27;1;2;0;3;0;1;0;59;0;5;21;1;3;1;440
050A127;12;26;174;12;2;22;0;39;0;17;3;2;0;5;0;4;0;75;1;5;18;8;1;2;428
050A128;11;23;210;8;2;21;0;29;0;18;2;3;0;0;3;0;1;61;1;7;12;3;3;9;427
050A129;9;27;160;12;0;21;0;49;0;12;4;3;0;2;6;1;0;89;0;14;24;0;6;1;440
050A130;9;10;186;9;1;28;0;29;0;27;1;2;3;1;3;2;4;74;0;10;31;1;3;5;439
050A131;6;8;134;7;1;18;0;10;0;10;1;1;0;0;1;0;0;37;0;5;13;0;3;1;256
050A132;10;10;161;6;3;13;0;19;0;6;3;3;0;1;0;2;2;45;0;5;15;1;1;6;312
050A133;16;32;201;0;1;23;1;56;0;24;1;0;0;2;2;1;0;40;0;9;4;1;1;4;419
050A134;18;45;122;11;0;28;0;15;0;16;1;0;0;6;2;0;0;25;0;4;4;0;4;3;304
050A135;1;11;65;2;1;23;0;110;0;18;2;0;0;4;1;1;0;16;0;3;1;2;2;2;265
050A136;4;8;62;0;2;13;0;78;0;13;0;0;0;3;0;0;1;21;0;5;0;1;2;0;213
050A137;20;26;237;1;5;22;0;72;1;19;2;0;0;0;0;1;0;62;0;11;4;0;3;1;487
050A138;8;39;80;5;4;31;0;18;0;10;4;0;2;1;0;0;0;34;0;2;2;1;0;0;241
050A139;6;27;149;2;2;18;0;57;1;32;0;0;0;1;1;1;0;83;0;4;17;1;3;3;408
050A140;10;21;144;1;0;29;0;54;0;14;1;1;0;1;1;3;0;91;0;11;16;0;5;2;405
050A141;10;27;115;0;0;20;0;69;0;29;1;0;0;4;3;2;1;82;0;7;8;0;6;1;385
050A142;10;21;206;10;1;16;0;56;3;20;2;2;0;0;0;3;0;61;0;7;14;2;4;0;438
050A143;7;25;148;5;0;12;0;41;0;14;2;2;0;0;2;2;2;52;0;14;10;0;2;0;340
050A144;9;28;243;14;0;17;0;27;0;12;2;1;0;0;3;1;0;86;0;6;10;0;3;3;465
050A145;10;27;172;9;2;18;0;72;2;12;2;2;0;0;1;0;1;57;0;5;31;1;14;13;451
050A146;9;23;168;6;1;25;0;62;0;30;8;0;1;1;1;2;0;73;0;8;16;1;0;9;444
050A147;24;21;203;22;0;16;0;55;0;12;3;1;0;1;1;0;2;72;2;11;16;1;10;2;475
050A148;15;15;188;4;0;32;0;23;0;13;1;0;0;0;4;4;1;74;1;11;6;1;0;3;396
050A149;1;5;41;1;0;9;0;2;0;1;0;0;0;0;0;2;0;13;0;3;4;0;4;0;86
050A150;10;13;163;5;1;35;0;19;0;23;2;1;0;0;2;4;2;41;0;8;3;2;4;0;338
050A151;18;18;180;2;0;37;0;24;0;14;2;0;0;0;1;6;3;57;0;12;6;0;1;3;384
050A152;8;5;172;8;1;39;0;14;0;66;4;2;0;2;2;1;2;20;3;19;10;0;2;2;382
052A000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
052A001;29;109;43;0;0;2;0;75;0;2;4;0;0;1;0;0;0;12;0;0;1;0;3;0;281
052A002;19;153;40;0;0;7;0;61;0;4;9;0;0;0;1;0;0;20;1;0;0;0;0;1;316
052A003;7;153;77;1;0;5;0;135;1;3;11;0;0;1;1;1;0;18;0;0;0;0;1;0;415
052A004;4;74;69;2;0;47;0;255;0;3;12;0;0;1;1;0;0;15;1;2;2;0;2;1;491
052A005;24;23;56;0;10;4;0;149;0;2;8;0;0;2;1;1;0;16;0;3;1;0;0;0;300
052A006;5;6;38;0;0;4;0;206;0;3;3;0;0;0;1;0;1;13;0;1;0;0;2;0;283
052A007;1;17;13;1;0;0;0;188;0;0;1;0;0;0;1;0;0;1;0;6;1;0;1;0;231
052A008;0;18;34;0;1;1;0;186;0;12;0;0;0;1;0;0;0;6;1;0;0;0;1;0;261
052A009;1;82;11;0;0;1;0;191;0;50;13;0;0;0;0;0;0;0;0;2;0;0;1;0;352
052A010;0;101;17;0;0;4;1;157;0;1;2;0;0;0;0;0;1;7;0;0;0;0;3;0;294
052A011;3;29;29;0;1;4;0;55;0;2;0;2;0;0;0;0;0;2;0;4;0;0;1;0;132
052A012;0;0;7;125;0;0;0;0;0;69;13;0;0;0;0;0;0;3;0;0;0;0;0;0;217
052A013;12;15;53;0;4;2;0;200;0;4;0;0;0;0;2;0;0;16;0;2;1;0;1;0;312
052A014;16;114;27;0;1;4;0;67;0;5;9;0;0;3;0;0;0;14;1;0;2;0;0;0;263
052A015;22;131;61;1;0;3;0;130;0;0;6;0;0;0;0;0;0;15;0;2;0;1;1;0;373
055A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
055A001A;21;33;50;0;2;1;0;198;0;4;0;0;0;0;0;0;0;27;0;1;0;0;2;1;340
055A001B;4;29;42;0;0;2;0;145;0;3;0;0;0;1;0;0;0;13;0;1;0;0;0;5;245
055A001C;2;68;70;1;2;0;0;238;0;1;0;2;0;2;1;0;0;22;0;1;0;0;1;0;411
055A002A;6;65;76;0;0;7;0;179;0;14;2;0;0;0;3;0;0;75;0;2;0;0;0;0;429
055A002B;2;36;29;0;0;0;0;110;0;36;0;0;0;1;2;0;1;37;0;0;0;0;8;1;263
055A003;7;120;53;1;3;0;0;179;0;30;1;0;0;4;5;1;0;32;0;1;0;0;0;3;440
055A004;2;45;43;1;0;3;0;255;0;3;2;0;0;0;0;0;0;25;0;2;0;0;14;2;397
055A005;5;75;86;0;1;0;0;164;0;31;0;0;0;0;0;0;0;19;0;0;0;0;2;0;383
055A006;5;31;13;0;1;0;0;150;0;8;0;1;0;0;1;0;0;32;0;0;0;0;1;0;243
078A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
078A001;21;10;242;4;0;7;0;280;0;3;1;0;0;1;3;0;0;13;1;5;2;0;2;8;603
078A002;15;8;241;10;3;4;0;264;0;1;1;4;0;3;2;0;0;27;1;2;5;0;4;1;596
078A003;17;14;181;5;2;4;0;234;0;2;8;3;0;1;5;0;0;29;0;0;3;0;6;2;516
078A004;17;7;220;5;6;2;0;203;0;2;3;2;0;2;4;1;0;40;1;0;1;0;4;7;527
078A005;12;15;144;2;1;1;0;110;0;1;3;5;0;1;4;0;0;28;0;2;0;2;1;0;332
078A006;14;5;170;3;6;5;0;140;0;3;1;1;0;4;5;0;0;29;0;3;0;0;1;5;395
078A007;3;14;204;0;0;1;0;304;0;0;2;0;0;3;0;0;0;4;0;0;0;0;1;0;536
078A008;4;53;121;0;1;5;0;435;0;0;1;0;0;2;1;0;0;19;0;1;2;0;3;0;648
078A009;3;7;161;5;2;0;0;136;0;9;0;2;0;2;1;1;0;12;0;3;0;0;0;0;344
078A010;7;5;108;0;0;0;1;189;0;3;1;0;0;2;0;0;0;18;0;2;0;0;1;0;337
078A011A;11;18;157;0;1;2;0;255;0;2;2;0;0;2;0;0;0;15;0;0;0;0;2;2;469
078A011B;1;5;165;0;0;0;0;220;0;0;1;0;0;0;1;0;0;7;0;0;0;0;2;0;402
078A012A;13;1;63;1;0;3;0;482;0;0;3;0;0;4;1;0;0;7;0;2;0;0;1;3;584
078A012B;4;4;42;1;0;1;0;443;0;0;4;0;0;0;1;1;0;10;0;0;0;0;1;0;512
078A012C;11;17;89;2;2;3;0;480;0;1;1;0;0;2;4;0;0;11;0;1;1;0;0;0;625
078A013;29;16;259;6;0;5;0;290;0;3;3;0;0;4;3;0;0;36;2;10;0;0;1;3;670
078A014;4;2;67;0;0;1;0;210;0;1;0;0;0;1;4;0;0;11;0;0;1;0;3;0;305
078A015;4;6;140;1;0;2;0;525;0;1;2;0;0;0;0;0;0;11;0;1;0;0;0;0;693
078A016;17;24;182;0;0;1;0;432;0;0;1;0;0;1;2;0;0;13;1;0;1;0;5;5;685
078A017;37;4;158;0;0;5;0;449;0;3;1;0;0;2;8;0;0;24;1;5;0;1;1;3;702
078A018;0;0;6;0;0;0;0;155;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;164
078A019;16;22;151;0;1;3;0;262;0;0;1;0;0;3;6;0;0;25;0;0;0;0;0;0;490
078A020;4;9;155;1;0;4;0;287;0;0;1;0;0;8;3;1;0;17;0;1;0;0;3;11;505
078A021;4;10;106;0;0;0;0;403;0;0;1;0;0;0;2;0;0;6;0;0;0;0;5;0;537
078A022;3;4;37;0;1;1;0;186;0;1;0;0;0;0;0;0;0;11;0;2;0;0;0;0;246
078A023;7;2;230;0;0;2;0;320;0;6;1;0;0;0;0;0;0;26;1;1;0;0;2;0;598
078A024;17;8;179;0;3;2;0;269;0;1;2;0;0;3;2;0;0;54;0;4;1;0;2;2;549
078A025;2;10;84;3;0;4;0;273;0;1;5;0;0;0;4;0;0;16;0;1;0;0;2;0;405
078A026;2;8;82;1;0;1;0;305;0;0;0;0;0;0;2;0;0;12;0;1;1;1;0;0;416
078A027;1;37;84;2;5;2;0;149;0;2;0;0;0;1;0;1;0;4;0;0;0;0;0;0;288
078A028;4;4;71;5;1;2;0;107;0;1;0;0;0;0;0;0;0;10;0;3;0;0;0;0;208
079A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
079A001;15;34;8;0;3;2;0;112;0;24;3;0;0;61;50;1;0;0;1;0;0;0;5;2;321
079A002;3;14;43;3;0;0;0;75;0;4;2;0;0;70;47;1;0;5;0;1;0;0;2;0;270
079A003;16;9;21;0;0;2;0;113;0;37;8;0;0;77;116;2;0;2;0;1;0;0;3;0;407
079A004;26;11;20;0;3;4;0;111;0;23;2;0;0;18;187;0;0;8;0;1;0;0;6;1;421
079A005A;41;7;29;7;1;2;0;59;0;53;0;0;0;13;106;0;0;25;0;1;0;0;6;0;350
079A005B;20;2;10;2;3;1;0;49;0;33;2;0;0;11;26;0;0;22;0;1;0;0;2;0;184
079A006;1;5;9;1;0;0;0;32;1;115;0;0;0;12;4;0;0;1;0;0;1;0;3;0;185
079A007;6;29;41;1;1;2;0;33;0;34;2;0;0;23;41;1;0;11;0;0;4;0;0;0;229
079A008;13;41;139;0;3;7;0;156;1;33;4;0;0;6;23;0;0;58;0;7;1;1;6;0;499
079A009;7;40;118;2;1;10;0;55;0;19;4;0;0;7;9;1;0;19;0;6;0;0;14;0;312
079A010;16;96;26;0;0;14;0;60;0;6;0;0;0;7;11;0;0;8;0;2;1;0;8;0;255
079A011;15;17;63;0;1;9;0;61;0;14;5;0;0;22;31;0;0;7;1;3;2;0;2;2;255
079A012;68;47;165;0;0;5;0;55;0;23;8;0;0;33;87;0;0;15;0;2;0;0;15;0;523
079A013;10;58;32;0;1;0;0;114;0;5;0;0;1;46;27;0;0;11;0;1;0;0;4;0;310
079A014;4;93;74;0;0;1;0;38;0;101;6;0;0;7;59;2;0;29;1;2;5;1;7;0;430
079A015;17;61;97;12;0;2;0;98;1;8;3;0;0;20;10;0;0;10;0;4;4;0;10;0;357
079A016;16;35;73;6;2;5;0;81;0;6;2;0;0;3;16;0;0;14;0;3;0;0;55;2;319
079A017;0;2;91;137;0;7;0;21;0;7;1;1;0;15;2;0;0;10;0;1;0;2;0;0;297
079A018;12;20;163;13;1;8;0;50;0;16;0;0;0;13;19;0;2;67;2;3;2;0;5;8;404
079A019;5;18;196;0;2;10;0;64;0;23;0;0;0;4;8;0;0;22;0;6;0;0;2;4;364
079A020;12;189;72;1;4;13;0;110;0;22;4;0;0;13;11;3;0;24;0;4;3;0;5;2;492
079A021;13;63;145;2;2;8;0;107;0;16;11;0;0;1;118;1;0;35;0;8;0;0;9;3;542
079A022;6;22;84;2;1;7;0;39;0;9;2;0;0;1;7;2;2;48;0;4;4;0;8;0;248
079A023;0;8;109;102;0;1;0;2;1;20;0;0;0;1;1;0;0;8;0;3;1;1;0;0;258
079A024;8;30;54;0;0;5;0;36;0;21;6;0;0;9;26;0;1;23;0;2;0;0;61;1;283
079A025;16;59;45;0;0;10;0;60;0;3;2;0;0;10;22;1;0;25;1;6;3;0;130;12;405
079A026A;6;44;47;0;0;4;0;40;0;10;3;0;0;13;13;0;0;33;0;5;3;0;87;2;310
079A026B;13;21;54;2;0;7;0;35;0;9;2;0;0;0;20;0;0;21;0;3;2;0;56;0;245
079A027A;15;31;131;23;1;5;0;68;0;25;6;0;0;11;24;2;5;31;3;12;6;0;15;0;414
079A027B;4;13;117;33;0;6;0;43;0;16;3;1;0;10;13;1;1;34;0;9;5;0;0;2;311
079A028A;19;38;103;18;3;11;0;47;0;4;5;0;1;5;8;0;0;40;0;8;0;1;9;0;320
079A028B;19;53;79;26;0;4;1;38;0;5;1;0;0;7;12;1;0;24;0;7;4;0;7;1;289
079A029;5;16;90;38;0;4;0;35;0;4;1;1;0;12;5;1;0;22;3;5;3;0;2;1;248
079A030;15;16;66;25;0;3;0;42;0;6;1;0;0;6;16;0;2;32;0;6;6;0;13;0;255
079A031;8;21;96;26;0;10;0;78;0;19;10;0;0;12;11;0;0;26;4;5;4;1;14;0;345
079A032;10;21;31;0;0;2;0;22;0;8;0;0;0;24;30;0;0;8;1;2;0;0;2;0;161
079A033;32;23;96;2;0;6;0;43;0;34;1;0;0;5;13;0;0;28;0;4;0;0;11;0;298
079A034;7;8;56;132;0;4;0;47;0;5;4;0;0;10;17;0;0;29;1;10;4;1;4;1;340
079A035A;34;51;115;16;2;16;0;91;0;14;3;0;0;19;24;0;0;34;3;7;4;0;13;2;448
079A035B;24;25;76;12;2;9;0;72;0;12;3;0;0;14;28;1;0;26;2;2;7;0;7;0;322
079A036;8;19;129;26;2;10;1;89;0;11;5;1;0;26;18;0;0;42;5;4;15;0;13;3;427
079A037;9;10;9;0;0;1;0;84;0;14;10;0;0;42;119;0;0;3;0;0;0;0;0;0;301
079A038A;9;20;34;1;1;0;0;81;0;13;4;0;0;110;48;0;0;4;0;2;1;0;3;0;331
079A038B;0;18;37;1;0;0;0;114;0;1;1;0;0;56;57;0;0;6;2;0;0;0;1;0;294
079A039A;8;23;61;4;1;2;0;36;0;44;8;0;0;46;87;1;0;11;0;2;0;0;5;0;339
079A039B;12;30;49;0;1;3;0;46;1;36;1;0;0;16;56;0;2;14;1;1;3;0;2;0;274
079A040;8;55;97;4;0;14;0;68;0;12;4;0;0;15;12;1;1;35;0;4;4;2;7;0;343
079A041;15;158;62;2;0;9;0;59;0;16;4;0;0;9;8;1;0;23;0;7;2;0;8;1;384
079A042;9;65;88;34;0;4;0;84;0;17;2;0;0;15;16;0;2;18;0;10;6;0;7;0;377
079A043;11;22;77;29;1;13;0;63;0;56;2;0;0;27;8;0;0;9;15;2;0;1;2;0;338
079A044A;11;19;180;1;1;7;0;67;0;28;8;0;0;3;11;0;0;20;0;3;2;0;5;3;369
079A044B;4;7;109;0;0;10;0;62;0;29;5;0;0;6;12;0;0;11;0;5;0;0;2;2;264
079A045;13;266;74;0;2;10;0;91;0;29;2;0;0;9;12;0;0;10;0;2;0;0;0;0;520
079A046;11;212;97;0;3;3;0;143;0;2;6;0;0;8;15;0;0;35;0;3;0;0;10;1;549
079A047A;6;54;102;0;1;6;0;91;0;12;3;0;0;6;76;0;0;20;0;6;0;0;3;3;389
079A047B;0;39;68;0;3;3;0;66;0;11;6;0;0;1;105;0;0;13;0;4;1;0;5;0;325
079A048;10;53;150;29;0;6;0;33;1;12;6;1;0;14;19;0;0;91;0;4;9;0;15;4;457
079A049;4;35;127;9;1;13;0;78;0;34;5;0;0;20;24;0;1;51;0;10;2;0;13;0;427
079A050A;5;17;51;20;3;4;0;30;0;23;6;1;0;13;5;0;0;23;0;4;19;0;2;1;227
079A050B;4;7;36;12;0;1;0;31;0;7;2;0;0;5;3;1;0;19;0;7;16;0;2;1;154
079A051;32;19;61;1;1;10;0;70;0;6;3;0;0;16;18;0;0;25;1;4;1;1;13;4;286
079A052;9;14;93;29;3;9;0;23;0;15;5;1;0;2;10;0;0;26;0;7;3;1;3;0;253
079A053;12;24;14;2;0;2;0;169;0;21;12;0;0;68;109;0;0;4;0;0;1;0;0;0;438
079A054;5;17;24;1;0;3;0;54;0;291;2;0;0;32;24;1;0;5;0;1;1;0;2;1;464
079A055;6;9;38;0;0;5;0;39;0;11;1;0;0;7;38;0;0;3;0;1;0;0;3;0;161
079A056;8;41;98;0;0;12;0;72;0;16;4;0;0;3;4;0;0;23;0;2;1;0;5;0;289
079A057;13;174;49;8;2;9;0;21;0;12;5;0;0;3;18;0;0;21;0;5;1;0;5;0;346
079A058;16;33;75;0;1;2;0;94;0;7;7;0;0;34;23;0;0;6;0;2;6;0;0;2;308
079A059;11;92;44;2;0;5;0;166;0;3;1;0;0;23;16;0;0;13;0;3;1;0;9;0;389
079A060;14;31;74;0;1;3;0;112;0;14;10;0;0;19;14;2;0;7;0;2;1;1;26;0;331
079A061;14;3;88;30;1;5;0;43;0;37;1;0;0;17;0;0;1;5;2;2;0;0;12;0;261
079A062;13;49;82;0;1;5;0;57;0;12;2;0;0;4;21;0;0;23;1;9;4;0;68;0;351
079A063;20;29;179;30;3;9;0;101;0;13;2;1;0;14;29;0;6;40;1;9;3;0;11;0;500
079A064;12;20;114;30;1;8;0;45;0;18;6;1;0;4;9;0;0;41;0;12;3;1;12;1;338
079A065A;20;43;66;5;0;6;0;32;0;15;2;0;1;85;70;1;0;5;0;2;2;0;7;5;367
079A065B;3;35;56;3;0;6;0;34;0;29;10;0;0;62;97;0;1;12;0;6;6;0;2;0;362
079A065C;10;14;51;1;1;5;0;16;0;14;5;0;0;61;41;2;0;7;0;3;1;0;4;4;240
079A066;108;15;49;5;0;5;0;49;0;24;1;0;0;11;10;0;0;22;2;7;1;0;10;1;320
079A067;2;13;82;2;0;2;1;39;0;2;4;0;0;10;5;1;0;126;0;3;4;0;30;0;326
079A068;2;11;96;37;0;1;0;29;0;15;2;0;0;2;2;1;0;14;2;6;5;2;2;0;229
080A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
080A001;5;32;81;0;0;3;0;64;0;24;1;0;0;3;13;0;0;58;0;1;25;0;6;4;320
080A002;11;38;89;0;0;1;0;57;0;18;0;0;0;2;20;1;0;60;0;2;11;0;6;4;320
080A003;3;37;97;0;2;8;0;115;0;23;0;0;0;3;15;4;0;61;0;4;7;0;11;16;406
080A004;2;19;107;3;2;0;0;83;0;33;3;0;0;31;16;1;1;24;0;4;10;0;0;9;348
080A005A;13;18;70;0;0;0;0;87;0;33;1;0;0;0;15;0;0;48;0;3;0;0;2;12;302
080A005B;12;14;77;0;0;3;2;99;0;33;0;0;0;0;6;1;0;36;0;0;4;0;1;3;291
080A006;26;21;68;0;1;12;0;174;0;16;0;1;0;2;9;0;0;30;0;4;3;0;11;18;396
080A007A;16;9;206;2;1;8;0;128;0;19;9;0;0;8;12;0;1;49;0;11;11;0;10;14;514
080A007B;9;16;131;0;1;5;0;78;0;4;4;0;0;1;1;0;0;50;0;2;3;0;0;14;319
080A008;18;12;85;0;1;2;0;88;0;18;1;0;0;4;15;0;0;31;0;0;0;0;7;5;287
080A009A;32;32;130;0;2;4;0;65;0;16;1;0;0;2;16;0;1;37;2;3;0;0;20;4;367
080A009B;22;30;149;0;0;8;0;88;0;12;4;0;0;4;19;0;0;36;0;3;4;1;20;5;405
080A009C;13;5;144;1;1;2;0;83;0;4;3;0;0;0;11;0;1;19;0;0;0;0;17;6;310
080A010;63;31;104;1;3;5;0;155;0;8;1;0;0;22;5;2;0;44;3;0;2;0;1;31;481
080A011A;5;35;74;0;0;5;0;144;0;23;2;0;0;6;4;0;0;39;0;3;2;0;16;4;362
080A011B;17;24;91;0;0;6;0;97;0;20;1;0;0;19;7;0;0;44;0;1;0;0;31;6;364
080A011C;4;46;30;0;0;6;0;51;0;17;5;0;0;15;1;0;0;61;0;1;0;0;25;4;266
080A012A;19;12;249;1;0;4;0;114;0;17;2;3;0;3;58;0;0;40;2;4;3;0;9;9;549
080A012B;17;12;116;2;0;2;0;158;0;17;1;0;1;4;30;0;1;27;0;2;1;0;8;13;412
080A013;1;0;14;1;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
080A014A;42;32;176;4;1;10;0;67;2;40;3;0;0;3;40;0;0;27;1;2;0;0;10;0;460
080A014B;20;9;70;0;1;1;0;94;0;50;5;0;0;10;29;0;0;22;2;2;0;0;1;4;320
080A014C;35;27;217;2;1;8;0;98;0;63;2;1;0;5;29;1;0;39;0;7;2;0;27;4;568
080A015A;9;9;56;3;0;2;0;48;0;14;0;0;0;2;111;0;0;20;0;2;0;0;9;12;297
080A015B;14;36;76;2;2;4;0;69;1;28;0;0;0;5;69;0;0;22;1;3;3;0;8;9;352
080A015C;18;22;112;0;1;6;0;172;0;5;4;0;0;6;72;0;0;23;0;4;0;0;4;19;468
080A016A;15;17;171;0;0;12;0;59;0;12;2;1;0;4;5;0;0;31;0;3;1;0;1;14;348
080A016B;35;13;190;1;0;4;0;46;0;15;2;0;0;5;6;0;0;22;0;6;0;0;0;11;356
080A016C;28;26;122;1;0;5;0;58;0;12;4;1;0;1;7;0;0;30;0;3;3;0;1;2;304
080A016D;41;51;163;0;1;3;0;77;0;7;4;0;0;7;12;0;0;22;1;1;3;1;7;13;414
080A017A;105;37;38;0;1;6;0;54;0;4;3;0;0;6;8;0;0;95;1;5;20;0;6;28;417
080A017B;107;26;61;0;2;2;0;81;0;3;6;0;0;3;54;0;0;76;0;2;4;0;5;23;455
080A018;33;22;224;0;0;3;0;159;0;8;2;0;0;3;4;0;0;27;0;1;2;1;1;55;545
080A019;9;7;35;0;0;2;0;175;0;3;0;0;0;0;3;0;0;9;0;0;1;0;0;42;286
080A020;32;29;119;0;0;3;0;163;0;2;40;0;0;0;2;0;0;10;0;0;0;0;1;1;402
080A021;19;27;53;0;2;7;0;114;0;15;7;2;0;4;7;1;0;22;0;0;11;0;1;2;294
080A022;2;18;36;0;1;7;0;119;0;16;0;0;0;0;1;0;0;9;0;1;0;0;1;3;214
080A023A;19;13;114;0;1;6;0;97;0;80;4;0;0;0;0;0;0;50;3;1;2;0;9;10;409
080A023B;15;9;126;1;2;2;0;94;0;50;1;0;0;0;3;0;0;28;0;2;5;0;0;8;346
080A024;10;17;85;2;0;2;0;89;0;31;0;0;0;1;1;0;0;2;0;1;0;0;1;3;245
080A025;16;2;29;0;0;1;0;113;0;6;2;0;0;0;3;0;0;7;0;0;0;0;0;0;179
080A026A;16;6;196;0;0;4;0;76;0;16;1;0;0;1;0;0;0;12;0;2;0;0;2;5;337
080A026B;18;14;146;1;0;1;0;67;0;6;0;1;0;0;5;0;0;14;0;2;2;0;3;10;290
