Biracko mjesto:	BPS - SEFER HALILOVIc	STRANKA ZA BOSNU I HERCEGOVINU	SDP - SOCIJALDEMOKRATSKA PARTIJA BIH	HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE	DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH	DEMOKRATSKA STRANKA INVALIDA BIH	BOSS - BOSANSKA STRANKA - MIRNES AJANOVIc	ZAVIcAJNI SOCIJALDEMOKRATI - MILE MARcETA	SOCIJALISTICKA PARTIJA	SDA - STRANKA DEMOKRATSKE AKCIJE	DNS - DEMOKRATSKI NARODNI SAVEZ	STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE	SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK	SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE	HSP BIH	HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990	STRANKA UDRUzENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE	STRANKA DEMOKRATSKE AKTIVNOSTI A-sda	STRANKA ZA NAROD BOSNE I HERCEGOVINE	SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc	PARTIJA PRAVOG PUTA	STRANKA KOKUZA - SKOK	NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc	NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK	KOALICIJA PREOKRET: GDS BIH I NEP BIH	Ukupno za biracko mjesto:
002A010	1	1	19	0	2	0	0	0	0	38	0	0	0	0	0	0	0	198	0	3	0	0	0	10	0	272
002A011	0	10	35	1	252	0	1	0	0	47	0	4	0	0	0	2	0	77	0	3	0	0	1	3	0	436
002A012	0	5	17	2	261	0	1	0	0	19	1	0	0	2	0	0	1	51	0	12	0	0	0	5	0	377
002A013	1	9	33	4	32	0	0	0	0	64	0	6	0	2	0	0	0	78	0	21	0	0	0	0	0	250
002A014	2	0	32	2	128	0	0	1	0	42	0	0	0	2	0	0	0	69	0	3	0	0	0	20	0	301
002A015	2	4	21	0	47	0	0	0	0	277	0	2	0	0	0	0	1	100	1	4	0	0	0	6	0	465
002A016	3	13	29	2	31	0	0	0	0	70	0	0	0	0	0	2	0	26	1	19	0	0	3	14	0	213
002A017	6	6	44	1	2	0	2	0	0	56	0	0	0	5	0	0	0	72	0	12	0	0	4	21	0	231
002A018A	0	12	63	0	0	0	3	0	0	125	0	1	0	4	0	0	1	170	1	13	1	0	1	7	0	402
002A018B	1	9	53	0	2	0	4	0	0	105	0	2	0	1	0	0	0	78	13	8	0	0	2	3	0	281
002A019	0	7	25	0	1	0	1	0	0	66	0	1	0	1	0	0	0	138	0	5	0	0	1	0	0	246
002A020A	0	6	35	0	0	0	0	0	0	124	0	4	0	0	0	0	0	95	1	2	1	0	0	0	0	268
002A020B	6	17	48	0	2	1	9	0	0	135	0	1	0	2	0	0	0	123	2	1	0	0	3	1	0	351
002A021A	0	1	25	1	0	0	0	0	0	58	0	0	0	0	0	0	0	55	0	1	0	0	0	9	0	150
002A021B	1	11	59	2	1	0	1	0	0	120	1	0	0	1	0	0	0	60	2	13	0	0	0	6	0	278
002A022A	6	9	75	0	4	0	0	1	0	136	0	0	0	1	0	0	0	164	2	31	0	0	22	5	0	456
002A022B	4	3	57	0	3	1	2	0	0	95	0	0	0	1	0	1	0	121	5	34	0	0	11	8	0	346
002A023A	10	15	50	1	31	0	4	0	0	61	0	2	0	0	0	0	0	170	0	6	0	0	7	5	0	362
002A023B	4	4	31	0	11	1	0	0	0	48	0	1	0	0	0	0	0	70	1	7	0	0	10	14	0	202
002A024	0	8	14	0	0	1	0	0	0	98	0	2	0	0	0	0	0	128	1	26	0	0	5	0	0	283
002A025	0	2	17	0	2	0	0	0	0	22	0	0	0	0	0	0	0	65	0	2	1	1	1	4	0	117
002A026	2	3	8	0	0	0	0	0	0	17	0	0	0	0	0	0	0	30	0	1	0	0	2	0	0	63
002A027A	1	8	60	1	13	0	4	0	0	91	0	0	0	2	0	0	0	75	0	7	0	1	15	3	0	281
002A027B	1	5	78	0	13	0	0	0	0	87	0	0	0	0	0	0	0	180	5	6	0	0	31	17	0	423
002A028A	4	6	86	1	10	1	4	0	0	174	0	1	0	0	0	0	0	62	0	20	0	0	0	30	0	399
002A028B	4	5	42	1	2	0	0	0	0	120	0	1	0	1	0	4	0	33	0	10	0	0	0	27	0	250
002A029	0	2	46	2	0	0	2	0	0	117	0	0	0	0	0	0	0	29	1	16	0	0	0	21	0	236
002A030	3	7	88	4	50	3	0	0	0	139	0	4	0	0	0	0	0	75	0	5	0	1	8	3	0	390
002A031A	0	4	40	2	85	0	0	1	0	101	0	1	0	0	0	0	0	59	1	1	0	0	1	2	0	298
002A031B	0	10	44	0	84	0	0	0	0	83	0	0	0	0	0	0	0	78	0	5	0	0	4	3	0	311
002A032	1	8	65	0	0	0	1	0	0	124	0	0	0	1	0	0	1	141	3	4	0	0	1	12	0	362
002A033A	0	16	26	0	59	0	0	0	0	126	0	0	0	0	0	0	0	60	0	0	0	0	3	0	0	290
002A033B	4	8	27	1	59	1	0	0	0	128	0	1	0	2	0	0	1	75	1	6	0	0	9	5	0	328
002A033C	4	14	31	0	29	0	0	0	0	96	0	0	0	0	0	0	0	39	0	1	0	0	22	0	0	236
002A034	2	4	36	1	0	0	0	0	0	70	0	6	0	0	0	0	0	87	2	8	0	0	3	11	0	230
002A035A	7	39	178	0	2	0	7	0	0	48	0	3	0	14	0	0	1	146	0	25	0	1	3	57	0	531
002A035B	6	31	144	1	1	0	0	0	0	51	0	1	0	6	0	0	1	58	1	24	0	1	2	10	0	338
002A036	5	2	172	0	1	0	0	0	0	156	0	0	0	0	0	0	0	88	0	7	0	0	1	8	0	440
002A037	0	3	25	0	48	0	0	0	0	68	0	0	0	0	0	0	0	24	2	2	0	0	3	0	0	175
002A038	1	1	19	0	24	0	0	0	0	26	0	0	0	0	0	0	0	14	1	2	0	0	0	0	0	88
002A039	4	4	45	0	21	0	2	0	0	93	0	1	0	0	0	0	0	47	0	26	0	0	0	25	0	268
002A040	2	9	62	1	13	0	1	0	0	118	0	0	0	0	0	0	0	54	0	59	0	1	7	7	0	334
002A041	4	11	56	0	0	0	1	0	0	198	0	0	0	1	0	0	0	372	1	7	0	1	0	4	0	656
002A042	10	7	45	1	5	0	0	0	0	64	0	0	0	0	0	0	1	91	0	6	0	0	8	0	0	238
002A043	16	4	80	1	2	0	1	0	0	201	0	2	0	1	0	0	0	106	0	14	0	0	19	5	0	452
002A044	0	7	4	0	114	0	0	0	0	75	0	0	0	0	0	0	0	110	0	7	0	0	0	2	0	319
002A045	0	2	13	0	0	0	0	0	0	221	0	0	0	0	0	0	1	186	0	0	0	0	4	0	0	427
002A046	0	5	12	2	189	0	5	1	0	10	0	0	0	10	0	0	0	75	0	8	0	0	0	1	1	319
002A047	2	8	86	1	17	2	2	0	0	45	0	6	0	0	0	2	2	77	1	22	1	1	5	47	0	327
002A048	3	13	102	2	16	0	2	0	0	118	0	6	0	3	0	0	0	173	1	38	2	0	13	25	0	517
002A049	0	32	28	0	0	0	1	0	0	85	0	0	0	0	0	0	2	83	0	24	0	0	0	13	0	268
002A050	5	11	155	0	26	0	1	0	0	63	0	8	0	1	0	0	1	54	1	42	0	1	28	31	0	428
002A051	0	4	8	1	31	0	0	0	0	72	0	0	0	1	0	0	0	101	0	2	0	0	0	0	0	220
002A052	0	2	6	3	164	0	0	0	0	15	1	0	0	0	0	0	0	27	0	1	0	0	1	20	0	240
002A053	0	6	15	1	120	0	2	0	0	41	1	0	0	0	0	0	0	55	1	6	0	0	3	12	0	263
002A054A	2	10	108	0	34	0	1	0	0	134	0	0	0	0	0	0	0	45	0	14	0	2	4	21	0	375
002A054B	6	14	37	0	40	0	1	0	0	105	0	0	0	1	0	1	0	48	0	23	1	1	13	27	0	318
002A054C	11	5	71	0	39	0	0	0	0	93	0	1	0	2	0	2	0	63	0	24	0	0	19	29	0	359
002A055	1	4	90	3	0	0	1	0	0	92	0	0	0	0	0	0	0	155	0	6	1	1	0	3	0	357
002A056	3	16	79	2	15	2	1	0	0	97	0	1	2	0	0	1	1	344	0	11	1	3	6	9	0	594
002A057	27	6	62	0	19	0	4	0	0	130	0	0	0	1	0	0	0	194	2	9	0	1	6	25	0	486
002A058A	0	9	76	0	117	0	0	0	0	72	0	0	0	0	0	0	0	65	0	0	0	0	0	11	0	350
002A058B	2	3	11	1	86	0	0	0	0	51	0	0	0	0	0	0	0	65	0	9	0	0	0	0	0	228
002A059	4	6	64	0	7	2	1	0	0	36	0	1	0	3	0	0	0	40	0	18	0	0	13	11	0	206
003A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
003A001A	5	70	93	0	0	0	0	0	0	88	0	3	0	5	0	0	2	2	2	11	0	1	1	2	0	285
003A001B	4	41	92	1	0	2	3	0	0	132	0	1	0	2	0	0	0	16	4	11	0	0	2	4	0	315
003A001C	6	76	67	3	1	0	1	0	0	54	0	0	0	1	0	0	2	2	0	10	0	1	0	1	0	225
003A002A	7	14	142	10	1	0	3	0	0	117	0	9	0	6	0	6	0	20	2	28	0	5	2	15	0	387
003A002B	4	18	128	5	1	1	1	0	0	93	0	0	0	1	0	6	0	5	1	21	0	3	1	5	0	294
003A003	2	39	238	5	13	3	1	0	0	68	1	7	0	14	0	7	0	21	1	49	0	2	3	42	0	516
003A004	3	39	219	3	8	0	0	0	0	47	0	8	0	11	0	2	1	19	1	49	1	2	8	21	0	442
003A005	3	44	178	1	2	0	2	0	0	58	0	9	0	23	0	8	2	62	3	51	0	3	13	30	0	492
003A006	1	26	229	2	7	0	2	0	0	60	0	5	1	4	0	9	0	23	5	71	0	4	9	14	0	472
003A007	5	18	120	8	4	1	0	0	0	39	0	1	1	12	0	5	0	29	6	20	1	3	4	10	1	288
003A008	3	16	91	137	3	0	4	0	0	43	0	2	0	6	0	59	0	22	1	22	1	1	0	65	0	476
003A009	0	2	62	56	8	1	0	1	0	7	1	5	0	2	1	178	1	10	2	15	1	3	0	41	0	397
003A010	3	34	163	2	3	0	0	0	0	51	0	9	1	5	0	6	0	29	2	32	2	4	4	35	0	385
003A011A	2	26	121	9	1	0	4	0	0	38	0	9	1	7	0	3	0	16	1	34	0	2	2	30	0	306
003A011B	1	21	90	8	5	0	0	0	0	27	0	4	0	0	0	3	1	13	1	16	0	2	4	21	0	217
003A012	1	40	101	2	2	0	3	0	1	33	0	10	0	4	0	4	0	18	1	23	0	3	7	15	0	268
003A013	5	26	211	6	6	0	2	0	0	62	1	10	1	25	1	18	0	12	6	40	1	2	6	61	0	502
003A014	6	37	204	3	3	0	1	0	0	59	0	13	0	7	0	16	0	10	2	35	1	0	3	29	0	429
003A015	7	39	208	6	2	0	4	0	0	44	0	17	1	11	0	4	0	17	3	40	1	1	7	13	0	425
003A016	0	2	33	131	4	0	1	0	1	8	0	2	0	2	0	68	0	1	9	14	0	0	1	43	0	320
003A017	9	31	239	9	4	0	1	0	0	79	0	6	0	11	0	5	1	13	3	48	0	6	8	30	0	503
003A018	11	28	205	2	3	1	0	0	0	88	1	4	2	16	0	6	0	22	6	40	1	3	6	30	0	475
003A019	16	55	251	3	1	0	0	0	0	47	0	4	2	9	0	1	0	18	4	51	0	4	12	20	0	498
003A020	2	29	140	4	10	2	3	0	0	33	0	4	0	6	0	1	0	14	0	28	0	0	3	13	1	293
003A021	11	16	167	2	2	0	0	0	0	70	0	1	0	17	0	0	0	10	2	46	0	0	1	10	0	355
003A022	7	23	165	2	2	0	4	0	0	91	0	6	0	10	0	2	1	18	1	36	1	0	2	6	0	377
003A023	1	59	201	1	1	0	4	0	0	106	0	1	0	5	1	1	0	12	0	63	0	5	2	17	0	480
003A024	5	20	198	4	1	0	3	0	0	89	0	5	0	13	0	1	0	17	1	29	0	3	3	15	1	408
003A025	4	32	172	1	2	0	5	1	0	138	0	8	0	26	0	0	0	18	3	29	0	0	0	23	0	462
003A026	13	27	156	2	4	1	3	0	0	71	0	4	2	4	0	2	1	15	5	56	0	6	1	15	0	388
003A027	10	30	158	0	0	3	2	0	0	75	0	4	0	12	0	0	1	16	0	54	1	2	5	21	0	394
003A028	5	23	157	3	3	0	2	0	1	78	0	11	1	3	0	0	1	19	1	24	0	1	5	11	0	349
003A029	7	22	97	30	2	1	4	1	0	132	0	3	0	14	0	19	2	13	1	8	1	1	1	30	0	389
003A030	5	28	167	1	0	0	3	4	0	44	0	0	0	2	0	0	1	2	0	22	0	2	6	10	0	297
003A031	0	0	8	22	1	0	0	0	0	0	0	0	0	2	0	62	0	0	0	0	0	0	0	2	0	97
003A032	7	18	150	1	0	0	3	0	0	131	0	3	0	8	0	0	0	6	3	35	0	3	2	5	0	375
003A033A	4	25	78	3	0	0	0	0	0	170	0	2	0	11	0	0	0	77	2	11	0	1	2	19	0	405
003A033B	5	30	92	2	0	0	1	0	0	131	0	3	0	4	0	4	2	56	6	14	0	1	1	20	0	372
003A034	0	0	62	0	0	0	0	0	0	0	1	0	29	0	0	0	0	0	0	4	0	0	0	10	0	106
003A035	0	12	82	2	1	0	2	0	0	71	0	0	0	5	0	1	0	29	0	13	0	0	0	19	0	237
003A036A	3	75	53	2	2	0	1	1	0	78	0	0	0	0	1	0	0	13	0	13	0	1	0	0	0	243
003A036B	7	48	29	2	1	0	1	0	0	69	0	1	0	0	0	0	0	6	1	2	0	0	0	7	0	174
003A037	2	32	118	1	0	0	0	0	0	47	0	4	0	3	0	2	0	35	3	8	0	0	1	4	1	261
003A038	2	29	51	0	0	0	3	0	0	63	0	0	0	0	0	0	0	26	1	2	0	0	0	15	0	192
003A039A	10	42	164	3	0	1	4	0	0	61	0	1	0	3	0	1	1	10	2	24	0	2	1	9	1	340
003A039B	3	24	115	1	1	0	6	0	0	67	0	3	0	7	0	1	2	14	2	13	0	0	0	11	0	270
003A040	8	15	130	1	4	0	0	0	0	60	0	2	0	4	0	0	0	19	1	30	0	1	3	17	0	295
003A041	0	0	11	0	0	1	1	0	1	168	1	2	1	1	0	1	1	3	7	0	0	1	0	3	0	203
003A042A	0	4	75	0	1	0	1	0	0	147	1	1	0	6	0	0	0	5	0	8	0	0	1	17	0	267
003A042B	1	3	51	1	1	1	1	0	0	73	0	1	1	7	0	0	0	4	0	10	0	2	2	8	0	167
003A043	1	12	32	0	0	0	1	0	0	145	0	1	0	8	0	0	0	1	0	6	0	0	0	19	0	226
003A044	3	15	70	2	0	0	3	0	0	78	0	5	0	6	0	0	0	24	0	29	0	0	5	20	0	260
003A045	7	11	150	3	0	0	2	0	0	60	0	3	0	14	0	0	0	59	0	25	0	3	2	34	0	373
003A046	25	30	208	4	4	0	6	0	0	101	0	10	0	30	0	2	0	58	1	49	0	7	6	30	0	571
003A047	3	10	116	3	9	0	2	0	0	47	0	2	1	10	0	5	0	15	13	35	1	5	11	20	1	309
003A048	9	20	176	11	4	0	0	0	0	38	0	11	0	4	0	26	1	15	3	46	0	1	1	34	0	400
003A049	3	38	154	2	2	3	1	0	0	61	0	5	3	10	0	2	0	20	2	27	0	1	6	27	0	367
003A050A	2	25	106	1	8	0	2	0	0	57	0	2	0	4	0	6	0	19	2	42	1	2	7	28	0	314
003A050B	1	36	113	1	7	0	1	1	0	46	0	4	0	1	0	7	0	9	4	15	0	1	7	19	0	273
003A051	5	26	116	4	8	0	1	0	0	43	0	14	0	4	0	2	0	16	1	39	0	4	5	26	0	314
003A052	3	35	169	1	8	1	1	0	0	49	0	3	1	10	0	2	0	17	3	27	1	4	14	28	0	377
003A053	1	6	104	2	1	0	2	0	0	61	0	10	0	2	0	0	0	22	0	28	2	0	1	6	0	248
003A054	9	21	133	0	1	0	0	0	0	79	0	4	0	2	0	1	0	20	2	50	2	4	11	22	0	361
003A055	9	32	154	3	2	1	2	0	0	58	0	9	0	4	0	5	0	27	3	52	1	3	8	18	0	391
003A056	3	33	83	5	4	0	4	0	0	32	0	1	2	16	0	0	0	13	3	25	0	1	3	14	0	242
003A057	1	52	104	0	4	0	0	0	0	101	0	0	0	1	0	1	0	53	0	2	0	0	0	1	0	320
003A058A	3	17	86	2	1	1	1	0	0	130	0	3	0	0	0	0	0	32	0	3	1	3	1	3	0	287
003A058B	3	14	51	4	1	0	1	0	0	71	0	0	0	0	0	0	0	81	0	6	0	1	0	3	0	236
003A059	3	21	158	7	6	0	1	0	0	64	0	1	0	9	0	8	2	20	0	18	1	0	2	11	0	332
003A060	2	25	161	3	4	0	3	0	2	42	0	7	1	2	0	8	0	22	2	23	1	1	2	35	0	346
003A061	7	28	154	1	3	6	1	0	0	52	0	3	0	11	0	0	1	8	3	46	0	6	6	22	0	358
003A062	0	16	81	0	5	0	1	0	0	64	0	2	1	1	0	0	0	9	1	24	1	1	0	5	0	212
003A063	1	23	135	2	5	0	0	0	0	50	0	4	0	8	0	2	0	11	11	42	1	2	7	36	0	340
003A064	6	23	121	0	0	1	1	0	0	85	0	5	0	7	0	0	1	19	1	35	2	0	3	15	0	325
003A065	3	40	189	3	1	0	1	0	0	72	0	2	0	3	0	2	1	27	0	28	0	1	5	18	0	396
003A066	4	12	50	0	0	1	1	0	0	35	0	0	0	55	0	0	0	14	0	12	1	0	0	0	0	185
004A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
004A001	7	7	89	0	1	1	0	0	0	25	0	4	4	3	0	0	2	28	1	35	0	0	10	43	0	260
004A002	5	12	67	1	2	1	3	0	0	138	0	2	0	0	0	1	0	66	1	18	0	0	3	33	0	353
004A003	4	20	157	1	2	0	1	0	0	24	0	6	0	5	0	1	1	26	1	90	0	1	4	88	0	432
004A004	7	27	210	1	5	0	3	0	0	41	0	11	1	6	0	2	0	25	2	63	0	1	3	57	0	465
004A005	3	25	214	3	0	0	4	0	0	54	0	4	0	9	0	0	0	41	4	73	1	3	5	79	0	522
004A006A	0	17	107	0	1	1	2	0	0	24	0	7	1	3	0	0	0	27	3	46	0	2	1	28	0	270
004A006B	0	14	85	0	0	0	0	0	0	12	2	8	0	13	0	2	1	12	1	39	2	2	1	31	0	225
004A007	5	27	122	0	4	1	5	0	0	19	0	5	1	4	0	0	0	26	2	78	0	2	4	43	0	348
004A008A	11	14	64	0	0	0	5	0	0	40	0	2	0	4	0	0	0	23	0	28	0	1	7	155	0	354
004A008B	1	15	48	0	2	1	1	0	0	28	0	1	0	15	0	0	0	15	1	33	3	1	0	93	0	258
004A009	2	33	134	0	16	0	1	0	0	63	0	2	0	4	0	0	1	22	2	59	0	1	6	34	0	380
004A010	5	22	167	0	1	1	3	0	0	37	0	9	3	3	0	0	0	65	0	30	0	3	3	13	0	365
004A011	6	20	240	0	2	0	1	1	1	58	0	2	0	5	0	0	0	45	2	41	1	2	8	9	0	444
004A012	0	23	200	1	0	0	4	0	0	102	0	2	0	0	0	0	3	44	0	15	1	0	1	7	0	403
004A013	5	14	183	0	3	0	2	0	0	48	0	4	0	4	0	0	3	42	0	30	2	2	23	34	0	399
004A014A	1	141	58	0	0	0	0	0	0	103	0	0	0	2	0	0	0	48	3	2	1	0	0	0	0	359
004A014B	2	109	28	0	0	0	1	0	0	183	0	0	0	0	0	0	0	75	0	17	0	0	0	12	0	427
004A015A	2	43	29	0	0	0	3	0	0	87	0	0	0	3	0	0	1	53	0	36	3	1	0	55	0	316
004A015B	4	19	40	0	2	1	2	0	0	82	0	0	0	8	0	0	0	44	2	12	0	0	3	84	0	303
004A016	2	29	32	0	0	0	4	0	0	75	0	0	0	10	0	0	0	58	2	23	1	0	0	53	0	289
004A017A	0	5	26	0	3	0	0	0	0	158	0	0	0	7	0	0	0	171	0	4	0	0	1	27	0	402
004A017B	2	9	24	0	0	0	1	0	0	111	0	0	0	11	0	0	0	102	0	1	1	0	0	12	0	274
004A018	0	11	259	0	0	0	0	0	0	156	0	0	0	4	0	0	0	49	1	2	0	0	0	5	0	487
004A019	0	0	247	2	10	0	0	0	0	1	0	0	33	0	0	0	1	12	0	4	0	0	0	7	0	317
004A020	8	6	123	1	1	2	2	0	0	176	0	0	0	0	0	0	0	85	1	14	0	2	1	14	0	436
004A021	1	17	20	0	0	1	2	0	0	62	0	0	4	1	0	0	0	86	0	14	0	0	2	48	1	259
004A022	6	18	134	5	1	0	0	0	0	49	0	7	0	7	0	0	1	29	2	47	2	1	6	63	0	378
004A023	2	11	76	0	1	0	4	0	0	34	0	4	0	7	0	1	0	31	4	25	0	0	0	20	0	220
004A024	12	51	147	0	2	1	3	0	0	36	0	11	0	2	0	2	2	59	5	45	0	0	20	61	0	459
004A025	4	8	124	0	1	0	4	0	0	39	0	5	0	14	0	0	0	89	0	32	0	0	3	21	0	344
004A026	2	10	104	0	0	0	1	0	0	16	0	2	0	0	0	0	0	15	6	48	0	0	2	33	0	239
005A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
005A001	7	35	91	1	9	0	0	0	0	199	1	2	0	2	0	0	1	45	0	21	0	0	0	0	0	414
005A002	1	42	11	0	7	0	0	0	0	149	0	5	0	0	0	0	1	89	0	28	0	0	0	4	0	337
005A003	3	107	33	0	3	0	1	0	2	157	0	6	0	1	0	1	0	46	1	56	0	0	0	11	0	428
005A004	1	61	29	0	11	0	1	0	0	175	0	5	0	0	0	0	1	50	0	31	0	1	0	8	0	374
005A005A	0	12	14	0	0	0	0	0	0	73	0	0	0	8	0	0	0	196	0	13	0	0	0	0	0	316
005A005B	0	8	16	0	0	0	4	0	0	77	0	1	0	15	1	0	1	132	0	8	0	0	0	1	1	265
005A006	1	79	11	1	0	0	0	0	0	216	0	0	0	1	0	0	0	107	0	14	0	0	0	8	0	438
005A007A	0	16	46	0	0	0	0	0	0	313	0	2	0	2	0	0	0	30	0	35	0	0	0	0	0	444
005A007B	0	12	18	0	1	0	0	0	0	180	0	1	0	0	0	0	0	25	0	81	0	0	0	15	0	333
005A008A	0	181	14	2	6	1	1	0	0	119	0	1	0	2	0	0	1	47	1	21	0	0	0	22	0	419
005A008B	13	109	16	1	1	1	0	0	0	133	0	2	0	2	0	0	0	43	1	3	0	0	0	1	0	326
005A009A	2	61	36	1	22	0	0	0	0	156	1	1	0	0	0	0	0	54	0	17	1	0	0	7	0	359
005A009B	8	112	15	0	3	0	1	0	0	116	0	2	0	1	0	0	1	36	1	6	0	0	0	6	0	308
005A010	1	15	20	0	0	0	1	0	0	76	0	0	0	0	0	0	0	20	1	38	0	0	0	4	0	176
005A011A	1	183	4	0	1	0	2	1	0	66	0	3	0	1	0	0	0	40	1	3	0	0	0	3	0	309
005A011B	0	324	20	0	15	0	0	0	0	156	0	0	0	1	0	0	0	55	0	17	0	0	0	9	0	597
005A012	1	132	21	0	1	1	0	0	0	49	0	5	1	1	0	0	0	89	0	29	0	1	0	7	0	338
