,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,050A028,6,2,30,0,0,0,4,1,0,0,0,25,70,13,0,0,3,0,1,155
,050A029,8,9,38,0,0,4,14,2,0,1,0,82,48,54,1,1,3,1,2,268
,050A030,12,15,66,0,0,4,30,2,1,6,0,117,62,68,1,0,7,1,1,393
,050A031,0,1,6,5,40,1,4,0,0,0,0,0,8,16,2,0,1,0,0,84
,050A032,12,18,33,1,0,1,1,1,0,4,1,62,65,46,2,0,26,14,1,288
,050A033,11,16,42,0,0,3,2,0,2,11,0,87,54,28,1,3,28,6,3,297
,050A034,23,29,39,1,1,1,7,1,3,6,0,106,78,25,3,5,34,8,2,372
,050A035,0,1,10,7,32,1,1,0,0,0,0,2,1,9,1,0,0,0,0,65
,050A036,17,18,31,0,0,4,0,0,2,20,0,51,76,35,1,7,29,6,0,297
,050A037,4,18,60,7,6,0,15,2,2,5,0,112,53,21,1,2,9,3,2,322
,050A038,2,5,34,9,31,1,30,1,0,0,0,13,4,22,1,0,2,1,3,159
,050A039,8,1,37,12,101,3,2,2,0,1,0,32,14,24,5,0,0,0,0,242
,050A040,4,5,37,12,60,2,13,3,1,2,0,24,26,37,0,0,3,2,0,231
,050A041,2,6,36,7,48,4,8,1,1,0,0,40,34,50,3,2,4,1,3,250
,050A042,1,8,49,0,1,4,2,8,1,23,0,104,36,31,0,2,5,3,1,279
,050A043,13,11,75,1,0,9,1,2,4,9,0,109,53,46,1,0,5,7,3,349
,050A044,9,3,68,9,50,0,12,0,1,9,0,48,50,14,1,0,10,1,1,286
,050A045,6,12,61,5,29,3,8,2,1,3,0,66,78,23,0,1,9,1,0,308
,050A046,11,7,81,4,7,1,0,1,0,0,1,92,64,22,0,0,9,4,1,305
,050A047,6,11,54,1,0,4,7,11,0,7,1,54,60,36,1,0,4,4,0,261
,050A048,4,6,53,1,1,2,4,9,0,4,0,46,87,46,0,1,5,3,1,273
,050A049,6,4,46,21,35,3,4,5,2,0,0,54,24,50,1,0,6,1,2,264
,050A050,7,10,31,0,0,0,0,1,0,3,0,68,19,82,0,0,3,1,0,225
,050A051,3,11,39,10,40,1,3,2,0,2,1,54,32,52,1,2,0,0,5,258
