,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,047A027D,2,36,45,0,0,0,1,0,0,1,0,33,134,14,0,0,20,0,0,286
,047A028,5,13,107,0,0,3,2,7,0,2,0,69,102,43,1,0,10,0,3,367
,047A029,1,25,36,0,0,0,14,2,0,0,0,28,92,15,9,0,8,0,1,231
,047A030,1,13,48,0,0,0,1,0,0,0,0,73,226,24,1,0,11,0,2,400
,047A031,3,17,61,0,0,2,7,0,1,12,0,97,154,35,0,0,64,0,6,459
,047A032,0,0,0,0,0,0,121,0,0,0,10,2,0,10,1,0,0,0,0,144
,047A033,1,33,19,0,0,2,3,0,0,0,0,31,150,29,0,0,8,2,0,278
,047A034,0,0,0,0,1,2,7,0,0,0,1,2,21,2,0,0,1,0,0,37
,047A035,0,0,0,0,0,1,37,0,0,0,21,1,0,14,0,0,8,0,0,82
,047A036,0,0,0,0,1,2,4,1,0,0,34,4,0,12,0,0,0,0,1,59
,047A037,2,24,98,1,6,5,1,8,0,0,1,91,111,49,0,0,27,4,3,431
,047A038,3,10,50,1,1,0,4,1,1,1,0,89,74,29,2,2,38,5,2,313
,047A039,10,8,52,0,0,0,6,0,0,1,0,64,163,58,13,0,45,4,2,426
,047A040,0,14,94,0,1,15,5,13,0,3,1,82,92,60,0,1,16,0,5,402
,047A041,5,6,106,4,5,11,3,9,0,2,0,63,73,50,4,0,16,15,1,373
,047A042,4,9,24,0,0,0,11,1,0,0,0,35,55,11,0,0,21,3,3,177
,047A043,2,29,36,0,0,1,7,0,0,1,0,72,251,18,2,1,26,0,5,451
,047A044A,3,22,29,0,1,3,2,2,0,0,0,33,121,32,0,0,28,0,0,276
,047A044B,2,25,46,0,0,0,0,0,0,0,0,42,142,27,5,0,8,0,0,297
,047A045,6,12,49,0,0,3,0,1,0,4,0,72,118,49,3,2,39,1,1,360
,047A046,3,16,78,0,1,8,6,6,0,0,0,55,61,21,2,1,21,1,1,281
,047A047,2,31,75,1,0,6,13,4,1,9,0,86,51,40,0,0,12,0,1,332
,049A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,049A001,0,9,4,0,0,0,0,0,0,0,0,3,55,37,0,0,137,4,0,249
,049A002,0,7,1,0,0,0,0,0,0,2,0,8,66,33,0,0,32,0,2,151
,049A003A,2,10,50,0,1,1,1,2,2,3,0,47,109,48,2,1,7,2,3,291
,049A003B,0,9,37,0,0,0,2,1,0,1,0,46,102,47,0,2,12,2,3,264
,049A004,0,14,32,0,0,3,5,2,0,2,0,37,120,71,2,1,2,2,8,301
,049A005,5,12,38,4,20,1,2,2,0,1,0,91,136,31,0,0,6,0,7,356
,049A006,3,17,20,0,0,2,7,0,0,14,0,56,190,40,2,0,14,3,4,372
,049A007,0,11,62,0,0,0,1,0,0,0,0,21,162,93,0,1,16,5,0,372
,049A008A,4,31,64,0,6,1,0,2,0,0,0,39,140,72,0,0,18,9,11,397
,049A008B,2,27,46,0,3,0,0,0,0,3,0,42,77,49,0,1,16,5,10,281
,049A009,3,25,67,0,0,1,23,4,0,0,0,81,85,47,2,0,22,3,6,369
,049A010,0,4,16,0,0,0,4,0,0,6,0,15,74,84,0,0,5,2,2,212
,049A011,0,11,25,0,0,1,0,0,0,0,0,9,146,24,0,0,0,1,1,218
,049A012A,1,10,22,0,3,1,1,0,0,1,1,35,179,24,1,1,10,2,6,298
,049A012B,2,10,8,0,3,1,0,0,0,0,0,8,53,7,1,0,3,0,1,97
,049A013,2,13,53,0,0,3,1,0,0,0,0,58,190,46,0,1,17,5,4,393
,049A014,0,0,5,12,109,0,1,1,0,0,0,2,4,0,0,0,0,0,108,242
,049A015,3,22,50,0,0,3,1,0,0,8,1,29,75,112,2,1,16,14,12,349
,049A016,6,26,34,0,0,3,2,4,0,7,0,41,96,19,1,0,16,10,7,272
,049A017,1,7,34,0,0,2,0,0,0,0,0,13,117,16,0,2,5,0,3,200
,049A018A,3,82,56,0,0,0,11,2,0,7,0,46,115,32,0,0,60,2,2,418
,049A018B,3,51,16,1,0,1,5,0,0,2,0,14,77,9,0,0,25,0,2,206
,049A019,7,14,82,1,1,0,12,5,0,4,0,60,111,76,0,1,20,30,15,439
,049A020,7,16,67,0,0,0,6,0,0,1,0,42,152,62,0,1,6,2,5,367
,049A021,1,2,22,0,0,1,3,0,0,5,0,28,110,90,2,0,18,0,1,283
,049A022,9,21,60,1,0,6,7,3,0,1,0,54,85,42,0,3,17,2,14,325
,049A023,1,8,34,0,1,2,6,9,0,0,0,35,53,44,0,0,9,4,12,218
,049A024,2,13,59,0,0,1,3,4,1,8,0,53,80,99,1,0,35,6,5,370
,049A025,4,21,79,0,0,4,29,7,0,1,0,67,104,58,0,2,30,5,4,415
,049A026,0,3,13,0,0,0,11,0,0,0,0,4,87,17,0,0,48,0,0,183
,049A027,7,13,33,0,0,0,0,0,0,1,0,53,116,92,1,0,10,3,38,367
,049A028,8,29,49,0,0,0,5,4,0,1,0,43,105,77,0,0,27,6,8,362
,049A029,7,24,93,0,1,1,0,0,0,2,0,59,114,102,0,2,37,3,15,460
,049A030,4,9,24,0,0,1,2,0,0,1,0,21,143,96,0,1,33,4,8,347
,049A031,5,27,27,0,0,0,0,1,0,3,0,32,80,67,0,0,59,3,0,304
,049A032,0,3,28,0,0,0,7,0,0,0,0,16,118,6,0,0,7,0,0,185
,049A033,0,10,6,0,0,0,0,1,0,0,0,3,44,15,0,0,34,0,0,113
,049A034,1,0,15,0,0,0,1,0,0,0,0,17,44,13,0,1,1,0,2,95
