
,BM,AGIĆ SUAD,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA ZA BOSNU I HERCEGOVINU,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,117A008,10,45,12,22,0,0,0,102,49,16,0,4,1,261
,117A009,0,7,12,23,0,0,5,106,81,41,0,0,5,280
,117A010,1,22,17,53,0,6,0,127,90,52,2,6,20,396
,117A011,1,15,21,55,0,0,1,181,146,23,0,3,7,453
,117A012,3,23,32,66,0,1,1,155,119,53,1,9,8,471
,117A013,4,10,2,55,0,2,0,102,65,26,1,9,3,279
,117A014,1,17,25,73,0,1,3,176,96,30,0,6,6,434
,117A015,2,10,23,48,0,2,1,153,86,28,2,3,7,365
,117A016,7,14,12,32,4,0,0,133,70,20,0,8,5,305
,117A017,2,7,12,27,0,2,0,80,77,15,1,4,3,230
