,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,137A016,6,23,71,0,0,2,0,4,36,1,1,1,120,114,36,0,4,3,26,6,5,459
,137A017,4,19,91,1,0,3,0,2,27,5,0,0,125,118,29,0,2,3,10,7,2,448
,137A018,2,23,102,1,0,1,0,3,62,3,0,0,106,76,35,0,0,5,5,7,10,441
,137A019,66,25,55,0,1,0,0,0,9,1,0,0,183,88,28,0,2,0,16,4,3,481
,137A020,14,38,97,1,0,2,0,3,10,2,0,0,142,125,36,0,1,1,13,3,5,493
,137A021,3,23,75,1,0,3,1,4,13,0,0,0,197,101,28,0,1,0,6,8,2,466
,137A022,7,24,89,0,0,0,0,2,14,1,0,1,135,139,18,1,2,1,9,15,9,467
,137A023,9,18,82,0,1,3,0,3,24,6,0,0,219,100,27,1,4,0,15,1,2,515
,137A024,1,30,79,0,0,1,0,0,23,2,1,0,168,155,27,0,2,0,12,7,3,511
,137A025,6,9,95,0,0,3,0,4,24,5,0,0,155,101,39,0,1,2,19,6,1,470
,137A026,1,12,73,0,1,2,0,2,19,1,0,0,135,49,38,0,4,4,22,18,0,381
,137A027,7,11,59,1,0,2,0,0,41,2,0,1,77,122,29,0,1,3,25,10,8,399
,137A028,1,14,62,5,1,4,0,2,36,3,0,0,85,94,29,0,0,0,27,10,4,377
,137A029,2,22,76,0,0,2,0,9,18,2,1,0,137,90,14,0,1,2,11,3,5,395
,137A030,2,22,90,1,0,1,0,8,24,2,1,0,136,106,20,0,1,1,7,4,7,433
,137A031,5,25,112,0,2,1,0,4,33,5,1,0,131,77,19,0,1,2,16,3,5,442
,137A032,3,23,107,0,0,3,0,11,26,8,1,1,112,98,19,0,2,3,9,4,2,432
,137A033,1,11,81,1,0,4,0,6,61,3,1,1,87,99,39,0,1,0,13,4,5,418
,137A034,5,15,89,0,0,3,0,4,27,2,1,0,120,147,15,0,7,3,21,6,5,470
,137A035,12,29,102,0,0,1,0,2,14,3,0,1,139,125,32,0,1,5,12,5,5,488
,137A036,4,13,86,1,0,0,0,4,29,11,1,1,113,85,21,0,7,3,5,7,8,399
,137A037,3,26,86,2,0,6,0,15,10,2,0,0,187,113,29,0,1,6,10,9,7,512
,137A038,3,9,63,13,10,7,0,1,54,0,0,1,90,60,34,0,2,0,4,5,8,364
,137A039,2,15,57,1,3,1,0,6,51,0,0,0,108,80,27,0,3,3,8,0,0,365
,137A040,2,16,87,4,0,6,0,0,54,1,0,0,104,61,33,0,4,1,11,10,3,397
,137A041,1,21,82,2,2,2,1,1,56,1,1,0,111,122,41,1,3,0,7,10,4,469
,137A042,6,26,86,0,1,1,0,6,42,0,0,2,139,97,30,1,0,6,18,11,8,480
,137A043,1,21,92,2,0,7,0,4,58,2,1,4,125,68,30,0,2,0,6,6,2,431
,137A044,3,12,71,4,2,4,0,2,58,1,0,0,117,95,29,0,4,2,7,7,5,423
,137A045,2,10,89,4,2,3,0,2,61,1,0,4,91,57,32,1,2,1,5,9,8,384
,137A046,0,6,77,6,5,7,0,0,55,3,0,0,81,75,44,1,1,0,14,12,5,392
,139A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,139A001,4,10,88,2,7,1,0,4,29,0,1,3,70,91,20,0,0,1,5,3,3,342
,139A002,4,16,66,1,8,3,0,1,26,5,2,0,51,64,19,0,0,2,2,4,4,278
,139A003,3,8,89,2,7,10,0,1,52,0,6,0,66,53,20,2,2,1,6,2,0,330
,139A004,2,13,71,3,5,3,0,1,42,0,1,1,37,39,27,1,0,3,4,7,3,263
,139A005,2,6,83,1,3,2,0,3,66,0,0,0,45,64,38,1,0,1,5,3,3,326
,139A006,2,10,54,9,4,7,0,1,25,2,3,5,41,47,14,0,1,4,15,4,1,249
,139A007,2,11,80,4,2,8,0,2,31,0,0,1,59,64,24,0,3,2,7,3,7,310
,139A008,4,5,69,4,2,1,0,0,40,8,0,4,63,39,26,1,1,0,11,4,11,293
,139A009,2,1,70,6,0,5,0,0,53,0,0,4,49,48,42,1,3,4,8,3,3,302
,139A010,2,8,69,3,13,8,0,3,56,1,0,6,94,58,42,1,1,0,12,4,4,385
,139A011,2,18,69,2,2,7,0,4,32,2,2,1,67,89,16,0,1,0,4,1,1,320
,139A012,4,10,51,3,4,4,0,0,29,1,1,4,66,54,24,0,2,0,4,4,4,269
,139A013,6,9,70,6,0,5,0,1,31,0,1,3,56,65,33,2,1,3,1,8,6,307
,139A014,3,6,73,4,9,0,0,2,52,7,1,4,50,69,31,2,1,0,11,3,6,334
,139A015,2,10,84,3,4,4,1,4,51,1,0,1,55,83,27,0,1,2,8,6,9,356
,139A016,4,16,69,9,3,10,0,1,41,0,0,5,60,35,33,0,0,4,9,4,8,311
,139A017,0,6,75,2,2,9,0,0,49,5,1,4,59,37,17,0,0,0,5,2,7,280
,139A018,0,8,56,0,3,3,0,3,39,2,3,4,44,56,20,0,0,0,6,4,13,264
,139A019,3,19,100,4,5,6,0,2,43,6,0,2,101,53,25,1,3,3,9,8,6,399
,139A020,6,13,83,2,1,5,0,2,41,1,0,2,86,82,25,1,3,2,3,4,5,367
,139A021,3,10,94,3,3,8,0,5,46,2,2,2,74,68,20,0,1,1,5,0,1,348
,139A022,1,16,76,6,3,5,0,3,56,2,1,7,75,58,21,0,0,3,7,6,4,350
,139A023,1,13,67,4,4,11,0,0,46,0,2,1,49,43,22,2,3,1,9,5,6,289
,139A024,6,13,114,6,1,3,0,3,52,5,3,0,52,55,30,1,0,4,12,9,9,378
,139A025,7,13,88,1,3,0,0,1,49,2,0,2,53,42,26,0,2,1,7,13,5,315
