,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,091A017A,6,2,10,48,16,21,1,0,9,0,0,57,68,13,1,0,3,0,0,255
,091A017B,9,1,4,23,14,19,1,0,0,0,1,39,51,15,2,0,6,0,2,187
,091A018,9,0,23,62,7,18,1,0,2,0,0,89,73,37,2,0,10,0,1,334
,091A019,4,0,2,12,85,125,0,0,3,0,1,21,17,8,7,0,0,0,1,286
,091A020,4,9,15,69,25,39,2,0,4,5,1,109,59,39,1,1,6,0,5,393
,091A021,5,4,21,69,22,18,0,6,6,0,0,118,131,43,2,0,6,0,0,451
,091A022,4,0,11,69,12,28,0,1,2,1,0,104,82,46,0,2,3,4,5,374
,091A023,4,0,8,81,29,26,0,1,6,3,0,108,85,61,0,0,11,3,4,430
,091A024,11,0,15,75,15,35,0,0,3,5,0,93,115,43,0,3,10,2,2,427
,091A025A,4,0,11,51,3,8,0,2,0,0,0,78,79,41,0,0,4,0,6,287
,091A025B,1,0,7,38,7,12,0,0,1,4,0,62,49,19,1,0,5,0,4,210
,091A026,7,1,1,38,9,8,0,1,3,1,0,54,64,28,0,0,8,1,5,229
,091A027,5,0,10,55,5,1,0,2,3,1,0,110,64,27,0,0,7,0,3,293
,091A028,4,1,16,58,3,2,0,0,7,2,0,127,126,25,0,1,13,3,2,390
,091A029,3,1,21,41,10,33,0,0,3,0,0,44,69,8,0,2,26,0,3,264
,091A030,7,0,18,76,9,21,0,0,7,0,0,103,131,22,2,0,27,0,2,425
,091A031,0,0,0,2,83,346,0,0,1,0,0,6,12,14,8,0,0,0,4,476
,091A032,0,0,0,1,129,223,2,0,3,0,0,1,0,27,9,0,1,0,0,396
,091A033,0,0,0,1,26,95,0,1,0,0,0,1,0,2,2,0,0,1,1,130
,091A034,0,0,0,2,103,254,2,0,3,0,0,2,0,12,9,0,0,0,0,387
,091A035,0,0,0,0,40,188,0,0,4,0,0,3,0,5,6,0,0,0,0,246
,091A036,0,0,0,0,50,110,0,0,0,0,0,0,1,3,0,0,0,0,0,164
,091A037,7,0,11,31,15,16,0,0,2,0,0,43,172,8,0,0,10,1,3,319
,091A038,6,0,2,4,95,118,0,1,1,0,0,8,86,45,1,0,5,0,1,373
,091A039,12,0,14,12,9,12,1,1,9,0,0,50,218,60,1,0,29,0,1,429
,091A040,9,1,20,54,3,6,0,0,3,0,0,66,271,43,0,3,5,0,3,487
,091A041,0,0,0,2,14,96,1,0,0,0,0,0,0,1,0,0,0,0,0,114
,091A042,3,0,5,4,10,24,0,0,0,0,0,17,120,2,0,0,3,0,0,188
,091A043,10,0,22,63,36,33,2,0,0,0,0,56,225,33,0,2,12,0,2,496
,091A044,8,1,15,20,2,4,0,0,7,0,0,59,172,34,0,0,20,0,3,345
,091A045,7,1,12,19,1,1,0,0,2,0,0,60,165,15,0,0,22,0,1,306
,091A046,4,1,1,7,0,0,0,0,0,0,0,40,145,9,0,0,76,0,1,284
