,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,112A022,8,0,7,26,0,2,0,0,1,0,0,52,92,38,1,0,2,0,4,233
,112A023,9,0,10,23,0,0,0,0,1,0,0,45,123,4,0,0,3,0,2,220
,112A024,2,1,2,14,45,256,3,0,3,0,0,19,18,7,8,1,2,1,1,383
,112A025,0,1,7,12,20,186,3,1,5,0,2,5,12,19,2,0,0,1,3,279
,112A026,0,0,8,5,25,325,0,0,2,0,1,10,4,5,2,0,1,0,0,388
,112A027,7,0,17,15,0,1,0,0,0,0,0,24,116,5,0,0,0,0,0,185
,112A028,8,0,27,60,0,2,0,0,8,0,0,76,166,30,0,0,5,0,2,384
,112A029,1,0,2,15,43,153,5,0,2,0,0,24,7,17,1,0,0,0,4,274
,112A030,2,0,0,6,22,150,1,0,0,0,0,2,26,9,0,0,2,0,2,222
,112A031,2,1,28,38,0,0,0,0,0,0,0,91,62,10,0,0,1,0,1,234
,113A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,113A001,5,1,7,7,16,170,1,0,0,0,1,13,110,14,0,1,0,3,3,352
,113A002,5,0,11,31,36,347,3,0,0,0,0,23,16,22,0,0,2,0,2,498
,113A003,12,0,9,37,21,101,0,0,2,0,0,29,33,23,0,1,4,1,0,273
,113A004,3,0,2,27,27,190,1,0,4,1,0,21,23,18,0,0,5,0,5,327
,113A005,5,0,3,25,26,158,0,1,2,0,1,28,23,17,4,0,1,1,1,296
,113A006,1,0,0,15,26,308,3,0,0,0,0,10,9,8,0,0,0,1,1,382
,113A007,1,0,0,0,30,332,2,0,1,0,0,1,0,4,3,0,0,0,0,374
,113A008,2,0,4,19,19,156,1,0,5,0,0,13,40,6,1,0,0,0,1,267
,113A009,2,0,0,27,19,283,3,0,1,1,0,9,51,19,2,0,2,0,5,424
,113A010,3,0,17,46,9,60,1,0,0,0,0,45,75,12,1,0,2,0,3,274
,113A011,6,1,7,18,1,7,0,0,2,0,0,33,75,55,0,0,9,1,2,217
,113A012,4,3,7,76,0,0,0,0,0,1,0,67,100,10,0,0,2,0,0,270
,113A013,14,1,17,50,0,6,1,0,0,0,1,99,166,75,3,0,4,0,2,439
,113A014,0,0,0,2,23,325,1,0,0,0,0,0,0,0,9,0,0,0,4,364
,113A015A,20,2,21,61,6,51,0,0,3,0,0,116,274,51,2,0,13,1,7,628
,113A015B,3,1,9,35,0,5,0,1,0,0,0,40,67,9,0,0,2,0,1,173
,113A016,0,0,0,4,12,316,2,0,0,0,0,2,1,5,2,0,0,0,2,346
,113A017,4,0,2,39,42,144,2,0,3,0,0,15,36,11,0,0,0,0,0,298
,113A018,12,0,5,52,7,36,0,1,2,0,0,30,30,30,0,0,4,0,0,209
,113A019,1,0,1,13,22,173,0,0,1,0,0,20,6,1,0,0,0,0,0,238
,113A020,0,0,3,9,32,168,3,1,2,2,1,8,10,15,2,0,0,0,0,256
,113A021,4,2,15,71,0,0,0,0,0,0,0,36,90,18,0,0,1,0,2,239
,113A022,2,1,6,21,0,0,1,0,0,0,0,37,96,79,0,0,2,0,1,246
,113A023,0,1,15,46,15,98,1,0,0,0,0,33,59,5,1,0,1,2,2,279
,113A024,7,1,11,48,1,4,0,0,0,0,0,39,105,10,0,0,2,0,1,229
,114A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,114A001,1,1,8,17,23,69,0,0,2,0,0,42,54,54,2,0,4,0,1,278
,114A002,1,0,15,31,8,56,0,0,4,0,0,36,58,87,1,0,12,1,2,312
,114A003,2,2,15,35,0,2,0,0,9,0,0,83,161,102,0,0,17,0,11,439
,114A004,0,0,7,12,13,125,1,1,2,0,1,11,8,10,5,0,0,0,5,201
,114A005,11,0,10,14,0,5,0,0,2,0,0,52,206,45,1,0,10,0,3,359
,114A006,5,1,12,2,0,0,0,0,0,0,0,14,100,107,1,0,1,1,1,245
,114A007,4,1,25,32,2,25,1,1,1,0,0,55,271,88,2,3,15,0,3,529
,114A008,3,0,4,19,27,89,3,1,4,0,2,38,133,69,4,0,7,0,11,414
,114A009,0,0,0,5,60,248,2,0,4,0,0,2,5,19,1,1,0,0,7,354
,114A010,4,1,9,11,2,29,0,0,0,0,0,35,90,53,0,0,22,1,6,263
,114A011,2,0,1,6,62,198,0,1,4,1,1,10,22,24,4,0,9,0,6,351
,114A012,8,0,18,25,2,3,0,0,1,0,0,41,181,37,1,0,17,0,5,339
,114A013,3,2,4,19,13,35,0,0,1,0,1,30,47,60,4,0,10,0,6,235
,114A014,4,2,10,29,19,39,2,2,5,1,1,43,98,72,1,0,18,0,5,351
,114A015,9,0,4,12,5,49,1,0,0,0,0,41,90,54,0,0,5,1,5,276
,114A016,4,0,7,21,1,0,0,1,0,0,0,25,234,34,1,5,9,0,2,344
,114A017,0,0,7,4,7,30,1,0,1,0,0,9,95,26,0,0,0,1,0,181
,114A018,0,0,4,14,24,108,0,0,0,0,1,17,22,74,8,0,0,0,3,275
,115A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,115A001,4,0,4,12,4,17,0,0,0,0,0,30,30,3,0,2,0,0,0,106
,115A002,3,0,1,16,63,187,5,0,4,0,0,13,45,4,3,0,0,0,4,348
,115A003,6,0,13,33,32,86,0,4,15,1,0,38,66,16,1,0,0,0,2,313
,115A004,0,0,2,12,74,329,1,0,5,0,1,9,2,7,6,0,0,0,11,459
,115A005,5,1,19,44,15,75,0,0,1,0,0,32,143,9,0,0,2,0,15,361
,115A006,4,0,17,17,50,161,1,2,4,2,1,24,127,8,3,1,1,1,8,432
,115A007,1,0,14,7,31,129,0,2,4,0,1,3,35,5,3,0,0,0,6,241
,115A008,0,1,2,8,56,276,3,1,0,0,1,8,3,6,7,0,0,0,4,376
,115A009,0,0,6,13,30,140,3,1,1,0,1,7,2,15,13,0,0,0,6,238
,115A010,3,0,30,6,14,99,1,0,3,1,0,16,67,4,2,0,3,4,1,254
,115A011,8,0,41,35,25,107,0,0,3,0,0,0,168,22,1,0,4,0,3,417
,115A012,4,0,9,12,57,242,1,0,1,0,1,24,27,10,0,0,4,0,7,399
,115A013,4,2,16,15,17,196,7,0,1,0,0,16,48,4,1,1,4,0,3,335
,115A014,2,1,10,19,37,173,1,1,3,0,0,8,25,22,2,0,5,1,3,313
,115A015,4,1,35,56,6,47,0,1,0,0,0,45,126,15,4,0,4,1,4,349
,115A016,11,2,25,63,30,77,0,0,0,0,0,48,133,18,6,1,8,1,3,426
,115A017,0,0,0,1,50,165,1,2,1,0,0,6,0,0,1,0,1,0,3,231
,115A018,2,0,3,11,38,179,5,1,0,0,1,9,4,16,6,0,1,0,6,282
,115A019,3,1,18,21,17,154,0,0,1,0,0,3,72,17,1,0,15,0,2,325
,115A020,1,1,12,16,57,224,2,1,9,0,0,29,15,9,2,0,2,2,6,388
,115A021,1,0,1,4,4,97,0,0,2,0,0,5,3,5,0,0,1,0,2,125
,115A022,5,1,52,44,17,83,0,1,5,0,0,45,75,19,0,0,12,0,1,360
,115A023,3,0,17,41,3,9,3,0,0,0,0,23,87,2,0,0,1,0,1,190
,115A024,4,0,9,4,28,165,0,1,1,1,2,9,39,5,1,0,0,2,2,273
,115A025,1,0,31,8,37,184,0,0,0,0,0,7,17,18,2,1,4,0,5,315
,129A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,129A001,2,0,1,20,104,231,3,0,13,1,1,22,35,28,0,1,2,0,2,466
,129A002,0,0,0,7,58,117,1,1,2,0,0,1,8,18,3,0,1,0,0,217
,129A003,0,0,0,8,51,231,1,1,10,0,0,0,0,2,3,0,0,0,0,307
,129A004,4,0,5,13,60,208,2,2,4,0,2,14,60,28,1,0,0,1,1,405
,129A005,11,0,10,13,44,185,0,0,7,0,1,22,136,37,3,0,0,0,3,472
,129A006,0,0,0,3,80,245,0,4,6,0,1,4,2,10,8,0,1,0,2,366
