,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,"STRANKA ""NOVA SRPSKA"" - NS",STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,131A009,4,13,41,0,2,1,8,4,0,0,0,39,97,13,0,1,2,5,4,2,236
,131A010,5,12,76,0,1,0,2,10,1,0,0,81,143,33,3,0,2,9,4,2,384
,131A011,8,24,49,0,0,2,4,1,1,1,0,117,131,30,2,0,3,1,1,0,375
,131A012,1,7,52,0,2,0,0,8,1,0,0,36,88,15,3,0,3,4,3,1,224
,131A013,2,9,55,2,2,1,0,1,0,0,0,52,77,11,1,0,2,2,4,1,222
,131A014,3,24,69,0,0,3,6,2,0,0,0,94,82,22,4,1,3,12,0,1,326
,131A015,5,14,53,0,0,0,3,9,0,0,0,101,150,26,10,0,5,5,1,4,386
,131A016,7,23,49,0,1,1,4,2,1,0,0,50,188,12,5,0,1,16,0,5,365
,131A017,6,23,81,1,0,2,7,10,7,0,0,75,148,15,4,0,2,5,1,1,388
,131A018,1,7,83,0,1,1,7,7,0,8,1,59,141,25,6,0,5,1,2,3,358
,131A019,2,15,83,0,2,0,1,5,0,0,0,35,204,63,1,0,2,2,1,7,423
,131A020,4,15,75,0,5,1,15,5,0,0,2,70,149,30,4,0,2,6,0,5,388
,131A021,4,37,74,2,3,0,7,14,3,0,1,77,99,22,18,0,2,7,0,8,378
,131A022,2,10,87,0,1,0,10,5,0,0,0,54,156,35,9,0,3,1,11,4,388
,131A023,3,18,80,1,3,0,0,3,2,3,0,62,171,30,10,0,0,12,1,5,404
,131A024,3,19,72,0,0,0,0,6,2,0,0,41,156,21,19,0,0,3,6,0,348
,131A025,3,10,95,0,0,0,10,6,1,2,1,67,112,29,14,0,2,1,2,13,368
,131A026,4,15,97,0,1,0,3,7,4,0,0,80,131,21,6,0,0,1,2,6,378
,131A027,6,23,82,0,1,1,2,8,1,0,0,69,137,43,7,0,1,6,3,4,394
,131A028,5,30,91,1,0,1,3,3,0,1,2,66,122,31,12,0,1,14,2,7,392
,131A029,7,31,86,0,0,1,8,4,3,0,0,59,153,39,2,0,3,4,0,11,411
,131A030,10,9,63,0,1,0,11,10,0,2,1,68,195,36,5,0,2,6,0,3,422
,131A031,3,12,89,2,0,0,3,6,0,0,1,54,156,26,9,0,4,1,4,11,381
,131A032,9,18,106,1,0,2,10,12,4,0,1,54,181,26,3,0,1,2,4,1,435
,131A033,2,12,71,3,3,2,0,24,2,0,7,59,42,36,7,1,0,1,3,2,277
,131A034,1,14,52,3,5,0,0,22,1,0,9,65,87,48,0,2,1,1,1,0,312
,131A035,2,15,61,3,3,1,1,18,0,0,5,57,74,30,5,2,3,3,5,5,293
,131A036,5,18,71,3,2,8,7,12,0,1,3,63,58,45,7,1,2,2,1,5,314
,131A037,1,14,65,1,4,3,8,13,1,1,4,49,88,36,8,0,2,4,5,6,313
,131A038,1,22,68,2,2,2,7,16,4,1,2,62,67,13,2,3,3,5,4,4,290
,131A039,1,19,70,2,3,1,4,13,0,0,5,71,75,23,4,3,5,7,0,2,308
,131A040,0,11,83,6,5,1,3,21,5,0,8,85,71,18,3,0,5,4,4,3,336
,131A041,3,19,82,5,6,3,8,25,2,0,3,57,71,31,2,1,1,1,0,11,331
,131A042,0,14,86,9,8,5,1,19,2,0,5,78,84,43,0,1,1,3,2,9,370
,131A043,2,19,71,4,4,0,8,36,3,0,4,49,86,37,12,0,1,4,0,5,345
,131A044,3,8,83,3,2,0,5,18,0,0,0,59,62,27,1,0,3,1,6,2,283
,131A045,4,11,75,5,3,2,7,12,0,0,5,55,63,27,7,0,0,3,1,3,283
,131A046,12,18,71,0,0,0,13,1,1,1,6,84,136,11,4,1,1,3,3,3,369
,131A047,2,16,63,0,2,0,5,2,0,0,4,52,162,27,2,3,1,7,0,1,349
,131A048,7,8,64,0,0,3,16,7,0,0,1,19,151,6,0,0,1,17,0,1,301
,131A049,2,21,33,0,0,0,14,2,0,2,0,67,115,26,7,0,7,3,1,1,301
,131A050,3,15,57,1,0,2,14,3,0,1,7,38,149,15,4,2,2,6,0,3,322
,131A051,4,19,51,0,0,3,19,7,1,5,1,38,112,14,3,0,4,2,2,5,290
,131A052,7,13,75,0,0,3,28,2,0,1,3,40,120,5,1,0,2,5,1,6,312
,131A053,11,14,81,4,7,4,7,18,2,1,0,79,77,19,1,1,3,6,1,8,344
,131A054,3,13,56,0,2,2,2,7,3,0,1,69,66,19,1,0,0,1,1,4,250
,131A055,3,10,42,2,1,4,4,12,0,0,1,76,65,12,7,0,2,2,2,3,248
,131A056,2,15,57,25,13,2,4,5,1,0,3,69,86,23,1,0,1,3,7,2,319
,131A057,1,8,74,16,21,4,24,14,0,0,1,65,62,5,0,0,4,2,4,1,306
,131A058,3,28,85,4,10,0,20,12,2,0,0,77,93,18,7,0,9,3,0,4,375
,131A059,3,15,57,1,4,0,25,19,1,0,0,68,69,58,4,0,0,5,7,6,342
,131A060,3,22,62,2,1,2,8,52,1,1,0,55,137,40,3,3,2,0,1,11,406
,131A061,2,22,53,0,2,0,5,16,0,0,0,89,98,20,6,0,2,0,1,2,318
,131A062,3,21,97,1,2,2,4,22,1,0,3,78,93,13,1,1,1,1,8,3,355
,131A063,3,18,72,1,8,1,2,11,3,0,1,76,115,23,0,0,1,1,1,9,346
,131A064,8,12,67,1,3,2,2,10,1,0,1,125,81,18,4,0,4,5,0,5,349
,131A065,11,18,51,0,0,0,1,4,0,0,0,120,119,10,8,0,1,6,1,0,350
,131A066,5,14,94,0,0,2,3,6,0,0,0,56,164,48,5,1,2,19,2,3,424
,131A067,5,18,72,0,0,0,4,7,3,0,0,95,119,27,1,0,4,8,1,5,369
,131A068,5,15,50,1,1,0,1,8,1,0,1,56,70,15,2,0,0,1,3,3,233
,131A069,5,19,38,1,1,0,3,6,0,0,0,66,123,17,3,0,0,1,1,1,285
,131A070,8,10,66,0,0,0,5,12,0,1,0,90,76,27,7,0,2,3,1,3,311
,131A071,6,15,84,0,0,2,6,7,1,0,0,82,125,26,1,0,1,5,3,1,365
,131A072,2,13,41,1,1,1,3,7,1,0,1,81,90,20,11,0,2,7,2,1,285
,131A073,3,12,66,0,0,0,2,2,1,0,1,81,112,33,6,0,2,17,5,5,348
