,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,"STRANKA ""NOVA SRPSKA"" - NS",STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,133A108,7,31,86,1,1,3,0,26,1,1,1,94,173,40,0,0,1,8,11,13,498
,133A109,19,30,52,1,1,0,1,9,0,0,0,86,124,15,0,0,2,6,4,10,360
,133A110,11,25,96,0,0,0,0,2,1,0,0,80,168,15,0,0,5,7,9,5,424
,133A111,4,20,42,0,0,1,5,9,0,0,1,76,132,12,1,0,2,8,6,5,324
,133A112,12,19,72,0,0,3,1,6,0,1,0,72,215,21,4,0,9,4,5,11,455
,133A113,2,16,73,0,0,0,0,5,0,0,0,69,99,6,2,0,2,4,18,5,301
,133A114,5,19,94,0,1,3,7,15,1,0,0,77,89,21,1,0,3,15,3,40,394
,133A115,22,30,75,1,2,3,10,12,5,0,0,74,147,17,1,0,4,6,8,5,422
,133A116,14,29,83,0,0,0,0,12,3,0,1,125,136,10,4,0,1,8,0,5,431
,133A117,21,34,64,0,1,2,2,6,0,0,0,95,197,33,7,0,1,10,5,2,480
,133A118,6,23,60,2,0,1,6,2,1,1,0,77,212,15,3,0,1,0,2,9,421
,133A119,15,29,100,0,0,1,6,4,0,0,0,57,156,15,2,0,4,1,5,5,400
,133A120,8,28,72,1,0,3,0,0,6,0,0,63,202,12,3,0,3,12,4,3,420
,133A121,14,22,59,1,6,1,11,2,0,0,0,78,166,13,2,0,3,14,1,1,394
,133A122,6,10,45,0,1,3,5,6,2,1,0,42,157,8,1,0,3,11,13,8,322
,133A123,10,42,71,0,1,1,1,4,0,0,0,57,193,10,2,0,3,11,17,2,425
,133A124,15,30,76,3,0,0,4,11,14,0,0,86,103,17,1,0,6,12,5,2,385
,133A125,16,25,104,4,3,1,6,7,1,2,1,121,138,11,3,0,7,11,4,9,474
,133A126,13,26,98,0,0,4,3,5,0,2,1,74,158,12,4,0,4,24,3,8,439
,133A127,7,30,100,0,1,1,2,2,0,1,1,58,163,19,0,0,1,9,4,1,400
,133A128,6,33,98,2,10,2,7,3,1,1,0,44,259,26,4,0,1,14,22,1,534
,133A129,5,21,83,5,1,0,6,6,0,1,0,46,260,18,1,0,2,1,4,6,466
,133A130,18,33,90,1,2,0,1,10,0,0,1,83,159,12,0,0,2,5,7,3,427
,133A131,7,38,96,2,3,0,13,7,0,0,0,96,259,12,5,0,0,10,1,5,554
,133A132,14,24,74,0,0,3,6,2,4,0,0,68,267,11,1,0,4,19,1,5,503
,133A133,16,35,103,0,1,0,4,1,0,0,0,73,189,7,3,0,2,7,20,1,462
,133A134,28,46,95,0,1,1,6,2,0,0,0,77,196,23,4,0,5,5,11,7,507
,133A135,9,27,77,1,0,0,0,10,1,0,1,71,162,19,2,0,6,6,7,3,402
,133A136,9,21,64,0,1,3,0,1,1,0,0,72,120,14,1,0,2,3,7,4,323
,133A137,6,57,68,0,0,0,0,2,7,1,0,77,174,14,4,0,2,4,9,6,431
,133A138,20,19,58,1,0,2,3,4,0,0,0,61,168,6,0,0,3,6,12,6,369
,133A139,4,26,53,0,0,3,6,3,1,2,1,91,107,22,3,0,3,10,3,1,339
,133A140,7,11,30,0,0,1,1,3,2,0,2,46,81,14,4,1,1,6,1,5,216
,133A141,7,32,75,3,1,3,6,3,6,0,0,86,138,14,2,0,0,5,5,6,392
,133A142,5,22,79,0,1,5,2,9,1,0,2,90,142,17,0,0,4,3,1,2,385
,133A143,11,20,91,1,0,6,4,2,2,1,0,72,201,10,1,0,2,8,0,5,437
,133A144,7,23,68,0,0,2,2,4,0,0,0,91,194,12,4,0,2,4,1,4,418
,133A145,4,24,78,1,0,2,5,6,5,1,0,74,176,25,2,0,7,1,3,1,415
,141A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,141A001,2,8,85,0,0,0,1,3,0,0,1,23,157,131,1,0,2,27,0,4,445
,141A002,2,0,88,0,0,0,2,0,0,0,0,6,59,111,0,0,0,3,0,5,276
,141A003,0,4,40,0,0,0,0,0,0,0,0,5,36,56,1,0,0,1,2,1,146
,141A004,2,8,52,0,1,0,1,0,3,0,2,24,202,185,7,2,2,24,6,5,526
,141A005,12,9,68,0,0,1,0,3,1,0,0,14,57,105,1,0,0,93,1,1,366
,143A001,2,13,22,0,0,0,0,0,0,0,1,49,243,41,0,0,71,9,1,4,456
,165A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,165A001,2,11,73,0,0,0,1,0,1,0,0,96,206,46,0,0,40,8,0,1,485
,165A002,3,19,87,1,0,0,3,0,1,0,3,51,143,43,1,0,28,16,1,2,402
,165A003,3,26,5,0,0,0,0,0,0,0,5,15,38,1,0,0,1,9,0,3,106
,167A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,167A001,3,19,79,0,0,1,3,3,5,1,0,102,103,56,4,0,20,53,3,5,460
,167A002,0,24,42,0,0,1,0,2,4,0,4,77,77,45,0,0,18,52,3,2,351
,167A003,1,28,63,0,1,3,1,3,3,1,6,102,64,24,1,1,24,47,3,13,389
,167A004,1,24,67,0,0,0,1,1,2,3,2,81,80,40,2,0,16,48,3,5,376
,167A005,3,26,52,0,0,2,1,3,7,6,5,75,90,39,2,0,9,32,1,5,358
,167A006,2,30,83,0,1,1,0,4,7,0,0,94,85,37,0,0,19,33,3,5,404
,167A007,3,19,58,0,0,1,1,1,4,0,6,48,106,23,0,0,10,31,1,5,317
,167A008,0,18,68,1,0,0,0,2,6,6,7,103,92,27,0,0,11,53,2,2,398
,167A009,1,29,44,0,0,4,1,1,3,0,9,64,134,21,1,3,11,55,1,3,385
,167A010,0,21,61,0,1,0,2,3,6,0,1,72,55,37,3,2,15,44,7,3,333
,167A011,4,18,67,1,0,4,1,3,4,0,2,88,92,51,0,0,14,48,4,6,407
,167A012,1,28,46,0,1,0,0,5,3,1,23,101,86,21,1,1,17,25,0,9,369
,167A013,3,25,77,0,2,2,0,5,2,0,6,107,116,44,0,0,26,46,1,6,468
,167A014,1,27,66,0,0,1,2,3,2,4,0,111,84,32,1,0,9,30,6,4,383
,167A015,2,45,67,0,0,1,1,3,8,3,1,116,93,34,4,0,39,46,6,5,474
,167A016,1,25,71,0,1,0,0,1,7,2,2,113,87,50,0,0,15,40,4,2,421
,167A017,7,20,50,0,0,0,0,0,5,3,0,67,89,15,3,0,10,19,0,5,293
,167A018,0,4,14,0,0,0,0,1,3,0,4,11,38,4,0,0,9,9,1,0,98
,167A019,0,25,48,0,0,0,0,1,5,1,1,76,93,20,1,0,29,29,4,6,339
,167A020,3,26,33,0,0,1,1,2,4,0,1,68,94,16,2,0,16,22,0,3,292
,167A021,2,16,67,1,0,0,1,3,7,0,1,95,74,18,0,0,15,44,1,0,345
,167A022,2,5,103,0,0,0,1,1,7,0,0,50,115,27,3,0,47,29,1,2,393
,167A023,6,24,40,0,1,1,2,0,2,1,0,43,117,11,1,0,24,35,13,14,335
,167A024,3,11,20,0,0,0,2,0,13,1,0,88,71,22,0,0,20,37,2,3,293
,167A025,0,2,5,0,0,0,0,0,10,0,0,62,56,20,1,0,7,20,0,0,183
,167A026,2,25,62,0,0,2,2,2,11,0,7,117,90,77,1,1,9,48,4,5,465
,167A027,1,29,66,0,1,5,2,3,5,6,8,79,102,56,1,1,11,34,1,2,413
,167A028,1,21,68,0,0,1,2,0,0,0,0,51,67,37,0,0,36,51,0,3,338
,167A029,1,28,28,0,1,0,2,1,13,0,0,74,99,8,2,0,32,73,2,5,369
,167A030,1,26,13,0,2,0,2,2,1,1,0,52,37,11,0,0,26,24,0,5,203
,167A031,2,19,27,0,0,1,0,0,4,0,1,44,48,24,0,0,9,21,0,0,200
