,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,DEVIĆ SLOBODAN,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,TADIĆ ALEKSANDAR,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,VUKOVIĆ SLAVKO,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,038B076,2,3,1,15,262,1,1,1,0,4,34,42,1,1,7,20,3,2,0,0,0,1,4,405
,038B077,0,1,0,2,103,1,0,0,0,2,2,34,0,1,1,0,0,0,0,0,0,0,1,148
,038B078,22,0,14,33,2,3,10,0,20,3,51,80,0,0,21,27,1,21,0,0,0,1,0,309
,038B079,0,1,13,10,127,0,1,0,0,1,8,53,0,0,7,4,0,0,0,0,0,5,0,230
,038B080,1,4,1,3,199,0,0,2,0,0,2,154,0,0,1,5,0,1,0,0,0,1,4,378
,038B081,7,1,6,20,10,0,5,1,6,15,115,5,1,0,49,105,2,6,2,0,0,13,0,369
,038B082A,8,0,3,12,6,0,2,0,17,9,73,3,1,0,28,64,7,7,0,0,0,13,1,254
,038B082B,9,0,0,33,0,0,2,0,1,5,80,2,1,1,28,52,3,6,0,0,1,15,0,239
,038B083A,13,0,3,11,9,0,3,1,7,11,103,16,6,0,33,56,7,7,0,0,1,9,2,298
,038B083B,23,0,5,34,9,1,1,2,6,12,95,10,0,1,25,86,13,4,0,0,0,7,2,336
,038B083C,6,1,4,2,3,0,1,0,5,5,54,5,0,0,27,49,5,2,0,0,0,1,0,170
,038B084,8,1,4,26,24,1,3,0,5,5,114,10,3,1,48,68,10,3,1,1,1,11,0,348
,038B085,8,0,3,23,7,1,2,1,8,11,110,16,4,1,38,78,11,6,0,0,0,22,0,350
,038B086,23,1,11,22,13,0,4,0,13,10,163,15,3,2,60,107,11,10,0,0,0,15,0,483
,038B087,3,0,4,7,161,0,0,0,1,6,53,39,1,1,25,56,7,4,0,1,0,2,3,374
,038B088,5,2,8,10,28,3,1,2,8,16,111,11,3,2,36,84,5,5,0,0,0,20,0,360
,038B089,8,0,1,22,4,0,0,0,10,5,127,3,4,3,51,76,13,4,0,0,0,12,0,343
,038B090,5,0,5,30,5,1,1,1,13,17,124,3,3,2,51,64,4,5,0,0,0,22,0,356
,038B091,7,0,4,13,16,0,2,0,3,8,67,10,1,1,21,56,6,2,0,0,0,8,0,225
,038B092,3,0,3,67,0,0,3,0,0,5,102,1,1,1,39,133,6,1,0,0,0,12,0,377
,038B093,1,1,1,8,96,3,2,1,1,6,36,15,0,1,8,27,3,3,0,1,0,2,2,218
,038B094,1,0,3,16,43,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,2,0,74
,038B095,10,0,4,13,6,1,0,1,2,7,110,0,0,3,29,51,2,3,1,0,0,7,0,250
,038B096,0,2,4,4,115,0,0,0,12,11,19,64,0,0,22,7,11,0,0,0,0,1,0,272
,045B000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,045B001,1,1,6,57,1,0,0,1,39,7,98,2,5,2,23,69,1,0,0,0,0,10,0,323
