,BM,BORCI ZA NOVU POLITIKU,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,034B038,4,28,10,2,1,2,18,0,28,1,133,10,1,0,0,20,87,7,13,0,6,1,372
,034B039A,1,25,0,0,0,0,9,0,12,0,117,1,1,0,0,56,21,8,3,0,3,0,257
,034B039B,6,51,0,0,0,0,6,0,34,0,165,0,2,0,0,53,48,3,6,0,1,0,375
,034B040,1,12,58,0,0,0,13,0,5,1,109,2,0,0,2,9,85,7,3,0,4,0,311
,034B041,0,32,72,0,2,1,11,0,15,0,74,7,0,0,0,10,80,6,2,1,6,2,321
,034B042,1,29,5,0,0,2,27,3,33,0,168,1,2,1,2,25,148,5,14,0,9,3,478
,034B043,1,7,75,0,2,0,13,0,16,0,37,7,1,0,0,13,34,4,4,0,1,1,216
,034B044,0,33,0,0,0,0,35,0,17,0,91,0,0,0,0,19,30,6,0,0,0,0,231
,034B045,0,5,0,0,1,0,18,0,12,0,26,0,0,1,0,7,28,0,0,1,4,0,103
,034B046,0,51,1,0,1,0,48,2,12,0,222,1,0,0,0,14,108,6,15,0,6,0,487
,034B047,6,35,3,0,2,3,23,4,30,0,146,3,0,1,0,46,154,19,6,0,5,3,489
,034B048,2,25,0,0,1,0,20,0,31,0,104,3,0,2,0,25,145,11,5,0,6,1,381
,034B049,4,63,0,0,0,1,24,0,29,0,135,0,3,0,9,23,69,7,4,0,3,2,376
,034B050,2,53,0,0,0,0,23,0,12,0,96,0,1,1,1,17,36,7,2,0,6,1,258
,034B051A,0,80,1,1,1,0,13,0,18,0,130,0,3,2,3,27,149,3,6,0,5,0,442
,034B051B,0,52,0,0,1,1,13,0,21,0,75,1,2,1,3,18,123,11,6,1,5,1,335
,034B051C,0,34,1,0,1,0,7,0,14,1,80,1,0,6,2,19,112,6,3,0,0,1,288
,034B052A,2,59,0,1,2,0,5,0,15,0,125,4,1,0,1,16,165,9,7,0,6,0,418
,034B052B,1,62,0,0,0,0,8,1,11,0,142,0,1,0,1,14,80,1,5,0,4,0,331
,034B053,1,17,1,1,1,0,9,0,12,0,112,0,2,0,0,7,103,7,5,0,15,0,293
,034B054,1,12,1,2,5,0,1,0,6,0,66,0,0,0,0,3,32,0,6,0,0,0,135
,034B055,7,42,0,1,1,3,25,1,58,0,204,2,3,1,6,40,123,11,13,0,3,0,544
,034B056,3,17,0,0,0,3,16,0,20,0,123,3,1,0,0,43,96,8,9,0,7,0,349
,034B057,2,36,0,0,0,3,18,1,36,0,197,0,0,7,0,28,105,24,5,0,9,1,472
,034B058,3,22,0,0,0,0,14,0,25,0,111,1,4,1,3,21,61,8,3,0,4,0,281
,034B059,2,36,1,0,1,0,32,3,15,0,161,1,1,1,4,33,65,7,12,0,3,2,380
,034B060,5,23,0,0,3,0,17,0,25,0,142,0,0,1,1,26,126,1,6,0,10,1,387
,034B061,1,20,2,0,1,2,10,2,28,0,174,1,1,0,3,26,107,4,27,0,12,1,422
,034B062,1,17,0,1,0,0,17,1,10,0,126,1,0,1,0,39,98,4,7,0,16,1,340
,034B063,0,17,0,1,3,2,18,2,30,1,131,2,0,0,0,34,111,7,10,2,11,1,383
,034B064,0,20,0,1,0,0,25,1,15,0,146,0,0,1,0,22,87,13,7,0,6,0,344
,034B065,5,32,0,0,5,1,25,0,22,0,142,1,1,0,4,27,121,4,3,1,7,2,403
,034B066,3,8,0,0,1,1,19,4,29,0,99,1,0,1,5,21,90,24,3,0,2,1,312
,034B067A,2,27,0,0,0,0,14,0,5,0,125,2,1,1,1,20,84,5,4,0,4,1,296
,034B067B,4,22,0,0,0,0,12,0,9,0,151,2,0,0,0,13,86,3,4,0,4,0,310
,034B068,0,4,0,0,0,1,2,0,4,0,154,2,0,0,1,7,108,6,0,0,1,0,290
,034B069,0,7,0,0,0,0,0,0,5,0,36,0,0,0,0,9,29,30,0,0,1,0,117
,034B070A,0,41,1,0,0,2,42,0,23,0,156,1,2,1,1,31,53,0,1,1,2,3,361
,034B070B,4,24,0,0,0,0,24,1,8,0,130,1,1,2,1,22,61,6,2,0,4,1,292
,034B071,3,23,20,1,2,4,30,2,23,0,136,6,3,1,4,35,110,12,8,0,12,0,435
,034B072,5,12,23,2,0,3,24,3,30,2,101,2,1,0,1,18,75,11,11,0,6,0,330
,034B073,6,35,7,0,1,3,27,0,35,0,117,0,3,0,3,24,85,1,16,0,18,3,384
,034B074,5,17,13,0,2,1,26,0,16,1,114,3,0,1,4,19,73,1,4,0,11,1,312
,034B075,3,37,26,0,0,4,33,3,23,0,135,5,0,0,8,20,64,8,12,0,11,3,395
,034B076,0,18,23,0,2,5,22,0,32,1,116,4,2,0,1,33,64,9,5,0,6,0,343
,034B077,0,11,22,1,5,2,16,0,18,0,107,1,1,1,1,19,46,17,6,0,13,0,287
,034B078,5,35,5,2,1,3,25,2,29,0,111,3,1,1,3,16,73,3,11,1,8,2,340
,034B079,4,29,3,0,0,1,17,2,24,0,176,1,3,1,2,34,72,6,15,1,11,3,405
,034B080,10,28,7,0,2,0,26,0,10,0,168,7,1,0,6,19,51,1,8,0,5,0,349
,034B081,1,35,2,0,0,0,4,0,4,0,144,0,2,0,0,11,93,7,12,0,0,0,315
,034B082,13,94,0,0,0,0,28,0,6,0,324,1,0,0,0,3,54,13,6,0,0,1,543
,034B083,0,112,0,0,0,0,6,0,10,0,85,0,0,0,0,0,8,2,0,0,0,0,223
,034B084A,2,49,1,0,2,0,22,0,24,0,104,0,2,4,3,46,165,5,11,0,11,0,451
,034B084B,1,19,0,0,0,1,8,1,20,0,70,0,0,0,2,27,82,1,4,0,6,1,243
,034B084C,1,13,0,0,0,1,11,0,13,0,76,0,1,1,3,24,87,2,2,0,2,1,238
,034B085,5,18,2,0,4,3,27,1,21,1,123,1,1,1,2,25,84,4,5,0,9,0,337
,034B086,6,32,3,0,2,1,16,1,40,0,148,0,2,1,6,17,76,12,13,0,6,1,383
,034B087,2,12,2,1,8,5,29,2,28,1,172,1,2,0,0,28,106,5,15,0,11,0,430
,034B088,5,13,1,0,2,0,27,1,41,0,200,1,4,0,3,17,85,10,12,0,15,1,438
,034B089,3,17,0,0,2,2,27,1,30,0,157,1,0,0,5,22,66,14,8,0,3,0,358
,034B090,8,52,0,1,7,0,14,0,27,0,162,6,1,1,1,17,99,11,6,0,10,0,423
,034B091,7,34,1,0,2,2,18,1,37,0,156,1,3,3,1,26,68,16,10,0,10,1,397
,034B092,12,41,2,1,2,4,17,1,22,0,211,1,1,2,2,27,64,5,13,0,11,1,440
,034B093,11,44,2,1,2,4,12,5,28,0,172,5,0,1,1,14,52,4,7,0,10,0,375
,034B094,13,45,0,0,1,3,10,1,26,1,164,8,2,0,0,14,80,8,13,0,12,0,401
,034B095,6,16,0,0,0,2,23,0,23,0,180,1,1,0,1,26,99,9,9,0,7,0,403
,034B096,30,39,0,1,0,1,25,1,33,0,182,0,1,0,1,52,89,10,14,1,12,0,492
,034B097,6,42,0,1,0,1,28,0,24,0,215,1,1,0,1,24,87,11,17,0,13,2,474
,034B098,5,19,6,0,0,0,10,1,23,0,182,2,1,0,2,13,67,4,12,0,9,2,358
,034B099,8,20,1,0,4,3,6,0,20,0,99,1,1,2,1,13,66,3,7,0,8,2,265
