,BM,BORCI ZA NOVU POLITIKU,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,034B206,4,28,2,0,1,2,33,1,20,0,136,2,0,2,16,22,56,16,11,0,18,0,370
,034B207,9,22,1,0,1,3,35,1,36,0,143,3,3,0,1,40,76,13,9,0,11,0,407
,034B208,4,31,1,0,1,0,40,1,43,1,180,1,2,0,4,31,124,12,8,0,17,1,502
,034B209,1,30,1,1,4,0,22,0,44,0,155,1,0,1,1,20,90,4,8,0,16,0,399
,034B210,2,28,2,0,0,0,13,3,33,0,177,1,1,1,7,29,118,7,14,0,14,2,452
,034B211,2,18,1,0,0,4,21,2,43,0,169,3,1,0,0,25,138,12,10,0,13,2,464
,034B212,0,4,0,0,0,0,0,0,14,0,95,0,0,0,0,1,19,0,0,0,0,0,133
,034B213,0,15,0,0,0,0,3,0,69,0,83,0,1,0,0,6,38,3,4,0,0,0,222
,034B214,0,0,0,0,0,0,2,0,5,0,51,0,0,0,0,4,8,6,0,0,0,0,76
,034B215,0,2,0,0,0,0,0,0,11,0,40,0,0,0,0,2,5,1,0,0,0,1,62
,034B216,2,31,2,0,0,4,19,0,37,0,173,5,0,0,1,31,70,15,9,2,17,2,420
,034B217,4,27,10,0,2,9,20,0,36,0,133,7,3,0,1,13,60,8,6,0,24,0,363
,034B218,5,32,3,0,1,5,31,2,65,0,153,1,3,2,0,23,84,10,14,0,14,1,449
,034B219,5,21,0,0,1,11,13,0,41,0,201,1,2,0,2,34,92,6,21,0,11,2,464
,034B220,4,33,9,2,0,9,38,3,55,3,151,3,3,0,1,21,84,7,22,0,15,0,463
,034B221,4,33,10,1,8,4,30,0,32,0,154,4,1,3,4,26,94,16,18,0,11,1,454
,034B222,3,27,3,2,1,3,34,2,34,0,175,3,3,0,3,18,71,19,7,1,7,0,416
,034B223,3,22,6,0,0,9,66,3,19,1,137,4,1,1,2,9,63,6,14,0,17,0,383
,034B224,1,29,1,0,2,4,27,2,29,1,158,1,1,1,1,28,65,10,8,0,9,0,378
,034B225,5,32,6,1,4,8,35,2,50,1,144,4,2,0,1,17,89,9,16,0,15,1,442
,034B226,1,19,5,0,1,3,39,1,29,1,151,2,2,3,0,18,89,18,10,0,8,1,401
,034B227,0,27,3,0,4,1,19,1,20,1,94,2,2,1,0,18,83,19,25,0,19,0,339
,034B228,7,23,5,0,1,1,37,1,42,0,170,3,1,0,2,24,73,7,17,0,15,1,430
,034B229,0,31,3,2,0,3,39,1,32,0,147,5,4,0,0,20,97,7,22,0,9,1,423
,034B230,2,23,2,4,3,8,20,0,22,1,122,3,2,1,1,14,61,5,12,0,16,0,322
,034B231,6,21,11,2,3,5,34,0,22,1,153,0,2,0,0,17,92,2,18,0,11,2,402
,034B232,8,20,9,0,2,1,26,0,24,1,129,1,0,0,2,20,76,5,8,0,14,2,348
,034B233,6,20,0,2,1,1,19,0,50,1,169,1,0,1,1,52,125,10,20,2,23,1,505
,034B234,4,27,0,0,4,2,25,7,38,0,171,0,1,0,1,45,85,23,11,0,20,1,465
,034B235,7,31,0,0,3,3,23,1,41,0,145,1,6,1,1,56,108,15,22,1,19,0,484
,034B236,2,23,0,0,3,3,18,5,36,0,136,0,3,0,6,50,72,11,23,0,6,0,397
,034B237A,5,31,2,0,0,1,15,0,37,0,117,0,1,0,4,43,114,6,23,0,14,0,413
,034B237B,0,22,2,0,0,0,16,2,21,0,75,0,1,0,3,29,66,5,9,0,5,0,256
,034B238,0,0,0,0,4,0,0,0,0,0,7,0,0,1,0,3,2,0,0,0,0,0,17
,034B239,1,23,0,0,0,0,51,1,5,0,70,0,0,0,2,28,31,4,1,0,0,0,217
,034B240,2,38,0,0,2,1,28,3,41,0,130,1,2,0,2,26,122,9,7,1,5,1,421
,034B241,3,31,0,0,3,0,12,2,25,1,128,1,0,2,0,30,117,8,13,0,3,0,379
,034B242,3,33,1,0,0,0,26,2,23,0,124,0,1,1,13,37,106,7,14,0,11,1,403
,034B243,1,18,0,1,6,1,10,3,24,0,99,0,0,0,1,34,85,9,11,0,8,2,313
,035B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,035B001,1,49,18,0,0,0,63,0,12,0,190,4,0,1,3,34,102,6,6,0,1,0,490
,035B002,0,56,9,0,0,3,75,0,17,1,163,1,1,0,1,10,80,4,9,0,1,0,431
,035B003,1,24,1,0,0,0,70,0,74,0,214,0,2,1,1,20,106,2,9,0,4,0,529
,035B004,4,57,0,0,0,1,51,0,42,0,162,0,0,0,0,25,92,5,20,0,4,1,464
,035B005,0,33,29,0,0,2,32,0,15,0,123,2,0,0,0,29,92,2,10,0,4,0,373
,035B006,1,46,0,0,0,0,59,0,26,0,137,0,1,0,0,19,117,5,1,0,2,0,414
,035B007,4,17,0,0,0,0,35,0,5,0,96,0,0,0,0,5,90,0,4,0,1,0,257
,035B008,14,39,0,0,0,1,27,0,11,0,83,2,1,0,1,12,49,2,4,0,2,2,250
,035B009,8,44,2,0,0,0,29,0,11,0,121,0,1,0,0,27,157,1,0,1,0,1,403
,035B010,2,59,0,0,0,0,6,0,4,0,70,0,0,0,0,1,57,2,6,0,0,0,207
,035B011A,5,32,0,0,0,0,29,0,18,0,85,0,2,0,0,22,114,0,1,0,4,0,312
,035B011B,0,48,0,0,0,0,27,0,20,0,58,0,0,0,0,14,67,0,2,0,2,0,238
,035B012,1,33,0,0,0,0,43,0,10,0,67,0,1,0,0,12,34,1,9,0,0,0,211
,035B013,28,76,0,0,0,0,33,0,12,0,155,0,0,0,2,6,50,1,1,0,0,0,364
,035B014,9,120,0,0,0,0,13,0,11,0,87,0,0,0,0,9,76,0,0,0,1,0,326
,035B015,0,39,1,0,0,0,28,0,18,0,61,0,0,0,1,3,61,2,7,0,2,0,223
,035B016,1,0,3,0,0,0,18,0,3,0,33,0,0,0,2,24,74,0,3,0,0,3,164
,035B017,1,21,0,0,0,0,33,0,18,0,108,0,1,0,0,61,51,2,4,0,4,0,304
,035B018,0,28,4,0,0,1,43,1,4,0,61,1,0,0,0,10,42,0,0,0,1,0,196
,035B019,1,63,0,0,0,0,10,0,2,1,77,0,0,0,0,1,27,1,1,0,0,0,184
,035B020,3,20,0,0,0,0,35,0,21,0,289,0,0,0,1,27,60,1,9,0,5,0,471
,035B021,1,57,1,0,0,0,18,0,5,0,62,0,0,0,0,3,35,0,0,0,1,0,183
,035B022,0,8,0,0,0,0,48,0,6,0,91,1,1,0,0,14,31,0,1,0,2,1,204
,035B023,3,48,0,0,0,2,79,0,35,1,231,0,0,0,1,41,135,7,17,0,3,0,603
,035B024,1,48,1,0,0,1,61,1,31,0,172,1,0,3,0,27,120,8,27,0,0,0,502
,035B025,10,39,0,0,0,0,40,2,3,0,31,0,2,1,0,8,63,2,1,0,2,0,204
,058B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,058B001,0,9,1,0,0,0,2,0,2,0,37,0,0,0,9,6,5,10,0,0,0,0,81
,061B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,061B001,2,76,0,0,0,0,31,1,8,3,227,0,0,0,15,54,107,7,3,0,1,0,535
,061B002,0,4,0,0,0,0,3,0,2,0,19,0,0,0,1,0,22,0,0,0,0,0,51
,061B003,1,7,0,0,0,0,5,0,0,0,14,0,0,0,9,0,6,1,0,0,0,0,43
,061B004,1,121,1,0,0,0,1,0,0,0,100,0,0,0,0,9,41,7,0,0,0,0,281
,061B005,0,45,0,0,0,0,2,0,2,0,92,0,0,0,0,1,160,1,0,0,0,0,303
,061B006,0,13,0,0,0,0,5,0,0,0,118,0,0,0,0,3,17,2,0,0,0,0,158
,061B007,0,16,0,0,0,0,35,1,16,0,261,1,0,0,5,38,139,12,5,0,1,1,531
,061B008,0,25,0,0,0,0,33,0,1,0,164,1,0,0,1,6,50,5,0,0,0,0,286
,061B009,1,35,0,0,0,0,13,0,5,0,214,0,0,0,5,5,68,6,3,0,0,0,355
,061B010,0,24,0,0,0,1,5,0,2,0,99,0,0,0,2,3,39,3,0,0,0,0,178
,061B011,0,6,0,0,0,0,1,0,9,0,76,0,0,0,2,4,70,0,2,0,0,0,170
,061B012,0,11,0,0,0,0,0,0,5,0,90,0,0,1,2,1,102,2,0,0,1,0,215
,061B013,1,0,0,0,0,0,0,0,5,0,47,0,0,0,0,0,61,0,0,0,0,0,114
,061B014,0,4,0,0,0,0,2,1,1,0,37,0,1,1,3,0,35,0,0,0,2,0,87
,061B015,0,2,0,0,0,0,14,2,2,0,144,0,0,0,1,18,28,1,1,0,0,0,213
,061B016,0,8,0,0,0,0,32,0,7,0,196,0,2,0,22,21,70,3,0,0,0,0,361
,064B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,064B001,0,3,27,0,0,0,9,0,5,0,58,6,0,1,0,9,18,2,0,2,1,0,141
,064B002,0,36,1,0,1,1,7,0,11,0,190,1,2,0,1,23,64,1,3,0,5,1,348
,064B003,0,29,1,0,0,1,7,0,19,0,160,2,2,0,1,24,61,1,9,0,1,0,318
,064B004,0,9,0,0,0,2,1,0,16,0,140,0,0,0,1,6,46,9,1,0,0,0,231
,064B005,0,6,0,0,0,0,56,0,1,0,68,0,0,0,0,23,9,0,1,0,1,0,165
,064B006,0,0,0,0,0,0,2,0,5,0,64,0,1,0,0,3,62,0,2,0,0,0,139
,064B007,0,7,0,0,0,0,0,0,3,0,56,0,0,0,0,3,7,0,0,0,1,0,77
,064B008,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,12,4,0,0,0,0,46
,064B009,0,3,0,0,0,0,148,0,5,0,136,0,0,0,2,13,22,1,0,0,1,0,331
,064B010,1,7,0,0,0,1,5,0,4,0,56,0,1,1,0,4,25,1,0,0,2,0,108
,064B011,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,6,21,0,0,0,0,0,52
,064B012,0,101,1,0,0,1,4,0,2,0,82,0,4,0,1,8,25,0,0,0,0,0,229
,064B013,2,12,0,0,0,0,1,0,2,0,35,0,0,0,1,5,2,1,0,0,2,0,63
,064B014,1,9,0,2,4,2,7,0,6,0,75,0,0,0,1,5,68,1,1,0,2,1,185
,064B015,0,5,0,0,0,0,7,0,4,0,117,0,0,0,0,3,11,0,0,0,0,0,147
,064B016,0,10,3,0,0,0,15,0,11,0,128,2,0,1,0,14,65,1,6,0,3,0,259
,064B017,2,16,7,0,0,1,21,1,36,1,162,1,2,0,1,31,101,5,8,0,3,0,399
,064B018,0,16,0,0,1,1,15,0,29,0,220,0,1,0,0,26,105,4,8,0,2,0,428
,064B019,0,35,1,0,0,1,14,0,33,0,214,0,0,0,0,38,108,2,8,0,3,1,458
,064B020,1,65,2,0,0,2,22,0,24,0,239,1,4,0,0,30,116,1,10,0,3,3,523
,064B021,2,23,8,0,1,2,26,0,43,0,206,2,1,1,1,34,93,6,6,0,6,0,461
,064B022,0,27,1,0,0,1,12,1,44,0,219,2,1,0,3,16,120,2,4,0,9,0,462
,064B023,0,25,3,0,2,2,12,0,57,0,143,1,1,0,5,17,62,2,6,0,2,1,341
,064B024,0,6,0,0,0,0,9,0,24,0,106,0,0,0,0,13,23,1,0,0,0,0,182
,064B025,0,9,0,0,0,0,0,0,11,0,55,0,0,0,1,13,34,0,5,0,1,0,129
,064B026,0,21,0,0,0,1,18,0,51,0,167,1,0,0,4,65,81,3,1,0,3,0,416
,064B027,0,20,0,0,0,0,11,0,21,0,213,0,2,0,1,50,110,5,3,0,1,0,437
,064B028,0,4,0,0,0,1,2,0,17,0,63,0,0,1,0,5,56,1,4,0,0,0,154
,064B029,0,0,0,0,0,0,0,0,8,0,60,0,0,1,0,0,12,0,0,0,0,0,81
,064B030,0,22,0,0,0,1,0,0,9,0,74,0,1,0,0,6,14,1,1,0,0,0,129
,064B031,0,8,0,0,0,0,0,0,36,0,67,0,0,0,0,1,11,0,0,0,0,0,123
,064B032,0,0,0,0,0,0,0,0,0,0,53,0,0,0,1,3,4,0,0,0,0,0,61
,064B033,0,29,0,0,0,1,16,0,46,0,149,0,2,0,5,13,90,0,0,0,1,0,352
,064B034,0,31,1,0,0,0,2,0,17,0,160,0,2,0,1,19,91,2,2,0,4,1,333
,064B035,0,25,0,0,0,1,17,0,36,0,229,0,0,0,3,32,82,2,11,0,7,0,445
,064B036,0,2,3,0,0,1,3,0,8,0,42,1,0,1,0,5,22,0,4,0,0,0,92
,064B037,1,41,6,0,1,0,7,1,46,0,174,0,1,0,0,16,77,3,3,0,6,1,384
,064B038,0,6,0,0,0,0,6,0,2,0,95,0,0,0,0,11,43,0,2,0,0,0,165
,064B039,0,2,0,1,0,0,1,0,3,0,42,0,0,0,0,1,1,0,0,0,1,0,52
,066B001A,0,24,17,0,0,0,92,0,4,1,62,8,0,0,0,20,45,5,5,0,1,1,285
,066B001B,0,3,10,0,0,0,107,0,4,1,63,3,0,0,0,7,42,3,14,0,0,0,257
,068B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,068B001,0,16,11,0,0,2,50,0,79,0,144,6,0,0,1,68,70,4,8,0,4,0,463
,068B002,0,4,26,0,1,1,41,0,54,0,85,15,1,0,0,43,39,1,14,1,0,2,328
,068B003,3,14,2,0,0,1,55,0,84,0,181,0,0,0,0,84,61,3,25,0,5,1,519
,068B004,0,9,4,0,1,0,62,0,108,0,185,0,0,0,0,75,84,6,41,0,2,0,577
,068B005,0,0,0,0,0,0,30,0,7,0,11,0,0,0,0,8,0,0,6,0,0,0,62
,068B006,1,9,0,1,0,1,214,0,21,0,57,3,0,2,1,36,42,0,3,0,1,0,392
,068B007,0,1,0,0,0,0,47,0,17,0,64,1,0,0,0,20,14,1,2,0,0,0,167
,068B008,0,1,0,0,0,0,24,0,19,0,18,0,0,0,1,3,6,0,0,0,0,0,72
,068B009,0,7,0,0,0,0,8,0,12,0,58,0,0,0,0,9,7,1,0,0,0,0,102
,068B010,0,6,0,0,0,0,19,0,21,0,24,0,0,0,0,3,9,7,6,0,0,0,95
,068B011,0,6,0,0,0,1,19,0,14,0,74,1,0,0,0,26,18,1,1,0,0,0,161
,068B012,0,2,2,0,0,0,17,0,38,0,85,0,0,0,0,22,64,16,13,0,0,0,259
,068B013,0,0,0,0,0,0,13,0,21,1,55,0,0,0,1,30,19,1,18,0,0,0,159
,068B014,1,14,0,0,0,0,7,0,61,0,151,0,0,0,0,6,44,0,2,0,0,0,286
,068B015,0,1,0,0,0,0,4,0,17,0,49,0,0,0,0,7,29,0,1,0,1,0,109
,068B016,0,6,0,0,0,0,28,0,28,1,83,0,0,0,0,15,13,2,17,0,3,0,196
,068B017,0,12,0,0,0,0,11,0,68,0,262,0,0,0,0,23,112,0,43,0,0,0,531
,068B018,0,3,0,0,0,0,15,0,72,0,286,0,0,1,1,4,63,0,4,0,1,0,450
,068B019,0,0,0,0,0,0,7,0,16,0,54,0,0,0,0,13,48,1,2,0,0,0,141
,068B020,0,19,0,0,0,0,37,0,7,0,185,0,1,0,0,13,86,2,12,0,1,0,363
,068B021,0,3,0,0,0,0,15,0,11,3,56,0,0,0,0,24,5,3,1,0,0,0,121
,068B022,0,3,0,0,0,0,10,0,13,0,27,1,0,0,0,0,6,0,1,0,0,0,61
,070B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,070B001,0,24,0,1,24,0,2,0,38,0,75,1,0,0,0,5,133,0,21,0,0,0,324
,070B002,0,17,0,0,38,0,2,0,18,0,11,0,0,0,0,0,38,4,9,0,2,0,139
,070B003,0,58,46,0,3,0,1,1,56,0,84,6,0,0,0,2,68,1,33,0,2,0,361
,070B004,0,52,0,0,0,2,19,1,83,0,137,10,2,0,3,10,87,1,29,0,2,1,439
,070B005,0,52,13,1,12,1,14,1,51,0,151,6,0,1,2,13,144,5,75,0,6,1,549
,070B006,0,24,6,1,9,1,5,0,14,0,70,9,0,0,1,1,43,1,26,0,1,0,212
,070B007A,2,20,72,1,15,2,4,0,65,1,84,12,0,0,7,12,55,0,26,0,2,0,380
,070B007B,1,7,41,1,9,1,2,0,75,0,47,8,0,0,2,1,33,0,9,0,0,0,237
,070B008,1,22,59,1,2,0,10,0,88,0,52,5,2,1,3,9,67,0,21,0,1,1,345
,070B009,0,43,0,0,0,0,3,1,43,0,65,0,0,0,1,9,147,0,15,0,0,0,327
,070B010A,1,113,1,0,0,0,22,0,119,0,225,4,1,0,0,11,156,0,30,0,2,3,688
,070B010B,0,48,0,0,0,0,8,0,63,0,101,1,0,0,0,23,84,0,20,0,2,0,350
,070B010C,0,55,1,0,0,0,9,0,35,0,123,1,0,0,1,7,87,4,9,0,0,0,332
,070B011,0,16,87,0,1,1,1,0,12,0,9,22,2,2,0,2,26,1,14,0,2,0,198
,070B012,0,11,0,0,0,0,10,0,12,0,39,0,0,0,2,0,19,1,8,0,0,0,102
,070B013,0,23,0,0,0,0,2,0,28,0,75,0,0,0,1,2,46,0,5,0,2,0,184
,070B014,0,73,0,0,0,0,4,0,71,0,140,2,0,0,1,24,148,4,26,0,2,0,495
,070B015,0,36,26,0,1,0,2,0,14,0,39,15,0,0,0,4,31,2,0,0,0,1,171
,070B016,0,19,0,0,0,0,6,0,4,0,8,0,0,0,0,4,38,1,2,0,0,0,82
,070B017,1,50,14,0,0,0,7,0,43,0,105,8,1,0,0,2,89,5,2,0,0,1,328
,070B018A,0,51,1,0,0,0,13,0,80,1,179,0,1,0,0,25,155,2,29,0,4,0,541
,070B018B,0,51,1,0,1,0,16,0,66,0,143,0,1,0,0,7,160,2,55,0,1,0,504
,070B018C,0,32,6,0,2,0,8,0,27,0,75,2,0,0,0,5,93,0,24,0,1,0,275
,070B019,0,0,33,2,14,0,1,0,13,0,1,7,0,3,0,0,3,0,0,0,0,0,77
,070B020,1,40,46,0,1,0,7,0,24,0,108,52,0,5,0,7,63,0,10,2,1,1,368
,070B021,0,18,0,0,13,0,2,0,42,0,77,1,0,0,1,1,108,2,15,0,3,0,283
,070B022,0,0,137,0,1,0,0,0,3,0,2,38,0,1,0,0,3,0,0,0,0,1,186
,070B023,0,52,5,1,12,0,10,0,62,0,69,6,1,0,1,3,136,1,40,0,0,3,402
,070B024,1,5,24,0,0,0,0,0,6,0,52,35,2,2,1,0,3,0,1,0,0,0,132
,070B025,0,3,9,2,18,0,1,0,21,0,34,5,0,0,0,1,45,1,8,0,0,0,148
,070B026,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,5,1,0,0,0,0,17
,070B027,0,8,1,0,1,0,1,0,9,0,13,0,0,0,0,1,44,0,4,0,0,0,82
,070B028,0,9,0,0,10,0,2,0,10,0,46,0,0,0,0,0,40,0,10,0,0,0,127
,088B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,088B001,0,9,0,0,1,0,19,0,5,0,54,2,0,0,0,4,3,0,0,0,0,0,97
,088B002,0,0,0,0,0,0,7,0,2,0,18,0,0,0,0,4,14,0,0,0,0,0,45
,088B003,1,65,0,0,0,0,82,1,14,0,173,0,0,1,0,19,17,3,2,0,0,0,378
,088B004,0,58,0,0,0,2,22,0,9,0,151,0,0,0,0,0,28,1,0,0,0,0,271
,088B005,1,81,1,0,0,0,78,0,47,0,232,1,2,0,1,13,33,2,9,0,0,0,501
,088B006,0,42,0,0,0,1,108,0,43,0,135,0,1,0,2,15,35,4,5,0,4,0,395
,088B007,1,61,3,0,0,0,44,0,22,0,149,1,0,1,2,1,26,1,28,0,4,0,344
,088B008,0,6,0,0,0,0,22,0,2,0,43,0,0,0,0,0,2,0,2,0,0,0,77
,088B009,0,101,5,0,0,2,119,0,29,0,210,1,0,0,0,10,41,5,14,0,2,0,539
,088B010,0,140,4,0,0,0,53,0,6,0,199,1,1,1,1,7,30,1,1,0,1,0,446
,088B011,0,36,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,61
,088B012,0,66,16,0,17,0,51,0,0,0,112,3,0,1,0,15,34,1,4,0,2,0,322
,088B013,0,32,0,0,0,0,52,0,9,0,121,0,1,0,0,0,4,1,1,0,3,0,224
,088B014,0,41,0,0,0,0,55,0,3,0,66,0,0,0,0,1,5,0,1,0,0,0,172
,088B015,0,73,1,0,0,0,75,0,4,0,170,0,0,1,2,20,79,0,1,0,0,0,426
,088B016,0,10,0,0,0,0,34,0,2,0,61,0,0,0,0,6,18,1,1,0,1,0,134
,088B017,4,78,1,0,0,1,124,1,32,0,208,0,3,0,0,14,56,0,8,0,4,1,535
,088B018,5,67,2,0,1,1,84,0,18,0,255,0,1,0,1,13,43,6,14,0,3,0,514
,088B019,1,20,12,0,0,4,50,0,9,0,95,5,2,0,0,18,28,2,2,0,1,0,249
,088B020,2,85,0,0,0,1,65,0,27,0,185,1,1,0,1,8,54,4,5,0,1,0,440
,108B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,108B001,1,9,0,0,0,0,4,0,30,0,96,0,0,1,2,0,39,1,1,0,2,0,186
