,BM,BORCI ZA NOVU POLITIKU,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,016B022,1,4,0,6,5,18,61,9,1,3,13,48,4,5,2,180
,016B023,7,5,0,0,1,14,57,0,0,0,12,59,1,33,0,189
,016B024,1,1,0,23,0,1,3,1,0,0,0,8,0,0,0,38
,016B025,0,5,0,5,3,6,48,0,0,2,8,21,0,6,1,105
,018B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,018B001,0,1,55,1,1,1,3,160,1,1,1,6,0,0,4,235
,018B002,0,3,0,1,0,38,39,1,7,35,7,89,2,2,0,224
,018B003,6,2,2,0,1,7,20,2,0,6,3,11,1,0,0,61
,018B004,2,3,0,0,14,24,36,6,9,0,4,40,3,0,0,141
,018B005,0,2,167,4,0,4,10,107,6,2,0,1,0,0,3,306
,018B006,0,1,12,31,0,1,0,2,6,1,1,1,0,3,0,59
,018B007,7,14,0,0,18,21,207,4,20,4,48,75,3,3,1,425
,018B008,0,5,47,1,2,0,3,181,0,1,2,4,0,0,2,248
,024B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,024B001,1,12,26,2,40,18,97,39,8,7,45,82,5,4,3,389
,024B002,1,17,19,1,17,8,75,54,10,5,17,100,4,1,4,333
,024B003,2,16,29,0,24,18,132,42,22,12,31,97,5,2,4,436
,024B004,2,15,30,1,11,21,71,51,22,4,21,60,0,2,0,311
,024B005,0,20,49,0,8,6,77,48,17,8,43,116,4,1,2,399
,024B006,1,8,24,0,20,5,95,43,18,11,51,78,3,2,2,361
,024B007,2,24,14,1,44,17,122,18,12,4,46,67,3,7,1,382
,024B008,0,17,8,2,43,21,127,4,15,2,39,89,3,3,3,376
,024B009,5,35,3,0,37,15,186,1,26,2,58,179,15,4,0,566
,024B010,4,36,0,0,26,22,151,1,10,7,52,249,8,1,1,568
,024B011,0,7,1,0,19,6,207,3,52,5,39,186,6,3,0,534
,024B012,0,3,0,0,12,0,53,0,5,0,14,42,1,0,0,130
,024B013,1,12,0,1,18,21,159,0,6,1,7,89,3,9,0,327
,024B014,0,5,26,12,2,1,22,2,2,0,1,51,0,1,1,126
,024B015,0,31,3,0,16,8,160,0,12,1,34,193,6,1,0,465
,024B016,0,3,0,0,0,2,64,1,0,1,14,44,2,2,0,133
,024B017,0,16,1,0,0,4,150,1,3,2,14,85,3,5,1,285
,024B018,0,7,0,0,2,1,53,0,1,0,11,71,0,1,0,147
,024B019A,1,4,12,35,7,4,48,0,2,0,4,25,1,0,0,143
,024B019B,1,1,13,32,2,0,8,1,3,0,5,14,0,5,1,86
,024B020,0,7,1,0,6,4,154,0,0,0,6,133,4,0,0,315
,024B021,0,8,1,0,1,3,86,1,5,0,6,56,0,0,0,167
,024B022,4,31,1,0,1,6,43,0,5,1,15,53,2,0,1,163
,024B023,0,0,0,0,22,1,69,1,17,1,24,96,3,0,0,234
,024B024,0,0,0,0,11,1,79,0,0,0,2,57,1,0,0,151
,024B025A,0,0,11,0,2,1,10,75,14,2,1,2,0,0,2,120
,024B025B,0,4,34,0,0,2,6,134,11,1,0,4,2,2,5,205
,024B026,2,66,1,0,81,2,118,0,3,1,6,133,5,1,0,419
,024B027,1,135,0,0,62,2,115,1,8,5,18,122,1,0,0,470
,024B028,0,0,0,0,0,0,0,0,7,0,0,2,1,0,0,10
,024B029,0,9,0,0,1,1,32,0,6,1,19,29,0,1,0,99
,024B030,4,91,2,0,9,14,131,1,3,1,41,137,3,1,0,438
,024B031,1,32,0,0,16,6,118,0,11,0,43,146,0,2,0,375
,024B032,0,64,0,1,5,8,57,0,1,1,8,88,2,0,0,235
,024B033,0,5,1,0,4,1,165,0,10,0,27,203,0,2,0,418
,024B034,0,11,0,0,10,1,161,0,6,0,22,250,3,1,0,465
,024B035,2,23,14,1,27,12,122,25,27,7,25,145,5,7,0,442
,024B036,0,7,2,0,45,13,112,17,22,5,17,115,6,2,0,363
,024B037,0,18,1,0,51,20,98,10,14,1,28,107,8,8,1,365
,024B038,0,7,0,0,25,5,83,0,14,3,29,173,0,2,1,342
,024B039,0,20,3,0,36,9,156,1,31,1,40,237,3,4,0,541
