,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,029B028,0,0,0,1,32,7,0,0,2,16,41,0,151,0,1,0,4,12,88,15,8,0,8,0,386
,029B029,9,0,0,0,37,7,0,0,4,16,32,0,130,3,1,0,6,6,79,11,5,0,8,0,354
,029B030,9,0,2,1,31,9,0,0,2,8,11,0,94,5,1,0,0,8,96,17,1,0,3,0,298
,029B031,2,0,1,0,25,5,0,0,1,1,43,1,58,4,0,0,0,0,52,4,0,0,5,0,202
,029B032,4,0,1,0,13,7,0,0,6,10,18,0,45,3,0,0,1,9,31,7,1,0,1,0,157
,029B033,2,0,0,0,50,9,0,1,1,28,64,0,114,4,0,0,2,18,94,8,1,0,4,0,400
,029B034,4,0,0,0,17,65,0,0,0,5,17,0,30,3,0,0,0,13,86,1,1,0,3,0,245
,029B035,2,0,0,2,28,16,0,0,0,17,35,0,75,5,0,0,4,3,95,6,5,1,2,1,297
,029B036,1,0,1,1,0,252,0,1,0,0,2,0,0,24,0,0,0,0,0,1,0,0,0,1,284
,029B037,0,2,9,0,0,336,1,0,0,1,2,0,4,9,1,0,0,3,6,0,1,0,0,0,375
,029B038,2,0,5,0,15,132,0,0,11,2,7,1,27,19,0,0,2,13,58,1,0,0,0,0,295
,029B039,0,0,5,1,0,238,0,1,3,1,0,0,1,6,0,0,1,3,3,0,0,0,0,0,263
,029B040,0,1,6,0,1,146,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,162
,029B041,0,0,4,1,2,231,0,0,0,2,5,0,0,3,0,0,0,3,0,1,0,0,0,1,253
,029B042,2,1,4,0,1,132,0,1,0,1,3,0,0,2,0,0,0,3,1,0,0,0,1,0,152
,029B043,0,1,2,0,0,192,0,0,0,0,2,1,1,2,0,0,1,5,0,0,0,0,1,0,208
,029B044,7,0,0,1,52,0,0,0,3,8,319,0,94,0,1,0,1,11,80,2,2,0,1,0,582
,029B045,1,0,0,0,19,0,0,0,0,4,8,0,18,0,0,0,0,26,27,0,0,0,0,0,103
,029B046A,5,0,0,0,60,2,0,0,1,26,53,0,136,1,2,0,0,39,109,12,8,1,2,0,457
,029B046B,7,0,0,0,61,0,0,0,0,13,57,0,84,0,0,0,1,57,73,8,1,0,2,0,364
,029B047A,15,0,1,3,60,0,0,0,2,33,56,0,96,0,1,0,2,38,96,14,15,0,0,0,432
,029B047B,1,0,0,0,33,0,0,0,1,16,20,0,51,1,0,0,0,21,64,4,5,0,0,0,217
,029B048,8,0,0,0,22,0,0,0,0,9,37,0,30,0,0,0,0,1,40,5,0,0,1,0,153
,029B049,8,0,0,0,29,4,1,0,0,14,17,0,75,1,0,0,1,8,93,7,0,0,1,0,259
,029B050A,10,0,0,1,36,0,0,1,3,9,35,2,97,0,1,0,2,15,126,50,0,1,2,0,391
,029B050B,11,0,0,0,21,0,0,0,1,15,23,0,115,2,0,1,0,14,129,44,3,0,3,0,382
,029B050C,0,0,0,0,25,0,0,0,0,15,13,0,56,0,0,1,0,9,110,25,0,0,3,0,257
,029B050D,8,0,1,0,24,2,0,0,0,8,32,0,101,0,0,0,0,6,88,25,0,0,1,0,296
,029B051,2,0,1,0,38,5,0,0,1,17,39,0,127,1,0,0,1,20,135,18,10,1,13,0,429
,029B052,1,0,0,0,45,0,0,0,0,26,34,0,108,1,2,0,2,6,78,7,1,0,8,0,319
,029B053,3,0,0,0,58,3,1,0,0,17,44,1,79,0,0,1,2,5,135,13,2,0,12,0,376
,029B054,5,0,0,1,64,0,0,0,0,5,39,0,97,0,0,1,0,12,57,8,1,0,1,0,291
,029B055,23,0,0,0,170,0,0,1,0,5,43,0,75,0,0,0,2,6,115,22,4,0,2,0,468
,029B056,1,0,0,0,59,0,0,0,0,92,26,0,60,0,1,0,0,8,178,7,3,0,2,0,437
,029B057,8,0,0,0,36,0,1,0,0,62,95,0,33,1,1,0,0,8,118,8,0,0,0,0,371
,029B058,38,0,0,0,2,0,0,0,0,0,0,0,36,0,1,0,0,4,35,2,0,0,0,0,118
,029B059,0,0,0,0,46,0,0,0,0,6,42,0,40,0,0,0,0,14,51,4,4,0,0,0,207
,029B060,0,2,2,1,32,43,0,0,3,9,43,0,88,6,1,0,2,9,58,11,12,1,2,1,326
,029B061,12,0,0,0,41,0,0,0,2,0,11,0,25,0,0,0,0,5,38,3,3,0,3,0,143
,029B062A,3,0,0,0,36,0,0,1,2,9,7,0,56,0,0,0,0,9,269,20,0,1,9,0,422
,029B062B,5,0,0,0,71,0,0,0,2,14,15,0,52,0,0,0,0,10,266,40,0,1,1,0,477
,029B062C,0,0,0,0,25,0,0,0,1,10,9,0,43,0,0,0,0,4,134,6,1,0,2,0,235
,029B063A,3,0,0,0,53,2,0,0,0,11,33,0,109,0,0,0,6,10,171,5,2,0,9,0,414
,029B063B,2,0,0,0,35,7,0,0,0,22,15,0,102,0,0,0,2,9,152,2,3,1,9,0,361
,029B063C,3,0,0,0,42,0,0,0,0,5,20,0,64,0,0,0,0,1,129,1,0,0,6,1,272
,029B064A,7,0,1,1,62,1,0,0,0,18,45,0,132,1,2,0,2,5,92,6,15,0,9,0,399
,029B064B,6,0,0,1,36,0,0,0,1,9,27,0,113,0,2,0,1,10,94,2,8,0,6,0,316
,029B065A,2,0,0,1,51,0,0,0,0,14,51,0,107,0,0,0,0,24,119,1,8,0,3,0,381
,029B065B,3,0,0,2,70,0,0,0,0,17,62,0,139,0,1,0,1,18,176,7,3,0,12,0,511
,029B065C,4,0,0,1,35,0,1,0,0,8,10,0,39,0,0,1,0,17,58,2,0,0,2,0,178
,029B066A,2,0,0,1,18,1,0,0,1,8,4,0,39,2,2,0,0,35,203,36,1,0,1,0,354
,029B066B,0,0,0,0,15,0,0,1,0,11,15,0,69,0,0,0,0,21,164,46,4,0,2,0,348
,029B067A,7,0,0,0,71,0,0,0,0,24,71,0,34,0,0,0,0,5,168,2,0,0,0,0,382
,029B067B,11,0,0,0,60,0,0,0,0,44,54,0,45,0,0,0,0,7,163,14,2,0,4,0,404
,029B068,6,0,2,0,48,0,0,0,0,43,43,0,35,0,0,0,2,14,335,6,6,0,1,0,541
,029B069,10,0,0,0,161,0,0,0,0,4,54,0,64,0,0,0,0,2,103,4,0,0,1,0,403
,029B070,4,0,0,0,81,0,0,0,0,8,106,0,28,0,0,0,0,9,68,6,6,0,0,0,316
,029B071A,27,0,0,0,46,0,0,1,0,9,29,0,38,0,0,0,3,4,63,6,1,0,5,0,232
,029B071B,39,0,0,0,81,0,0,0,1,6,46,0,100,0,0,0,0,13,66,12,10,0,5,0,379
,029B072,7,0,0,0,67,0,0,0,0,7,211,1,149,0,0,0,0,9,86,14,1,0,0,0,552
,029B073,10,0,0,0,30,0,0,0,0,19,46,0,51,0,1,0,2,15,103,15,0,0,2,0,294
,029B074,1,0,0,0,90,0,0,0,0,18,26,0,47,0,0,0,1,10,105,3,0,1,4,0,306
,029B075,2,0,0,0,15,0,0,0,0,124,10,0,25,0,0,6,2,4,32,0,0,0,0,0,220
,029B076,0,0,0,0,79,0,0,0,0,19,43,0,41,0,0,0,0,7,87,0,0,0,0,0,276
,029B077,0,0,0,0,97,0,0,0,0,101,34,0,48,0,0,1,0,8,143,7,5,0,2,0,446
,029B078,1,0,1,0,45,0,0,1,0,0,67,23,163,0,1,0,2,11,113,8,1,0,7,1,445
,029B079,1,0,0,0,35,0,0,0,0,20,91,0,94,0,0,0,4,20,109,27,1,0,10,1,413
,029B080,1,0,0,0,20,0,0,0,0,8,27,0,46,0,0,0,0,17,51,3,0,0,4,0,177
,029B081A,3,1,0,1,40,0,0,0,1,8,55,0,93,0,1,1,1,93,76,10,2,1,0,0,387
,029B081B,1,0,0,0,19,0,0,0,0,3,43,0,42,0,1,0,0,28,28,6,1,0,1,0,173
,029B082,3,0,0,0,22,0,0,0,0,0,19,0,43,0,0,0,0,9,30,18,0,0,0,0,144
,029B083,0,0,0,0,71,0,0,0,0,2,50,0,79,0,0,0,0,7,63,5,0,0,0,0,277
,029B084,11,0,0,0,35,0,0,0,0,4,21,0,120,0,0,0,0,18,87,15,3,0,0,0,314
,029B085,6,0,0,0,64,0,0,0,4,3,69,0,170,1,0,1,1,15,140,9,4,0,2,0,489
,029B086,10,0,0,0,11,0,0,0,1,15,18,0,79,0,0,0,0,5,58,7,2,2,2,0,210
,029B087,0,0,0,0,41,0,0,0,1,19,35,0,38,0,0,0,0,11,91,1,0,0,3,0,240
,029B088,7,0,0,0,0,0,0,0,3,11,10,0,17,0,0,0,0,1,55,2,0,0,0,0,106
,029B089,8,0,0,0,27,0,0,0,1,43,41,0,211,0,0,0,1,16,132,6,2,0,3,1,492
,029B090,21,0,0,1,44,0,0,0,0,24,114,0,115,0,0,0,0,13,152,15,1,0,4,0,504
,029B091,13,0,0,0,30,0,0,0,1,33,30,0,72,12,1,0,0,2,148,9,0,0,0,0,351
,029B092A,0,0,1,0,74,2,0,0,0,20,52,0,131,0,0,0,2,9,157,14,2,1,5,0,470
,029B092B,6,0,1,0,41,0,0,0,1,17,39,0,83,0,0,0,3,6,111,9,15,0,8,1,341
,029B092C,4,0,0,0,69,0,0,0,3,21,37,0,117,0,0,0,4,7,143,22,6,0,7,1,441
,029B092D,2,0,1,0,41,0,0,0,0,17,24,0,106,0,0,0,2,12,144,10,9,0,6,0,374
,029B092E,0,0,0,0,6,0,0,0,0,8,20,0,35,0,0,0,0,0,47,1,2,1,0,1,121
,029B093,1,0,0,0,66,0,0,0,0,6,11,0,51,0,0,0,0,0,45,5,2,0,3,0,190
,029B094,1,0,0,0,9,0,0,0,0,0,0,0,24,0,1,0,0,17,45,3,0,0,0,0,100
,029B095A,2,0,0,3,69,0,0,1,0,15,73,0,141,0,1,0,2,11,146,14,5,0,2,0,485
,029B095B,0,0,0,0,53,0,0,0,0,0,42,0,99,0,0,0,1,10,89,13,1,0,5,0,313
,029B096A,4,0,0,2,142,4,0,1,3,6,91,0,127,3,1,3,1,12,222,3,1,0,3,2,631
,029B096B,6,0,0,0,105,0,0,0,1,9,57,0,50,0,1,0,0,7,138,5,0,0,4,0,383
,029B097A,4,0,0,0,60,0,0,0,0,27,144,0,73,0,0,0,0,20,101,14,1,0,1,0,445
,029B097B,4,0,0,0,54,0,0,0,0,12,68,0,50,0,0,1,0,17,52,10,0,0,0,0,268
,029B098A,4,0,0,1,72,22,0,0,0,8,23,0,76,0,1,0,1,10,224,2,0,0,4,0,448
,029B098B,3,0,0,2,74,4,0,0,0,5,14,0,90,0,0,0,2,8,223,3,0,0,1,0,429
,029B098C,5,0,0,1,93,4,0,0,1,0,17,0,65,1,0,0,1,7,191,3,1,1,3,0,394
,029B099,3,0,0,3,129,0,0,0,0,57,59,0,91,0,0,0,2,25,117,18,9,0,1,0,514
,029B100A,0,0,0,0,63,0,0,0,0,16,36,0,147,0,0,0,0,6,158,16,2,0,0,0,444
,029B100B,1,0,0,0,30,1,0,0,0,8,36,0,117,1,0,0,0,4,146,5,1,0,3,0,353
,029B100C,5,0,0,0,57,2,0,0,3,13,18,0,124,0,2,0,0,7,130,32,1,0,6,0,400
,029B100D,0,0,0,1,81,1,0,0,0,14,22,0,146,0,0,0,1,14,124,23,1,0,7,0,435
