,BM,BORCI ZA NOVU POLITIKU,BPS-SEFER HALILOVIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DEURIĆ ĐORĐE,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,083B034B,0,1,0,0,166,2,0,4,9,73,1,0,0,0,158,22,38,12,0,0,486
,083B034C,0,0,0,0,30,0,0,0,2,13,0,0,0,0,52,25,11,0,0,0,133
,083B035,0,4,0,0,16,11,0,7,22,59,7,0,0,0,39,93,9,11,1,1,280
,083B036,0,0,0,0,120,0,0,22,11,266,0,0,0,0,54,62,46,25,2,0,608
,083B037A,1,10,2,0,16,77,0,0,1,52,7,0,0,2,10,31,19,11,0,0,239
,083B037B,0,4,0,0,18,35,0,0,10,39,4,0,0,0,14,11,15,6,0,0,156
,083B037C,0,2,0,0,21,14,0,0,7,30,0,0,0,0,6,15,16,2,1,0,114
,083B038,0,0,0,1,26,0,0,29,40,121,1,2,0,0,56,138,14,2,5,0,435
,083B039,0,0,0,0,104,0,0,1,6,181,0,0,0,0,92,15,49,10,0,0,458
,083B040,1,0,0,0,33,0,0,6,3,36,0,0,0,0,15,31,6,7,1,0,139
,083B041A,0,1,0,0,139,0,0,1,2,99,0,0,0,0,6,26,24,2,0,0,300
,083B041B,0,0,0,0,71,0,0,1,14,100,0,0,0,0,3,16,17,0,0,0,222
,083B042,0,0,0,0,80,0,0,1,14,266,0,0,0,0,14,39,16,2,0,0,432
,083B043,0,0,0,0,16,0,0,2,43,79,0,0,1,0,14,40,70,0,0,0,265
,083B044,0,0,0,0,125,0,0,0,24,279,0,0,0,0,36,62,21,0,0,0,547
,083B045A,0,0,0,0,56,0,0,0,12,217,0,1,0,0,38,63,97,14,0,0,498
,083B045B,0,0,0,0,23,0,0,1,18,119,0,0,0,0,22,51,37,1,2,0,274
