,BM,BEŠIĆ SENAD - BEŠIĆ SENAD,BLAŽANOVIĆ IVO - DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,ČENAJ PETRIT - ČENAJ PETRIT,DODIK MILORAD - SNSD-DNS-SP,HORIĆ AMIR - BPS-SEFER HALILOVIĆ,"JERKOVIĆ JOSIP - HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",JOVIČIĆ DRAGOMIR - STRANKA PRAVEDNE POLITIKE,MARKOVIĆ VLADAN - MARKOVIĆ VLADAN,MUHAREMOVIĆ INDIRA - PRVA STRANKA,NEŠKOVIĆ MLADEN - NEŠKOVIĆ MLADEN,PALIĆ SAMIR - SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SALKIĆ RAMIZ - DOMOVINA,SEDLO TOMA - STRANKA PRAVDE I POVJERENJA,STOJAKOVIĆ SANDA - KOMUNISTIČKA PARTIJA,STOJANOVIĆ MILKO - STOJANOVIĆ MILKO,SULJKANOVIĆ ENES - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,TADIĆ OGNJEN - SAVEZ ZA PROMJENE,TOKIĆ SEJFUDIN - A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,VLAJKI EMIL - PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,Ukupno
,121B004,0,0,0,153,0,1,1,1,0,2,0,1,0,1,0,0,250,0,0,410
,121B005,1,0,0,67,2,0,1,0,0,0,0,19,0,0,0,3,101,4,0,198
,121B006,0,0,0,50,0,0,2,0,0,1,0,1,0,0,0,0,104,1,0,159
,121B007,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,142,2,2,251
,121B008,0,0,1,63,0,0,3,0,0,1,0,1,0,0,0,0,103,0,1,173
,121B009,0,0,0,194,0,0,4,0,0,0,0,0,0,1,1,0,292,1,1,494
,121B010,0,0,0,210,0,0,2,0,0,1,0,0,0,1,2,0,277,1,0,494
,121B011,0,1,0,255,0,0,2,0,0,1,0,0,0,0,0,0,380,0,4,643
,121B012,0,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,41,1,0,81
,121B013,1,0,0,100,0,0,0,4,0,0,0,1,0,0,0,0,85,0,0,191
,121B014,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,114
,121B015,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,37,1,0,55
,121B016,0,0,1,68,0,0,0,0,0,1,0,6,0,0,0,1,51,1,0,129
,121B017,0,0,0,69,0,0,1,0,0,0,0,1,0,0,0,0,91,0,2,164
,121B018,0,0,0,225,0,0,4,0,0,1,0,0,0,0,0,0,331,0,5,566
,121B019,0,2,0,179,0,0,3,0,0,0,0,0,1,0,1,0,310,1,3,500
,121B020,0,1,0,226,0,0,4,1,1,1,0,1,0,0,1,0,362,0,0,598
,121B021,0,0,0,170,0,0,1,0,0,3,0,0,0,0,0,0,179,0,1,354
,121B022,0,0,0,197,0,0,3,0,0,2,0,1,0,0,0,0,284,2,1,490
,123B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,123B001,0,0,0,265,0,0,1,0,0,2,0,0,0,2,0,0,298,0,1,569
,123B002,0,1,0,272,0,0,0,0,0,0,0,1,0,1,0,0,276,3,1,555
,123B003,0,0,0,122,0,0,1,0,0,0,0,1,0,2,0,0,90,1,0,217
,123B004,0,0,0,174,0,0,3,1,0,0,0,0,0,0,0,0,149,0,0,327
,123B005,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,57,0,2,120
,123B006,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,43,0,2,88
,123B007,2,0,0,42,5,0,0,0,1,0,0,8,0,0,0,17,56,1,0,132
,123B008,0,0,0,63,2,0,0,0,0,0,0,1,0,0,0,0,31,1,0,98
,123B009,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,44
,132B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,132B001,0,0,0,250,0,1,5,2,2,0,0,0,0,1,1,0,167,0,2,431
,132B002,0,1,0,214,0,0,2,1,0,2,0,0,0,0,0,1,200,1,2,424
,132B003,0,0,0,271,0,1,9,3,0,1,0,0,0,0,1,2,259,0,2,549
,132B004,0,0,0,242,0,0,4,0,0,0,0,0,0,1,0,0,175,2,0,424
,132B005,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,168
,132B006,0,0,0,200,0,0,0,0,1,0,0,3,0,0,0,0,82,6,1,293
,132B007,0,0,0,200,0,0,4,1,1,0,0,1,0,0,3,0,117,2,1,330
,132B008,0,0,1,184,0,0,3,1,1,0,0,0,0,2,3,0,228,0,3,426
,132B009,0,0,0,197,0,0,7,1,0,1,0,0,0,0,0,0,236,1,3,446
,132B010,0,0,0,106,0,1,1,3,0,0,0,1,0,0,0,0,130,2,2,246
,132B011,0,0,0,388,0,0,1,1,0,1,0,0,0,0,0,0,222,0,4,617
,132B012,1,1,0,253,0,0,1,0,0,0,0,0,0,0,0,0,146,2,0,404
,132B013,0,0,0,283,0,0,2,0,0,0,0,0,0,0,0,0,178,0,2,465
,132B014,0,0,1,293,0,1,5,3,0,0,0,0,0,1,1,0,232,3,8,548
,132B015,0,0,0,317,0,0,5,1,0,1,0,0,0,2,3,1,241,0,5,576
,132B016,1,0,0,256,0,0,2,1,0,0,0,0,0,0,1,0,154,1,4,420
,132B017A,0,0,0,205,0,0,6,3,0,2,0,0,0,0,2,0,202,0,4,424
,132B017B,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,130,1,0,297
,132B018,0,1,0,285,0,0,6,0,0,1,0,2,0,0,0,0,154,0,3,452
,132B019A,0,0,0,155,0,0,5,3,0,0,0,0,0,1,1,1,148,0,4,318
,132B019B,0,0,0,170,0,0,5,1,0,1,0,0,0,1,1,0,167,0,5,351
,132B020,0,0,0,130,0,0,0,0,0,0,0,0,0,0,1,0,123,1,0,255
,138B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,138B001,0,0,0,78,0,0,0,0,1,0,0,0,0,0,0,0,195,0,0,274
,138B002,1,0,0,101,0,0,0,0,0,1,0,0,0,1,0,0,213,1,3,321
,138B003,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,162
,138B004,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,44
,140B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,140B001,0,1,0,198,0,0,1,1,0,1,1,0,0,2,0,0,93,0,1,299
,140B002,0,0,0,287,0,0,5,0,0,0,0,1,0,0,0,0,188,0,8,489
,140B003,0,0,0,305,0,1,4,2,0,1,0,0,0,0,1,0,192,1,6,513
,140B004,0,0,0,437,0,0,2,1,0,1,0,1,1,0,0,0,257,0,2,702
,140B005,0,0,0,98,0,0,2,0,0,0,0,0,1,0,0,0,87,0,0,188
,140B006,0,0,0,250,0,1,2,0,0,0,1,0,0,0,0,0,126,0,4,384
,140B007,0,0,0,280,0,1,3,1,0,0,0,0,0,0,0,0,123,0,0,408
,140B008,0,0,0,393,0,0,1,0,1,0,0,1,0,2,0,0,226,1,2,627
,140B009,0,0,0,281,0,1,2,1,0,0,0,1,1,0,0,0,200,2,3,492
,140B010,0,0,0,302,0,0,2,2,0,1,0,0,0,0,2,0,184,0,8,501
,140B011,0,0,0,274,1,0,1,0,0,1,1,0,1,1,1,0,209,2,2,494
,140B012,0,0,1,294,0,2,6,2,0,2,0,1,0,0,1,0,168,0,2,479
,140B013,0,0,0,282,0,0,4,3,0,2,0,0,0,0,0,0,173,0,7,471
,140B014,0,0,0,183,1,0,5,2,0,0,0,0,0,0,0,0,95,0,2,288
,142B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
