"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","NARODNI DEMOKRATSKI POKRET"
108B001,52,31,10,127,10
Ukupno,52,31,10,127,10
