"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","SDA-STRANKA DEMOKRATSKE AKCIJE","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","NARODNI DEMOKRATSKI POKRET"
158B001,71,17,36,10
Ukupno,71,17,36,10
