"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET"
058B001,10,29,6,6,8,68,1,7
Ukupno,10,29,6,6,8,68,1,7
