"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","LIBERALNO DEMOKRATSKA STRANKA BIH","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","SRPSKA NAPREDNA STRANKA","DEMOKRATSKA FRONTA","SAVEZ ZA NOVU POLITIKU","SRS-SRPSKA U SIGURNE RUKE","POKRET ZA BOLJE BRČKO-ĐAPO MIRSAD","BRČANSKI DEMOKRATSKI POKRET (BDP)","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","HRVATSKA SELJAČKA STRANKA - BRAĆA RADIĆ BRČKO DISTRIKT BIH",PDP-NS,"KOALICIJA SDS-NDP"
200C106,0,3,7,5,0,24,5,0,0,0,67,0,13,7,6,0,4,4,19,0,5,34,82
200C107,1,47,4,0,0,0,61,0,1,0,0,2,0,0,0,0,0,4,37,0,16,0,0
200C108,0,0,0,0,0,3,0,0,0,0,41,0,0,0,0,0,0,0,32,0,0,26,100
200C109,1,13,41,4,0,0,91,0,4,0,5,5,48,0,33,0,0,4,24,0,5,9,6
200C110,0,0,1,2,0,6,0,1,2,0,28,0,0,3,0,0,1,0,2,0,1,48,40
200C111,1,39,32,2,1,6,72,0,6,0,0,0,53,0,13,0,0,20,37,0,4,6,5
200C112,0,14,16,0,0,0,14,0,2,0,0,0,93,0,6,0,0,4,9,0,6,0,0
200C113,0,0,3,5,0,34,5,0,0,0,93,1,2,3,13,0,4,2,10,0,4,36,96
200C114,0,15,17,2,0,9,75,2,1,0,32,2,41,0,26,0,1,6,22,1,0,4,19
200C115,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
200C116,0,0,1,4,0,32,0,1,0,1,136,0,0,1,3,0,4,0,12,0,5,71,177
200C117,0,0,0,8,0,32,4,0,0,0,122,0,0,1,1,0,2,1,24,0,2,64,152
200C118,0,0,2,4,0,17,0,0,0,0,83,0,1,1,1,0,2,2,7,0,0,40,95
200C119,0,1,3,6,0,35,0,0,1,0,155,0,1,1,0,0,5,0,3,0,0,53,141
200C120,0,0,2,12,0,26,0,0,0,0,143,0,0,0,0,0,10,0,4,0,4,57,91
200C121,1,7,29,4,0,8,30,1,1,0,29,14,23,0,23,0,2,18,27,0,2,14,17
200C122,0,10,15,0,0,0,21,0,0,0,0,0,21,0,54,0,0,13,23,0,0,0,0
200C123,0,0,0,4,0,4,0,1,2,0,31,1,3,0,1,0,2,0,16,0,3,18,46
Ukupno,44,1754,1984,2976,5,1762,4924,116,167,43,5485,92,2012,140,1284,3,170,759,3226,3,1654,2738,5879
