"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA",NS,"DEMOKRATSKA FRONTA","NARODNI DEMOKRATSKI POKRET","SNAGA NARODA","SRS-SRPSKA U SIGURNE RUKE"
081B001A,22,100,36,58,20,27,101,3,3,17,42,35,3
081B001B,28,126,13,20,6,34,67,1,10,8,37,14,4
081B002,35,26,23,27,83,27,40,3,1,0,21,67,0
081B003,9,12,104,3,9,69,40,8,6,0,3,5,1
081B004,3,50,43,90,9,91,107,5,38,23,10,12,15
081B005,1,24,9,99,4,121,106,60,34,6,2,4,5
Ukupno,98,338,228,297,131,369,461,80,92,54,115,137,28
