"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET","SNAGA NARODA","SRS-SRPSKA U SIGURNE RUKE"
023B001,121,50,54,4,83,7,34,17,121
023B002,37,16,1,0,12,7,20,15,40
023B003,133,62,2,5,93,1,11,14,20
023B004,168,26,1,52,58,0,10,13,8
Ukupno,459,154,58,61,246,15,75,59,189
