"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA RADIKALNA STRANKA ""9. JANUAR""","DEMOKRATSKA FRONTA","SRS-SRPSKA U SIGURNE RUKE","MILAN BJELICA - NEZAVISNI KANDIDAT"
142B001,7,149,35,51,63,267,0,33,36,34
142B002,1,72,12,11,23,99,0,4,1,1
142B003,7,74,0,2,7,45,0,4,0,2
142B004,0,0,0,0,2,4,0,0,0,0
Ukupno,15,295,47,64,95,415,0,41,37,37
