"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH",SDA/SBB
018B001,67,1,0,0,0,0,1,0,173
018B002,0,90,0,5,67,9,83,0,0
018B003,0,15,0,0,3,5,6,0,0
018B004,0,24,0,0,14,27,67,0,0
018B005,27,0,0,0,0,12,0,0,270
018B006,2,1,52,0,2,1,10,0,3
018B007,1,29,1,70,34,98,210,1,1
018B008,74,5,1,4,0,0,10,0,172
Ukupno,171,165,54,79,120,152,387,1,619
