,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,112A010B,0,0,0,8,84,169,6,5,0,7,7,4,1,0,0,0,1,292
,112A011,0,0,3,21,20,158,2,5,0,16,25,6,5,0,3,0,2,266
,112A012,11,1,15,21,9,57,1,0,0,45,75,18,0,0,0,0,2,255
,112A013A,19,0,27,48,3,49,0,1,0,64,189,37,0,0,2,0,2,441
,112A013B,10,1,16,41,8,44,1,3,0,35,85,24,1,0,1,0,1,271
,112A014,5,1,13,32,16,309,0,1,0,66,99,4,1,0,2,1,0,550
,112A015,2,0,0,7,39,197,3,2,0,3,0,0,1,0,0,0,0,254
,112A016A,12,1,12,23,24,139,3,3,0,17,64,2,1,0,6,0,3,310
,112A016B,7,1,18,36,19,79,2,1,0,37,106,11,0,0,3,0,0,320
,112A017A,0,0,1,9,59,324,1,3,0,16,2,3,0,0,2,0,0,420
,112A017B,1,0,4,14,49,204,2,2,0,17,8,3,2,0,1,0,1,308
,112A018,0,0,0,8,85,428,5,4,0,7,0,3,1,0,0,0,1,542
,112A019,0,0,0,4,38,334,5,10,0,5,13,3,0,0,1,0,5,418
,112A020,13,2,2,25,23,144,0,7,1,31,96,13,3,1,6,0,1,368
,112A021,8,0,10,20,32,264,4,1,0,26,94,4,0,0,0,0,0,463
,112A022,12,0,10,32,0,2,0,2,0,50,92,32,0,0,2,0,4,238
,112A023,10,0,11,27,0,0,0,0,1,43,116,8,0,0,3,0,1,220
,112A024,4,0,1,12,57,243,6,2,1,20,20,5,8,0,3,1,1,384
,112A025,1,0,5,17,31,178,0,3,0,5,13,14,6,0,1,0,2,276
,112A026,0,0,7,4,40,299,3,3,0,11,4,1,2,0,1,0,0,375
,112A027,12,0,14,18,0,1,0,0,0,28,113,4,0,0,0,0,0,190
,112A028,8,0,18,63,1,1,0,7,0,81,150,24,0,1,19,0,2,375
,112A029,1,0,1,16,37,157,6,2,0,18,10,10,0,0,3,0,2,263
,112A030,2,0,0,6,29,141,2,3,0,4,26,6,0,0,1,0,0,220
,112A031,6,1,25,27,0,0,0,0,0,103,61,7,0,0,1,0,1,232
,113A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,113A001,4,0,9,8,24,151,7,0,0,13,107,11,1,0,3,1,5,344
,113A002,6,0,11,26,27,339,8,2,0,27,15,10,0,0,1,0,4,476
,113A003,9,0,7,44,19,95,1,0,0,40,27,21,0,1,6,0,0,270
,113A004,3,1,3,25,28,181,0,3,0,27,26,16,0,0,1,0,4,318
,113A005,3,0,2,30,24,166,3,2,2,29,21,7,1,0,3,0,3,296
,113A006,3,0,0,17,33,289,6,0,0,13,5,7,0,0,0,0,0,373
,113A007,0,0,0,0,35,323,3,1,0,0,0,0,0,0,0,0,0,362
,113A008,4,0,2,20,25,146,0,3,0,15,41,4,1,0,0,0,0,261
,113A009,4,0,1,23,23,279,4,1,0,15,52,22,0,0,0,0,6,430
,113A010,12,0,17,51,12,54,0,0,0,45,76,7,0,0,0,0,2,276
,113A011,9,1,5,22,2,6,0,1,0,43,73,46,0,0,4,0,1,213
,113A012,6,0,5,81,0,0,0,0,1,58,98,10,0,0,0,0,2,261
,113A013,19,3,14,59,0,12,0,0,0,122,147,29,0,0,5,2,5,417
,113A014,0,0,0,2,37,296,4,0,0,0,1,0,5,0,0,0,2,347
,113A015A,31,2,34,81,5,51,0,0,0,148,218,43,1,0,11,0,6,631
,113A015B,7,2,9,41,0,4,0,0,0,49,53,7,0,0,2,0,1,175
,113A016,0,0,0,3,23,284,11,0,0,0,1,1,3,0,1,0,2,329
,113A017,4,1,1,41,36,134,2,3,0,16,37,10,0,0,0,0,0,285
,113A018,11,0,7,54,10,39,0,2,0,28,32,22,1,0,3,0,1,210
,113A019,1,1,1,11,29,156,1,1,0,21,7,0,0,0,0,0,0,229
,113A020,0,1,4,12,39,168,4,1,1,9,9,4,3,0,1,0,0,256
,113A021,8,0,16,66,0,0,0,1,0,39,84,14,0,0,0,0,2,230
,113A022,4,0,8,28,1,1,1,0,3,33,91,59,0,0,0,0,4,233
,113A023,8,0,12,52,9,108,1,0,0,35,47,4,2,1,1,0,4,284
,113A024,11,1,14,37,1,3,0,0,0,41,105,6,0,0,2,0,0,221
,114A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,114A001,3,0,1,20,16,67,1,3,0,45,40,60,8,0,12,0,2,278
,114A002,0,0,3,35,10,58,0,4,0,51,54,91,0,0,8,1,0,315
,114A003,7,2,6,29,0,2,0,4,0,92,155,126,0,1,17,0,5,446
,114A004,0,0,4,9,29,112,0,2,0,14,5,14,7,0,2,0,5,203
,114A005,7,0,7,11,6,1,0,2,0,57,193,48,0,1,23,0,2,358
,114A006,6,0,7,2,0,0,0,0,0,35,87,103,0,0,0,0,1,241
,114A007,13,3,14,40,9,25,0,0,0,99,160,85,1,4,31,0,4,488
,114A008,2,1,8,20,24,85,2,2,0,62,92,69,4,0,21,1,6,399
,114A009,2,0,0,3,62,238,1,4,0,7,2,17,0,0,1,0,8,345
,114A010,6,0,4,13,3,28,1,0,0,45,63,60,0,1,39,1,1,265
,114A011,2,0,0,7,69,188,3,3,0,9,15,20,1,0,24,0,7,348
,114A012,10,0,7,29,1,6,0,0,0,75,168,19,1,0,21,0,5,342
,114A013,4,1,1,20,13,34,1,1,0,34,52,66,2,0,6,0,5,240
,114A014,3,0,0,32,14,40,1,4,1,50,86,83,1,3,20,1,4,343
,114A015,7,0,3,9,7,46,0,2,0,49,93,62,2,0,9,0,6,295
,114A016,6,0,7,28,0,0,0,0,0,41,215,35,0,7,11,0,1,351
,114A017,3,3,3,5,10,27,0,1,0,15,60,31,4,3,9,1,0,175
,114A018,0,0,3,15,27,115,2,0,0,21,25,69,4,0,1,0,2,284
,115A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,115A001,3,0,7,15,2,15,2,0,0,28,22,0,1,2,0,0,1,98
,115A002,6,0,4,19,60,177,6,2,2,11,40,4,4,0,0,0,5,340
,115A003,11,0,10,34,30,79,2,14,0,34,82,21,3,0,1,0,2,323
,115A004,2,1,0,16,68,315,5,4,0,8,5,15,9,0,0,0,7,455
,115A005,5,2,12,41,15,79,1,1,1,34,166,2,1,0,2,0,8,370
,115A006,2,1,4,12,34,176,3,3,1,22,155,8,5,1,0,1,7,435
,115A007,0,1,2,8,26,131,0,3,0,3,50,4,3,0,0,0,7,238
,115A008,0,1,0,7,54,282,5,0,0,9,8,3,3,0,0,0,5,377
,115A009,0,0,0,13,27,146,2,1,0,8,7,11,13,0,0,0,2,230
,115A010,2,0,4,8,13,107,0,0,0,12,98,6,2,0,4,4,1,261
,115A011,10,1,22,37,20,116,0,0,0,51,182,19,2,0,3,0,3,466
,115A012,4,0,5,10,31,272,4,1,1,26,36,10,1,0,0,0,3,404
,115A013,8,1,9,15,7,204,5,0,0,16,58,3,1,0,0,0,5,332
,115A014,3,0,7,15,35,176,3,0,0,7,31,14,4,0,4,2,3,304
,115A015,8,2,26,65,6,54,0,0,0,55,125,11,0,0,2,1,3,358
,115A016,7,2,17,59,27,73,2,1,0,61,161,12,2,0,5,0,5,434
,115A017,0,0,0,4,62,145,0,1,0,7,0,1,0,0,0,0,5,225
,115A018,3,1,1,14,43,174,4,0,0,9,4,13,6,0,0,0,8,280
,115A019,7,1,7,21,22,146,2,1,0,4,95,13,3,0,3,0,2,327
,115A020,0,1,2,19,44,233,4,8,0,22,36,11,3,0,5,2,5,395
,115A021,1,0,2,2,5,96,0,1,0,7,3,3,0,0,0,1,2,123
,115A022,6,0,29,42,15,91,0,4,0,43,117,18,3,0,8,1,1,378
,115A023,8,0,8,39,2,10,0,0,0,28,91,1,0,0,1,0,3,191
,115A024,0,1,5,4,25,163,1,0,0,5,41,2,4,1,3,3,5,263
,115A025,1,0,5,10,33,186,2,1,0,10,36,20,1,1,5,0,4,315
,116A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,116A001,43,1,37,72,0,0,0,3,0,104,199,27,0,1,6,2,9,504
,116A002,14,1,26,31,0,0,0,0,0,34,141,17,0,0,7,0,2,273
,116A003,27,1,11,65,2,0,0,5,0,90,221,24,2,2,26,0,3,479
,116A004,14,1,14,60,0,1,0,3,1,74,214,39,0,0,14,0,1,436
,116A005,26,2,46,78,0,0,0,1,2,125,118,14,0,0,2,0,6,420
,116A006,147,5,37,70,0,0,2,5,0,106,215,9,0,1,9,0,6,612
,116A007,59,3,20,75,4,3,0,5,1,100,92,16,1,1,2,0,3,385
,116A008,34,2,20,41,0,0,0,9,0,55,100,15,1,0,30,1,2,310
,116A009,36,0,40,100,0,1,1,0,1,89,183,17,2,0,18,0,1,489
,116A010,30,0,32,25,0,0,1,1,0,15,170,18,0,0,12,0,0,304
,116A011,33,4,30,67,0,1,0,2,0,65,178,12,0,0,10,2,3,407
,116A012,49,0,28,23,0,2,0,0,0,84,144,10,0,0,4,1,1,346
,116A013,68,3,22,61,0,0,0,0,1,83,228,16,0,0,6,1,4,493
,116A014,79,2,48,57,1,0,0,2,1,110,132,7,1,0,3,0,1,444
,116A015,53,0,30,70,0,2,0,0,0,144,164,13,6,0,21,0,2,505
,116A016,106,2,22,45,0,0,0,1,0,95,107,8,0,0,9,0,4,399
,116A017,33,1,18,33,0,0,0,5,0,60,96,8,0,0,1,1,1,257
,116A018,18,4,22,63,3,3,0,11,1,109,144,34,0,0,25,0,3,440
,116A019,16,2,17,79,3,2,3,9,1,101,139,58,0,0,28,1,1,460
,116A020,12,1,25,80,1,2,0,4,2,131,155,61,4,1,19,1,4,503
,116A021,47,1,20,13,0,0,0,1,0,98,99,8,1,0,1,1,2,292
,116A022,61,0,21,68,0,1,0,8,1,112,149,19,0,0,3,1,1,445
,116A023,23,1,15,37,1,1,0,1,0,95,107,27,0,0,6,0,1,315
,116A024,101,1,22,42,0,0,0,0,0,49,157,7,1,1,6,1,2,390
,116A025,31,1,20,40,0,0,0,0,1,62,127,10,0,0,1,1,5,299
,116A026,5,4,19,7,0,0,0,0,1,35,83,1,1,0,0,0,0,156
,116A027,50,3,52,26,0,0,0,1,0,102,164,3,0,0,0,0,2,403
,116A028,63,1,21,54,0,0,1,0,1,78,66,6,1,1,10,0,3,306
,116A029,19,0,10,64,4,1,0,5,0,100,166,45,0,0,24,0,2,440
,116A030,29,1,16,78,2,1,0,7,0,90,127,25,0,0,20,1,0,397
,116A031,12,0,14,55,0,0,0,10,0,109,104,27,3,0,15,0,0,349
,116A032,25,1,21,60,0,0,0,5,0,87,167,33,1,1,17,0,4,422
,116A033,12,1,24,51,1,2,0,3,1,117,127,44,1,0,6,1,2,393
,116A034,21,1,34,64,1,0,0,8,4,78,242,15,1,1,20,0,1,491
,116A035,27,0,18,44,0,0,0,4,0,95,96,21,0,0,6,1,1,313
,116A036,28,4,22,51,2,0,0,10,0,100,92,10,1,0,7,0,0,327
,116A037,8,0,6,28,0,6,1,0,6,24,51,4,0,0,2,0,2,138
,116A038,10,1,29,34,0,0,0,3,0,99,126,13,0,1,2,1,5,324
,116A039,39,2,8,12,10,21,1,2,0,35,43,13,3,1,5,0,0,195
,116A040,60,0,21,46,0,0,0,4,0,64,81,8,0,0,5,0,1,290
,116A041,11,0,21,65,4,3,1,2,2,80,81,23,0,0,10,0,2,305
,116A042,11,0,27,59,0,0,0,5,0,115,96,15,0,0,14,1,2,345
,116A043,68,1,32,26,0,0,0,7,0,86,89,12,0,2,3,1,0,327
,116A044,42,1,13,17,0,1,0,0,0,29,69,1,0,0,1,0,1,175
,116A045,27,1,15,35,0,0,2,0,0,38,82,6,1,0,2,0,2,211
,116A046,9,0,12,29,0,0,0,1,0,42,106,20,0,0,4,0,1,224
,116A047,23,1,42,94,0,0,0,9,1,99,172,6,0,1,16,0,0,464
,116A048,41,1,31,54,0,0,0,2,0,74,129,18,1,1,20,0,3,375
,116A049,96,2,22,58,0,3,0,3,0,61,169,27,0,0,6,0,4,451
,116A050,52,1,31,42,0,0,2,0,3,60,113,12,1,0,5,0,4,326
,116A051,16,3,9,50,1,0,0,5,1,66,153,29,1,0,22,2,2,360
,116A052,20,0,28,31,0,0,0,0,0,48,64,8,0,0,23,1,3,226
,117A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,117A001,10,2,30,101,6,2,1,5,1,145,82,60,3,1,3,0,7,459
,117A002,2,1,41,102,9,11,1,3,0,127,54,45,1,1,7,2,7,414
,117A003,4,2,26,109,8,6,0,10,0,155,71,35,0,0,4,1,7,438
,117A004,11,4,35,96,1,0,0,0,3,197,125,48,1,5,12,1,8,547
,117A005,17,3,29,86,1,1,0,1,0,166,217,35,2,1,15,4,5,583
,117A006,2,0,14,42,1,0,0,0,0,99,70,17,0,0,3,0,0,248
,117A007,12,1,19,27,0,0,0,1,0,126,172,11,0,0,2,0,0,371
,117A008,33,1,19,26,0,0,0,1,0,102,54,11,0,1,5,2,1,256
,117A009,5,1,17,33,0,0,0,0,1,100,78,34,1,0,0,0,5,275
,117A010,17,1,26,63,0,0,0,4,0,132,102,27,3,3,6,1,10,395
,117A011,9,2,31,67,0,0,0,0,2,146,147,22,1,1,8,3,3,442
,117A012,16,1,44,78,0,0,1,0,1,143,129,27,0,0,6,3,7,456
,117A013,10,0,3,64,0,0,1,1,0,92,64,22,0,0,9,1,3,270
,117A014,8,2,28,85,0,0,0,2,1,159,108,20,0,1,2,0,5,421
,117A015,8,2,27,51,1,0,2,3,0,138,99,14,1,0,2,0,6,354
,117A016,12,1,19,33,0,5,0,0,0,140,71,15,0,0,2,2,5,305
,117A017,1,0,14,39,1,0,0,0,0,90,53,5,0,0,2,2,5,212
,129A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,129A001,3,0,1,18,90,250,3,12,0,20,35,24,2,0,0,0,4,462
,129A002,0,0,1,5,52,115,0,0,0,2,7,18,4,0,0,0,3,207
,129A003,0,0,0,7,53,225,4,11,0,0,0,5,2,0,0,0,1,308
,129A004,8,0,4,24,47,202,2,6,0,14,67,17,1,0,0,0,3,395
,129A005,16,0,9,17,37,193,2,8,0,20,133,31,2,0,3,0,3,474
,129A006,0,1,0,12,85,241,4,10,0,3,3,10,6,0,0,0,0,375
,183A001,3,2,0,9,68,112,3,10,0,24,31,8,1,0,1,0,3,275
,183A002,0,0,0,5,33,31,0,6,0,4,1,2,3,0,0,0,0,85
,183A003,0,0,0,4,70,123,0,17,0,3,0,3,9,0,0,0,0,229
,183A004A,0,0,0,2,73,120,1,7,0,3,0,3,7,0,1,0,0,217
,183A004B,0,0,0,0,139,114,1,27,0,1,0,8,31,0,0,0,0,321
,183A005,0,0,0,8,48,92,2,25,0,4,0,0,3,0,0,0,0,182
,183A006A,1,0,0,17,41,67,0,5,0,7,9,6,1,0,6,0,0,160
,183A006B,0,0,0,15,45,66,2,5,0,4,13,13,3,1,1,0,2,170
