,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,050A055,2,2,20,16,78,0,2,0,2,5,1,26,0,0,0,0,0,154
,050A056,19,5,55,2,0,3,10,0,0,165,102,22,0,0,1,0,2,386
,050A057,1,11,25,21,88,0,4,0,0,21,47,21,2,0,0,1,1,243
,050A058,1,1,22,15,86,0,7,0,0,29,15,28,3,0,0,3,1,211
,050A059,15,14,67,1,1,8,9,1,2,135,29,29,0,1,11,5,4,332
,050A060,20,12,64,5,4,7,16,1,1,78,37,39,4,2,2,7,6,305
,050A061,8,19,80,2,9,7,7,0,0,156,54,46,0,0,7,3,3,401
,050A062,16,7,74,5,10,3,13,0,1,100,28,27,1,0,7,2,1,295
,050A063,16,12,55,3,11,14,12,1,3,126,35,41,0,1,12,4,4,350
,050A064,9,11,70,9,6,3,19,2,0,88,32,33,0,0,2,3,3,290
,050A065,15,11,84,0,2,6,4,3,0,178,36,34,1,1,7,2,5,389
,050A066,10,13,105,0,0,2,3,1,0,172,35,61,0,0,5,10,0,417
,050A067,14,22,108,2,7,14,5,0,0,69,54,53,0,1,5,4,2,360
,050A068,3,14,68,2,12,8,3,2,0,68,61,39,0,1,8,9,1,299
,050A069,17,14,66,0,1,4,7,3,2,101,53,29,2,0,1,0,2,302
,050A070,9,13,65,3,10,10,1,4,0,83,25,43,0,1,17,2,1,287
,050A071,27,6,42,4,27,3,7,0,0,46,58,54,0,1,1,0,2,278
,050A072,30,6,26,1,0,0,11,0,0,41,47,17,0,1,3,1,8,192
,050A073,32,23,91,0,7,4,12,1,0,97,96,45,0,1,2,1,5,417
,050A074,10,11,101,5,8,8,5,2,1,76,32,62,1,0,7,5,5,339
,050A075,12,7,68,2,3,9,5,3,3,67,35,39,1,1,1,4,1,261
,050A076,19,14,110,6,3,28,1,1,0,89,42,61,0,1,6,4,4,389
,050A077,9,10,88,6,6,9,11,0,0,95,45,75,0,1,4,4,1,364
,050A078,9,14,91,4,12,7,5,4,1,95,32,76,0,1,8,6,5,370
,050A079,11,25,106,5,4,22,2,0,5,115,74,86,1,1,2,5,2,466
,050A080,1,0,12,10,69,0,25,0,0,6,0,3,3,0,0,0,0,129
,050A081,15,15,74,0,1,4,15,2,2,97,107,137,0,0,4,19,5,497
,050A082,20,7,51,2,0,1,14,1,0,88,68,35,2,0,3,0,3,295
,050A083,8,4,26,0,1,0,15,0,0,42,44,14,0,0,3,1,2,160
,050A084,10,10,38,0,2,2,17,0,0,43,71,24,1,0,1,1,3,223
,050A085,1,0,19,22,79,0,1,0,0,8,0,26,0,0,0,0,1,157
,050A086,2,0,20,9,46,3,7,0,0,15,12,28,0,0,1,1,0,144
,050A087,0,0,20,14,73,1,2,0,0,5,1,21,1,0,1,2,0,141
,050A088,11,21,59,2,3,4,25,0,1,85,71,41,0,0,7,11,2,343
,050A089,12,33,33,2,1,0,47,2,0,54,146,33,3,0,17,4,5,392
,050A090,7,17,21,1,1,0,60,0,2,41,136,16,6,0,16,4,1,329
,050A091,7,32,46,0,3,0,40,0,1,32,97,21,1,0,11,6,6,303
,050A092,11,27,58,0,1,1,49,1,0,101,89,29,1,1,20,1,2,392
,050A093,0,4,4,0,2,0,38,0,11,17,11,21,1,0,1,18,3,131
,050A094,16,12,90,5,7,19,9,0,1,104,55,80,0,2,9,4,3,416
,050A095,7,11,101,8,9,25,6,1,1,106,59,77,0,2,11,2,3,429
,050A096,19,15,98,2,8,9,8,2,4,68,24,75,0,3,4,5,2,346
,050A097,11,12,82,5,9,17,4,1,2,81,39,71,4,0,6,4,0,348
,050A098,10,11,111,9,9,17,3,3,1,91,37,84,1,3,9,9,4,412
,050A099,20,13,92,3,6,19,3,1,1,93,54,76,0,1,6,5,4,397
,050A100,3,6,41,0,0,1,2,0,0,51,21,20,1,1,4,1,2,154
,050A101,7,11,125,8,9,17,10,5,1,80,57,59,0,1,10,6,0,406
,050A102,8,15,70,3,12,3,3,1,0,59,77,43,0,0,7,0,4,305
,050A103,12,22,79,13,8,23,10,1,1,111,51,80,0,1,6,8,2,428
,050A104,7,18,73,12,25,3,4,1,0,55,60,36,1,1,7,8,0,311
,050A105,17,27,80,0,0,2,9,3,1,126,102,29,0,2,4,5,2,409
,050A106A,7,8,85,0,1,3,2,0,0,57,39,35,0,1,5,8,1,252
,050A106B,6,4,58,1,2,6,3,0,1,86,50,40,2,1,8,2,4,274
,050A107,10,29,84,3,0,5,4,3,0,110,76,45,0,4,8,0,3,384
,050A108,15,11,64,0,5,3,1,1,0,82,48,52,1,0,2,6,2,293
,050A109,11,15,73,1,1,2,9,2,0,83,73,40,0,0,4,3,5,322
,050A110,6,7,103,1,7,2,3,1,0,112,50,48,1,0,4,5,2,352
,050A111,18,22,122,0,0,5,6,0,0,79,63,32,0,0,4,3,1,355
,050A112,16,9,65,2,2,0,12,1,0,63,32,31,0,0,6,0,1,240
,050A113,14,26,99,1,2,6,10,0,1,133,75,33,0,0,3,2,2,407
,050A114,15,12,71,1,0,7,6,0,0,71,35,18,2,0,0,0,2,240
,050A115,11,30,69,4,14,1,11,1,0,86,52,50,0,0,11,3,2,345
,050A116,5,12,48,13,16,4,18,4,1,87,41,41,0,0,3,11,4,308
,050A117,9,17,86,1,6,15,19,2,2,73,95,49,0,0,10,3,5,392
,050A118,10,10,51,4,1,5,6,0,1,44,19,40,0,0,1,5,5,202
,050A119,15,22,84,6,9,6,7,2,0,105,32,68,0,1,7,18,10,392
,050A120,16,22,80,0,2,6,66,1,0,83,46,31,0,0,6,6,2,367
,050A121,14,28,61,2,7,9,39,1,0,86,32,33,0,0,16,3,1,332
,050A122,12,18,87,5,8,6,6,1,2,96,46,99,1,2,7,9,8,413
,050A123,13,28,73,2,5,3,16,1,1,113,50,38,0,0,4,6,1,354
,050A124,9,11,106,7,9,14,9,0,2,69,32,104,2,1,2,16,3,396
,050A125,10,11,94,4,12,9,7,3,0,84,50,92,1,0,7,9,3,396
,050A126,15,11,110,6,7,12,8,0,3,92,39,95,1,3,5,5,3,415
,050A127,12,13,97,3,11,9,9,2,4,82,50,62,0,1,4,12,3,374
,050A128,10,15,84,3,14,21,8,1,1,106,49,85,0,1,1,3,3,405
,050A129,13,13,95,0,12,21,3,3,3,84,65,70,1,3,10,4,2,402
,050A130,13,21,82,9,5,12,15,5,0,107,44,67,0,0,8,8,4,400
,050A131,17,10,70,10,7,10,5,1,1,55,38,87,0,0,4,4,0,319
,050A132,3,9,97,7,9,9,4,3,1,54,33,62,1,0,8,6,5,311
,050A133,11,8,111,2,0,5,22,0,0,37,54,89,0,1,4,3,1,348
,050A134,16,8,83,1,6,1,30,0,0,43,19,47,0,0,5,1,2,262
,050A135,9,12,42,0,0,1,23,0,0,45,109,30,0,0,5,2,4,282
,050A136,9,3,35,0,0,0,18,0,0,23,81,21,0,0,2,0,4,196
,050A137,7,48,103,1,0,4,12,0,0,105,74,35,1,3,7,3,5,408
,050A138,8,4,67,0,3,1,14,0,0,54,19,47,1,0,5,1,1,225
,050A139,9,21,106,0,0,9,32,0,0,134,85,47,0,1,6,2,4,456
,050A140,15,23,80,1,0,3,2,3,0,121,71,47,0,2,2,7,7,384
,050A141,15,14,81,2,0,13,7,1,0,120,111,47,1,2,8,10,1,433
,050A142,6,20,105,3,16,14,8,0,0,76,74,74,1,0,12,5,1,415
,050A143,4,4,64,5,3,8,6,1,0,71,75,53,1,1,4,8,0,308
,050A144,10,17,84,5,11,23,1,1,2,83,50,63,0,1,8,5,4,368
,050A145,11,12,111,6,5,21,0,4,0,72,100,72,0,5,10,10,2,441
,050A146,9,23,113,3,4,13,13,2,0,128,82,61,0,1,6,11,2,471
,050A147,4,11,105,3,8,16,3,3,1,78,55,59,0,3,4,9,1,363
,050A148,12,15,115,1,1,8,8,1,0,121,45,56,0,0,6,5,3,397
,050A149,6,4,31,1,2,5,1,0,0,38,14,22,0,0,5,0,0,129
,050A150,16,13,104,1,2,6,11,2,1,92,27,59,0,1,3,4,1,343
,050A151,15,25,117,4,1,4,6,0,1,99,43,50,0,1,9,10,2,387
,050A152,26,15,126,1,11,8,19,0,0,86,24,27,0,2,0,16,3,364
,052A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,052A001,2,5,32,0,0,1,1,0,0,50,40,20,0,2,109,1,1,264
,052A002,0,7,68,0,0,0,4,0,0,52,39,26,0,0,169,1,0,366
,052A003,0,17,25,1,1,0,0,0,0,38,60,25,0,1,243,2,0,413
,052A004,1,7,14,0,0,0,7,0,0,14,120,10,0,1,65,1,1,241
,052A005,2,14,17,0,0,1,28,0,0,20,94,44,1,1,15,0,1,238
,052A006,0,7,27,1,0,0,8,0,0,25,173,5,0,0,2,0,4,252
,052A007,3,6,0,0,1,0,0,0,0,9,175,15,0,0,15,0,0,224
,052A008,7,4,6,0,0,0,1,0,1,5,162,13,2,1,17,0,3,222
,052A009,3,6,22,0,0,0,9,2,0,19,191,11,0,1,17,0,3,284
,052A010,0,7,11,1,0,0,3,0,0,16,161,12,1,5,38,0,1,256
,052A011,0,1,7,0,0,0,0,0,3,12,63,10,0,3,23,0,0,122
,052A012,0,0,1,9,242,0,131,0,0,0,0,0,0,0,0,0,1,384
,052A013,4,3,29,1,0,1,6,0,0,32,182,10,0,0,6,1,3,278
,052A014,4,3,25,0,0,0,2,0,0,44,75,14,0,0,107,0,1,275
,052A015,4,8,45,0,0,0,8,0,0,41,76,29,0,0,136,1,0,348
,052A016,0,6,25,0,0,1,2,0,0,7,146,11,0,0,48,1,2,249
,055A001A,4,42,46,1,0,0,0,0,0,33,273,39,1,0,7,0,5,451
,055A001B,0,20,10,0,0,0,10,0,0,30,126,26,0,1,12,0,0,235
,055A001C,2,13,7,0,0,0,2,0,1,14,145,5,0,0,17,0,0,206
,055A002A,3,32,21,0,0,0,13,2,0,71,185,53,0,1,34,1,3,419
,055A002B,3,38,20,0,0,0,8,1,1,38,112,11,2,0,21,0,2,257
,055A003,3,39,31,0,0,0,48,1,0,32,234,12,0,2,33,1,1,437
,055A004,0,11,14,0,0,0,2,0,0,51,305,14,0,0,9,0,0,406
,055A005,1,25,24,1,0,0,16,0,0,26,171,64,0,0,13,0,0,341
,055A006,2,11,15,0,0,0,5,0,0,18,165,6,1,0,2,0,1,226
,078A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,078A001,2,4,28,0,1,1,0,0,0,19,295,41,0,0,3,0,1,395
,078A002,1,13,32,3,4,1,0,1,1,50,221,81,2,0,2,0,1,413
,078A003,3,10,50,1,1,0,1,0,0,57,232,41,1,0,7,0,0,404
,078A004,1,10,53,2,0,0,0,0,0,52,179,39,1,3,3,0,0,343
,078A005,0,8,33,0,3,1,0,0,0,36,180,42,1,0,9,0,0,313
,078A006,6,5,55,1,2,0,1,1,1,69,264,47,1,1,0,0,2,456
,078A007,1,4,23,0,0,0,0,0,0,12,384,54,1,0,2,0,0,481
,078A008,0,8,8,0,0,0,0,0,0,31,411,16,0,0,4,2,0,480
,078A009,0,8,19,0,3,0,2,0,0,32,215,56,1,0,0,0,1,337
,078A010,0,4,18,0,0,0,0,0,0,28,257,48,0,0,4,1,1,361
,078A011A,2,2,10,0,0,0,0,0,0,14,373,65,0,0,6,0,0,472
,078A011B,2,0,28,0,0,0,0,1,0,14,307,53,0,0,1,0,0,406
,078A012A,1,5,17,0,0,0,0,0,0,17,559,20,0,0,1,0,0,620
,078A012B,0,7,23,0,0,2,0,0,0,23,664,19,0,0,1,0,1,740
,078A012C,1,5,12,0,0,0,0,0,0,13,398,21,0,0,2,1,0,453
,078A013,2,11,64,0,1,1,1,0,0,59,328,63,0,1,8,2,1,542
,078A014,0,0,1,0,0,0,0,0,0,6,167,1,0,0,0,0,0,175
,078A015,1,6,26,0,0,1,0,0,0,34,613,23,0,0,1,0,3,708
,078A016,0,2,9,0,0,0,0,0,0,40,567,29,0,0,2,0,0,649
,078A017,2,14,21,0,0,1,0,0,0,29,613,31,0,1,3,1,0,716
,078A018,0,0,4,0,0,0,0,0,0,0,195,2,0,0,0,0,0,201
,078A019,3,12,34,0,0,0,0,0,0,43,426,28,0,0,5,0,2,553
,078A020,0,6,28,0,0,0,0,0,0,18,436,45,1,0,10,0,2,546
,078A021,1,4,17,1,0,0,0,0,0,41,435,4,0,0,1,0,1,505
,078A022,3,0,9,0,0,0,0,0,0,4,217,15,0,0,0,0,0,248
,078A023,0,6,33,0,0,0,0,0,0,46,463,98,0,0,2,1,0,649
,078A024,3,6,47,1,0,1,0,1,1,83,367,63,0,0,4,0,1,578
,078A025,1,3,25,0,0,0,2,0,0,15,399,13,0,0,5,0,0,463
,078A026,1,4,21,0,1,0,0,0,0,39,455,21,0,0,1,1,0,544
,078A027,0,5,15,0,0,0,0,0,0,9,280,31,0,0,5,0,0,345
,078A028,1,2,30,0,5,2,0,0,0,35,217,42,0,0,7,1,1,343
,078A029,0,4,23,0,0,0,0,0,0,16,126,13,0,0,3,0,0,185
,078A030,0,5,2,0,0,0,0,0,0,4,176,6,0,0,1,0,0,194
,078A031,0,9,29,2,5,1,0,2,0,49,221,52,1,0,9,1,3,384
,078A032,0,1,6,0,0,0,0,0,0,6,244,0,0,0,0,0,0,257
,079A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,079A001,6,42,17,0,0,0,2,0,0,33,148,20,0,2,37,1,1,309
,079A002,4,37,14,1,0,3,6,0,1,16,142,22,0,0,23,1,0,270
,079A003,6,38,18,1,0,3,9,0,0,20,238,21,0,0,33,0,6,393
,079A004,3,5,14,0,0,0,4,0,0,9,123,45,0,2,2,1,4,212
,079A005A,0,22,12,0,0,0,9,0,0,13,175,42,0,3,5,1,5,287
,079A005B,4,4,12,4,0,0,2,0,0,23,138,43,0,0,8,2,5,245
,079A006,0,25,3,0,1,0,20,0,0,32,189,33,0,1,0,0,1,305
,079A007,4,17,13,0,2,1,23,0,0,14,322,19,0,2,7,0,3,427
,079A008A,3,16,8,0,0,1,11,0,0,11,170,50,0,0,7,2,1,280
,079A008B,3,21,9,1,0,1,28,0,0,9,138,66,0,0,3,2,6,287
,079A009A,4,8,33,1,0,16,54,0,0,31,67,37,0,0,10,0,0,261
,079A009B,6,13,27,0,0,20,74,0,0,37,75,46,0,0,2,0,2,302
,079A010,8,3,16,2,0,0,7,0,0,20,78,65,0,0,5,1,0,205
,079A011A,7,15,22,5,2,2,18,1,0,49,160,82,0,0,9,1,4,377
,079A011B,3,11,30,2,1,0,15,0,0,31,154,80,0,0,4,1,0,332
,079A012,2,11,18,0,0,2,17,0,0,18,114,44,0,0,2,1,2,231
,079A013,2,22,59,0,0,0,18,0,0,51,203,80,0,1,32,0,3,471
,079A014,3,14,51,1,0,2,16,0,0,31,103,69,0,0,25,0,0,315
,079A015,9,15,63,2,0,1,15,0,0,33,95,56,0,1,44,0,1,335
,079A016,6,6,44,0,0,0,25,1,0,27,129,44,0,0,31,0,3,316
,079A017,6,18,37,0,1,2,5,0,1,35,131,16,0,2,26,0,0,280
,079A018,4,21,69,1,3,3,12,0,0,34,125,56,0,0,40,2,5,375
,079A019,7,11,61,1,5,4,17,0,1,33,118,37,1,1,27,0,4,328
,079A020,2,13,22,0,0,4,100,0,0,25,81,76,0,0,37,1,1,362
,079A021,3,33,49,0,0,3,8,0,0,57,89,19,0,0,21,0,2,284
,079A022,4,31,51,0,0,1,0,0,0,63,144,16,0,0,44,3,4,361
,079A023,2,12,20,1,0,10,14,1,0,67,174,52,0,0,52,0,2,407
,079A024,5,12,37,0,0,2,14,0,0,31,192,27,0,0,10,1,0,331
,079A025,7,13,36,0,0,1,2,1,0,29,227,46,0,0,18,0,1,381
,079A026,2,13,44,2,3,0,3,0,0,59,125,77,0,1,12,1,1,343
,079A027,5,19,49,8,26,3,5,1,0,76,143,64,2,0,14,0,1,416
,079A028,3,22,40,1,0,1,3,2,0,100,83,42,0,0,17,0,0,314
,079A029,8,22,32,0,0,3,5,1,0,84,135,36,0,0,15,1,1,343
,079A030,1,7,54,26,116,4,0,0,0,21,37,27,0,0,5,0,1,299
,079A031,6,13,54,5,14,0,38,0,0,29,140,38,0,0,3,0,1,341
,079A032,5,16,35,4,21,1,25,0,0,39,64,31,0,0,5,0,1,247
,079A033,10,21,49,0,5,1,9,1,1,58,93,121,0,0,20,2,2,393
,079A034,12,20,65,0,0,0,11,0,0,49,144,77,0,0,21,0,3,402
,079A035A,1,16,58,0,0,1,11,0,1,31,143,82,0,0,11,0,0,355
,079A035B,4,8,34,0,0,0,6,0,0,23,125,51,0,1,18,0,3,273
,079A036,15,33,61,0,0,0,3,1,0,44,58,42,2,2,75,0,3,339
,079A037,12,33,48,0,0,3,18,0,0,71,160,53,0,1,127,0,0,526
,079A038,11,7,32,0,0,1,1,0,0,49,81,40,0,1,71,0,2,296
,079A039,3,19,45,0,0,1,2,0,0,48,110,32,0,0,72,1,3,336
,079A040,6,27,60,0,0,5,12,0,0,70,212,34,0,0,50,1,0,477
,079A041A,9,20,57,0,1,2,5,0,0,51,154,29,0,1,47,0,2,378
,079A041B,10,20,45,0,1,3,5,0,0,43,168,32,2,0,37,1,1,368
,079A042,2,3,33,17,66,1,6,0,0,20,17,52,0,0,3,0,0,220
,079A043,8,6,22,1,0,3,5,0,0,32,79,67,0,0,9,1,1,234
,079A044,9,4,48,3,11,1,7,0,0,55,138,110,0,0,6,2,2,396
,079A045,10,18,37,0,0,0,1,1,0,51,136,59,0,0,7,4,4,328
,079A046,16,16,39,0,0,0,1,0,0,66,103,40,0,1,19,0,4,305
,079A047,8,20,44,0,0,0,0,1,0,60,161,36,0,0,50,0,7,387
,079A048A,5,10,31,0,0,1,2,0,0,59,96,45,0,0,28,0,3,280
,079A048B,6,22,30,0,0,2,1,0,0,55,125,42,0,1,24,0,4,312
,079A049,7,17,33,0,0,2,2,0,0,45,149,80,0,2,17,1,5,360
,079A050,2,13,34,17,64,2,8,0,0,27,77,13,1,0,12,1,0,271
,079A051,8,29,73,8,27,1,12,0,0,63,99,47,0,1,20,1,2,391
,079A052A,5,17,37,0,7,4,6,0,0,37,83,21,0,0,15,1,1,234
,079A052B,7,28,56,0,6,2,5,1,0,55,108,46,0,3,11,0,1,329
,079A052C,5,24,23,0,0,0,8,1,0,36,59,10,0,1,17,2,1,187
,079A053,3,17,38,0,0,2,10,1,0,25,101,44,0,0,1,2,2,246
,079A054,5,37,27,2,5,0,10,0,0,41,110,27,1,1,8,0,2,276
,079A055,8,95,62,1,2,2,18,0,0,62,109,38,0,2,20,0,4,423
,079A056A,7,14,49,0,1,1,7,0,0,37,95,40,0,0,14,1,4,270
,079A056B,2,25,54,2,0,3,6,0,0,34,98,26,0,0,6,1,3,260
,079A056C,7,19,46,0,0,3,7,0,0,46,55,41,1,0,3,0,3,231
,079A057,2,11,22,0,0,0,4,0,0,30,99,30,0,1,34,0,2,235
,079A058,2,13,25,0,3,0,5,0,0,31,69,14,0,1,31,0,1,195
,079A059,0,11,31,1,9,7,7,1,0,52,57,34,0,0,6,0,2,218
,079A060,4,16,32,1,0,1,8,0,0,41,59,30,0,0,19,0,0,211
,079A061,2,19,77,4,20,2,8,0,1,80,59,80,1,0,12,3,3,371
,079A062,1,3,47,3,9,5,5,0,1,57,68,57,1,0,12,0,1,270
,079A063A,11,11,55,4,9,7,6,0,0,80,108,77,1,1,18,0,1,389
,079A063B,2,5,47,6,7,2,3,0,1,34,63,58,0,1,24,1,4,258
,079A064A,3,22,59,1,13,1,1,0,1,49,56,24,0,0,26,0,4,260
,079A064B,3,8,34,8,11,1,10,0,0,34,61,33,0,0,40,0,3,246
,079A065,4,19,50,1,17,0,13,0,0,53,59,71,0,0,11,0,2,300
,079A066,2,16,36,1,0,0,0,1,0,65,67,28,1,1,14,0,5,237
,079A067,4,6,55,2,19,1,3,1,0,63,116,49,0,0,13,0,1,333
,079A068A,7,11,47,3,3,3,5,0,2,41,51,24,0,1,8,0,5,211
,079A068B,1,7,24,0,7,1,0,0,0,19,28,22,0,0,8,0,2,119
,079A069,4,6,47,4,28,1,3,0,0,46,34,40,0,0,4,0,4,221
,079A070,6,9,80,1,11,4,8,2,1,83,91,77,0,0,11,1,5,390
,079A071,2,11,48,10,19,0,2,0,0,50,79,23,0,1,9,0,7,261
,080A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,080A001,1,26,33,0,0,2,6,0,0,45,111,39,0,2,13,1,0,279
,080A002,8,11,44,0,0,5,2,1,0,28,119,53,0,1,16,1,2,291
,080A003,5,22,43,0,0,5,1,0,0,18,150,67,0,0,10,3,1,325
,080A004,1,22,52,0,0,10,3,0,0,28,100,71,0,2,1,2,3,295
,080A005A,1,24,27,0,0,0,0,0,0,19,181,22,0,0,29,3,0,306
,080A005B,1,22,19,0,0,0,5,0,0,29,127,32,0,2,12,0,0,249
,080A006A,3,22,13,0,0,0,0,1,0,16,100,13,0,0,4,2,0,174
,080A006B,0,19,17,0,0,0,1,0,0,13,151,22,1,0,5,0,1,230
,080A007A,4,19,50,0,0,4,7,0,0,25,163,49,1,0,7,0,3,332
,080A007B,2,26,49,0,0,5,7,0,0,59,204,60,0,0,6,1,1,420
,080A007C,0,2,15,0,0,0,0,0,0,8,12,16,0,0,1,0,1,55
,080A008,7,15,16,0,0,6,2,0,0,27,121,53,0,1,8,0,2,258
,080A009A,7,41,44,0,0,0,22,0,0,40,79,78,0,0,12,2,1,326
,080A009B,13,34,56,0,0,0,9,0,0,49,137,112,0,0,6,0,4,420
,080A009C,1,20,39,0,0,4,4,0,0,12,90,109,0,0,4,1,1,285
,080A010A,7,34,31,0,0,2,8,1,0,30,76,41,0,0,10,0,0,240
,080A010B,0,21,17,0,0,1,0,0,0,10,91,16,0,0,4,0,2,162
,080A011A,4,23,37,1,0,3,35,0,0,21,137,52,0,1,2,0,4,320
,080A011B,3,32,23,1,0,1,54,0,1,38,78,83,0,0,1,0,3,318
,080A011C,1,20,26,0,0,1,43,0,0,23,84,37,0,0,8,2,4,249
,080A012A,3,16,42,0,0,6,11,0,0,75,133,101,1,0,6,0,2,396
,080A012B,1,4,44,0,1,0,8,0,0,24,84,56,0,0,1,0,2,225
,080A012C,1,20,31,0,0,0,9,0,0,39,54,43,0,0,1,0,2,200
,080A013,0,2,1,0,0,0,4,0,3,3,4,6,0,0,0,1,0,24
,080A014A,13,31,48,1,0,1,4,0,0,44,138,91,0,0,28,0,0,399
,080A014B,6,19,19,2,0,0,11,0,1,23,115,27,0,0,12,0,4,239
,080A014C,4,56,34,1,0,0,3,0,0,56,143,64,0,0,31,0,5,397
,080A014D,3,25,19,1,0,1,8,0,0,30,36,39,0,0,5,0,2,169
,080A015A,5,25,21,0,0,0,5,0,0,54,257,49,0,6,8,1,5,436
,080A015B,6,15,18,0,0,0,4,1,0,26,205,59,0,0,1,0,0,335
,080A015C,0,8,12,0,0,0,4,0,0,46,198,33,0,0,0,0,0,301
,080A016A,9,37,38,0,0,0,10,0,0,60,156,135,0,0,7,0,2,454
,080A016B,3,41,44,1,0,0,8,1,0,51,96,115,0,1,13,1,0,375
,080A016C,7,40,34,1,0,0,18,0,0,25,72,68,0,0,7,1,2,275
,080A016D,2,29,18,0,0,0,1,0,0,29,75,58,0,0,2,0,1,215
,080A017A,6,121,39,0,1,6,25,0,0,66,109,51,1,0,42,0,0,467
,080A017B,2,59,20,0,0,0,7,1,0,40,114,36,0,1,30,0,1,311
,080A018A,2,27,24,0,0,0,15,0,0,14,111,34,1,0,6,0,0,234
,080A018B,3,29,31,0,0,0,18,0,0,23,68,63,0,0,2,0,0,237
,080A019,1,22,7,0,0,0,4,0,0,13,225,16,0,0,1,1,1,291
,080A020,3,36,36,0,0,1,0,0,0,67,182,12,0,0,1,0,0,338
,080A021,6,24,16,0,0,0,12,0,1,19,113,54,0,0,22,2,2,271
,080A022,3,14,17,0,0,1,1,0,0,13,186,11,0,0,13,0,1,260
,080A023A,8,20,18,0,0,2,11,1,0,21,144,49,0,0,5,0,0,279
,080A023B,3,12,53,0,0,4,8,1,0,25,139,97,1,0,3,1,3,350
,080A023C,0,6,27,0,0,2,1,0,0,10,58,17,0,0,0,0,1,122
,080A024,8,18,12,0,0,6,4,0,0,17,118,65,0,1,4,0,1,254
,080A025,2,10,2,0,0,0,0,0,0,11,121,15,0,1,5,0,0,167
,080A026A,2,0,47,1,0,0,7,0,0,0,140,140,0,0,0,0,0,337
,080A026B,3,6,19,0,0,2,4,0,2,21,75,71,0,0,1,0,0,204
,080A027,1,23,25,0,0,0,4,0,0,28,81,41,0,0,6,1,1,211
,082A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,082A001A,2,11,16,0,0,0,0,0,0,14,119,0,0,0,22,0,2,186
,082A001B,12,14,37,0,0,0,1,2,0,5,196,5,0,1,48,0,1,322
,082A002,85,4,25,0,0,0,0,0,0,17,215,39,0,0,30,0,2,417
,082A003,60,4,89,0,0,0,6,0,0,4,509,12,0,0,31,0,0,715
,082A004,32,8,14,2,0,0,0,0,0,6,177,6,0,1,55,0,2,303
,082A005A,14,22,41,0,0,0,0,0,0,21,255,0,0,0,39,0,2,394
,082A005B,45,5,34,0,0,0,0,0,0,21,204,25,1,0,49,0,2,386
,082A005C,14,5,8,0,0,0,0,0,0,10,192,14,0,0,45,0,0,288
,082A006,44,4,61,0,0,0,0,0,0,12,131,9,0,2,44,0,1,308
,082A007A,85,7,33,0,0,0,0,0,0,9,193,28,0,0,38,0,0,393
,082A007B,79,0,32,0,0,0,0,0,0,3,184,15,0,0,17,0,0,330
,082A007C,63,8,14,0,0,0,0,2,0,2,137,13,0,1,19,0,1,260
,082A008,12,6,9,0,0,0,0,0,0,15,279,21,1,0,144,0,0,487
,082A009,62,11,41,0,0,1,0,0,0,21,160,11,0,0,20,0,0,327
,082A010,6,1,1,0,0,0,0,0,18,1,9,0,0,0,1,0,0,37
,098A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,098A001,2,7,24,1,1,0,11,1,0,17,207,5,0,1,233,2,1,513
,098A002,2,0,32,0,0,0,2,0,0,14,164,5,0,2,85,1,1,308
,098A003,1,1,10,0,0,0,11,0,0,14,132,7,0,0,7,2,0,185
,098A004,2,7,37,0,0,0,2,0,5,24,122,6,0,2,31,0,3,241
,098A005,3,6,10,0,0,1,1,0,0,9,156,8,0,0,58,5,0,257
,098A006,1,4,31,0,0,1,0,0,0,19,110,3,0,1,23,6,1,200
,098A007,1,2,14,0,0,0,0,0,0,10,156,1,1,0,30,1,0,216
,098A008,1,0,9,0,0,0,3,0,0,12,143,4,0,0,75,0,0,247
,098A009,5,7,22,0,0,0,1,0,0,20,60,13,0,1,94,2,1,226
,098A010,4,9,32,0,0,5,13,0,0,29,59,21,0,0,167,22,5,366
,098A011,3,5,10,0,0,0,1,0,0,18,64,5,0,0,20,0,1,127
