,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PDP-NDP,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,133A087,4,14,122,4,8,5,0,3,41,2,1,3,93,90,36,2,1,5,5,4,443
,133A088,2,13,130,4,5,14,0,4,27,3,0,1,70,63,28,3,2,8,4,7,388
,133A089,2,20,150,4,4,4,0,4,42,1,1,4,69,86,56,4,0,4,9,16,480
,133A090,4,10,133,6,8,2,0,3,38,0,0,7,96,66,39,4,0,8,2,8,434
,133A091,1,12,103,1,4,4,0,3,40,1,1,2,86,91,31,2,2,5,5,4,398
,133A092,3,30,93,2,2,1,1,0,19,4,1,3,65,87,24,4,1,7,6,11,364
,133A093,4,13,98,4,1,2,0,2,20,0,0,4,57,104,41,3,2,6,5,5,371
,133A094,7,27,138,2,2,2,0,9,13,0,0,0,66,131,40,3,2,6,2,3,453
,133A095,4,16,96,0,4,4,0,1,21,0,1,3,66,101,26,0,1,4,9,4,361
,133A096,2,19,80,2,0,0,0,0,14,0,0,3,54,54,15,4,6,5,7,1,266
,133A097,4,47,94,0,0,3,0,7,14,2,0,0,91,112,13,0,4,5,1,1,398
,133A098,0,14,103,2,5,4,0,4,13,4,1,3,71,140,39,1,1,12,5,5,427
,133A099,10,33,83,0,0,2,0,1,2,4,0,0,77,162,25,1,1,10,4,3,418
,133A100,8,18,94,1,1,1,0,8,11,3,0,0,84,110,15,7,3,1,5,3,373
,133A101,4,21,80,1,1,0,0,3,15,1,0,1,133,198,17,4,3,8,6,3,499
,133A102,10,22,115,4,1,2,0,9,6,0,0,0,105,127,20,1,3,3,1,2,431
,133A103,5,33,99,1,0,2,0,0,4,2,0,1,69,160,17,1,7,11,9,1,422
,133A104,3,17,82,1,0,4,0,0,7,2,0,5,81,126,8,5,2,8,8,4,363
,133A105,16,40,89,1,0,0,0,0,4,3,0,0,123,191,27,4,2,8,7,3,518
,133A106,2,28,127,4,1,1,0,3,12,2,0,0,71,100,31,1,2,12,5,3,405
,133A107,15,32,101,1,2,1,0,6,7,1,0,0,79,142,20,4,1,10,8,1,431
,133A108,13,30,121,2,0,0,0,0,23,1,0,2,86,149,37,2,3,8,9,6,492
,133A109,11,23,89,0,0,0,0,3,15,1,0,1,73,112,14,1,0,9,5,2,359
,133A110,5,23,125,0,1,1,0,0,2,0,0,0,78,133,15,1,3,11,12,3,413
,133A111,2,21,70,0,1,0,0,6,6,0,0,0,67,125,15,1,0,8,3,4,329
,133A112,12,17,100,0,0,1,0,0,3,3,0,0,67,202,27,5,1,5,2,5,450
,133A113,7,14,118,1,0,0,0,0,4,0,0,0,57,81,5,1,1,7,6,3,305
,133A114,3,22,133,0,0,2,0,4,9,2,0,0,67,90,11,3,1,23,8,13,391
,133A115,49,18,105,0,1,1,0,0,0,0,0,0,63,153,15,0,4,9,6,2,426
,133A116,12,25,129,0,0,0,0,0,6,1,1,0,100,125,14,1,2,3,2,0,421
,133A117,23,18,99,0,0,0,0,1,5,0,0,0,91,174,23,7,7,8,5,5,466
,133A118,7,28,77,0,0,0,0,5,2,2,0,0,62,208,15,1,5,7,2,11,432
,133A119,11,32,116,0,0,0,0,8,2,0,0,0,51,146,18,4,4,2,5,3,402
,133A120,19,33,94,0,0,2,0,1,1,3,0,0,55,181,13,3,2,10,2,2,421
,133A121,11,19,89,0,8,0,0,7,2,2,0,0,77,154,14,1,4,6,2,0,396
,133A122,11,12,67,0,0,3,0,1,6,0,0,0,42,145,9,1,1,9,11,6,324
,133A123,5,33,96,1,0,0,0,2,8,0,0,0,50,182,11,6,1,6,9,4,414
,133A124,17,31,109,1,2,0,0,1,13,8,0,0,73,98,15,0,0,10,10,0,388
,133A125,14,23,127,4,1,1,1,7,7,3,0,1,102,142,19,1,2,5,5,4,469
,133A126,7,25,148,0,0,2,0,6,10,4,0,0,64,149,15,2,1,5,1,6,445
,133A127,8,31,120,0,1,1,0,3,2,0,0,1,48,160,18,4,0,7,5,2,411
,133A128,10,30,124,3,7,1,0,8,3,0,0,0,41,225,28,5,1,12,31,2,531
,133A129,9,22,97,5,0,0,0,5,7,0,0,0,46,257,17,2,0,0,5,3,475
,133A130,17,33,114,0,2,0,0,2,8,0,0,1,65,147,18,2,3,9,5,2,428
,133A131,4,37,132,0,3,0,0,11,5,2,0,0,90,225,7,9,4,9,4,4,546
,133A132,12,30,104,0,0,4,1,7,4,3,0,0,61,242,11,3,6,19,2,2,511
,133A133,8,38,124,0,0,1,1,5,1,0,1,0,63,175,4,3,0,5,31,1,461
,133A134,12,28,146,1,0,4,0,5,3,1,0,0,71,184,20,3,2,4,16,3,503
,133A135,9,27,102,0,0,1,0,2,9,0,0,1,43,156,19,4,4,7,11,3,398
,133A136,11,22,93,0,1,3,0,4,0,0,0,0,48,110,15,0,2,1,7,4,321
,133A137,9,54,99,0,0,0,0,0,2,0,0,0,63,158,17,2,3,6,15,5,433
,133A138,20,24,81,0,0,1,0,3,5,0,0,0,52,167,8,1,0,2,5,0,369
,133A139,3,24,74,0,0,1,0,7,4,4,0,1,86,103,22,6,1,11,2,3,352
,133A140,3,15,48,0,0,0,0,0,2,1,1,3,43,77,13,5,1,6,2,0,220
,133A141,9,26,101,5,1,2,1,5,4,7,0,0,85,127,15,4,1,5,2,0,400
,133A142,6,20,102,0,1,4,0,3,4,1,0,2,80,139,14,2,3,1,3,1,386
,133A143,6,16,112,0,0,1,0,2,5,0,0,0,70,199,6,4,0,9,1,5,436
,133A144,6,20,91,0,0,1,0,0,3,0,0,0,85,180,15,3,0,5,6,1,416
,133A145,3,21,105,1,0,1,0,6,5,1,0,0,68,159,25,2,1,2,2,7,409
,135A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,135A001,5,24,89,0,0,3,0,2,16,3,0,0,71,153,10,4,0,5,10,1,396
,135A002,8,21,90,0,1,0,0,4,4,4,0,0,65,162,9,1,0,3,4,4,380
,135A003,10,18,116,0,1,0,0,2,7,2,0,0,55,184,20,3,2,8,8,3,439
,135A004,3,22,141,1,0,1,0,4,4,2,0,0,118,134,14,1,0,1,7,8,461
,135A005,3,33,126,1,1,0,0,4,9,1,0,1,94,129,14,2,1,5,11,1,436
,135A006,3,43,123,1,0,0,0,4,2,1,0,2,74,152,13,2,1,14,3,4,442
,135A007,7,27,152,0,0,0,1,2,10,0,0,0,81,167,27,8,3,13,30,2,530
,135A008,1,32,108,0,0,0,0,1,6,0,0,0,52,211,14,2,2,7,7,6,449
,135A009,14,20,140,0,0,3,0,2,15,1,2,1,58,197,29,2,0,8,4,6,502
,135A010,5,35,125,1,0,2,0,4,15,2,0,2,111,205,11,2,6,8,5,4,543
,135A011,3,13,60,1,2,1,0,9,7,4,2,10,62,109,30,3,0,0,1,2,319
,135A012,2,27,110,0,0,0,0,1,4,1,0,1,60,143,28,0,0,3,0,3,383
,135A013,0,6,32,0,0,0,0,2,1,0,0,0,18,124,2,2,0,2,1,0,190
,135A014,2,21,105,0,1,2,0,0,17,1,0,0,81,154,33,2,1,4,2,8,434
,135A015,8,17,96,1,0,1,0,9,6,1,0,3,51,109,14,2,2,3,8,2,333
,135A016,2,23,114,2,0,1,0,4,6,0,0,3,73,100,25,1,2,1,4,2,363
,135A017,6,16,106,2,0,1,0,7,16,1,2,1,73,119,20,4,2,13,4,0,393
,135A018,1,12,138,0,0,1,0,2,12,0,2,1,82,111,36,0,0,2,9,6,415
,135A019,12,20,113,0,0,0,0,9,7,5,0,2,60,144,6,1,1,1,8,4,393
,135A020,3,25,103,0,0,0,0,3,4,0,0,1,86,158,13,6,1,4,5,3,415
,135A021,1,12,103,0,0,1,0,3,9,1,0,1,79,149,14,4,2,7,5,5,396
,135A022,2,14,78,1,2,1,0,0,4,0,0,4,78,75,10,2,1,3,8,0,283
,135A023,2,10,79,2,0,1,0,2,6,4,0,5,40,112,9,2,0,2,2,7,285
,135A024,0,13,105,0,0,0,0,1,13,3,0,0,68,97,18,0,0,3,8,9,338
,135A025,1,23,89,0,3,2,0,1,12,4,0,0,53,84,17,0,1,5,1,0,296
,135A026,0,16,78,2,3,0,0,5,13,5,0,6,47,103,18,4,2,8,5,8,323
,135A027,1,12,121,1,0,2,0,6,14,2,0,3,93,92,11,0,1,5,3,9,376
,135A028,4,28,101,1,0,1,0,1,3,0,0,0,90,133,14,0,3,5,6,7,397
,135A029,5,8,95,0,0,3,1,6,9,0,0,2,59,115,12,4,0,1,9,1,330
,135A030,4,22,90,1,0,1,0,6,2,0,0,0,49,84,7,3,1,3,0,4,277
,135A031,2,11,109,1,0,0,0,5,1,1,0,0,65,110,18,1,2,5,3,5,339
,135A032,2,17,86,0,0,1,0,15,2,0,0,0,47,123,14,0,5,0,8,6,326
,135A033,0,10,104,1,0,1,0,8,4,0,0,3,70,127,21,0,1,3,2,1,356
,135A034,0,34,94,0,0,0,0,5,1,0,0,4,46,122,6,1,2,1,1,1,318
,135A035,0,16,85,0,3,1,0,4,2,0,0,0,73,91,11,3,2,3,9,3,306
,135A036,0,8,84,2,0,0,0,1,0,0,0,0,30,76,1,2,0,0,7,11,222
,136A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,136A001,0,13,118,4,0,3,0,2,29,0,0,4,69,82,32,3,0,7,3,5,374
,136A002,1,18,130,4,0,3,0,5,29,0,0,0,104,122,25,8,3,7,18,4,481
,136A003,3,8,100,3,5,4,0,0,34,0,0,1,85,110,41,4,6,12,3,6,425
,136A004,2,22,128,0,2,0,0,4,29,0,0,0,88,87,23,5,2,8,11,6,417
,136A005,2,9,47,0,1,1,0,0,9,1,3,0,34,91,9,0,0,6,2,7,222
,136A006,4,37,97,1,3,0,0,3,14,10,0,1,51,156,19,0,1,8,2,1,408
,136A007,5,52,89,0,0,0,0,6,5,4,0,1,60,126,19,1,1,3,4,3,379
,136A008,12,30,91,0,0,0,0,3,3,4,0,0,81,171,24,2,0,4,2,7,434
,136A009,41,34,158,0,0,0,0,1,26,3,0,0,91,104,41,3,3,9,6,10,530
,136A010,2,6,112,9,4,4,0,2,69,0,0,9,62,50,38,3,1,13,4,4,392
,136A011,2,13,134,3,5,4,0,0,58,0,4,2,68,93,57,6,1,9,4,8,471
,136A012,4,8,120,1,1,8,0,0,60,0,1,1,44,103,42,0,2,10,10,6,421
,136A013,3,14,124,1,3,2,0,5,22,3,1,6,60,79,32,2,2,5,5,5,374
,136A014,1,15,114,7,3,2,1,0,46,5,0,2,63,121,33,9,2,9,7,1,441
,136A015,3,8,140,7,2,2,2,0,48,3,1,5,65,100,36,4,1,5,3,6,441
,136A016,2,10,78,5,0,2,0,0,28,1,1,5,61,40,31,1,1,5,5,4,280
,136A017,0,12,94,3,4,12,0,2,75,1,0,2,48,60,53,2,0,7,2,6,383
,136A018,0,11,109,3,2,2,0,4,60,1,0,5,63,55,60,6,2,6,7,5,401
,136A019,1,8,118,6,5,4,0,1,72,0,0,0,44,76,42,4,0,10,2,4,397
,136A020,1,17,111,6,4,8,0,1,62,0,0,3,67,87,40,1,1,9,5,5,428
,136A021,2,10,68,3,2,6,0,5,27,0,0,1,65,41,34,11,1,2,0,2,280
,136A022,1,12,57,3,0,8,0,0,34,3,0,2,55,44,22,3,1,8,4,2,259
,136A023,1,16,52,0,0,0,4,0,3,5,0,0,30,44,5,0,1,12,0,2,175
,136A024,1,13,100,5,0,6,0,1,54,0,1,6,43,51,23,10,0,4,8,13,339
,136A025,1,8,64,5,5,3,0,1,37,0,0,2,49,22,19,4,1,10,2,0,233
,136A026,1,6,105,4,2,12,1,1,50,0,1,3,34,60,29,5,2,5,1,5,327
,136A027,2,16,122,10,6,4,1,5,70,4,1,4,61,86,45,5,2,9,4,3,460
,136A028,2,13,95,4,0,4,1,5,62,5,0,3,60,39,46,6,1,1,4,6,357
,136A029,17,40,123,0,0,4,0,0,8,6,0,0,119,164,47,1,8,14,3,2,556
,136A030,4,21,163,0,0,0,0,1,7,2,0,1,73,148,44,9,8,9,3,9,502
,136A031,4,21,55,1,0,0,0,2,3,3,0,0,57,92,17,0,1,2,2,0,260
,136A032,1,12,98,0,0,3,0,7,5,0,0,0,75,95,21,2,1,3,2,2,327
,136A033,2,14,105,0,1,0,1,7,27,1,0,1,76,160,26,5,1,9,6,6,448
,136A034,4,16,111,1,0,0,0,5,21,1,0,0,67,107,41,3,2,5,5,3,392
,136A035,0,2,2,0,1,2,0,0,1,0,0,8,14,0,5,0,0,0,0,0,35
,136A036,0,19,126,0,3,7,0,0,41,2,0,1,77,59,43,7,1,7,4,4,401
,136A037,4,21,141,3,3,4,1,2,53,1,0,6,57,54,34,4,2,5,9,6,410
,136A038,1,15,132,3,3,4,0,0,43,4,0,3,66,73,35,4,4,10,17,8,425
,136A039,2,10,109,1,3,1,2,3,48,2,1,0,69,69,31,3,3,8,14,8,387
,136A040,2,10,96,2,4,3,0,0,43,0,0,2,93,36,55,3,5,9,3,5,371
,136A041,4,18,104,1,2,4,0,0,28,2,0,1,61,65,32,1,0,6,5,3,337
,136A042,3,10,96,3,4,1,0,4,20,1,0,5,73,54,24,2,0,4,9,3,316
,136A043,1,13,121,3,4,2,0,4,32,1,0,0,90,74,25,6,2,4,8,2,392
,136A044,2,8,89,3,2,3,0,0,21,2,0,2,51,38,31,4,0,1,2,6,265
,136A045,4,11,83,13,9,5,0,3,29,0,0,4,57,64,37,3,0,14,2,7,345
,136A046,1,7,75,6,3,8,0,0,47,0,0,5,50,43,36,2,0,5,3,3,294
,136A047,1,12,90,6,3,7,0,1,35,0,0,5,36,45,30,3,1,9,6,9,299
,136A048,1,5,103,9,11,4,0,2,45,5,1,2,62,39,30,1,1,5,7,3,336
,136A049,1,11,67,7,7,8,1,1,35,0,2,4,38,43,37,2,1,3,4,2,274
,136A050,1,16,106,6,6,3,0,1,52,1,0,8,56,44,39,1,0,11,9,2,362
,136A051,0,6,101,10,4,10,0,6,43,1,3,3,42,85,24,5,0,5,5,7,360
,136A052,0,16,108,2,11,7,0,1,58,0,1,2,54,54,23,8,0,8,2,3,358
,136A053,0,12,75,6,2,5,0,2,51,0,0,2,62,34,37,5,1,4,1,7,306
,136A054,1,7,83,4,1,4,0,1,31,1,0,2,74,70,24,0,0,6,5,2,316
,136A055,0,13,115,4,7,3,1,0,23,0,1,1,70,57,57,3,4,6,7,6,378
,136A056,3,11,108,19,8,7,0,3,59,0,0,2,55,69,46,1,0,10,8,3,412
,136A057,2,8,96,2,7,1,0,1,41,2,0,2,47,66,18,7,1,8,4,5,318
,136A058,0,13,109,6,5,5,1,2,24,0,0,1,60,71,30,9,4,8,7,1,356
,136A059,2,9,93,4,17,7,0,1,40,1,0,3,74,63,37,5,0,11,3,7,377
,136A060,0,8,109,8,9,5,1,0,86,1,0,8,39,66,55,3,0,15,7,0,420
,136A061,0,4,115,5,8,8,1,1,51,0,0,11,32,64,27,3,0,6,2,6,344
,136A062,0,5,158,6,1,8,0,0,40,2,1,4,70,81,34,11,4,8,7,4,444
,136A063,0,14,110,3,5,7,0,9,47,1,0,9,64,59,30,6,5,10,6,9,394
,136A064,1,10,94,0,1,1,0,8,13,0,1,7,58,74,18,1,0,3,3,2,295
,136A065,7,17,123,0,0,2,0,5,16,2,0,1,82,116,32,2,4,1,2,3,415
,136A066,2,15,125,0,0,1,0,1,3,2,0,1,42,78,21,2,2,3,2,3,303
,136A067,1,19,122,3,7,3,0,4,71,6,0,2,79,82,39,2,0,7,8,5,460
,136A068,2,10,111,6,13,2,2,1,61,0,0,2,64,72,60,6,0,5,7,2,426
,136A069,3,12,121,11,7,6,0,0,56,1,2,6,75,79,47,1,1,7,4,3,442
,136A070,0,12,121,7,3,6,0,13,43,1,1,2,84,87,41,0,3,6,10,7,447
,136A071,2,17,137,5,1,4,0,8,28,3,0,0,96,124,23,5,3,14,8,1,479
,136A072,7,23,121,0,0,1,1,5,12,1,0,0,98,133,21,2,4,23,3,5,460
,136A073,7,9,135,3,4,0,1,0,13,0,0,0,65,171,48,3,0,3,2,5,469
,136A074,6,20,77,1,0,3,0,10,14,3,0,0,79,137,35,2,2,6,6,6,407
,136A075,1,13,95,5,6,6,0,1,48,0,1,4,53,48,49,4,0,8,7,0,349
,136A076,2,9,82,3,2,3,0,1,36,1,0,6,35,45,25,3,5,5,6,2,271
,136A077,0,6,76,7,12,5,0,1,46,0,1,4,36,47,27,4,0,2,2,2,278
,136A078,1,2,85,1,3,6,0,4,42,0,0,3,32,56,23,4,2,6,11,5,286
,136A079,0,4,56,1,6,3,0,5,52,4,0,3,45,35,28,2,2,2,5,4,257
,136A080,0,7,96,1,1,1,0,2,61,1,1,5,52,44,55,3,0,8,7,3,348
,136A081,0,1,23,1,3,1,0,0,20,1,0,2,9,32,16,0,0,0,1,2,112
,136A082,2,14,115,1,0,2,0,3,38,1,0,0,65,135,28,4,3,6,12,6,435
,136A083,1,27,116,0,1,1,1,1,9,1,0,0,83,150,20,3,16,5,3,3,441
,137A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,137A001,5,28,145,0,0,0,0,3,7,6,0,0,130,110,13,2,2,4,4,4,463
,137A002,3,14,130,1,1,0,0,3,17,0,0,0,125,92,27,2,1,2,19,4,441
,137A003,3,39,115,0,0,0,0,2,9,2,0,0,107,103,23,2,2,6,7,4,424
,137A004,3,23,91,0,0,3,0,3,10,0,0,0,105,78,25,4,1,5,6,3,360
,137A005,6,23,107,0,0,1,0,2,4,2,0,0,116,49,11,2,2,7,2,8,342
,137A006,4,33,101,0,0,1,0,2,3,0,0,0,105,85,12,4,0,1,10,6,367
,137A007,3,32,139,1,0,1,0,8,10,0,0,0,102,74,15,6,0,4,9,1,405
,137A008,3,30,123,0,0,1,0,2,19,1,0,0,74,83,22,1,5,10,5,1,380
,137A009,2,40,136,1,0,4,0,4,13,0,1,0,128,84,11,4,2,13,20,3,466
,137A010,5,28,114,2,1,2,1,14,12,0,0,0,126,85,9,2,1,8,33,3,446
,137A011,4,49,122,0,1,1,5,6,8,4,0,0,134,150,19,1,0,5,17,5,531
,137A012,2,14,117,1,0,1,0,3,20,0,0,0,97,124,21,5,2,5,14,2,428
,137A013,2,18,127,3,0,0,0,1,23,0,0,0,81,69,20,2,2,7,11,2,368
,137A014,3,20,118,3,4,0,0,2,36,3,0,0,76,98,30,8,1,10,17,0,429
,137A015,5,12,117,4,4,4,0,9,40,2,1,3,92,74,28,4,1,13,16,9,438
,137A016,7,21,105,1,0,1,0,3,26,1,0,2,93,105,34,20,3,18,9,4,453
,137A017,0,17,122,1,0,3,0,4,21,2,0,0,109,107,34,7,0,9,8,1,445
,137A018,4,19,133,0,0,8,0,2,49,2,0,1,77,78,26,4,3,4,12,14,436
,137A019,32,42,111,0,2,0,0,1,12,0,0,0,155,91,29,3,2,4,9,4,497
,137A020,12,26,127,0,0,1,0,2,9,3,0,0,141,122,26,1,2,10,9,3,494
,137A021,4,21,87,0,0,0,0,4,10,0,0,0,190,105,26,0,1,3,8,4,463
,137A022,17,18,132,0,0,0,0,5,4,2,0,2,118,130,12,4,1,9,17,3,474
,137A023,4,21,122,1,0,4,0,4,14,2,1,0,179,103,26,5,0,13,5,5,509
,137A024,4,24,118,0,0,1,0,1,27,2,0,0,131,151,25,3,2,6,14,4,513
,137A025,6,9,139,0,0,3,0,5,18,4,0,0,125,96,30,1,4,13,11,3,467
,137A026,2,8,103,1,1,35,0,2,9,0,0,0,125,38,0,3,1,12,36,1,377
,137A027,5,9,83,1,0,8,0,2,30,0,0,0,74,121,26,4,3,7,14,9,396
,137A028,4,13,90,5,1,3,0,2,31,0,0,0,69,81,29,0,2,28,19,2,379
,137A029,3,17,110,2,0,1,0,12,14,2,0,0,122,87,15,2,2,6,4,6,405
,137A030,3,25,124,1,0,2,0,8,18,1,0,0,104,111,25,0,0,9,4,0,435
,137A031,5,27,161,1,0,0,0,4,28,1,0,1,108,76,15,2,0,7,2,4,442
,137A032,0,20,130,0,0,2,0,9,24,2,0,0,88,99,18,1,3,8,9,1,414
,137A033,3,17,119,0,0,3,0,5,47,2,0,1,67,97,32,2,0,12,9,4,420
,137A034,6,10,142,0,0,6,0,4,24,0,0,0,93,130,11,6,4,11,14,5,466
,137A035,13,22,142,0,0,1,0,3,10,1,0,0,119,113,36,4,5,9,9,3,490
,137A036,3,15,126,0,0,1,0,5,25,5,0,0,81,79,24,6,7,8,9,4,398
,137A037,2,20,127,2,0,6,2,7,6,1,0,0,166,103,23,1,2,20,19,7,514
,137A038,2,11,91,9,13,3,0,0,45,0,0,1,76,62,28,7,1,5,4,7,365
,137A039,0,13,95,2,2,1,0,7,38,1,0,0,78,79,34,13,3,4,0,2,372
,137A040,2,26,120,0,2,4,0,0,51,0,0,0,84,59,31,6,0,6,12,2,405
,137A041,7,21,113,2,3,3,0,1,50,1,1,0,83,113,29,5,0,7,18,1,458
,137A042,8,26,119,0,1,0,0,6,30,1,1,1,116,107,35,3,7,8,12,8,489
,137A043,1,19,135,3,1,5,0,3,40,0,1,3,103,71,38,1,2,5,2,1,434
,137A044,1,14,104,2,1,5,0,2,53,2,1,0,102,90,22,6,0,0,10,6,421
,137A045,0,7,109,2,3,1,0,2,66,1,2,3,76,47,28,6,2,7,8,6,376
,137A046,0,5,111,4,5,11,1,0,50,1,0,4,73,76,41,1,0,4,10,2,399
,139A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,139A001,3,14,115,3,6,2,0,3,21,0,0,3,55,85,19,2,3,5,3,1,343
,139A002,6,10,79,0,6,1,0,0,29,2,0,0,58,58,19,1,0,1,7,3,280
,139A003,1,9,122,5,7,7,0,1,40,0,1,1,48,46,25,3,1,10,4,1,332
,139A004,0,7,87,1,6,6,0,3,30,0,1,1,36,38,31,4,3,2,7,1,264
,139A005,1,6,114,3,3,3,0,3,43,1,0,0,32,64,36,4,1,7,6,1,328
,139A006,2,12,75,5,5,8,1,3,19,0,0,2,38,46,18,2,3,3,3,1,246
,139A007,2,7,104,0,3,13,0,3,24,1,0,2,54,57,25,5,3,8,5,3,319
,139A008,3,5,90,5,2,2,0,0,32,3,1,5,60,39,22,2,0,11,3,11,296
,139A009,2,3,89,3,4,7,0,0,50,0,1,4,53,39,37,1,5,2,5,2,307
,139A010,5,9,91,5,12,3,1,1,45,0,1,6,90,55,35,3,1,6,7,5,381
,139A011,2,18,78,2,2,6,0,6,33,1,0,3,58,88,18,2,2,1,5,1,326
,139A012,4,7,61,6,3,2,0,4,27,1,0,3,67,47,24,3,0,2,5,2,268
,139A013,2,14,87,5,1,6,0,1,23,0,0,3,57,53,32,2,4,2,9,6,307
,139A014,1,10,103,2,11,3,0,3,36,7,1,6,44,66,25,0,1,7,4,3,333
,139A015,2,9,123,4,5,4,1,3,36,1,0,1,55,74,19,3,1,8,4,4,357
,139A016,2,12,89,11,2,8,0,1,48,0,0,6,61,36,31,0,1,0,6,6,320
,139A017,0,8,107,2,2,5,0,0,42,2,1,6,44,33,18,2,0,1,3,2,278
,139A018,0,4,74,1,5,3,0,3,28,3,0,1,43,56,17,0,1,5,10,9,263
,139A019,1,14,137,5,4,2,0,2,29,6,2,1,91,54,21,4,2,4,9,5,393
,139A020,2,11,114,1,1,2,1,2,36,0,1,2,70,87,21,5,1,2,4,5,368
,139A021,2,6,111,4,3,6,1,6,35,4,1,3,65,65,26,2,1,3,2,5,351
,139A022,1,15,106,10,4,6,1,4,39,2,1,8,61,56,18,2,3,3,1,1,342
,139A023,1,11,87,3,8,8,0,1,31,1,0,2,51,38,20,5,2,5,3,6,283
,139A024,1,14,144,7,1,3,0,4,44,2,0,2,48,57,23,3,6,6,9,9,383
,139A025,4,11,109,0,2,1,0,0,40,0,0,1,47,48,24,6,2,3,11,4,313
,139A026,1,12,112,2,5,1,0,1,37,1,0,0,55,59,21,2,0,3,3,6,321
,139A027,0,12,111,4,5,8,0,0,23,0,0,3,56,50,28,3,1,9,7,3,323
,139A028,3,7,106,4,10,2,0,3,32,0,1,2,63,82,48,0,4,12,7,6,392
,139A029,14,23,89,1,3,1,0,4,13,2,0,4,76,90,13,3,2,5,7,0,350
,139A030,1,18,103,6,4,1,0,6,18,0,0,5,61,73,25,1,4,8,2,3,339
,139A031,0,10,117,1,2,4,0,0,55,7,0,5,57,62,50,3,3,4,4,1,385
,139A032,1,17,113,4,4,4,0,1,27,1,1,10,68,46,13,5,3,2,3,2,325
,139A033,1,9,94,3,6,8,0,0,54,3,0,4,86,61,33,2,0,1,3,6,374
,139A034,3,6,106,8,10,5,1,0,18,3,2,3,58,52,27,2,0,3,6,2,315
,139A035,1,10,117,11,7,2,2,0,35,0,0,3,73,58,35,0,3,7,6,6,376
,139A036,0,15,127,6,4,7,0,1,27,0,1,3,76,58,20,2,3,3,6,2,361
,139A037,2,11,147,3,10,4,0,2,36,0,0,1,67,46,32,1,2,0,4,3,371
,139A038,0,9,142,6,8,6,1,0,39,0,3,6,42,50,25,1,3,3,2,6,352
,139A039,3,15,108,4,4,4,0,2,35,1,0,7,65,79,31,2,3,5,4,3,375
,139A040,3,10,83,3,4,4,1,0,29,1,0,8,54,62,30,2,3,7,3,10,317
,139A041,3,11,91,8,6,3,0,0,50,3,0,6,62,70,37,4,2,7,0,1,364
,139A042,3,9,107,7,8,5,0,3,24,2,0,1,51,66,24,5,0,7,2,9,333
,139A043,0,8,153,2,16,4,0,1,28,0,0,5,35,36,22,1,1,4,1,3,320
,139A044,3,5,129,6,5,9,0,0,37,0,1,3,42,45,39,1,0,5,2,17,349
,139A045,2,6,113,3,3,4,0,1,43,2,0,2,46,28,18,4,3,5,3,3,289
,139A046,1,11,134,8,11,3,0,3,24,4,0,4,51,58,34,3,1,7,9,2,368
,139A047,2,19,141,0,2,2,0,2,9,1,2,3,72,70,16,4,0,7,0,9,361
,139A048,8,34,110,0,0,5,0,3,4,1,0,0,76,161,22,3,2,3,2,2,436
,139A049,5,20,119,0,0,2,0,1,14,0,0,0,81,159,32,2,2,15,1,3,456
,139A050,4,18,115,5,6,1,1,3,13,3,3,2,52,108,21,2,1,9,1,9,377
,139A051,0,14,87,0,1,1,0,2,8,0,1,1,46,96,20,5,2,6,9,3,302
,139A052,3,10,102,1,0,0,0,1,6,1,0,2,51,87,9,4,0,10,4,0,291
,139A053,0,7,110,2,6,2,2,3,36,1,2,3,60,56,15,1,0,4,4,1,315
,139A054,2,13,136,6,7,5,1,2,26,1,0,4,62,68,47,1,1,4,5,2,393
,139A055,5,8,105,1,4,5,0,7,21,2,0,1,55,48,39,7,1,5,2,6,322
,139A056,3,14,115,0,3,1,2,1,28,0,0,2,52,41,25,1,1,8,11,10,318
,139A057,0,6,89,1,2,3,0,2,26,1,0,3,57,20,12,1,0,8,6,1,238
,139A058,4,13,110,3,7,4,0,2,36,0,1,8,42,92,41,4,1,4,9,7,388
