,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PDP-NDP,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,130A022,2,10,85,0,0,0,0,2,1,0,0,0,51,117,14,1,1,16,0,1,301
,130A023,3,14,91,3,3,5,0,3,2,0,0,0,30,90,12,2,0,11,3,0,272
,130A024,4,4,39,1,1,0,0,4,0,0,1,1,27,59,4,0,2,1,6,1,155
,130A025,3,12,39,0,0,0,0,2,1,0,0,1,45,238,3,3,0,23,1,0,371
,130A026,1,10,58,0,0,0,0,6,0,0,0,0,20,149,18,1,0,56,7,0,326
,130A027,2,22,99,0,0,1,0,19,0,1,0,0,44,200,18,2,0,18,3,0,429
,130A028,3,30,51,0,0,0,0,4,0,0,0,0,28,84,16,0,3,8,2,0,229
,130A029,0,10,34,0,1,0,0,2,1,0,0,0,24,119,7,0,9,27,0,0,234
,130A030,1,13,67,0,0,0,0,0,3,0,0,0,24,118,5,4,0,4,0,0,239
,130A031,2,13,116,0,1,1,0,12,4,1,0,2,58,94,21,3,1,7,11,5,352
,130A032,2,20,83,1,1,0,0,0,4,1,0,0,62,90,10,1,4,21,5,0,305
,130A033,0,12,57,0,0,0,0,1,2,0,0,0,26,42,13,1,0,13,4,1,172
,130A034,1,11,42,0,0,0,0,1,0,0,0,0,22,33,3,0,2,2,4,0,121
,130A035,2,20,63,0,4,1,0,2,2,1,0,2,37,103,21,1,4,15,2,2,282
,130A036,2,23,74,2,0,0,1,3,2,0,0,0,58,96,18,1,3,5,4,3,295
,131A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,131A001,6,23,92,1,0,0,0,3,3,1,0,0,59,129,19,2,2,6,2,1,349
,131A002,5,15,71,0,1,2,0,12,6,0,0,1,70,82,10,1,2,6,2,5,291
,131A003,1,13,79,0,0,1,0,11,3,0,0,0,16,93,10,0,0,3,3,5,238
,131A004,9,21,64,0,0,0,0,2,0,0,0,1,36,100,4,1,3,1,1,0,243
,131A005,3,11,46,1,0,0,0,25,4,0,1,5,35,83,11,3,3,3,0,2,236
,131A006,11,16,94,0,0,0,0,6,6,1,1,3,42,124,11,0,3,3,2,1,324
,131A007,2,23,91,0,0,4,0,5,0,0,1,4,47,89,15,2,2,4,2,5,296
,131A008,3,20,60,2,1,1,0,6,5,0,1,0,49,102,6,2,1,5,2,1,267
,131A009,2,12,62,0,0,4,0,7,9,0,0,1,29,88,13,1,1,3,3,3,238
,131A010,5,12,108,0,0,0,0,2,10,1,0,0,66,120,31,2,1,15,4,4,381
,131A011,10,19,83,0,1,1,0,7,1,0,0,0,96,130,22,1,2,4,2,5,384
,131A012,1,6,57,0,1,0,0,0,9,1,0,0,40,82,13,1,1,6,2,1,221
,131A013,3,8,67,3,1,0,0,0,4,1,0,0,56,59,10,1,1,1,3,0,218
,131A014,2,21,99,1,0,2,0,5,1,0,0,0,81,77,8,2,8,10,2,1,320
,131A015,1,16,79,0,0,1,0,4,6,2,0,0,103,128,20,3,4,7,0,4,378
,131A016,12,18,75,0,0,0,0,4,2,0,0,0,47,164,16,1,1,10,1,1,352
,131A017,6,25,106,1,0,1,0,5,9,4,0,0,88,115,12,1,0,4,5,1,383
,131A018,3,5,108,0,1,6,0,7,8,0,0,0,67,115,25,5,2,0,2,2,356
,131A019,2,13,139,1,1,0,0,1,2,0,0,0,38,147,59,0,5,4,4,10,426
,131A020,3,13,114,2,2,1,0,12,2,0,0,1,54,120,29,2,2,12,0,4,373
,131A021,3,30,115,1,2,0,0,6,13,2,0,0,73,86,19,9,2,5,1,8,375
,131A022,6,8,129,0,1,2,0,10,1,0,0,0,49,132,29,7,1,3,11,3,392
,131A023,2,18,118,1,3,0,0,0,5,1,0,0,64,151,27,2,0,13,2,1,408
,131A024,2,18,108,0,0,0,0,0,5,3,0,0,38,131,17,13,1,4,6,5,351
,131A025,4,7,151,0,1,1,0,9,5,1,0,0,62,90,21,1,1,3,2,9,368
,131A026,3,14,133,0,0,0,0,3,7,3,0,1,76,116,9,3,1,3,6,7,385
,131A027,8,24,113,0,1,0,0,3,5,0,0,0,62,134,25,4,2,7,3,3,394
,131A028,3,29,116,0,2,0,0,3,6,3,0,0,63,110,22,2,2,16,1,7,385
,131A029,3,27,116,1,0,2,1,9,1,2,0,0,56,133,20,1,6,13,1,11,403
,131A030,4,16,104,0,0,0,0,10,0,0,0,0,58,177,35,4,1,11,1,3,424
,131A031,3,9,130,2,1,0,0,2,5,2,0,1,50,129,23,1,2,0,9,11,380
,131A032,3,17,151,1,0,2,0,9,7,1,0,0,46,164,18,1,1,4,3,3,431
,131A033,1,12,80,2,3,0,0,1,23,1,3,4,57,47,33,3,0,2,2,1,275
,131A034,0,13,69,5,4,3,0,0,16,0,0,7,59,81,40,0,1,7,4,1,310
,131A035,2,14,77,2,3,1,0,1,15,0,0,7,61,72,26,1,1,1,8,5,297
,131A036,5,12,96,3,1,3,0,4,9,1,0,3,64,58,38,7,1,0,2,5,312
,131A037,2,13,86,1,4,1,0,8,18,1,0,2,44,87,33,2,1,7,5,2,317
