
,BM,BPS-SEFER HALILOVIĆ,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",PDP-NDP,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SOCIJALISTIČKA PARTIJA,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,200C025R,1,3,4,9,65,0,9,97,19,3,3,0,0,213
,200C026R,0,10,0,22,49,0,3,109,7,1,1,1,1,204
,200C027R,0,0,4,5,55,0,2,64,8,1,2,0,0,141
,200C028R,1,0,0,5,39,8,0,70,8,2,6,1,1,141
,200C029R,0,0,0,4,11,0,8,30,1,0,0,0,0,54
,200C030R,0,2,1,5,29,1,6,53,6,3,5,1,0,112
,200C031R,0,0,1,1,10,1,4,13,3,0,1,0,0,34
,200C032R,1,0,0,4,25,1,1,47,0,8,0,0,0,87
,200C033R,0,1,0,2,5,0,0,25,2,1,2,0,0,38
,200C035R,2,0,0,1,2,2,4,3,0,0,0,0,0,14
,200C036R,0,0,3,0,0,0,0,0,0,0,0,1,0,4
,200C037R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C038R,0,12,1,32,158,0,0,236,25,3,4,1,0,472
,200C039R,0,2,2,0,2,1,1,10,11,1,0,0,0,30
,200C040R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C041R,0,0,2,0,1,0,0,0,0,0,0,0,0,3
,200C042R,0,2,0,5,39,0,2,48,10,4,5,0,0,115
,200C043R,0,2,1,2,20,0,3,29,5,0,0,0,0,62
,200C044R,0,0,1,0,21,0,0,17,7,0,0,0,0,46
,200C045R,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,200C046R,0,1,0,36,15,0,0,24,7,0,5,0,0,88
,200C047R,0,4,0,53,96,1,0,86,0,4,1,0,0,245
,200C048BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C049R,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,200C050R,0,9,1,23,145,1,0,252,109,9,3,1,0,553
,200C051R,0,2,2,13,64,0,4,98,13,1,2,0,0,199
,200C052R,0,4,1,5,41,0,4,82,7,2,0,0,0,146
,200C053R,1,5,0,11,45,1,2,120,23,8,1,1,0,218
,200C054R,0,1,0,11,49,1,6,99,9,5,0,0,0,181
,200C055R,0,1,1,12,45,0,4,122,23,2,1,0,0,211
,200C056R,0,7,0,44,141,0,0,189,8,5,1,0,0,395
,200C057R,0,14,1,10,150,0,3,287,9,4,1,0,0,479
,200C058R,2,0,0,1,14,5,0,30,7,0,1,0,0,60
,200C059R,1,0,0,0,0,0,4,2,2,0,0,0,0,9
,200C060R,1,0,0,0,0,3,3,1,0,0,0,0,0,8
,200C061R,5,0,0,0,0,2,3,0,0,0,0,0,0,10
,200C062R,3,0,0,11,32,1,8,25,5,4,1,0,0,90
,200C063R,4,0,0,2,11,9,15,15,4,0,3,0,1,64
,200C064R,0,5,0,16,15,0,0,76,8,0,0,0,0,120
,200C065R,0,4,1,3,40,0,0,95,6,4,1,0,2,156
,200C066R,0,0,0,0,5,0,0,10,6,0,4,0,0,25
,200C067BR,0,0,0,0,0,2,0,0,0,0,0,0,0,2
,200C068R,0,0,5,2,2,0,0,7,4,0,0,0,1,21
,200C069R,1,1,1,2,15,1,1,12,1,2,0,0,0,37
,200C070R,0,0,0,0,4,2,0,14,2,1,1,0,0,24
,200C071R,2,0,1,5,20,3,6,41,4,0,0,0,0,82
,200C072R,1,0,0,5,12,3,1,27,1,1,2,0,1,54
,200C073R,0,0,0,0,0,2,1,0,0,0,0,0,0,3
,200C074R,2,0,1,0,0,5,5,0,0,0,0,0,0,13
,200C075R,0,0,0,0,0,4,0,0,0,0,0,0,0,4
,200C076R,1,0,0,0,0,1,0,0,0,0,0,0,0,2
,200C077R,0,0,0,2,27,0,0,64,3,0,0,0,0,96
,200C078R,1,5,0,46,67,0,1,217,19,2,3,0,0,361
,200C079R,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,200C080R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C081R,1,0,0,0,0,1,2,0,0,0,0,0,0,4
,200C082R,0,3,0,7,37,0,0,45,3,0,0,0,0,95
,200C083R,0,0,1,0,0,3,2,8,1,0,0,0,0,15
,200C084R,0,2,0,7,46,0,0,142,13,1,3,0,0,214
,200C085R,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,200C086R,0,0,0,39,29,0,0,41,8,10,0,0,0,127
,200C087R,0,2,2,5,38,0,3,93,9,2,2,0,0,156
,200C088R,0,5,1,13,49,0,4,96,21,0,3,0,0,192
,200C089R,0,8,0,15,77,0,4,103,19,4,1,0,0,231
,200C090R,0,6,2,6,90,1,2,144,25,3,4,0,1,284
,200C091R,0,0,0,17,27,0,5,71,2,2,1,0,0,125
,200C092R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C093R,2,0,0,0,3,2,4,1,0,0,0,0,0,12
,200C094R,0,5,3,19,64,0,0,92,9,5,0,0,0,197
,200C095R,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,200C096R,0,1,0,6,31,0,0,56,20,5,1,0,0,120
,200C097R,0,1,2,5,7,0,0,23,7,1,0,0,0,46
