
,BM,BPS-SEFER HALILOVIĆ,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",PDP-NDP,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SOCIJALISTIČKA PARTIJA,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,200C098R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C099R,0,1,0,0,2,0,0,24,2,0,0,0,0,29
,200C100R,0,3,0,4,39,0,0,66,5,2,0,0,0,119
,200C101R,0,0,5,0,0,0,0,0,0,0,0,0,0,5
,200C102R,0,0,0,0,0,1,0,1,0,0,0,0,0,2
,200C103R,0,5,1,1,39,0,1,61,2,0,0,0,0,110
,200C104R,0,0,0,0,0,1,4,1,0,0,0,0,0,6
,200C105R,1,0,0,0,0,2,2,1,0,0,0,0,0,6
,200C106R,0,4,0,3,67,0,2,69,9,2,5,0,0,161
,200C108R,0,1,0,10,24,0,0,88,0,2,0,0,0,125
,200C109R,0,0,0,4,6,2,3,4,0,0,1,0,0,20
,200C110R,1,1,0,5,16,0,0,37,1,0,0,0,0,61
,200C111R,0,0,0,1,5,1,6,4,1,0,0,0,0,18
,200C112R,2,0,0,0,0,0,1,0,0,0,0,0,0,3
,200C113R,0,0,0,4,46,0,1,102,9,3,5,0,0,170
,200C114R,2,0,0,0,8,3,7,23,2,0,0,0,0,45
,200C115R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,200C116R,0,15,1,29,175,0,0,247,16,7,1,1,0,492
