"mjesto","stranka","glasovi","godina","nivo","lokacija","ukupno"
"006B004",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,53,2014,parbih,parbih_1_521,0
"006B004",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,47,2014,parbih,parbih_1_521,0
"006B004",SDS-SRPSKA DEMOKRATSKA STRANKA,14,2014,parbih,parbih_1_521,0
"006B004",PDP-NDP,5,2014,parbih,parbih_1_521,0
"006B004",SRPSKA NAPREDNA STRANKA - SNS,2,2014,parbih,parbih_1_521,0
"006B004",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,0,2014,parbih,parbih_1_521,0
"006B004",SOCIJALISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"006B004",SDA - STRANKA DEMOKRATSKE AKCIJE,0,2014,parbih,parbih_1_521,0
"006B004",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"006B004",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"006B004",STRANKA PRAVEDNE POLITIKE,0,2014,parbih,parbih_1_521,0
"006B004","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"006B004",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),0,2014,parbih,parbih_1_521,0
"007B000",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,0,2014,parbih,parbih_1_521,0
"007B000",SDS-SRPSKA DEMOKRATSKA STRANKA,0,2014,parbih,parbih_1_521,0
"007B000",SOCIJALISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B000",SDA - STRANKA DEMOKRATSKE AKCIJE,0,2014,parbih,parbih_1_521,0
"007B000",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,0,2014,parbih,parbih_1_521,0
"007B000",SRPSKA NAPREDNA STRANKA - SNS,0,2014,parbih,parbih_1_521,0
"007B000",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B000",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B000",STRANKA PRAVEDNE POLITIKE,0,2014,parbih,parbih_1_521,0
"007B000",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,0,2014,parbih,parbih_1_521,0
"007B000",PDP-NDP,0,2014,parbih,parbih_1_521,0
"007B000","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B000",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),0,2014,parbih,parbih_1_521,0
"007B001",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,176,2014,parbih,parbih_1_521,0
"007B001",SDS-SRPSKA DEMOKRATSKA STRANKA,89,2014,parbih,parbih_1_521,0
"007B001",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,47,2014,parbih,parbih_1_521,0
"007B001",PDP-NDP,36,2014,parbih,parbih_1_521,0
