,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HASIĆ DERVIŠ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRVA STRANKA,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-SUND-LDS),Ukupno
,025A037,11,4,79,0,1,12,1,12,4,0,0,0,14,0,56,55,63,0,0,0,0,54,1,0,367
,025A038,2,22,55,0,0,0,1,0,3,0,0,0,4,0,66,150,137,0,1,0,0,29,0,1,471
,025A039,0,0,30,0,1,83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,342,458
,025A040,0,17,10,0,0,0,0,2,0,0,0,0,0,0,16,58,32,0,0,0,0,18,0,10,163
,025A041,3,0,22,0,6,46,1,3,1,1,0,0,0,1,16,38,90,0,0,0,0,6,0,20,254
,025A042,1,8,0,0,0,0,0,0,0,0,0,0,0,0,10,90,9,0,0,0,0,21,0,0,139
,025A043,0,8,27,0,0,0,0,3,0,1,4,0,0,0,68,74,133,0,0,0,0,16,1,1,336
,025A044,5,17,49,0,0,2,2,11,0,0,4,0,2,0,29,46,70,0,0,0,0,24,3,0,264
,036A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,036A001A,4,6,18,0,0,0,0,0,0,0,0,0,0,0,51,278,128,0,0,0,0,50,0,0,535
,036A001B,1,6,14,0,0,0,0,0,0,1,0,0,1,0,25,87,42,0,0,0,0,33,0,6,216
,036A001C,6,13,21,0,0,0,0,3,0,0,0,0,2,0,33,266,98,0,0,0,0,60,0,5,507
,036A001D,5,15,38,0,1,1,1,5,5,1,0,0,1,1,47,279,154,0,0,0,2,134,1,7,698
,036A001E,2,0,14,0,0,0,0,0,2,0,0,0,0,0,22,110,51,0,0,0,0,46,0,0,247
,036A001F,7,11,8,0,0,0,1,1,1,0,1,0,0,0,27,140,63,0,0,0,0,76,0,0,336
,036A002,0,65,13,0,0,2,0,0,1,1,0,0,2,0,26,251,49,0,0,1,1,63,2,7,484
,036A003A,0,7,11,0,0,0,2,0,0,0,0,0,2,0,39,213,29,0,0,0,0,14,0,2,319
,036A003B,3,17,37,0,0,0,0,8,1,0,0,0,0,0,35,315,101,0,0,0,0,22,0,2,541
,036A003C,1,3,6,0,0,0,0,0,0,1,0,0,0,0,13,138,73,0,0,0,0,31,1,14,281
,036A004A,0,6,7,0,0,0,0,0,0,0,0,0,0,0,34,158,291,0,0,0,0,29,0,12,537
,036A004B,0,9,4,0,0,0,2,2,3,0,0,0,0,0,60,159,202,0,0,0,0,27,2,2,472
,036A005A,0,6,9,0,0,0,0,0,1,0,0,0,0,0,32,128,87,0,0,0,0,17,0,2,282
,036A005B,2,1,11,0,0,0,0,0,1,0,0,0,0,0,30,137,71,0,0,0,1,18,0,0,272
,044A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,044A001,19,20,31,0,0,0,0,0,2,0,0,0,1,0,17,133,67,0,0,0,0,9,1,84,384
,044A002,26,29,26,0,0,0,1,10,2,0,0,0,0,0,4,80,57,0,0,0,0,13,4,190,442
,044A003,0,1,12,0,0,0,0,0,0,0,0,0,0,0,3,40,57,0,0,0,0,3,0,4,120
,044A004,33,14,32,0,0,0,0,1,2,0,0,0,4,0,52,137,26,0,1,0,0,7,4,5,318
,044A005,13,12,31,0,1,0,0,0,2,0,0,0,3,0,34,64,32,0,0,0,0,0,3,1,196
,044A006,31,15,29,0,0,0,1,1,21,0,0,0,2,0,11,96,15,0,0,0,2,7,0,2,233
,044A007,8,32,2,0,0,0,0,2,5,0,0,0,4,0,10,70,65,0,0,0,1,17,2,19,237
,044A008,15,22,90,0,0,1,3,6,34,0,1,1,1,0,74,99,65,0,0,0,1,15,4,6,438
,044A009,20,9,66,0,0,0,5,1,56,1,0,2,0,0,56,70,83,1,0,0,0,10,5,11,396
,044A010,7,8,62,0,0,0,1,25,36,1,0,0,3,0,51,112,71,0,0,0,0,8,6,6,397
,044A011,36,15,43,0,0,0,1,3,14,0,0,0,1,0,48,110,67,0,0,0,1,7,5,7,358
,044A012,6,24,54,1,0,0,0,16,10,0,1,0,0,0,40,99,96,0,0,0,1,4,4,0,356
,044A013,11,23,81,1,0,1,2,4,16,1,1,0,0,0,54,114,63,0,0,0,1,21,1,10,405
,044A014,11,11,34,0,0,0,5,2,12,2,0,0,0,0,40,88,49,0,0,0,0,8,1,3,266
,044A015,2,37,38,0,0,0,1,1,23,0,0,0,7,0,39,79,49,0,1,1,0,8,2,9,297
,044A016,5,56,60,0,0,0,1,6,16,0,0,0,2,0,57,61,91,0,0,0,0,6,8,8,377
,044A017,10,22,67,0,1,0,3,4,48,3,0,0,1,0,68,86,71,0,0,0,2,29,10,9,434
,044A018,6,21,102,0,0,0,5,8,39,0,0,0,3,1,54,110,102,0,0,0,2,9,2,4,468
,044A019,14,15,22,0,1,0,0,3,4,2,0,0,0,0,46,92,136,0,0,1,0,6,3,9,354
,044A020,12,15,48,0,0,0,2,20,17,0,0,0,0,1,53,50,43,0,0,0,0,6,15,5,287
,044A021,12,20,43,1,0,0,1,2,15,0,0,0,2,2,50,67,83,0,2,0,0,22,14,6,342
,044A022,8,16,33,0,0,1,0,2,2,0,0,0,0,0,24,74,40,0,0,0,3,12,7,11,233
,044A023,1,340,0,0,0,0,0,0,0,0,0,0,0,0,8,63,21,0,0,0,0,10,0,3,446
,044A024,2,187,37,0,0,0,0,0,1,0,1,0,0,0,23,146,72,0,0,0,0,12,0,1,482
,044A025,4,130,41,0,0,0,4,1,1,0,0,0,0,0,29,84,106,0,0,0,0,23,1,3,427
,044A026,29,8,33,0,0,0,0,1,1,0,0,0,1,0,12,130,252,0,0,0,0,37,6,9,519
,044A027,15,12,36,0,2,0,0,1,2,1,0,0,0,0,10,161,215,0,0,0,1,6,0,22,484
,044A028,51,11,35,0,0,0,3,0,0,0,0,1,0,0,24,152,257,0,0,0,0,13,1,8,556
,044A029A,17,20,189,0,0,0,0,6,3,0,0,0,0,0,40,96,63,0,1,0,0,33,0,6,474
,044A029B,7,12,139,0,0,0,1,3,4,0,1,0,1,0,26,57,40,0,1,0,0,23,1,8,324
,044A030,2,5,29,0,0,0,1,1,0,1,0,0,0,0,9,31,24,0,0,0,1,17,6,1,128
,044A031,11,4,30,0,0,1,0,0,3,0,0,0,3,0,17,62,45,0,0,1,1,45,3,4,230
,044A032A,2,29,37,0,0,0,0,1,0,2,0,0,1,0,18,114,81,0,0,0,1,18,1,3,308
,044A032B,7,17,31,0,0,0,0,4,3,0,0,0,1,0,30,69,85,0,0,0,1,0,1,6,255
,044A033,8,15,56,1,1,0,1,2,5,1,0,0,0,0,36,91,72,0,0,0,1,54,2,4,350
,044A034,1,11,49,0,0,0,2,2,4,0,0,1,3,0,56,64,95,0,0,0,1,37,4,3,333
,044A035,4,32,59,1,0,0,0,1,4,2,0,0,9,0,27,71,51,0,1,0,5,33,1,10,311
,044A036,3,2,10,0,0,0,0,0,2,0,0,0,4,0,10,56,358,0,0,0,1,20,0,0,466
