,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HASIĆ DERVIŠ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRVA STRANKA,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-SUND-LDS),Ukupno
,049A018B,1,60,17,1,0,0,0,5,0,0,0,0,3,0,19,74,7,0,0,0,1,13,3,2,206
,049A019,10,12,69,0,0,2,0,16,7,0,0,0,9,0,70,111,78,0,0,0,1,8,22,24,439
,049A020,7,22,54,0,0,0,0,8,4,2,0,0,2,0,47,122,62,0,0,0,0,12,3,8,353
,049A021,8,4,24,0,0,2,0,3,0,1,0,0,3,0,26,110,88,0,2,0,0,7,0,2,280
,049A022,8,20,46,0,0,2,6,6,3,0,0,0,4,0,58,82,43,0,2,0,0,7,11,33,331
,049A023,2,4,40,0,0,3,3,6,5,0,0,0,0,0,26,48,45,0,0,0,0,9,7,28,226
,049A024,5,13,54,0,0,2,3,6,5,5,0,0,7,0,55,78,99,0,0,0,0,16,5,10,363
,049A025,8,22,62,0,0,2,7,32,4,1,0,0,2,0,57,97,69,0,0,0,3,18,20,10,414
,049A026,0,9,15,0,0,0,0,11,0,0,0,0,1,0,7,96,21,0,0,0,0,22,0,1,183
,049A027,11,13,33,0,0,0,1,1,2,0,0,0,0,0,45,143,79,1,6,0,0,11,5,17,368
,049A028,13,38,35,0,0,2,0,6,6,0,0,0,1,0,45,101,68,0,1,0,0,25,12,5,358
,049A029,6,22,64,0,0,0,1,3,1,0,0,0,4,0,55,101,172,0,0,0,2,11,13,15,470
,049A030,3,9,23,0,0,6,0,2,0,0,1,0,3,0,12,114,140,0,0,0,0,16,14,3,346
,049A031,5,11,35,1,0,0,0,4,0,0,0,0,2,0,41,71,120,0,0,0,1,27,0,8,326
,049A032,0,6,28,0,0,0,0,7,0,1,0,0,0,0,15,118,7,0,0,0,0,6,1,0,189
,049A033,3,13,4,0,0,0,0,0,0,0,0,0,0,0,1,53,26,0,0,0,0,3,0,0,103
,049A034,5,2,14,0,1,0,1,2,0,0,0,0,1,0,13,42,8,0,0,0,0,2,0,4,95
,049A035,0,0,33,0,0,0,1,1,0,0,0,0,0,3,9,109,32,0,0,0,0,3,0,0,191
,049A036,4,13,10,0,0,0,1,3,0,0,0,0,1,0,14,83,62,0,0,0,1,4,6,2,204
,049A037,6,15,46,0,0,3,0,31,0,0,0,0,1,0,17,97,85,0,0,0,0,29,16,10,356
,049A038,0,0,11,0,0,1,0,0,0,0,0,0,0,0,5,45,22,0,0,0,0,1,0,0,85
,049A039,1,1,0,0,15,60,0,64,0,0,0,0,0,0,4,11,1,0,0,0,0,5,0,54,216
,049A040,0,1,26,0,0,6,0,9,1,0,0,0,0,0,3,52,12,0,0,0,0,11,0,23,144
,049A041,8,5,6,0,0,0,0,0,4,0,0,0,0,0,9,96,33,0,0,0,0,8,3,13,185
,049A042,4,7,27,0,0,0,0,1,3,0,0,0,0,0,19,89,22,0,0,0,0,20,8,0,200
,049A043,2,18,31,0,0,0,2,2,2,0,0,0,4,1,43,81,96,0,0,0,1,8,11,3,305
,049A044,2,8,28,0,0,0,0,7,0,2,0,0,0,0,60,137,46,0,0,0,0,5,5,6,306
,049A045,1,17,26,0,0,0,1,10,0,0,0,0,0,0,26,101,34,0,0,0,0,10,10,4,240
,049A046,4,18,17,0,0,1,2,2,0,0,0,1,9,0,19,88,22,0,1,0,0,35,7,8,234
,049A047,20,2,23,0,1,0,1,2,0,0,0,0,2,0,29,95,30,0,0,0,0,12,11,13,241
,049A048A,0,34,29,1,0,2,0,7,0,1,1,0,0,0,30,227,40,0,0,0,1,21,3,27,424
,049A048B,2,6,9,0,0,0,1,1,2,0,0,0,0,1,9,100,7,0,0,0,0,14,4,9,165
,049A049,9,20,50,0,0,5,1,5,3,0,0,0,7,0,62,93,39,1,0,0,0,18,9,8,330
,049A050A,0,17,18,0,0,1,2,4,0,0,1,1,4,0,15,76,55,0,0,1,1,28,4,1,229
,049A050B,2,26,8,0,0,1,2,8,3,0,0,0,0,0,13,59,61,0,0,0,0,27,6,1,217
,049A051,1,0,2,0,5,128,0,1,0,0,0,0,1,0,1,5,12,0,2,0,0,1,1,3,163
,049A052,2,5,15,0,0,8,0,2,0,0,0,0,0,0,15,60,6,1,0,0,1,14,6,11,146
,049A053,1,20,21,0,0,1,0,0,0,0,0,0,0,0,19,270,25,0,0,0,0,22,3,10,392
,049A054,3,22,63,0,1,9,2,9,2,0,0,0,8,0,40,94,39,0,0,1,0,6,11,18,328
,049A055,5,21,84,0,0,16,0,8,3,0,0,0,7,0,42,51,74,0,1,0,0,15,8,23,358
,049A056,0,3,12,0,0,1,0,0,0,0,0,0,0,0,33,56,18,0,0,0,0,9,3,24,159
,049A057,3,6,9,0,0,0,0,0,0,0,0,0,0,0,11,48,21,0,0,0,0,3,0,0,101
,049A058,0,3,2,0,0,0,0,0,0,0,0,0,0,0,49,61,9,0,0,0,0,0,2,0,126
,049A059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,049A060,1,8,19,0,0,1,1,4,0,0,0,0,1,0,21,38,10,0,0,0,0,3,13,0,120
,049A061,0,0,3,0,1,29,0,5,0,0,0,1,0,0,4,0,0,0,2,0,0,2,1,4,52
,049A062,5,13,46,0,0,1,1,1,7,0,0,0,1,0,55,56,50,0,0,0,0,10,17,14,277
,050A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,050A001,31,8,70,0,1,4,22,51,18,1,0,0,9,0,63,32,36,0,0,0,0,9,14,3,372
,050A002,22,10,51,0,2,3,16,37,7,1,0,1,1,0,81,33,39,0,4,0,0,7,8,4,327
,050A003,32,16,75,0,2,2,2,14,6,3,1,0,7,1,57,39,25,0,0,0,2,2,11,2,299
,050A004,19,9,80,0,4,22,19,13,11,7,0,0,5,3,90,51,85,0,2,0,2,20,10,5,457
,050A005,20,7,77,0,1,7,15,20,14,2,0,1,16,2,87,37,59,0,0,0,1,5,9,2,382
,050A006,12,9,72,2,4,0,16,14,11,3,0,3,5,1,80,58,53,0,1,0,1,12,14,6,377
,050A007,14,11,93,1,1,15,10,21,10,0,0,0,4,1,74,53,52,0,1,0,0,10,10,8,389
,050A008,17,6,61,0,4,10,11,14,5,2,0,2,13,0,65,42,54,0,0,0,2,9,8,2,327
,050A009,11,6,31,0,1,1,4,3,3,0,0,0,0,0,33,23,26,0,0,0,0,11,7,0,160
,050A010,15,5,57,0,6,10,20,19,23,4,1,1,6,1,56,62,75,0,1,0,0,6,10,2,380
,050A011,17,10,45,1,8,11,10,21,14,0,0,1,8,0,62,43,65,0,1,0,0,11,13,2,343
,050A012,14,8,59,0,3,13,29,5,21,2,0,0,4,1,74,29,48,1,0,0,0,9,18,0,338
,050A013,9,17,55,0,1,11,7,8,15,11,0,0,10,0,52,59,46,0,1,0,3,9,12,0,326
,050A014,26,19,54,0,4,10,18,4,17,8,0,0,17,1,65,114,67,0,0,0,1,13,24,10,472
,050A015,18,10,41,0,3,1,14,12,18,3,0,1,12,2,61,65,34,0,0,2,1,5,26,1,330
,050A016,14,9,56,0,5,12,14,13,18,3,0,4,9,1,64,28,49,0,2,0,3,11,24,1,340
,050A017,10,9,32,0,2,2,8,11,16,1,0,1,8,1,46,20,42,0,1,0,0,7,14,1,232
,050A018,13,7,34,0,1,7,6,8,5,1,0,0,3,1,64,33,54,0,0,0,0,14,16,3,270
,050A019,1,2,12,0,5,53,1,27,0,1,0,0,2,1,13,0,48,0,1,0,0,10,4,0,181
,050A020,2,6,58,0,7,54,4,53,0,0,0,0,7,0,32,30,59,0,4,0,1,11,5,0,333
,050A021,4,5,21,0,7,97,3,3,1,0,0,1,0,0,15,3,15,1,0,0,0,3,2,0,181
,050A022,14,3,58,0,2,6,13,10,14,2,1,1,11,0,60,52,58,0,1,0,0,16,5,1,328
,050A023,16,7,57,0,0,2,7,19,4,1,0,0,28,0,91,40,40,0,1,0,0,6,11,2,332
,050A024,28,12,35,0,0,5,8,5,2,0,0,4,24,0,86,22,39,0,0,0,0,4,9,0,283
,050A025,5,1,16,0,9,103,2,28,0,0,0,0,1,0,8,8,57,0,0,0,1,0,5,0,244
,050A026,6,5,17,0,1,3,3,5,3,1,0,0,3,6,35,12,82,2,1,1,0,7,2,1,196
,050A027,3,1,9,0,9,60,0,1,0,0,0,0,0,3,13,17,22,0,2,1,0,0,5,8,154
,050A028,10,3,26,0,0,0,0,4,0,0,0,0,1,0,16,62,21,0,0,0,0,3,0,8,154
,050A029,14,13,50,0,0,0,4,18,3,0,0,1,3,0,75,53,23,0,0,0,4,6,3,3,273
,050A030,21,11,73,0,0,0,2,32,2,0,0,6,10,0,113,61,44,0,0,0,0,11,3,0,389
,050A031,0,1,6,0,6,38,0,3,0,0,0,0,0,0,1,7,9,0,0,0,0,3,0,1,75
,050A032,31,22,22,0,1,0,0,3,2,1,0,1,4,0,57,59,41,0,4,0,0,13,34,0,295
,050A033,22,17,29,0,0,0,3,1,0,3,0,0,19,0,87,58,34,0,0,0,1,9,17,2,302
,050A034,25,24,32,0,0,0,3,12,3,1,0,0,12,0,95,86,41,0,3,0,0,11,29,1,378
,050A035,1,0,9,0,4,37,1,4,0,0,0,0,0,1,1,0,9,0,0,0,0,1,1,1,70
,050A036,31,18,25,0,0,0,4,5,1,0,0,0,19,0,38,82,39,0,2,0,1,20,22,3,310
,050A037,13,18,53,1,8,8,2,24,2,1,0,0,6,0,85,56,27,0,1,0,0,14,10,0,329
,050A038,5,5,28,0,5,35,0,32,2,0,0,0,0,0,10,3,28,0,0,0,0,2,3,0,158
,050A039,6,2,27,1,7,127,1,11,1,0,0,0,0,0,28,18,14,0,1,0,0,3,1,1,249
,050A040,6,4,26,0,6,90,0,16,3,0,0,0,4,0,17,28,31,0,0,0,2,3,6,2,244
,050A041,4,4,30,0,3,55,1,21,1,2,0,1,0,0,46,38,32,0,1,0,0,6,3,2,250
,050A042,4,10,41,0,0,0,14,6,9,0,0,1,24,0,74,28,43,0,0,0,0,8,7,3,272
,050A043,16,10,56,0,1,3,16,5,5,2,0,2,7,0,87,43,50,0,1,0,0,31,9,3,347
,050A044,4,7,55,0,2,55,8,17,0,3,0,0,9,0,54,48,16,0,0,1,0,19,0,2,300
,050A045,6,6,57,0,3,27,4,13,1,1,1,1,2,0,45,75,30,0,0,0,1,30,4,10,317
,050A046,24,5,59,0,3,7,4,1,1,0,0,0,4,1,111,66,23,0,4,0,0,26,5,2,346
,050A047,14,6,40,0,0,1,5,4,12,0,0,0,3,1,43,80,37,0,0,0,0,6,8,1,261
,050A048,5,8,38,0,1,2,3,1,11,0,0,1,3,0,41,116,41,0,0,0,0,6,2,1,280
,050A049,5,8,45,0,12,50,3,6,12,0,0,0,0,0,42,22,38,0,0,0,0,13,3,1,260
,050A050,11,13,28,0,0,0,2,6,11,1,0,0,2,0,70,27,46,0,0,0,2,4,2,4,229
,050A051,7,16,27,0,8,58,0,2,0,0,0,1,1,0,46,34,50,0,1,0,0,4,3,4,262
,050A052,10,6,42,0,6,45,0,9,6,0,0,0,0,0,66,80,52,0,0,0,0,0,2,5,329
,050A053,3,0,16,0,20,74,0,19,3,0,0,0,2,0,8,2,25,0,0,0,0,1,7,0,180
,050A054,1,3,38,0,14,288,3,0,0,2,1,0,1,1,10,1,28,0,3,0,0,0,1,2,397
,050A055,1,2,12,0,6,89,0,5,1,0,0,1,0,2,7,0,24,0,0,1,0,0,0,0,151
,050A056,33,4,54,0,2,0,4,18,0,0,0,0,1,0,138,103,24,0,1,0,0,7,1,4,394
,050A057,0,12,23,0,18,101,0,8,1,0,0,0,6,0,16,40,17,0,1,0,0,9,1,1,254
,050A058,1,5,18,0,12,92,0,8,2,0,0,0,3,0,22,13,37,0,0,0,0,0,4,0,217
,050A059,16,14,42,0,1,1,4,50,4,2,1,0,7,0,123,30,25,1,0,0,0,19,12,5,357
,050A060,16,11,55,0,2,6,9,27,3,1,0,0,3,1,73,33,37,1,2,0,1,12,9,0,302
,050A061,24,15,62,0,1,10,9,14,5,1,0,0,9,0,131,53,35,0,0,0,1,16,1,6,393
,050A062,25,7,56,0,3,12,4,24,1,2,0,0,5,0,84,30,34,0,0,0,0,7,7,2,303
,050A063,22,8,35,0,2,9,4,24,15,1,0,0,6,3,124,35,44,1,1,0,1,18,8,1,362
,050A064,7,10,53,0,3,17,6,28,2,1,1,0,3,1,85,35,30,0,0,0,1,3,4,3,293
,050A065,20,9,52,0,0,2,6,10,3,6,0,1,6,0,171,39,33,0,2,0,1,13,5,0,379
,050A066,19,15,68,0,1,4,3,14,2,0,0,1,5,0,200,39,54,0,0,0,2,8,10,1,446
,050A067,12,16,76,0,3,5,12,4,11,0,0,1,13,1,52,52,68,0,0,0,1,15,13,5,360
,050A068,12,12,47,1,1,11,6,6,6,2,0,0,3,1,63,54,36,0,1,0,0,15,17,5,299
,050A069,26,17,51,0,0,2,2,7,4,1,0,1,3,1,121,50,32,0,0,0,0,3,1,8,330
,050A070,16,11,46,0,0,12,10,4,7,1,0,2,11,1,74,25,40,0,0,0,1,26,9,2,298
,050A071,27,11,39,0,5,32,3,10,1,1,0,0,4,0,34,55,46,0,0,0,0,6,0,3,277
,050A072,34,8,29,0,0,0,1,13,1,0,0,0,5,0,30,49,14,0,0,0,0,2,3,3,192
,050A073,55,28,80,0,0,7,5,19,1,0,0,1,5,0,79,91,43,0,0,0,2,5,3,1,425
,050A074,16,9,68,0,3,12,19,6,10,4,0,0,5,1,65,33,57,1,0,0,0,14,12,0,335
,050A075,23,9,36,0,1,2,12,3,11,4,0,0,2,2,63,39,40,0,0,1,0,3,6,1,258
,050A076,26,16,70,0,4,5,32,7,15,7,0,0,16,0,70,46,59,0,2,0,2,12,7,2,398
,050A077,18,6,53,0,5,9,11,16,14,2,0,2,14,2,76,51,68,0,0,0,1,15,14,0,377
,050A078,16,14,61,0,5,12,8,17,10,15,0,1,11,2,60,43,52,0,1,0,4,18,19,2,371
,050A079,25,25,63,0,7,4,29,10,26,2,0,1,15,3,90,66,86,1,1,0,0,5,10,2,471
,050A080,0,0,6,0,6,74,0,37,0,0,0,0,1,1,3,0,1,0,3,0,0,0,0,0,132
,050A081,17,13,70,0,0,0,7,30,1,2,0,0,6,1,79,97,133,0,0,0,1,12,5,6,480
,050A082,13,9,42,0,0,0,1,24,1,0,1,0,3,0,82,70,34,0,4,0,0,11,1,3,299
,050A083,9,4,22,0,0,1,2,16,0,0,1,0,1,0,42,45,6,0,0,0,0,5,2,2,158
,050A084,15,10,28,0,0,1,1,21,1,0,0,1,2,0,33,77,27,0,0,0,0,8,3,1,229
,050A085,0,0,17,0,12,85,0,9,0,0,0,0,1,0,7,1,18,0,1,0,0,1,5,3,160
,050A086,3,0,14,0,3,60,3,5,1,0,0,0,0,0,9,12,18,0,1,0,0,3,2,2,136
,050A087,0,0,16,0,10,81,0,2,0,0,0,1,0,0,5,0,24,1,0,0,0,2,2,0,144
,050A088,18,21,34,0,0,4,4,31,20,0,0,0,10,0,68,73,37,0,0,0,0,13,17,0,350
,050A089,18,36,24,0,0,2,2,49,0,5,0,0,8,0,57,110,25,1,9,0,0,44,9,2,401
,050A090,14,13,11,0,0,0,0,59,0,1,0,0,14,0,16,103,20,0,46,0,0,33,5,2,337
,050A091,14,27,21,0,1,3,0,40,3,0,0,1,22,0,23,89,15,0,12,0,1,42,15,0,329
,050A092,13,21,44,0,0,0,2,50,5,1,0,0,10,0,85,82,26,0,8,0,0,40,5,4,396
,050A093,1,2,3,0,1,0,0,41,0,0,0,0,1,5,12,8,13,5,2,0,0,0,36,0,130
,050A094,25,7,86,0,6,7,12,13,13,1,0,0,12,2,75,61,78,0,0,0,2,15,1,0,416
,050A095,19,6,80,0,4,13,19,5,20,6,0,1,14,3,77,51,72,2,1,0,0,15,10,7,425
,050A096,27,8,71,0,2,11,6,8,21,5,0,0,3,3,62,22,66,0,2,0,2,4,9,5,337
,050A097,26,9,62,0,2,9,14,2,10,2,0,0,3,1,63,42,77,0,2,0,0,13,12,1,350
,050A098,24,9,77,0,8,9,18,6,16,5,0,0,5,1,66,55,91,2,0,0,3,9,6,3,413
,050A099,29,9,68,0,1,8,16,5,8,3,0,0,6,0,80,54,77,0,0,0,1,13,10,5,393
,050A100,5,5,25,0,3,0,6,6,12,0,0,0,8,0,40,19,9,0,0,0,0,9,5,2,154
,050A101,15,4,95,0,7,17,17,7,13,8,0,0,9,1,70,60,53,1,0,0,0,11,13,7,408
,050A102,15,14,48,0,2,17,3,3,9,6,0,0,9,0,36,85,46,0,2,0,1,9,4,3,312
,050A103,32,16,54,0,5,9,25,16,19,2,0,0,19,1,80,56,81,0,1,0,2,7,6,4,435
,050A104,14,22,51,0,15,23,11,5,4,3,0,0,8,0,45,61,26,0,2,0,1,10,10,1,312
,050A105,37,27,62,0,0,0,7,6,14,9,1,0,6,0,96,90,18,0,1,0,1,17,10,0,402
,050A106A,13,10,56,0,0,1,6,3,8,3,0,0,13,0,48,39,37,0,3,0,0,12,14,4,270
,050A106B,9,10,31,0,1,4,4,5,16,2,0,0,14,1,70,47,29,0,7,0,1,11,12,6,280
,050A107,28,22,67,0,3,4,3,6,7,5,0,0,16,0,84,71,40,0,0,0,5,8,11,3,383
,050A108,22,9,51,0,1,5,9,9,5,0,0,0,7,1,75,39,51,0,2,0,1,4,8,1,300
,050A109,27,13,53,0,0,3,4,7,6,3,0,0,8,0,70,67,39,0,1,0,1,20,8,1,331
,050A110,16,6,72,0,4,10,10,5,7,0,0,0,2,1,94,51,43,0,3,0,1,9,14,1,349
,050A111,36,14,99,0,0,0,4,10,4,1,0,0,1,0,75,61,33,0,0,0,0,11,8,1,358
,050A112,15,9,53,0,0,3,3,14,4,1,0,0,3,0,63,32,29,0,2,1,0,8,6,1,247
,050A113,27,26,69,0,1,6,7,13,7,2,0,3,4,1,107,70,31,0,3,0,0,16,4,3,400
,050A114,15,16,46,0,0,0,3,7,9,0,0,0,0,0,65,37,21,0,0,0,0,6,4,3,232
,050A115,21,41,47,0,4,15,5,17,9,2,0,0,4,0,71,57,27,0,1,0,1,26,7,1,356
,050A116,13,7,24,1,2,15,7,35,6,8,0,0,12,1,75,32,37,1,4,0,1,1,18,1,301
,050A117,15,12,60,0,0,5,13,28,5,4,0,0,13,1,65,104,41,0,0,0,2,13,10,0,391
,050A118,13,9,45,0,1,5,8,8,4,1,0,0,6,1,33,14,30,1,6,0,0,6,9,3,203
,050A119,21,17,72,0,4,12,9,12,11,3,0,0,6,0,86,43,55,0,1,0,1,18,20,0,391
,050A120,23,20,48,1,0,1,3,77,21,1,0,0,8,0,75,36,30,0,2,0,0,11,13,1,371
,050A121,13,20,42,0,1,7,9,48,10,1,0,0,5,0,76,35,33,0,1,0,1,18,4,1,325
,050A122,19,15,67,0,6,6,13,5,11,3,0,2,4,0,79,57,83,1,2,0,1,12,25,2,413
,050A123,17,8,62,0,6,6,3,24,10,1,0,1,7,0,99,49,46,0,0,0,1,7,10,3,360
,050A124,17,11,85,0,6,14,18,12,19,4,0,0,3,3,52,31,87,0,2,0,3,5,23,2,397
,050A125,15,5,75,1,7,12,3,15,18,13,1,3,7,1,62,54,77,0,2,0,0,7,13,0,391
,050A126,23,11,66,0,6,9,11,10,19,1,0,1,8,2,80,43,86,0,2,0,3,10,11,9,411
,050A127,18,11,69,0,2,11,14,14,15,2,0,1,8,2,67,52,57,1,5,0,3,5,28,1,386
,050A128,19,14,62,0,2,13,18,8,29,3,0,0,11,0,76,50,85,0,0,0,1,5,10,0,406
,050A129,20,22,75,1,2,9,27,0,16,15,4,0,13,0,56,56,59,0,0,8,1,19,8,0,411
,050A130,23,12,64,1,4,14,20,13,16,15,0,0,18,0,81,41,52,1,0,0,0,10,14,3,402
,050A131,26,5,49,0,5,11,10,13,17,5,0,5,2,1,37,29,72,0,3,0,2,8,13,1,314
,050A132,10,9,63,0,3,15,11,3,19,5,1,0,6,2,49,39,53,0,0,1,2,10,12,4,317
,050A133,22,9,92,0,0,0,4,31,1,1,0,0,7,0,27,58,71,0,1,0,1,7,12,3,347
,050A134,29,4,78,0,0,6,0,31,0,2,0,0,2,0,36,15,40,0,2,0,0,12,11,0,268
,050A135,18,15,29,0,0,3,3,24,1,1,0,0,5,0,33,115,20,0,2,0,0,11,4,4,288
,050A136,12,3,23,0,0,0,0,20,0,0,0,0,7,0,18,75,18,0,1,0,0,13,2,4,196
,050A137,14,42,95,0,0,1,9,16,5,1,0,0,2,0,80,72,25,0,0,0,6,8,8,17,401
,050A138,16,1,61,0,0,3,5,15,1,0,0,0,3,0,49,20,40,0,1,0,0,5,7,0,227
,050A139,23,12,72,0,0,1,12,50,9,2,0,0,15,0,98,93,50,0,2,0,0,7,13,2,461
,050A140,19,20,63,0,0,2,1,8,11,1,0,0,7,0,120,73,37,0,0,0,3,11,7,2,385
,050A141,17,10,57,0,0,2,12,17,16,2,0,0,25,0,109,88,40,0,0,0,4,24,10,0,433
,050A142,11,12,62,0,3,19,14,7,29,1,0,0,19,0,63,81,68,0,0,1,1,12,17,2,422
,050A143,13,6,41,1,3,3,11,7,12,4,0,1,9,0,57,71,45,0,0,0,0,5,17,0,306
,050A144,17,18,55,0,2,14,27,1,16,3,0,2,3,0,66,53,69,0,0,0,2,12,13,2,375
,050A145,18,12,80,0,3,13,23,8,21,6,0,0,8,1,56,88,61,0,0,0,2,18,20,4,442
,050A146,18,22,95,0,1,6,13,21,14,0,0,1,15,0,106,91,45,0,0,0,3,14,21,0,486
,050A147,13,9,66,0,2,9,18,9,20,6,0,0,10,1,70,56,51,0,0,0,2,5,15,7,369
,050A148,20,12,79,0,2,3,19,13,10,2,0,0,21,0,98,46,50,0,0,0,0,9,10,3,397
,050A149,16,3,17,0,0,2,5,2,1,0,0,0,2,0,26,13,26,0,0,0,0,7,8,0,128
,050A150,20,6,74,0,1,4,11,14,7,0,0,1,13,1,87,28,54,1,0,0,1,8,13,4,348
,050A151,35,16,96,0,4,1,8,10,9,3,0,1,15,0,73,41,44,1,1,0,1,12,20,6,397
,050A152,32,17,81,0,0,11,9,21,4,0,0,0,1,0,72,20,22,0,1,0,5,6,50,1,353
,052A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,052A001,0,3,10,0,0,0,0,0,0,0,0,0,3,0,22,46,14,0,0,0,0,178,2,0,278
,052A002,0,6,17,0,0,1,0,5,0,1,0,0,3,0,28,54,20,0,0,0,2,255,1,0,393
,052A003,0,13,3,0,0,0,0,6,0,0,0,0,0,0,13,84,17,0,1,0,0,358,0,0,495
,052A004,1,7,7,0,0,0,0,6,0,0,0,0,0,0,9,138,9,0,1,0,0,77,0,0,255
,052A005,3,19,12,0,0,1,0,41,0,0,0,0,2,0,17,79,34,0,0,0,1,31,3,0,243
,052A006,1,2,20,0,0,0,1,26,0,0,0,0,0,0,26,160,5,0,0,0,0,1,3,1,246
,052A007,0,4,2,0,0,0,0,1,0,0,0,0,0,0,6,146,12,0,0,0,1,26,0,4,202
,052A008,1,4,2,0,0,1,0,3,0,0,0,0,0,0,2,166,15,0,0,0,1,27,0,6,228
,052A009,4,5,9,0,0,0,0,46,0,0,0,0,0,0,3,178,8,0,0,0,2,32,0,11,298
,052A010,0,3,8,0,0,1,0,1,0,0,0,0,0,0,12,154,7,0,2,0,33,34,0,1,256
,052A011,0,1,3,0,0,0,0,1,0,0,0,0,1,2,8,63,8,1,0,0,13,22,0,1,124
,052A012,0,1,0,0,4,259,0,125,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,391
,052A013,2,5,23,0,0,0,2,21,2,0,1,0,0,0,26,174,8,0,0,0,2,10,7,1,284
,052A014,1,2,11,0,0,0,1,0,1,0,0,0,7,0,21,76,9,0,0,0,1,170,0,1,301
,052A015,5,8,18,0,0,1,0,9,0,1,0,0,2,0,33,89,20,0,1,0,0,193,0,0,380
,052A016,3,5,15,0,0,0,0,1,0,1,0,0,1,0,10,147,10,0,0,0,2,56,0,0,251
,055A001A,5,29,26,0,0,0,0,4,2,0,0,0,12,0,24,287,39,0,0,0,0,32,0,2,462
,055A001B,0,18,10,0,0,0,0,9,3,1,0,0,3,0,11,118,32,0,2,0,0,38,0,0,245
,055A001C,1,11,6,0,0,0,0,2,1,0,0,0,3,1,3,143,7,0,0,0,1,32,2,0,213
,055A002A,3,28,8,0,0,1,0,20,3,0,0,1,19,0,39,186,74,0,0,0,2,58,5,0,447
,055A002B,4,31,18,0,0,1,0,24,0,1,0,0,3,0,14,115,26,0,0,0,0,61,0,0,298
,055A003,2,32,23,0,0,0,0,48,0,0,0,0,1,0,22,252,8,0,0,0,1,72,3,0,464
,055A004,0,6,6,0,0,0,0,3,0,0,0,0,11,0,45,302,10,0,0,0,0,21,0,3,407
,055A005,0,14,8,0,0,0,0,22,0,0,0,0,5,0,28,176,58,0,0,0,0,37,0,0,348
,055A006,1,9,13,0,0,0,0,8,1,2,1,0,7,0,15,161,6,0,0,0,0,11,4,1,240
,078A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,078A001,2,3,25,0,0,1,1,0,1,0,0,0,0,0,24,293,33,0,0,0,0,7,2,0,392
,078A002,1,10,23,0,1,6,2,0,1,2,0,0,0,2,56,221,74,0,0,0,1,10,0,2,412
,078A003,6,9,43,0,0,1,1,1,1,3,0,1,0,0,49,239,43,0,0,0,0,11,1,0,409
,078A004,4,6,53,0,2,1,0,1,0,0,0,0,4,0,47,184,39,0,0,0,3,3,0,1,348
,078A005,1,11,27,0,1,3,2,3,5,0,0,0,0,0,39,176,29,0,0,0,0,10,1,1,309
,078A006,8,6,34,1,0,1,1,3,5,0,0,0,2,0,63,250,52,0,6,0,2,2,2,2,440
,078A007,1,3,16,0,0,0,1,0,0,0,0,0,2,0,12,383,45,0,0,0,0,5,0,1,469
,078A008,0,10,11,0,0,0,0,0,0,0,0,0,1,0,23,419,9,0,0,0,0,6,0,0,479
,078A009,3,8,23,0,1,3,1,1,0,1,0,0,1,0,29,213,52,0,1,0,0,4,0,0,341
,078A010,1,4,11,0,0,0,1,0,0,0,0,0,0,0,35,259,36,0,1,0,0,5,0,9,362
,078A011A,4,2,14,0,0,0,0,1,0,0,0,0,0,0,11,364,65,0,0,0,0,9,0,0,470
,078A011B,0,0,25,0,0,0,0,0,0,0,1,0,0,0,15,308,56,0,1,0,0,0,0,0,406
,078A012A,3,4,14,0,0,0,0,0,0,0,0,0,0,0,18,567,14,0,0,0,0,1,0,3,624
,078A012B,1,11,21,0,0,0,0,0,1,1,0,0,0,0,22,670,17,0,0,0,0,2,1,2,749
