,BM,BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DNS-DEMOKRATSKI NARODNI SAVEZ,DOS DEMOKRATSKA OBITELJSKA STRANKA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRVATSKA NEZAVISNA LISTA - HNL,HSP DR. ANTE STARČEVIĆ BIH,NARODNA STRANKA RADOM ZA BOLJITAK,POSAVSKA STRANKA,PRAVAŠKO SELJAČKI SAVEZ (HSP BIH-HSS STJEPANA RADIĆA),SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SLOŽNA NARODNA STRANKA,SOCIJALISTIČKA PARTIJA,STRANKA ZA BOSNU I HERCEGOVINU,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,106A027B,0,25,0,0,0,47,57,10,3,31,0,11,0,6,39,21,1,0,4,1,256
,106A028,0,29,0,0,0,63,94,12,1,38,0,22,2,13,33,22,0,0,2,1,332
,106A029,0,2,0,0,0,49,63,6,5,19,0,12,0,0,0,0,5,0,0,0,161
,106A030,0,17,1,0,0,53,87,9,5,27,0,9,0,6,15,33,0,0,3,2,267
,106A031,0,17,0,0,0,51,55,5,2,29,0,14,0,18,29,10,0,0,1,1,232
,106A032,0,0,0,0,0,126,181,15,56,15,0,35,0,0,0,1,0,0,0,0,429
,106A033,0,3,1,0,0,51,133,3,7,10,0,13,0,1,0,0,0,0,0,0,222
,106A034,0,1,0,0,0,42,127,1,5,52,0,15,1,1,44,4,0,0,2,0,295
,106A035,0,0,0,1,0,108,53,10,0,11,0,5,22,0,0,1,2,1,0,1,215
,106A036,0,17,0,1,0,53,76,7,4,9,0,13,0,1,44,10,0,0,1,0,236
,107A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,107A001,0,2,0,1,8,57,163,16,13,19,1,59,0,0,4,18,0,0,11,6,378
,107A002,0,5,0,1,10,64,182,27,9,20,1,40,3,0,1,7,0,0,4,25,399
,107A003,0,0,0,2,2,29,107,9,10,6,0,61,34,4,3,7,0,0,12,8,294
,107A004,0,1,0,1,18,43,128,6,10,15,0,57,8,1,13,9,1,0,18,8,337
,124A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,124A001,0,4,0,0,14,18,105,55,6,16,0,23,0,0,26,29,0,0,2,0,298
,124A002,1,0,0,0,21,29,75,53,1,23,0,12,0,2,19,13,1,8,2,3,263
,124A003,0,5,0,0,11,50,67,62,1,36,0,20,0,2,12,25,0,0,1,1,293
,124A004,0,1,0,0,0,2,67,4,4,0,0,1,0,0,0,4,0,0,0,1,84
,124A005A,0,3,0,0,4,1,86,158,6,1,0,11,0,0,9,5,0,0,0,3,287
,124A005B,0,0,0,0,2,20,82,200,3,5,0,25,1,0,6,4,1,0,1,0,350
,124A006,0,0,0,0,11,46,147,40,1,2,0,17,0,0,0,2,0,0,0,0,266
,124A007,0,3,0,0,6,14,154,23,19,27,0,80,0,0,34,12,0,0,0,0,372
,124A008,0,0,0,0,5,3,144,15,0,3,0,13,0,0,0,5,0,0,0,0,188
,124A009,0,0,0,0,24,4,106,39,1,10,0,7,0,0,0,5,0,0,0,4,200
,124A010,0,0,0,0,9,76,112,20,75,0,0,10,0,0,0,2,0,0,0,0,304
,124A011,0,1,0,0,2,35,109,38,3,18,0,15,0,0,95,39,0,0,5,0,360
,124A012,0,0,0,0,5,45,135,15,114,28,0,0,0,0,0,20,0,0,0,0,362
,124A013,0,0,0,0,1,14,167,21,13,1,0,6,0,0,0,12,0,0,0,0,235
,124A014,0,0,0,0,11,11,124,37,6,2,0,5,0,0,0,10,0,0,0,0,206
,124A015,0,1,0,0,8,16,69,58,4,16,0,14,0,1,1,15,0,0,1,1,205
,124A016,0,8,0,0,17,51,103,64,7,27,0,7,0,4,36,44,0,0,2,2,372
,124A017,0,1,0,0,11,23,113,112,14,5,0,13,0,0,0,63,0,0,0,1,356
,124A018,0,0,0,0,18,10,244,68,6,6,0,15,0,0,0,58,0,1,0,0,426
,124A019,0,0,0,0,8,46,68,50,4,15,0,54,0,0,49,84,0,0,0,0,378
,124A020,0,0,0,0,10,27,149,91,4,8,0,24,0,0,0,5,0,0,0,3,321
,124A021,0,0,0,0,3,5,34,129,0,0,0,5,0,0,0,1,0,0,0,2,179
,124A022,0,0,0,0,8,11,69,41,19,4,0,0,0,0,0,13,0,0,0,0,165
,124A023,0,2,0,0,15,22,122,58,1,29,0,7,0,1,33,19,0,5,3,3,320
,124A024,0,0,0,0,15,61,76,40,0,11,0,27,0,0,10,15,0,1,1,3,260
,124A025,0,4,0,0,7,64,113,64,5,20,0,6,2,4,75,44,0,0,0,5,413
,124A026,0,0,0,0,14,19,91,84,4,4,0,22,0,0,0,10,0,0,0,0,248
,124A027,0,0,0,0,16,7,222,7,3,0,0,1,0,0,0,5,0,0,0,0,261
,124A028,0,0,0,0,0,5,87,28,2,0,0,4,0,0,0,1,0,0,0,0,127
,124A029,0,0,0,0,4,13,36,19,0,1,0,2,0,0,79,28,0,0,0,3,185
