,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HSS STJEPANA RADIĆA,KAMENČIĆ AIDA,KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,LAVIĆ HARIS,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRELJEVIĆ NEDIM,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SELJAČKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJAL DEMOKRATSKI FRONT BOSNE I HERCEGOVINE,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA PRAVDE I RAZVOJA BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA EVROPSKO SARAJEVO-SES,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,131A067,36,16,55,0,0,0,0,2,1,0,2,6,5,0,0,0,0,73,112,35,0,0,4,2,1,1,6,3,6,8,374
,131A068,12,33,35,1,1,0,0,0,0,0,2,9,1,0,0,0,0,43,59,23,1,0,4,1,1,1,1,5,3,4,240
,131A069,19,20,32,2,3,0,1,0,0,0,4,7,1,0,0,0,0,59,99,32,0,0,0,0,0,0,3,2,0,4,288
,131A070,14,13,51,0,0,0,0,1,0,0,6,13,3,0,0,0,0,72,61,54,0,0,5,2,0,0,2,4,5,7,313
,131A071,25,13,78,0,0,0,0,1,0,0,8,6,0,0,0,0,0,68,112,39,0,0,1,0,1,0,5,2,2,3,364
,131A072,8,16,42,1,1,0,1,1,0,0,4,11,1,0,0,0,0,69,82,24,0,0,2,0,2,1,6,1,4,7,284
,131A073,32,25,56,0,0,0,0,0,0,0,4,3,3,0,0,0,0,58,96,49,0,0,0,3,2,0,11,1,5,10,358
,131A074,7,28,54,4,3,0,0,2,0,0,14,6,2,0,0,0,0,101,102,16,1,0,0,3,1,0,5,5,2,9,365
,131A075,6,15,83,4,7,1,0,1,1,0,10,35,0,0,0,1,0,61,128,39,0,0,1,2,1,0,6,9,5,10,426
,131A076,20,8,62,3,0,0,0,5,0,0,5,6,14,0,0,0,0,73,156,29,0,0,0,4,2,0,22,5,12,3,429
,131A077,13,10,58,5,21,0,0,0,0,0,4,13,1,0,0,1,1,48,68,23,0,1,6,1,2,0,13,5,2,3,299
,131A078,3,18,55,25,22,0,1,1,0,0,7,9,3,0,0,0,0,70,63,21,0,0,3,0,1,0,4,3,7,1,317
,131A079,7,12,37,10,24,0,0,1,0,0,0,12,7,0,0,0,0,29,55,29,2,0,2,1,2,1,7,4,3,8,253
,131A080,17,14,63,10,32,0,0,5,0,0,3,20,1,0,0,0,2,47,87,10,0,0,0,4,1,1,55,4,5,6,387
,131A081,13,13,63,6,3,0,0,4,0,0,8,22,3,0,0,0,4,61,63,34,0,1,1,1,1,0,2,8,5,5,321
,131A082,7,25,68,6,0,0,0,3,0,0,5,34,15,0,0,0,0,50,149,42,0,0,4,0,0,0,13,15,13,8,457
,131A083,6,52,53,11,5,0,0,3,0,0,6,18,3,0,0,0,1,62,72,18,0,0,5,2,3,0,18,10,19,4,371
,131A084,2,22,56,1,2,0,0,2,0,0,7,25,0,0,0,0,1,51,68,31,0,0,1,1,1,0,5,5,6,5,292
,131A085,14,9,34,0,2,0,0,0,0,0,11,21,0,0,0,2,0,41,60,7,0,0,0,0,0,0,0,1,1,3,206
,131A086,6,14,50,0,1,0,0,5,0,1,4,7,0,0,0,0,2,50,109,15,0,0,0,1,4,0,2,2,2,6,281
,131A087,3,18,34,1,2,0,0,6,0,0,11,13,1,0,0,1,0,50,100,29,0,0,1,1,7,0,9,1,10,7,305
,131A088,12,14,51,2,7,0,0,2,0,0,8,23,5,0,0,0,1,60,52,36,0,0,1,2,3,0,11,2,5,5,302
,131A089,6,20,49,9,11,2,0,11,0,0,7,12,3,0,1,0,2,52,46,8,1,0,0,1,2,0,7,6,2,0,258
,131A090,9,27,63,3,4,0,0,3,0,0,8,15,4,0,0,1,0,68,102,18,0,0,3,0,4,0,3,2,11,2,350
,131A091,11,11,37,1,0,0,1,0,0,0,2,19,1,0,0,0,1,53,72,18,1,0,2,1,0,0,4,3,4,8,250
,133A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,133A001,3,11,84,0,8,1,0,9,0,0,0,66,2,0,0,0,6,42,42,36,0,0,2,0,3,0,1,14,12,4,346
,133A002,5,13,63,0,10,0,0,3,0,1,10,60,2,0,0,0,7,58,50,35,3,0,1,0,1,0,5,13,5,3,348
,133A003,8,14,62,1,5,0,0,5,0,0,0,41,0,0,0,0,3,51,92,62,0,0,4,0,0,0,6,5,8,9,376
,133A004,3,5,64,1,2,0,0,8,0,1,0,51,4,0,0,0,2,49,42,27,2,0,4,1,1,0,2,6,8,10,293
,133A005,13,12,67,1,1,1,1,1,0,0,15,22,2,0,0,2,2,67,52,37,2,0,2,2,1,1,6,6,10,6,332
,133A006,48,23,38,1,0,0,0,5,0,0,8,18,6,1,0,0,0,74,104,28,0,0,4,4,3,1,14,6,7,5,398
,133A007,28,10,52,0,0,0,0,2,0,0,9,14,1,0,0,0,0,47,135,36,0,0,10,1,1,0,18,6,3,5,378
,133A008,12,8,73,0,0,0,0,2,1,0,0,17,1,0,0,0,1,65,67,28,1,0,0,4,1,0,6,11,5,10,313
,133A009,10,17,61,0,0,0,0,1,0,0,3,4,6,0,0,2,0,43,100,21,0,0,2,0,1,1,16,6,3,3,300
,133A010,17,13,63,1,3,0,0,2,0,0,5,42,5,2,0,3,1,66,44,25,0,0,2,1,2,2,1,5,13,21,339
,133A011,13,18,67,5,4,0,2,7,0,0,6,35,4,0,0,1,5,60,65,23,1,0,3,0,0,1,8,5,11,7,351
,133A012,11,7,93,1,0,0,1,2,0,0,0,34,3,0,0,1,5,55,54,35,0,0,1,3,1,1,9,6,1,1,325
,133A013,12,9,87,3,1,0,0,4,0,0,0,36,8,0,0,0,0,51,51,33,1,2,2,1,4,2,12,7,14,8,348
,133A014,6,21,87,2,2,0,1,4,0,0,0,37,8,1,0,0,0,42,47,22,0,0,6,3,1,0,10,10,4,7,321
,133A015,9,8,68,11,0,0,0,2,0,0,2,50,2,0,0,1,1,54,53,50,0,0,2,2,3,0,10,6,4,5,343
,133A016,10,5,74,4,1,0,0,5,0,0,2,54,0,0,0,0,4,43,49,39,1,0,4,1,1,1,6,7,11,11,333
,133A017,9,12,75,2,1,0,0,4,1,0,0,93,8,0,0,1,5,64,52,30,0,1,4,0,6,0,17,9,12,6,412
,133A018,3,13,80,3,9,0,0,3,0,0,2,37,0,0,0,1,0,57,52,18,4,0,2,1,0,0,15,8,6,8,322
,133A019,11,19,71,6,5,0,0,4,0,0,2,15,7,0,0,3,1,68,80,32,1,0,6,1,0,0,9,11,17,0,369
,133A020,14,10,76,1,2,0,0,8,0,0,1,23,2,0,0,0,2,80,66,23,0,0,1,2,1,0,6,9,11,5,343
,133A021,23,13,68,7,2,1,0,4,1,0,1,16,0,0,0,0,2,61,112,25,0,0,0,3,1,1,11,3,9,1,365
,133A022,12,18,68,2,3,0,0,2,1,0,2,16,3,0,0,4,1,77,42,28,0,0,4,0,1,0,11,7,7,10,319
,133A023,16,20,53,3,3,0,0,1,0,0,0,16,5,0,0,3,0,61,61,39,1,0,0,0,0,0,5,14,8,10,319
,133A024,28,17,56,0,0,1,0,4,0,0,6,5,11,0,0,0,0,89,146,59,0,0,1,1,2,2,3,6,13,5,455
,133A025,16,24,50,0,1,0,0,2,0,0,4,9,1,1,0,0,0,107,87,24,0,0,5,1,1,0,3,13,27,2,378
,133A026,20,16,53,4,3,0,0,2,0,0,10,7,4,0,0,0,0,73,92,36,1,1,14,0,2,0,14,15,10,4,381
,133A027,15,31,78,1,5,0,1,1,0,0,17,2,4,0,0,1,2,104,140,25,0,0,4,0,3,0,4,7,4,6,455
,133A028,18,22,59,0,0,1,0,0,0,0,7,5,0,0,0,0,0,90,101,29,0,0,0,1,2,1,8,5,8,4,361
,133A029,22,21,53,0,1,0,1,2,0,0,5,16,9,0,0,0,0,77,137,22,0,1,3,0,0,0,8,9,2,4,393
,133A030,22,21,62,0,0,0,0,4,0,0,0,4,4,0,0,0,0,60,188,24,0,0,4,0,0,0,4,8,1,9,415
,133A031,6,16,67,1,4,0,0,8,0,1,3,41,8,0,0,0,0,81,58,42,0,0,3,1,3,0,15,12,8,2,380
,133A032,18,15,57,8,1,0,1,2,0,0,3,26,0,0,0,1,5,64,58,26,1,3,0,1,1,0,14,18,10,8,341
,133A033,8,9,73,3,2,0,0,6,0,0,1,34,5,0,0,1,1,63,58,23,0,1,6,2,0,0,7,13,9,7,332
,133A034,15,12,86,8,5,1,0,5,0,0,5,34,5,0,0,0,2,80,66,25,2,1,0,0,2,0,4,16,12,5,391
,133A035,20,11,64,6,6,0,0,6,0,0,4,40,5,0,0,1,1,92,38,39,1,0,5,6,0,0,3,4,12,9,373
,133A036,14,9,76,4,6,0,0,9,0,0,7,30,2,0,0,7,3,68,56,26,1,0,3,0,2,0,4,7,13,4,351
,133A037,13,19,60,0,7,0,0,6,0,0,7,27,2,0,0,1,2,62,51,31,1,0,2,1,1,0,8,9,9,3,322
,133A038,10,16,59,4,4,0,0,1,0,0,4,34,6,0,0,1,5,75,82,33,0,0,4,0,3,0,3,11,4,7,366
,133A039,4,13,66,3,6,1,0,2,0,0,4,28,0,0,0,2,4,66,86,42,0,0,1,1,4,1,1,8,12,9,364
,133A040,15,18,68,2,4,0,1,2,1,0,11,13,2,0,0,0,3,76,72,14,0,2,3,1,1,0,4,19,8,12,352
,133A041,6,18,62,0,1,1,0,4,0,0,1,32,3,2,0,0,4,87,80,20,1,0,3,0,0,0,4,9,3,6,347
,133A042,12,17,66,1,7,0,0,3,0,0,9,49,4,0,0,2,3,53,77,38,0,0,0,2,3,1,11,8,8,5,379
,133A043,2,11,65,1,2,0,0,2,0,0,4,38,2,0,0,1,0,64,79,22,0,1,1,0,0,0,8,8,2,6,319
,133A044,12,37,99,8,3,0,1,3,0,0,8,42,11,0,0,5,0,71,77,47,2,0,9,0,0,1,9,5,6,8,464
,133A045,16,21,98,7,1,0,0,5,0,1,6,43,8,0,0,0,4,75,69,36,2,0,3,1,2,0,6,13,4,5,426
,133A046,18,8,68,2,5,0,0,7,0,0,8,35,2,0,1,1,2,80,68,37,0,0,4,4,1,0,6,13,8,6,384
,133A047,9,11,75,1,2,0,0,7,0,0,13,30,6,0,0,0,5,110,97,28,3,0,1,2,3,0,3,11,15,6,438
,133A048,21,19,44,1,2,0,0,1,0,0,0,33,2,0,0,0,1,74,72,23,1,0,7,2,2,1,10,7,10,3,336
,133A049,5,18,56,7,3,0,0,2,0,0,1,39,3,0,0,0,5,72,67,35,0,1,5,0,0,0,8,9,4,6,346
,133A050,23,12,73,6,10,0,1,9,0,0,4,33,6,0,0,0,2,70,76,22,1,0,2,4,5,0,6,12,7,3,387
,133A051,17,13,74,2,7,0,0,1,0,0,4,24,3,0,0,0,2,73,93,44,0,0,8,4,3,0,5,6,13,9,405
,133A052,14,17,69,2,6,0,1,3,0,1,3,39,1,0,0,1,2,49,56,32,0,0,1,1,0,1,3,11,9,2,324
,133A053,10,8,65,2,3,0,0,4,0,0,4,24,10,0,0,1,3,80,65,32,0,0,1,1,3,0,10,5,6,1,338
,133A054,8,17,91,4,11,1,2,1,0,0,1,30,3,0,0,2,1,93,56,37,3,1,0,2,1,0,4,12,23,9,413
,133A055,15,15,69,0,5,0,0,5,0,0,4,36,3,0,0,5,0,80,68,30,0,0,6,0,2,0,4,5,12,7,371
,133A056,3,19,67,1,2,0,1,1,0,0,4,26,7,0,0,1,0,51,82,47,0,0,0,0,2,0,6,10,10,3,343
,133A057,4,17,50,5,2,0,0,2,0,0,2,35,2,0,0,1,2,58,76,24,0,1,0,3,0,0,5,9,7,1,306
,133A058,5,20,68,2,4,1,0,8,0,0,1,43,1,0,0,7,4,83,77,25,0,0,0,1,1,0,3,17,5,7,383
,133A059,5,14,65,1,4,0,1,0,0,0,3,50,5,0,0,1,4,60,50,48,0,1,5,1,1,0,5,6,7,8,345
,133A060,14,13,59,8,0,0,0,2,0,0,3,58,5,0,0,1,0,79,101,43,0,0,0,0,4,0,3,20,20,8,441
,133A061,5,21,74,1,3,0,0,6,1,0,3,45,1,0,0,0,1,70,62,35,0,0,1,1,2,0,1,8,10,12,363
,133A062,38,14,86,1,1,1,0,5,0,0,5,48,0,0,0,3,0,59,73,52,0,0,2,2,2,0,5,5,8,6,416
,133A063,19,19,97,4,0,0,0,2,1,1,1,57,8,0,0,1,0,64,119,43,1,0,5,0,0,1,8,13,5,13,482
,133A064,14,12,93,3,2,0,0,4,0,0,2,51,8,0,0,0,2,74,79,43,0,0,0,1,3,0,4,7,10,7,419
,133A065,22,28,78,1,2,0,0,2,1,0,9,44,11,0,0,0,1,75,88,49,0,0,2,0,2,0,11,18,17,9,470
,133A066,24,36,97,2,1,0,0,3,1,0,5,56,3,0,0,0,3,90,124,46,0,0,0,2,0,0,6,13,16,4,532
,133A067,6,23,54,2,0,0,0,1,0,0,1,57,4,0,0,1,2,65,59,54,1,0,7,0,1,0,12,10,7,11,378
,133A068,10,16,74,1,6,1,0,0,0,0,1,58,2,0,0,0,6,71,71,53,1,0,1,1,5,0,6,8,7,6,405
,133A069,10,28,64,0,7,0,0,6,0,0,4,40,0,0,0,0,4,50,55,25,2,0,0,0,0,0,9,7,10,9,330
,133A070,15,17,66,2,4,0,0,4,0,0,3,63,5,0,0,0,3,63,54,43,3,1,0,1,3,0,3,4,8,7,372
,133A071,5,23,53,2,3,0,2,6,0,1,5,48,0,0,0,1,2,47,67,45,2,1,4,1,3,0,11,1,8,8,349
,133A072,8,16,75,1,2,0,0,2,0,0,1,49,4,0,0,4,3,79,72,49,0,0,1,0,1,0,8,10,6,5,396
,133A073,14,16,64,2,2,0,1,3,0,0,2,29,2,0,0,1,1,58,92,54,1,0,2,2,1,0,4,5,5,7,368
,133A074,13,18,55,1,3,1,0,0,0,0,3,38,4,0,0,1,1,49,52,32,0,0,0,0,0,2,10,10,3,8,304
,133A075,12,19,75,1,2,0,0,8,0,0,4,42,3,1,0,2,3,54,115,46,5,0,2,1,2,0,11,14,5,10,437
,133A076,19,13,43,1,5,0,0,4,0,0,1,42,0,0,0,0,4,66,46,42,1,1,2,2,3,0,6,10,6,10,327
,133A077,6,23,88,4,7,0,0,7,0,0,1,36,5,0,1,1,1,69,62,43,0,0,0,0,5,1,3,9,11,7,390
,133A078,8,19,83,2,3,1,0,7,0,0,6,33,8,0,0,1,2,74,95,29,0,0,1,0,1,3,5,8,11,4,404
,133A079,13,17,78,5,7,0,0,10,0,0,5,60,1,1,0,0,1,77,84,37,1,0,3,1,1,0,2,22,9,9,444
,133A080,8,22,50,5,5,1,0,8,0,0,3,38,1,0,0,0,4,62,59,32,3,0,1,0,1,0,4,11,6,4,328
,133A081,7,37,58,2,1,0,2,8,0,0,10,49,8,0,1,0,3,66,49,45,0,0,2,1,0,0,3,12,14,4,382
,133A082,4,32,59,5,5,0,0,6,0,0,8,44,6,0,0,0,10,64,51,34,5,0,0,2,0,0,9,6,5,8,363
,133A083,14,32,91,2,3,0,2,6,0,0,2,47,3,0,0,2,6,71,56,37,5,1,0,4,1,0,13,23,9,7,437
,133A084,16,24,73,1,0,0,0,2,0,0,0,28,1,0,0,0,0,84,60,42,0,0,2,1,0,0,3,6,11,10,364
,133A085,13,26,102,2,0,0,1,6,0,0,5,58,8,0,0,0,2,66,74,41,0,0,6,0,2,0,8,5,13,10,448
,133A086,14,23,72,2,5,0,0,4,0,1,17,69,1,0,0,0,3,80,57,44,0,0,0,1,0,1,10,7,8,12,431
,133A087,12,21,90,2,6,0,0,3,0,0,2,59,5,0,0,0,5,96,79,42,1,0,0,1,1,0,7,1,7,9,449
,133A088,12,17,90,2,5,0,0,17,0,0,5,42,9,0,0,1,0,62,68,21,0,0,3,0,2,0,9,17,5,3,390
,133A089,13,17,97,4,7,0,0,15,0,0,7,49,3,0,0,0,3,56,82,72,0,0,2,3,6,0,13,7,8,15,479
,133A090,18,15,83,5,9,0,0,3,0,1,7,49,2,0,0,0,2,77,59,53,0,0,3,0,2,0,13,12,8,10,431
,133A091,4,20,80,1,3,0,1,7,1,0,1,40,3,0,0,1,1,88,83,38,1,0,0,0,1,0,3,3,7,7,394
,133A092,9,30,59,1,3,2,1,2,0,0,0,37,6,0,0,0,1,50,86,31,1,0,7,1,0,1,6,7,4,13,358
,133A093,11,13,65,3,2,0,0,3,0,0,5,35,0,0,1,0,3,49,98,49,0,0,4,1,0,0,3,8,4,15,372
,133A094,22,27,88,3,1,0,0,4,0,0,6,15,1,1,0,0,1,62,125,45,0,0,2,4,2,1,14,8,6,2,440
,133A095,13,19,59,1,1,0,0,2,0,0,2,36,4,0,0,0,2,60,97,31,0,0,0,2,2,1,4,13,13,2,364
,133A096,10,13,55,1,0,1,0,0,0,1,0,22,0,0,0,0,2,53,57,18,0,0,0,0,7,1,7,11,9,1,269
,133A097,13,26,42,0,0,0,0,4,0,1,11,21,3,0,1,1,0,90,128,21,0,0,0,3,1,0,9,7,6,4,392
,133A098,17,22,48,1,2,0,0,5,0,0,4,26,11,0,0,0,2,76,133,37,1,1,0,3,0,0,11,9,6,13,428
,133A099,23,28,51,1,0,0,0,0,0,0,2,1,11,0,0,0,0,77,150,31,0,0,2,1,2,1,7,11,11,8,418
,133A100,47,19,42,0,1,0,0,0,0,0,10,13,13,0,0,2,0,65,108,16,0,0,7,5,2,1,8,8,9,0,376
,133A101,22,23,40,0,1,0,0,0,0,0,2,14,5,0,0,1,0,132,192,26,0,0,1,0,1,0,13,8,11,6,498
,133A102,43,20,61,1,3,0,0,1,1,0,8,7,4,0,0,1,0,84,122,22,0,0,0,0,2,0,16,17,5,4,422
,133A103,30,12,57,0,0,0,0,3,0,0,0,4,4,1,0,1,0,66,145,31,0,1,0,1,1,0,22,13,26,3,421
,133A104,13,14,61,0,0,0,0,2,0,2,1,6,7,0,0,0,3,77,127,9,0,0,5,0,6,0,6,13,12,0,364
,133A105,53,18,45,0,0,0,0,0,0,0,1,5,14,0,0,4,0,103,180,39,0,0,2,2,1,1,16,14,13,7,518
,133A106,15,24,89,3,1,0,0,3,0,0,2,20,9,0,1,0,0,64,109,35,1,0,1,0,1,0,15,5,8,6,412
,133A107,39,21,53,2,0,1,0,1,0,0,5,8,16,0,1,0,0,62,146,32,0,1,3,4,2,0,22,9,10,1,439
,133A108,34,24,56,2,0,1,1,1,0,0,1,42,3,0,1,0,1,89,143,49,0,0,0,2,3,0,16,13,17,10,509
,133A109,37,18,47,1,0,0,0,0,0,1,4,7,4,0,0,2,0,83,111,24,1,0,0,0,2,0,22,5,9,4,382
,133A110,29,26,75,0,0,0,0,3,0,0,0,0,1,0,0,0,0,88,135,17,0,0,0,0,2,0,12,7,19,4,418
,133A111,31,24,29,0,0,0,0,1,0,0,8,4,3,0,0,0,1,45,120,22,0,0,3,0,1,0,10,8,15,10,335
,133A112,56,15,46,0,0,0,1,5,0,0,1,6,0,0,0,1,0,64,185,33,0,0,1,0,2,0,7,13,10,9,455
,133A113,31,12,50,0,0,0,0,0,0,0,3,10,3,0,0,0,0,47,73,6,0,0,1,1,1,0,18,28,19,2,305
,133A114,17,13,72,0,0,0,0,6,0,0,5,13,3,0,0,0,0,54,90,28,0,0,3,2,1,1,22,27,19,17,393
,133A115,75,14,63,0,0,0,0,2,0,0,11,10,14,0,0,1,0,50,137,14,0,0,1,1,3,0,13,7,25,8,449
,133A116,118,13,43,0,0,0,0,0,0,2,0,6,6,0,1,1,0,89,115,17,0,0,0,2,0,0,0,6,13,1,433
,133A117,70,26,50,0,1,0,0,5,0,0,5,3,5,0,0,0,0,86,157,37,0,0,2,50,2,0,15,3,22,3,542
,133A118,60,15,48,0,0,0,1,0,0,0,6,3,5,0,0,0,0,57,182,23,0,1,1,1,1,0,19,4,7,9,443
,133A119,91,15,74,0,0,0,0,1,0,0,6,5,3,0,0,0,0,48,124,16,0,0,0,1,2,1,6,6,9,9,417
,133A120,52,35,62,0,0,0,0,5,0,1,2,0,6,0,0,0,0,49,154,20,0,0,0,2,2,0,16,5,15,3,429
,133A121,59,15,35,2,3,0,2,0,0,0,13,3,0,0,0,0,1,58,147,20,0,0,0,0,2,0,16,11,9,13,409
,133A122,44,6,30,0,1,0,0,5,0,0,1,6,5,0,0,0,0,28,118,12,1,0,0,0,1,0,17,4,34,13,326
,133A123,41,32,62,2,0,0,0,1,0,0,2,5,2,0,0,0,0,46,179,19,0,0,2,0,2,0,11,4,18,3,431
,133A124,60,17,57,1,0,1,0,1,0,0,2,13,15,0,0,0,0,67,106,17,0,0,3,1,1,1,9,9,10,4,395
,133A125,80,26,67,2,0,0,0,1,1,0,8,15,11,0,0,2,0,92,111,10,0,0,5,3,1,0,19,10,14,7,485
,133A126,29,23,79,0,0,1,2,4,0,0,6,7,4,1,0,0,0,61,132,32,0,0,4,1,1,1,8,9,14,9,428
,133A127,36,32,66,1,1,0,0,1,0,0,2,1,0,0,0,1,0,49,140,21,0,1,2,2,5,2,15,8,15,4,405
,133A128,53,23,74,1,4,0,0,5,0,0,8,2,6,1,0,0,0,28,191,56,6,0,3,2,0,0,15,4,41,3,526
,133A129,40,11,61,5,1,0,1,2,0,0,5,6,10,0,0,1,0,34,234,33,0,0,1,1,0,0,5,2,7,2,462
,133A130,68,29,67,1,1,0,0,4,0,0,2,6,6,0,0,0,1,49,119,29,1,0,4,2,1,0,11,7,13,4,425
,133A131,41,38,79,0,2,0,0,3,0,0,12,8,5,0,0,0,0,83,212,21,0,0,5,2,2,0,19,3,10,8,553
,133A132,61,16,59,1,0,0,0,6,0,0,5,9,13,0,0,0,0,54,229,13,0,0,0,1,3,1,12,11,10,2,506
,133A133,26,33,79,0,0,0,1,0,2,0,6,4,4,0,0,1,0,57,161,14,0,0,5,2,0,0,11,8,51,4,469
,133A134,72,29,63,1,0,0,0,3,0,1,7,6,3,0,0,0,0,63,159,42,0,0,2,1,2,0,11,6,15,10,496
,133A135,31,18,63,0,2,0,1,1,0,0,2,12,3,1,0,0,1,46,142,39,0,0,1,1,4,0,7,10,12,5,402
,133A136,47,24,47,0,1,0,0,9,0,0,1,6,2,0,0,0,0,45,81,20,0,0,0,0,3,0,10,4,12,6,318
,133A137,25,67,57,0,0,0,1,0,0,0,0,2,5,0,0,0,0,52,154,22,0,0,2,4,1,0,7,3,25,4,431
,133A138,39,20,44,0,0,0,0,5,0,0,4,4,0,0,1,0,0,53,163,10,0,0,0,1,1,0,6,2,16,2,371
,133A139,19,15,46,0,0,0,1,3,0,0,6,4,3,0,0,0,1,81,101,20,0,2,0,0,2,1,18,6,4,3,336
,133A140,16,9,29,0,0,0,0,3,0,0,0,4,4,0,0,0,1,43,70,14,0,0,3,0,2,1,10,1,3,3,216
,133A141,22,15,65,3,1,0,1,21,0,0,14,2,21,0,0,0,0,83,116,11,0,0,2,0,1,0,11,3,3,2,397
,133A142,18,7,68,0,2,0,0,11,0,0,7,10,18,0,0,0,2,65,139,13,0,0,3,1,3,0,2,6,0,0,375
,133A143,17,27,79,0,1,0,0,20,0,0,4,3,17,0,0,1,0,42,187,19,0,0,0,0,1,0,8,6,4,6,442
,133A144,21,17,47,0,0,0,0,8,1,0,0,5,2,0,1,0,0,83,201,14,0,0,3,2,0,0,7,2,1,5,420
,133A145,21,15,53,1,0,0,0,1,1,0,7,12,13,0,0,0,0,54,153,33,0,0,1,2,0,0,5,1,6,7,386
,135A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,135A001,8,25,44,0,0,0,0,3,0,0,1,24,12,0,0,0,0,56,149,18,0,0,0,1,0,0,8,1,36,3,389
,135A002,17,26,55,0,0,0,1,2,0,0,2,7,5,0,0,0,0,64,141,19,0,0,1,1,0,0,4,6,17,8,376
,135A003,15,23,91,1,1,0,3,0,0,0,3,15,11,0,0,0,0,49,157,27,0,0,3,3,1,1,8,3,10,5,430
,135A004,25,28,83,0,0,0,1,2,0,0,6,11,6,0,0,0,0,92,122,25,0,0,0,1,5,0,14,9,6,30,466
,135A005,13,36,79,1,1,0,0,1,0,0,0,22,10,1,0,0,1,91,101,28,0,1,0,2,0,0,3,7,30,11,439
,135A006,14,39,72,3,0,0,1,2,0,0,3,5,1,0,0,0,1,92,122,19,0,0,0,2,4,0,12,1,14,12,419
,135A007,33,30,92,0,0,0,0,1,0,0,2,6,12,0,0,2,0,66,132,45,0,0,5,1,2,1,8,6,76,16,536
,135A008,7,30,72,0,0,0,0,0,0,0,2,12,5,0,0,0,0,60,193,19,0,0,1,4,1,1,3,5,12,19,446
,135A009,46,22,93,2,0,0,0,0,0,0,2,20,7,0,1,2,0,58,191,33,0,0,0,4,1,0,6,13,13,6,520
,135A010,26,43,91,0,0,0,1,1,0,0,4,13,4,0,0,0,0,93,179,32,0,0,2,3,7,1,7,9,12,6,534
,135A011,14,15,34,0,2,0,0,0,0,0,9,4,15,0,0,0,10,48,94,54,2,0,0,1,0,0,2,2,7,3,316
,135A012,17,44,71,0,1,0,0,2,0,0,3,4,2,0,0,1,1,44,119,51,0,0,2,0,0,1,6,1,11,1,382
,135A013,2,9,24,0,0,0,1,0,0,0,1,1,0,0,0,0,1,21,112,7,0,0,0,0,0,0,0,1,1,0,181
,135A014,4,29,58,0,1,0,0,2,0,0,4,19,2,0,0,0,0,74,144,56,0,0,0,0,0,0,4,13,12,11,433
,135A015,10,27,64,1,0,0,0,1,0,0,10,13,6,0,0,0,1,41,97,22,0,0,4,1,1,0,11,1,13,5,329
,135A016,10,29,70,2,0,0,0,2,0,0,3,19,6,0,0,0,4,63,102,31,0,0,0,0,1,0,6,1,7,9,365
,135A017,19,26,69,3,0,0,1,1,0,0,5,26,3,0,0,0,1,61,99,23,0,0,2,0,1,0,12,8,13,7,380
,135A018,4,14,90,0,1,0,0,0,0,0,3,15,8,0,0,1,1,79,107,43,1,0,1,2,0,0,2,7,21,10,410
,135A019,11,28,66,0,0,0,1,1,0,0,6,8,13,0,0,1,5,64,123,27,1,0,1,1,0,0,6,2,21,20,406
,135A020,8,35,55,0,0,0,0,0,0,0,3,11,4,0,0,0,0,74,128,47,0,0,3,1,1,0,7,8,14,8,407
,135A021,5,16,64,0,0,0,0,1,0,0,6,11,8,0,0,0,0,68,160,32,0,0,0,1,0,0,5,7,6,9,399
,135A022,4,20,39,1,2,0,0,3,0,0,3,12,7,0,0,1,3,57,73,25,0,0,2,1,1,0,4,6,22,4,290
,135A023,6,13,41,1,0,0,0,0,0,0,2,10,4,0,0,0,4,37,106,24,1,1,0,0,0,0,4,9,9,17,289
,135A024,5,12,69,0,0,1,0,6,0,0,0,19,8,0,0,2,0,60,96,24,0,0,1,0,1,0,4,1,11,15,335
,135A025,6,19,58,1,2,0,0,4,0,0,2,15,7,0,0,2,1,54,69,21,0,0,1,1,0,0,10,2,11,10,296
