,BM,ALEKSIĆ MARKO,AZINOVIĆ DAMIR,BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRS-HRVATSKA REPUBLIKANSKA STRANKA,HRVATSKI SAVEZ HKDU - HRAST,HSP BIH-DSI,HSP DR. ANTE STARČEVIĆ BIH,HSS STJEPANA RADIĆA,KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NARODNI DEMOKRATSKI POKRET,POSAVSKA STRANKA,PROLETA VJEKOSLAV,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,126A006,0,0,0,1,1,10,5,21,0,3,11,0,0,0,1,0,0,0,0,0,38,73,36,0,0,6,1,2,209
,126A007,0,0,0,0,0,32,15,91,1,1,0,0,1,0,0,0,0,0,0,0,11,32,12,0,0,20,0,0,216
,126A008,0,0,0,0,4,11,2,33,1,2,0,0,0,0,0,0,0,0,0,0,5,60,9,0,0,0,0,7,134
,126A009,0,0,0,1,6,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,59,26,0,0,10,0,2,185
,126A010,0,0,1,0,20,45,0,1,1,0,0,0,0,0,1,0,0,0,0,0,88,185,41,0,0,28,2,9,422
,126A011,0,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,6,0,0,5,0,1,69
,126A012,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31,49,2,0,0,2,0,0,101
,126A013,0,0,0,1,9,21,1,3,0,0,0,0,0,2,2,0,0,0,0,0,79,114,23,0,0,14,0,3,272
,126A014,0,0,0,1,6,55,0,0,0,0,0,0,0,4,5,0,0,0,1,1,86,106,71,0,0,10,2,12,360
,126A015,0,0,0,1,14,26,5,3,0,0,0,0,0,0,0,0,0,0,0,0,81,112,83,0,0,11,6,1,343
,126A016,0,0,0,0,9,28,0,0,0,0,0,0,0,2,0,0,0,0,2,0,74,52,25,0,0,28,1,5,226
,126A017,0,0,0,1,24,42,2,3,0,0,0,0,0,0,1,0,0,0,1,0,91,101,70,0,0,10,1,12,359
,127A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,127A001,0,0,0,0,32,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,57,125,80,0,0,25,2,1,361
,127A002,0,0,0,2,40,45,4,2,1,0,0,2,1,5,1,0,0,0,1,2,97,167,88,0,0,34,4,0,496
,127A003,0,0,0,0,25,32,2,10,0,0,0,0,0,0,0,0,0,0,0,0,57,107,44,0,0,12,0,7,296
,127A004,0,0,0,1,35,32,2,6,0,0,0,0,0,0,0,0,0,0,0,0,80,148,169,0,0,24,1,3,501
,127A005,0,0,0,3,20,26,8,12,0,0,0,0,0,1,0,0,0,0,0,1,56,101,109,0,1,25,1,4,368
,127A006,0,0,0,1,34,36,2,25,1,0,0,0,0,1,1,0,0,0,0,0,80,133,124,0,0,22,1,10,471
,127A007,0,1,0,0,26,34,1,15,0,0,0,0,1,0,1,0,0,0,0,0,60,62,144,0,1,24,0,2,372
,127A008,0,0,0,2,36,34,2,10,1,0,1,1,0,0,0,0,0,0,0,0,121,148,124,0,0,20,0,6,506
,127A009,0,0,1,2,34,64,2,16,0,0,0,0,0,2,1,0,0,0,0,3,90,127,147,0,0,35,1,3,528
,127A010,0,0,0,0,16,17,3,22,1,0,0,0,0,0,0,0,0,0,0,0,49,106,51,0,0,9,1,3,278
,127A011,0,0,0,0,12,11,5,19,0,0,0,0,1,0,0,0,1,0,0,1,42,59,50,0,0,26,2,4,233
,127A012A,0,0,0,0,11,24,5,2,0,0,0,0,0,0,0,0,0,0,1,0,64,152,51,0,0,19,0,1,330
,127A012B,0,0,0,0,14,27,2,4,0,0,0,0,0,0,1,0,0,0,1,1,94,145,41,0,1,19,1,2,353
,127A013,0,0,0,0,7,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,118,41,0,0,27,0,0,259
,127A014,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,119,2,0,0,0,0,0,152
,127A015,0,0,0,0,14,16,0,2,0,0,1,0,0,0,0,0,0,0,0,0,100,145,66,0,0,10,0,0,354
,127A016,0,0,0,1,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,62,46,0,0,5,2,0,187
,127A017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15
,127A018,0,0,0,4,32,53,3,13,0,0,1,0,0,0,3,0,0,0,1,0,69,175,90,0,0,21,1,7,473
,127A019,0,0,4,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,12,0,0,8,0,0,93
,127A020,0,0,1,0,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,158,47,0,0,53,0,1,366
,127A021,0,0,0,2,17,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,60,10,0,0,20,0,0,145
,127A022,0,0,0,1,36,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,87,38,0,0,37,0,0,232
,127A023,0,0,0,1,44,24,2,4,0,0,0,0,0,0,4,0,0,0,0,0,71,269,76,0,0,50,0,2,547
,127A024,0,0,0,0,18,3,8,10,2,1,3,0,0,1,0,0,0,0,0,0,14,33,20,0,0,6,0,0,119
,127A025,0,0,0,0,10,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,161,48,0,0,9,0,0,316
,127A026,0,0,0,2,54,38,1,3,0,0,0,0,0,0,0,0,0,0,0,1,37,147,51,0,0,12,0,0,346
,127A027,0,0,0,0,51,39,0,1,0,0,0,0,0,0,2,0,0,0,0,0,31,136,24,0,0,33,0,0,317
,127A028,0,0,0,1,52,11,5,4,0,0,0,0,0,0,0,0,0,0,1,0,15,88,8,0,0,4,0,1,190
,127A029,0,0,0,0,10,10,1,9,0,1,0,0,0,0,0,0,0,0,0,0,5,71,8,0,0,0,0,0,115
,127A030,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,3,0,0,23
,127A031,0,0,0,3,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,72,13,0,0,12,0,0,161
,127A032,1,0,0,1,40,73,5,5,1,0,0,1,0,0,0,0,0,0,5,0,55,186,120,0,1,13,1,4,512
,127A033,0,0,0,0,13,17,2,4,0,0,0,0,1,0,0,0,0,0,0,0,41,158,54,0,0,25,0,1,316
,127A034,0,0,0,4,41,36,9,12,0,1,0,0,0,1,1,0,0,0,0,0,112,131,140,0,0,30,0,8,526
,127A035,0,0,0,0,36,38,8,21,0,0,0,0,0,3,1,0,0,0,0,0,59,118,122,0,0,25,6,7,444
,127A036,0,0,0,0,22,16,0,1,0,0,0,0,0,1,0,0,0,0,2,0,22,138,104,0,0,27,0,2,335
,127A037,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,18,0,0,0,0,0,48
,127A038,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,3,0,0,45
,127A039,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,49,7,0,0,2,0,0,90
,127A040,0,0,0,0,1,5,1,13,0,1,0,0,0,0,0,0,0,0,0,0,3,14,2,0,0,6,0,0,46
,127A041,0,0,0,0,29,9,0,4,0,2,0,0,0,0,0,0,0,0,0,0,13,46,22,0,0,0,1,0,126
,127A042,0,0,1,0,10,17,1,4,0,0,0,0,0,0,0,0,0,0,2,0,10,85,19,0,0,9,0,0,158
,127A043,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,27,0,0,0,0,0,78
,127A044,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
,127A045,0,0,0,0,48,29,0,0,0,1,0,0,0,1,0,0,0,0,0,0,49,88,91,0,0,10,0,0,317
,127A046,0,0,0,1,7,9,10,19,0,0,1,1,0,0,0,0,0,0,0,0,27,45,32,0,0,6,0,2,160
,127A047,0,0,0,1,5,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,74,22,0,0,10,0,0,163
,127A048,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,25,0,0,4,0,0,101
,127A049,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,11,0,0,1,0,0,31
,151A001A,0,1,0,0,0,10,82,196,10,10,7,0,0,1,4,0,0,0,0,5,11,28,1,0,0,0,0,8,374
,151A001B,0,0,0,0,0,1,38,154,8,2,8,0,0,0,0,0,0,0,0,0,11,10,7,0,0,0,2,12,253
,151A002,0,0,0,0,0,12,25,317,10,14,36,1,1,0,0,0,0,0,0,0,15,50,13,0,0,1,0,30,525
,151A003,0,0,0,0,0,4,20,216,9,2,35,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,17,309
,151A004,0,0,0,0,0,1,55,389,17,35,16,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,526
,151A005,0,0,0,0,0,2,7,53,0,4,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,76
,151A006,0,0,0,1,13,12,1,3,0,0,0,0,0,0,0,0,0,0,0,3,53,247,16,0,0,2,2,1,354
,151A007A,0,0,0,0,0,4,56,192,13,3,1,1,0,0,12,0,0,0,0,9,1,0,2,0,0,0,0,38,332
,151A007B,0,0,0,0,1,1,52,162,1,8,6,1,1,0,1,0,0,0,0,5,1,1,0,0,0,1,0,25,267
,151A007C,0,0,0,0,0,3,36,139,3,4,1,0,0,1,1,0,0,0,0,6,0,0,0,1,0,0,0,29,224
,151A008,0,0,0,0,0,0,6,69,2,7,5,0,0,0,2,0,0,0,0,59,2,0,3,4,0,0,0,25,184
,151A009,0,0,0,0,0,1,48,184,4,9,3,0,0,0,7,0,0,0,0,5,1,0,0,1,0,0,0,32,295
,151A010,0,0,0,2,9,10,14,37,2,0,1,1,0,0,0,0,0,0,1,48,33,62,9,11,1,0,7,3,251
,152A001A,0,0,0,0,45,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,97,215,24,0,0,6,6,0,431
,152A001B,0,0,0,1,25,33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,39,171,12,0,0,1,3,0,287
,152A001C,0,0,0,2,9,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,143,33,0,0,12,2,2,285
,152A002,0,0,0,1,20,23,0,0,1,0,1,0,0,0,6,0,0,0,0,11,62,270,19,2,0,3,5,0,424
,152A003,0,0,0,0,58,44,5,19,0,1,3,0,0,0,0,0,0,0,0,3,51,316,20,1,1,9,50,1,582
,152A004,0,0,0,0,45,32,3,27,1,0,1,0,0,0,4,0,0,0,0,2,67,200,10,0,1,3,1,2,399
,152A005,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,315,9,0,0,7,0,0,387
,152A006,0,0,0,4,16,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,221,4,0,0,22,0,0,297
,152A007,0,0,0,2,84,23,1,5,0,0,1,0,2,0,2,0,0,0,0,0,49,308,12,0,1,11,4,1,506
,152A008,0,0,1,1,14,38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,53,153,20,0,1,7,9,1,306
,152A009,0,0,0,1,59,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,59,314,12,0,0,28,4,1,523
,152A010,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,93,2,0,0,0,0,0,121
,153A001,1,0,0,0,0,4,55,326,23,11,6,1,1,0,18,0,0,1,0,0,2,1,3,0,0,1,1,31,486
,153A002A,0,0,0,0,0,0,34,219,23,14,2,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,1,6,307
,153A002B,1,0,0,0,1,0,29,151,21,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,222
,153A003,0,1,0,1,1,1,38,340,28,15,17,2,2,0,9,0,1,0,0,0,3,0,4,0,0,0,0,23,486
,153A004,0,0,0,0,2,6,63,246,15,8,6,0,0,1,1,0,0,0,0,0,1,6,2,0,0,0,2,12,371
,153A005,0,0,0,0,2,5,36,244,12,10,11,1,0,0,4,0,0,0,0,0,1,3,1,0,0,0,0,11,341
,153A006,0,0,0,0,0,2,44,209,16,2,21,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,5,307
,153A007,0,0,0,0,3,11,45,147,16,3,5,1,0,1,2,0,0,0,0,3,13,2,21,0,0,1,0,19,293
,153A008,1,0,0,0,2,12,80,271,28,14,12,0,0,0,9,0,0,1,0,0,0,0,8,0,1,1,0,25,465
,153A009,0,0,1,0,0,8,46,194,17,11,6,0,0,0,4,0,0,0,0,0,10,8,5,0,0,0,0,8,318
,153A010,0,0,0,2,5,18,48,147,17,12,15,2,1,0,6,0,0,0,0,11,11,15,28,0,0,4,1,11,354
,153A011,0,0,0,0,4,25,37,132,25,9,15,1,0,3,3,0,0,0,0,4,7,7,8,3,0,1,3,7,294
,153A012,0,0,0,1,1,12,43,168,22,10,6,2,0,0,2,0,1,0,0,4,5,4,15,3,0,1,3,9,312
,153A013,3,0,0,1,5,21,40,151,30,11,11,4,2,1,0,0,0,0,0,4,15,13,19,2,0,0,1,10,344
,153A014,1,1,0,0,4,25,42,155,18,8,6,2,0,1,6,1,0,0,1,3,10,7,34,2,0,0,0,12,339
,153A015,0,0,0,0,3,24,51,174,24,5,10,4,0,3,1,0,0,0,0,1,19,7,37,3,0,4,1,6,377
,153A016,0,0,0,0,6,24,45,149,18,7,11,0,0,0,7,0,0,0,0,5,26,9,31,1,0,4,3,10,356
,153A017,0,0,0,0,2,30,75,154,19,6,9,6,0,3,6,0,0,0,0,3,13,13,27,0,0,2,1,2,371
,153A018,1,0,1,0,6,32,34,248,11,6,3,2,0,0,6,0,0,0,0,7,4,10,26,1,0,1,2,11,412
,153A019,0,0,0,0,2,33,49,242,27,0,11,1,0,1,3,1,0,0,0,3,8,9,17,1,0,1,0,10,419
,153A020,0,0,0,0,3,34,58,200,40,12,9,0,0,0,3,0,1,0,0,9,10,19,41,1,0,1,5,12,458
,153A021,0,0,0,2,7,31,62,194,42,11,7,3,0,0,2,0,0,0,0,0,12,21,21,0,1,0,2,14,432
,153A022,0,0,0,0,0,12,49,276,56,14,10,2,0,0,2,0,0,0,0,0,4,0,8,0,0,1,0,18,452
,153A023,0,0,0,0,2,28,44,225,24,3,6,3,0,0,2,0,0,0,0,0,13,0,14,0,0,0,1,11,376
,153A024,0,0,0,0,5,11,47,195,18,12,2,0,0,0,6,0,0,0,1,0,3,6,4,0,0,0,0,6,316
,153A025,1,0,0,0,6,34,40,261,31,4,12,2,0,1,0,0,0,0,0,0,16,14,37,0,0,1,3,5,468
,153A026,0,0,0,0,13,34,33,123,36,10,6,5,1,2,7,0,0,0,0,5,40,15,18,0,0,0,1,8,357
,153A027,1,0,0,0,1,18,44,157,21,8,11,0,0,2,6,0,0,0,0,8,17,13,25,1,0,1,0,6,340
,153A028,0,0,0,0,2,14,35,176,16,7,7,7,1,0,1,0,0,0,0,2,11,5,15,0,0,0,0,6,305
,153A029A,0,0,1,0,2,10,24,123,10,10,1,10,0,0,0,0,0,0,0,0,5,4,6,0,0,0,4,13,223
,153A029B,1,0,1,1,3,9,19,110,10,5,5,0,1,0,4,0,0,0,0,1,9,13,5,0,0,0,1,16,214
,153A030,0,0,0,0,0,1,108,243,22,21,27,3,0,0,0,0,1,0,0,2,1,0,16,0,0,0,0,36,481
,153A031,0,0,0,0,4,0,6,65,0,7,10,1,0,0,0,0,0,0,0,1,4,35,1,0,0,0,1,0,135
,153A032,0,0,0,1,8,10,26,279,5,20,9,1,1,0,4,0,0,0,0,2,6,15,3,0,0,7,0,4,401
,153A033,0,0,0,0,0,4,48,298,21,21,8,3,1,0,7,0,0,1,0,0,7,7,2,0,0,0,4,23,455
,153A034,1,2,0,0,6,17,40,161,9,13,8,1,0,3,1,1,0,0,0,1,15,9,22,0,0,2,1,7,320
,153A035,0,0,0,0,0,6,43,246,26,32,10,4,4,0,7,0,0,0,0,1,5,2,6,0,0,2,0,7,401
,153A036,0,0,0,0,3,24,44,154,35,17,4,2,1,0,5,0,0,0,0,4,13,5,29,1,0,0,2,6,349
,153A037,0,0,0,0,7,41,57,191,20,7,12,0,2,2,3,0,0,0,0,3,22,19,61,0,2,5,0,7,461
,154A001,0,0,0,0,9,11,0,21,0,0,1,0,0,0,2,0,0,0,0,0,30,419,8,0,0,1,1,1,504
,154A002,0,0,0,0,15,58,2,2,1,1,0,0,1,0,0,0,0,0,0,0,41,489,6,0,1,3,0,1,621
,154A003,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,126,1,0,0,0,4,0,144
,154A004,0,0,0,4,28,60,5,29,0,0,1,0,0,1,38,0,0,0,0,1,51,253,21,2,0,1,41,3,539
,154A005A,0,1,0,1,23,40,8,54,9,2,15,1,1,0,1,0,0,0,0,1,89,134,17,0,2,19,7,1,426
,154A005B,0,0,1,4,42,24,2,59,2,1,10,0,0,0,2,0,0,0,0,0,37,131,17,0,0,15,6,0,353
,154A006,0,0,0,1,30,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,193,10,0,0,12,11,0,349
,154A007A,0,0,1,0,16,18,10,26,1,0,9,1,0,0,0,0,0,0,0,10,60,113,22,3,0,6,28,2,326
,154A007B,0,0,0,2,15,22,4,28,4,1,12,0,0,0,1,0,0,0,0,5,43,83,21,11,0,8,14,6,280
,154A007C,0,0,0,0,6,10,7,48,2,1,16,0,0,0,0,0,0,0,0,3,9,27,13,3,0,1,5,0,151
,154A008A,0,0,0,2,16,42,0,1,0,0,0,1,0,1,0,0,0,0,0,3,63,217,9,1,0,8,2,1,367
,154A008B,0,0,0,1,39,27,2,9,1,2,4,0,0,1,0,0,0,0,0,0,31,156,15,0,0,5,2,0,295
,154A008C,0,0,0,3,21,12,5,6,1,0,1,1,0,0,0,0,0,0,0,5,46,137,13,0,1,1,4,0,257
,154A009,0,0,0,4,25,35,1,21,2,0,3,0,0,0,0,0,0,0,1,3,37,154,42,1,2,13,1,1,346
,154A010,0,0,0,1,34,33,3,2,0,0,0,0,0,1,0,0,0,0,0,2,68,132,29,0,0,18,4,0,327
,154A011,0,0,0,0,7,6,2,3,0,0,0,0,0,0,1,0,0,0,1,27,20,45,6,11,0,1,1,0,131
,155A001A,0,1,0,0,29,39,4,2,0,1,0,1,0,0,2,0,0,0,0,0,38,73,43,0,0,3,4,0,240
,155A001B,0,0,0,0,16,32,2,3,0,0,0,0,0,1,1,0,0,0,0,0,31,69,21,0,0,0,1,0,177
,155A002,0,0,0,0,35,68,1,6,0,1,0,1,0,0,2,0,1,0,0,0,81,127,69,2,1,7,2,2,406
,155A003,0,0,0,0,51,63,2,3,0,0,0,0,0,4,1,0,0,0,1,4,94,128,72,1,1,4,4,4,437
,155A004,0,0,0,0,11,49,6,10,1,1,0,0,0,1,0,0,0,0,0,1,26,43,53,0,1,1,3,1,208
