,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRVATSKI SAVEZ HKDU - HRAST,IMAMOVIĆ-ARIFOVIĆ AMELA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SINANOVIĆ MERIMA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA NAROD BOSNE I HERCEGOVINE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,116A012,45,0,20,8,0,0,0,0,3,3,0,0,158,101,6,0,0,1,0,0,2,0,1,0,348
,116A013,96,0,42,56,0,0,0,0,0,9,0,4,77,169,18,0,0,1,0,0,11,0,0,0,483
,116A014,165,0,37,29,1,0,0,0,1,2,0,0,103,74,8,0,0,0,0,0,2,14,1,1,438
,116A015,51,0,43,40,1,1,0,0,0,2,0,0,174,131,20,1,0,49,0,0,3,0,0,0,516
,116A016,124,1,36,42,0,0,0,0,1,3,0,0,100,69,4,0,0,2,0,0,4,0,0,0,386
,116A017,35,0,18,20,0,0,0,0,4,2,0,0,81,80,5,0,0,0,0,0,7,4,2,0,258
,116A018,21,1,21,61,1,5,1,0,5,39,1,0,102,75,88,0,0,0,0,0,8,0,0,1,430
,116A019,21,1,20,83,2,3,1,2,0,17,0,0,92,103,97,0,0,2,1,0,9,3,0,2,459
,116A020,12,0,36,74,3,2,0,1,0,22,0,2,121,103,111,0,0,2,0,1,6,1,1,3,501
,116A021,59,1,24,17,0,0,0,0,1,1,0,0,111,61,5,0,0,0,0,0,0,6,0,1,287
,116A022,81,0,67,53,0,0,0,0,10,0,0,0,108,107,19,0,1,9,0,0,0,4,0,0,459
,116A023,30,3,16,47,0,3,0,0,0,11,0,0,87,74,39,0,0,1,0,0,1,0,0,1,313
,116A024,169,1,25,30,0,0,0,0,3,0,0,0,39,102,7,0,0,3,0,0,3,2,0,3,387
,116A025,47,0,17,33,0,0,0,0,0,0,0,0,54,136,8,0,0,1,0,0,1,3,0,6,306
,116A026,7,2,13,7,0,0,0,0,0,0,1,0,33,91,4,0,0,0,1,0,0,1,0,0,160
,116A027,58,1,84,16,0,0,0,0,0,4,0,0,109,133,3,0,0,0,0,0,4,1,0,0,413
,116A028,101,0,32,36,0,0,0,0,1,2,0,0,78,40,8,1,1,0,0,0,1,7,0,0,308
,116A029,28,0,22,54,4,1,0,1,1,16,0,0,104,124,72,1,0,0,0,0,10,2,0,2,442
,116A030,26,0,20,73,3,1,0,0,5,25,1,0,102,84,48,0,0,0,1,0,0,0,0,0,389
,116A031,13,0,22,51,0,0,0,2,6,13,0,2,111,72,39,0,1,3,0,0,6,6,0,0,347
,116A032,21,0,27,64,1,0,0,0,1,13,1,0,87,114,52,0,0,1,0,2,7,11,2,1,405
,116A033,21,1,29,49,0,2,0,0,1,13,1,1,100,79,61,0,0,0,0,0,2,4,0,5,369
,116A034,23,1,35,73,0,0,0,1,3,15,4,0,127,160,53,1,1,0,0,2,7,1,1,3,511
,116A035,20,1,24,38,0,0,0,0,0,7,0,0,104,68,33,0,0,2,0,0,8,0,0,1,306
,116A036,37,0,16,45,0,0,0,0,6,5,1,0,113,82,22,0,0,3,0,0,6,2,0,0,338
,116A037,7,0,7,27,1,8,0,0,0,1,0,0,26,48,3,0,1,2,0,0,3,0,0,1,135
,116A038,25,2,52,31,0,0,0,0,4,12,0,2,84,89,6,0,0,0,0,1,5,3,0,3,319
,116A039,42,0,8,14,5,13,0,0,1,1,0,0,49,26,32,0,0,1,0,0,0,0,1,1,194
,116A040,48,1,22,45,0,0,0,0,4,2,0,0,83,51,14,0,0,18,0,0,2,1,0,0,291
,116A041,30,1,16,65,2,1,1,1,2,2,0,1,81,76,29,0,0,2,0,0,4,4,0,1,319
,116A042,17,0,43,52,0,0,0,0,3,4,1,0,113,83,24,0,0,0,1,1,6,0,0,1,349
,116A043,79,0,30,29,0,0,0,0,5,9,0,0,81,79,12,0,0,1,0,0,1,0,0,1,327
,116A044,37,0,12,13,1,0,0,0,0,4,0,0,45,57,1,0,0,0,0,0,3,0,0,2,175
,116A045,37,1,16,26,0,0,0,0,1,4,0,1,39,68,5,0,1,0,2,0,1,1,0,0,203
