,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRVATSKI SAVEZ HKDU - HRAST,IMAMOVIĆ-ARIFOVIĆ AMELA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SINANOVIĆ MERIMA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA NAROD BOSNE I HERCEGOVINE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,042A015A,17,0,7,27,0,0,0,0,1,1,0,0,33,93,62,0,0,0,0,0,2,4,1,1,249
,042A015B,21,2,4,41,0,0,0,0,3,0,0,0,38,96,60,0,0,0,0,0,15,4,0,5,289
,042A016,19,1,9,33,0,13,0,0,2,0,0,0,36,155,48,0,0,0,0,0,3,1,0,1,321
,042A017,0,0,0,3,0,192,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,209
,042A018,9,1,6,24,0,0,0,0,0,0,0,0,10,173,35,0,2,0,0,1,5,0,0,0,266
,042A019,15,0,3,16,0,3,0,0,2,0,3,0,91,149,30,0,0,0,0,1,6,0,0,0,319
,042A020,13,0,11,25,2,47,0,0,0,0,0,0,38,98,33,0,1,0,0,1,12,2,0,9,292
,042A021,21,0,2,13,0,1,0,0,0,0,0,0,15,101,13,0,0,0,0,0,2,0,0,3,171
,042A022,12,0,8,31,0,0,0,0,3,0,0,0,37,72,21,0,0,0,1,2,9,2,0,5,203
,042A023,6,0,10,64,0,1,0,0,3,1,5,0,74,73,75,0,0,0,0,3,11,1,0,3,330
,042A024A,16,0,10,23,0,1,0,0,2,0,0,0,24,174,51,0,0,0,0,2,11,0,0,0,314
,042A024B,13,0,2,20,0,0,0,0,0,0,0,0,15,144,52,0,0,0,0,0,4,1,0,0,251
,042A025,7,1,3,10,0,0,0,0,2,0,0,0,20,66,38,0,0,0,0,2,10,1,0,5,165
,042A026,4,0,1,9,6,173,0,0,0,1,0,0,7,62,7,0,0,0,0,0,0,0,0,3,273
,042A027,6,0,3,38,0,2,0,0,2,1,0,0,30,168,60,0,0,0,0,0,4,2,0,1,317
,075A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,075A001,1,0,0,2,34,324,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,364
,075A002,0,0,0,0,27,343,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,374
,075A003,19,1,9,23,0,0,0,0,20,2,0,0,47,123,8,0,0,0,0,1,4,0,0,0,257
,075A004,0,0,0,0,8,99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108
,075A005,21,0,1,20,0,0,0,0,0,0,0,0,34,381,32,0,0,0,0,0,6,3,0,0,498
,075A006,0,0,0,0,19,264,1,0,21,0,0,0,2,0,0,0,0,0,0,0,0,1,1,4,313
,075A007,15,0,6,7,35,236,0,0,3,0,0,0,13,74,8,0,0,1,0,0,3,0,0,1,402
,075A008,1,0,0,5,19,395,1,0,1,0,0,0,4,9,2,0,1,0,0,0,1,0,0,5,444
,075A009,28,0,1,3,0,0,0,0,0,0,0,0,13,446,14,0,0,0,0,0,2,0,0,0,507
,075A010,4,0,1,2,8,181,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,1,204
,075A011,17,1,1,20,20,103,0,0,2,0,0,0,68,49,58,0,0,1,1,0,5,2,0,2,350
,075A012,24,0,17,39,5,41,3,0,1,0,0,0,82,93,58,0,0,1,0,0,26,3,0,0,393
,075A013,0,0,4,7,14,368,2,0,1,0,0,0,15,16,6,0,0,1,0,0,1,0,0,5,440
,075A014,23,0,5,35,3,23,0,0,2,4,0,0,126,79,31,0,0,0,0,2,6,3,0,7,349
,075A015,0,0,0,1,9,196,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209
,075A016,2,0,0,0,40,239,1,1,1,0,0,0,2,31,3,0,0,2,0,0,3,1,0,0,326
,075A017,1,0,0,1,24,201,2,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,236
,075A018,0,0,0,2,38,179,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,227
,075A019,0,0,0,0,6,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
,075A020,0,0,1,1,20,184,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,2,214
,075A021,3,0,0,1,1,194,0,0,1,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,212
,075A022,0,0,0,0,19,292,0,0,20,0,0,0,0,0,11,0,0,0,0,0,0,0,0,14,356
,075A023A,36,0,2,41,0,1,0,0,7,0,0,0,62,169,21,0,0,0,0,1,3,0,1,0,344
,075A023B,30,0,4,38,1,0,0,0,22,0,0,0,44,148,19,0,0,0,1,0,7,6,0,2,322
,075A024A,29,0,9,9,9,89,1,0,1,1,0,1,47,116,11,1,0,0,0,14,7,1,1,1,348
,075A024B,9,0,2,10,14,130,0,0,2,2,0,0,18,42,12,0,1,0,0,1,3,0,0,1,247
,075A025,7,0,1,27,0,0,0,0,0,0,0,0,122,347,8,0,0,0,0,0,7,2,0,0,521
,075A026,5,0,1,29,18,126,5,0,4,1,0,0,70,32,42,0,0,0,1,2,6,1,0,8,351
,075A027,0,0,0,1,17,222,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,246
,075A028,19,0,5,18,1,0,0,0,0,0,1,0,6,346,13,0,0,0,0,0,8,3,0,2,422
,075A029,8,0,2,27,15,123,3,0,5,2,0,0,67,40,56,0,0,1,0,1,2,2,0,2,356
,075A030,15,0,4,14,14,117,1,0,7,2,0,0,47,48,22,0,0,0,0,0,3,4,0,2,300
,075A031,0,0,0,6,5,21,2,0,5,0,1,0,6,0,14,2,0,0,0,2,4,0,0,0,68
,075A032,0,0,0,0,10,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,136
,075A033,0,0,0,0,15,202,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,223
,075A034,4,0,5,8,2,44,0,0,0,1,0,0,30,48,6,0,0,0,0,0,1,0,0,0,149
,075A035,14,1,13,45,10,64,0,0,1,4,0,0,78,71,42,0,1,0,0,0,6,1,2,2,355
,077A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,077A001,11,3,8,31,2,1,0,0,7,0,0,0,53,102,47,0,0,0,0,0,69,0,0,0,334
,077A002,16,1,0,57,0,11,0,0,20,0,0,0,78,47,59,0,0,0,1,0,30,3,0,8,331
,077A003,12,1,6,74,2,9,0,0,17,0,4,0,92,84,62,0,0,0,0,0,33,1,0,8,405
,077A004,8,0,9,47,2,4,0,0,10,0,1,0,65,50,55,0,0,0,0,0,46,2,0,10,309
,077A005,19,1,9,42,1,0,0,0,8,3,1,0,41,48,29,0,0,0,0,1,25,2,0,7,237
,077A006A,25,0,14,108,2,5,0,0,16,0,0,0,87,61,100,0,1,0,0,1,27,3,0,9,459
,077A006B,8,1,6,34,0,2,0,0,5,0,1,0,37,27,30,0,0,0,0,0,18,0,0,3,172
,077A007,21,1,6,25,8,17,0,0,7,0,0,0,39,24,36,0,0,0,1,0,14,0,0,7,206
,077A008,7,1,7,31,3,16,0,0,12,1,0,0,71,39,65,0,0,0,0,0,30,4,0,9,296
,077A009,34,5,5,32,0,0,0,0,6,0,0,0,90,73,57,0,0,0,0,0,30,1,1,14,348
,077A010,7,0,6,25,0,11,0,0,5,0,0,0,60,52,74,0,0,0,0,0,13,1,0,1,255
,077A011,23,0,20,20,0,0,0,2,1,2,0,0,92,96,61,0,0,0,0,1,103,0,0,1,422
,077A012,3,1,6,2,0,0,0,0,1,0,0,0,51,42,10,0,0,0,0,0,26,1,0,4,147
,077A013,17,0,12,10,0,0,0,0,29,0,0,0,109,65,69,0,1,0,0,0,59,2,0,3,376
,077A014,13,0,21,10,0,0,0,0,11,0,2,0,56,82,55,0,0,0,0,0,44,1,0,4,299
,077A015,13,0,2,12,0,0,0,0,2,0,0,0,83,67,19,0,0,0,0,0,58,3,1,7,267
,077A016,7,0,1,14,0,12,0,0,0,0,1,0,22,21,13,0,0,0,0,1,8,1,0,0,101
,077A017,24,2,3,34,0,2,2,0,0,0,3,0,29,325,91,0,0,1,0,0,9,0,0,5,530
,077A018,21,0,6,34,1,0,0,0,8,0,1,0,111,174,39,0,0,0,0,0,41,1,0,7,444
,077A019,46,0,0,10,0,0,0,0,6,0,0,0,32,38,7,0,0,1,0,0,142,0,0,0,282
,077A020,6,0,10,8,1,0,0,0,3,0,0,0,83,106,16,0,0,0,0,1,37,0,0,0,271
,077A021,12,0,0,11,0,0,0,1,28,1,0,0,39,86,7,0,0,0,0,0,105,1,0,1,292
,077A022,8,1,17,23,0,3,0,0,4,0,0,0,21,61,112,0,1,0,0,0,18,1,0,2,272
,077A023,17,1,10,20,1,0,0,0,3,0,0,0,7,144,17,0,0,0,0,0,41,2,0,2,265
,077A024,15,1,5,18,0,0,0,0,31,0,0,0,27,181,76,0,0,0,0,0,26,2,0,2,384
,077A025,9,0,6,11,0,0,0,0,2,0,0,0,14,68,70,0,0,0,0,0,7,1,0,0,188
,077A026,22,0,10,43,0,1,0,0,22,2,0,0,79,124,64,0,0,0,0,0,122,4,0,11,504
,077A027A,12,0,7,37,0,0,0,0,17,0,0,0,49,66,24,0,2,0,0,0,89,3,0,3,309
,077A027B,9,0,14,24,1,7,0,0,11,0,0,0,40,61,32,0,2,0,0,2,45,2,0,1,251
,077A028,15,0,3,27,0,0,0,0,9,0,0,0,33,89,79,0,0,1,0,0,14,1,2,1,274
,077A029,11,0,9,5,0,0,0,0,1,0,0,0,18,59,36,0,1,0,0,0,24,4,0,1,169
,077A030,12,0,4,12,2,0,0,0,2,1,0,0,107,63,31,0,0,2,0,3,35,1,0,0,275
,077A031,23,0,5,59,0,2,0,0,1,0,0,0,41,155,42,0,3,1,0,1,101,6,0,7,447
,077A032,19,0,6,35,1,22,1,0,12,1,0,0,76,46,127,0,0,0,0,0,44,1,0,0,391
,077A033,5,0,4,3,0,0,0,0,5,1,1,0,7,26,13,0,0,0,0,0,9,41,0,0,115
,077A034,10,0,0,1,0,0,0,0,0,0,1,0,22,141,10,0,0,1,0,0,22,2,0,2,212
,077A035,15,0,8,13,0,0,0,0,2,0,0,0,39,189,21,0,0,0,0,0,69,1,0,0,357
,077A036,20,0,5,21,0,0,0,0,1,0,1,0,64,119,52,0,0,0,0,1,55,1,0,1,341
,077A037,9,1,5,22,5,24,0,1,17,0,0,0,53,28,48,0,1,0,1,0,30,0,1,8,254
,077A038,6,0,4,3,2,0,0,0,0,0,0,0,15,44,34,0,0,0,0,0,76,0,0,4,188
,077A039,2,0,0,4,1,16,0,0,15,0,0,0,13,4,34,0,0,0,0,0,4,0,0,1,94
,077A040,4,0,2,40,4,27,0,0,8,2,0,0,47,36,65,0,0,0,0,2,23,1,0,3,264
,077A041,7,0,4,9,0,0,0,0,5,0,0,0,58,26,12,0,0,1,0,0,24,1,0,3,150
,077A042,6,0,4,8,0,0,0,0,0,0,0,0,45,150,18,0,0,0,0,0,51,1,0,1,284
,077A043,8,1,1,7,0,1,0,0,3,1,0,0,49,52,17,0,0,0,0,0,44,0,0,3,187
,077A044,30,1,4,30,0,0,0,0,2,0,0,0,80,83,20,0,0,0,0,0,62,0,0,2,314
,077A045,11,0,13,78,0,2,0,0,0,0,0,0,51,105,67,0,0,0,0,0,53,4,0,2,386
,077A046,7,0,5,15,3,61,0,0,8,0,0,2,40,43,33,0,0,0,0,0,13,0,0,1,231
,077A047,10,0,13,11,3,20,0,0,3,0,0,0,155,43,145,0,0,0,0,0,13,0,0,0,416
,077A048,15,0,4,20,0,0,0,0,30,0,0,0,43,137,62,0,1,0,0,1,43,1,0,0,357
,077A049,1,0,0,0,0,20,0,0,1,0,0,0,1,3,10,5,0,0,0,0,0,0,0,1,42
,077A050,14,0,6,18,0,1,0,0,12,0,0,0,54,32,57,1,0,0,1,0,55,11,0,3,265
,077A051,14,1,8,26,2,1,0,0,1,1,0,1,55,60,47,0,0,0,0,0,36,2,0,4,259
,077A052,24,0,2,16,2,1,1,0,5,0,1,0,42,18,78,0,0,0,0,0,11,2,0,2,205
,077A053,24,0,21,16,1,0,0,0,12,0,0,0,50,90,113,0,0,0,0,1,39,3,0,5,375
,077A054,13,0,4,9,0,0,0,0,4,0,0,0,20,88,18,0,0,0,0,0,49,0,0,1,206
,077A055,18,1,6,6,0,0,0,0,6,0,0,0,28,58,18,0,0,0,0,1,53,1,0,1,197
,077A056,8,0,3,35,1,2,0,0,9,1,1,0,48,40,51,0,0,0,0,2,25,3,0,4,233
,077A057,10,0,11,37,8,16,0,0,11,2,1,0,33,45,48,0,0,0,1,0,12,1,0,5,241
,077A058,16,2,4,6,0,0,0,0,0,0,0,0,22,34,7,0,0,0,0,0,15,3,1,0,110
,093A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,093A001,19,2,15,26,0,0,0,0,2,0,0,0,115,334,30,0,0,0,0,0,1,7,0,0,551
,093A002,13,0,2,28,5,3,0,0,8,1,9,0,88,43,22,0,0,1,0,2,1,1,0,1,228
,093A003,8,0,5,49,1,1,0,0,12,0,6,0,48,145,40,0,0,0,0,0,0,33,0,3,351
,093A004,31,2,14,8,0,0,0,0,2,0,1,0,98,324,46,0,0,0,0,0,3,34,0,1,564
,093A005,10,0,8,2,0,0,0,0,0,0,1,0,30,201,25,0,0,0,0,2,3,38,0,1,321
,093A006,8,2,10,106,12,17,1,0,24,15,3,1,115,74,42,0,1,1,0,3,13,7,0,2,457
,093A007,6,2,15,47,7,2,0,0,8,6,4,0,74,43,30,0,0,2,1,1,8,5,0,1,262
,093A008,12,0,9,75,13,6,0,1,6,2,2,0,68,57,34,0,1,0,0,0,9,3,0,1,299
,093A009,12,2,7,89,10,11,0,1,8,6,4,0,110,71,62,1,0,2,0,0,15,13,1,5,430
,093A010,16,1,17,84,11,6,0,0,9,16,5,0,90,71,47,0,0,0,0,4,8,14,1,3,403
,093A011,7,0,10,66,11,13,0,0,7,6,5,0,84,42,14,0,1,0,0,3,14,6,0,2,291
,093A012,17,3,15,65,17,11,0,0,5,9,2,0,90,48,41,0,1,1,1,2,5,9,1,1,344
,093A013,9,1,10,91,23,18,0,1,17,11,8,1,106,48,41,0,0,2,1,1,10,9,2,3,413
,093A014,8,2,23,83,40,24,1,2,7,7,8,0,96,54,38,0,0,0,1,1,7,2,2,1,407
,093A015,7,0,13,117,13,7,0,0,3,23,5,1,83,65,54,0,0,1,0,2,4,6,0,2,406
,093A016,6,0,24,108,14,10,1,0,11,19,4,0,81,70,66,0,0,1,0,2,6,12,1,4,440
,093A017,7,1,11,92,4,8,0,0,14,12,5,1,103,75,44,0,0,0,0,0,7,3,0,6,393
,093A018,8,0,12,102,6,6,0,0,4,3,3,0,102,77,49,0,0,0,1,2,4,7,0,3,389
,093A019,8,3,7,83,7,10,0,0,8,12,0,1,74,58,39,0,1,0,1,1,5,8,0,3,329
,093A020,9,0,11,99,6,2,0,0,1,8,7,0,122,99,37,0,0,0,0,2,3,10,1,2,419
,093A021,3,0,13,60,10,12,2,0,7,7,3,0,82,46,42,0,2,1,0,2,5,6,1,1,305
,093A022,13,1,16,115,15,9,1,0,8,9,10,0,108,92,72,0,0,0,0,2,2,11,0,3,487
,093A023,13,5,6,85,17,11,0,1,9,7,4,0,120,80,40,0,0,3,1,1,4,10,0,0,417
,093A024,16,3,9,108,13,21,0,0,8,15,5,0,114,92,55,0,0,0,0,1,5,11,4,4,484
,093A025,9,1,15,88,12,10,1,0,13,5,9,0,104,44,30,2,0,0,0,0,2,8,0,5,358
,093A026,7,2,13,76,9,9,0,0,2,9,0,0,110,65,51,1,1,0,0,0,6,7,0,2,370
,093A027,14,0,16,76,11,12,0,0,11,6,11,0,112,65,54,0,0,0,0,1,1,14,0,5,409
,093A028,6,0,17,37,111,95,0,0,4,0,1,0,44,62,9,0,1,1,0,0,1,6,0,2,397
,093A029,25,1,12,92,0,1,0,0,6,0,2,0,80,166,32,0,0,0,0,6,3,11,0,1,438
,093A030,16,0,11,32,0,0,0,0,0,3,0,0,79,135,3,0,0,0,0,0,10,3,2,0,294
,093A031,6,1,37,95,13,3,0,0,1,3,3,0,130,70,21,0,0,1,0,0,2,17,0,2,405
,093A032,9,0,3,54,11,1,0,0,8,0,0,0,83,114,19,0,0,0,0,1,2,17,0,1,323
,093A033,12,1,33,75,0,1,0,0,10,6,2,0,174,56,27,1,0,0,0,2,3,14,0,3,420
,093A034,17,0,40,52,0,0,0,0,1,0,0,0,107,91,15,0,0,0,0,1,7,22,0,1,354
,093A035,24,3,19,51,4,3,0,0,5,0,8,0,110,123,9,0,0,0,0,2,7,20,0,0,388
,093A036,31,1,35,33,0,0,0,0,16,1,0,0,129,159,22,0,0,0,0,0,9,5,0,2,443
,093A037,30,2,31,46,8,4,0,0,12,1,0,0,126,174,17,0,1,0,0,1,6,7,0,5,471
,093A038,7,1,15,88,4,9,0,1,5,13,2,0,85,54,37,0,0,0,1,1,8,2,1,0,334
,093A039,5,2,14,117,8,8,0,0,8,10,2,0,90,59,37,0,0,1,0,1,3,10,0,7,382
,093A040,5,0,9,91,3,4,0,0,3,10,5,0,112,61,28,0,2,0,0,1,2,5,0,2,343
,093A041,14,4,24,85,0,1,0,0,4,1,3,0,66,170,31,0,0,0,0,6,3,6,0,0,418
,093A042,18,0,23,52,7,7,0,0,14,4,8,0,103,89,26,0,0,0,0,0,12,19,1,0,383
,093A043,10,4,17,69,6,11,0,0,6,4,1,0,120,94,37,0,0,0,0,1,6,11,0,1,398
,093A044,12,0,12,60,4,2,0,0,34,2,4,2,107,159,16,0,0,0,0,2,3,7,0,2,428
,093A045,12,0,8,55,0,0,0,2,1,0,0,0,85,98,31,0,0,0,0,0,10,5,5,0,312
,093A046,2,0,3,8,0,0,0,0,4,0,0,0,42,63,8,0,0,0,0,0,1,5,0,0,136
,093A047,22,1,14,55,0,0,0,0,1,2,0,0,123,115,14,0,0,0,0,0,2,8,0,1,358
,093A048,11,0,12,42,7,3,0,0,3,2,2,0,111,79,21,0,0,1,0,1,5,8,0,0,308
,093A049,12,1,24,23,15,15,0,0,10,0,1,0,72,132,9,0,0,3,0,1,4,2,0,1,325
,093A050,15,0,11,103,8,7,0,4,3,13,9,0,99,84,42,1,0,3,0,2,10,5,1,8,428
,093A051,4,3,13,98,7,10,0,0,10,14,7,3,100,58,53,0,0,5,1,1,7,5,1,1,401
,093A052,4,0,10,89,3,4,1,0,7,14,1,0,94,62,32,0,0,0,0,0,7,11,2,3,344
,093A053,3,0,6,30,0,0,0,0,2,0,2,0,26,17,4,0,0,0,0,0,1,29,0,0,120
,093A054,51,2,9,44,0,0,0,0,14,1,3,0,43,68,8,0,0,0,0,1,5,8,0,0,257
,093A055,14,2,17,129,14,20,1,1,0,10,5,3,126,78,52,0,0,0,0,2,10,12,1,4,501
,093A056,13,6,12,99,6,7,0,0,15,4,6,0,105,82,49,0,2,0,0,0,3,3,0,8,420
,093A057,2,0,8,79,15,6,0,0,8,8,8,1,120,70,39,0,0,1,1,0,11,6,0,9,392
,093A058,9,1,2,51,0,2,0,0,22,1,3,0,173,111,80,0,1,0,0,10,28,6,0,1,501
,093A059,8,0,8,55,1,0,0,0,12,0,29,0,119,209,56,0,0,3,0,5,15,23,0,0,543
,093A060,8,0,19,83,11,9,0,1,18,9,8,0,129,50,30,0,1,0,0,3,7,35,2,3,426
,093A061,10,0,13,66,6,2,0,1,13,6,4,0,84,66,50,0,0,1,0,2,4,19,0,2,349
,093A062,16,2,12,103,8,10,0,1,7,19,6,1,105,70,48,0,1,1,0,1,5,16,0,5,437
,093A063,12,1,19,86,2,8,0,0,16,2,9,0,105,112,26,1,1,0,0,1,14,10,0,5,430
,093A064,26,0,30,91,3,8,0,0,5,10,18,1,117,123,30,0,0,0,0,1,15,8,0,3,489
,093A065,8,0,10,61,29,6,0,0,7,2,4,0,86,88,32,0,0,2,0,3,3,8,1,5,355
,093A066,7,3,11,77,18,11,0,0,11,5,11,0,76,100,45,0,0,4,2,3,7,31,0,8,430
,093A067,7,0,10,76,3,7,0,0,5,3,4,0,72,42,31,0,0,1,0,1,6,3,0,3,274
,093A068,17,0,12,95,2,3,1,0,19,11,3,0,129,94,40,0,0,3,0,2,14,22,1,7,475
,093A069,10,3,10,100,5,6,0,2,8,10,2,0,166,97,50,0,0,0,0,3,8,14,0,2,496
,093A070A,20,0,4,18,0,0,0,0,1,0,0,0,66,121,23,0,0,0,0,0,47,6,1,1,308
,093A070B,11,0,15,15,0,0,0,0,2,0,1,0,29,144,22,0,0,0,0,0,47,2,0,1,289
,093A071,15,0,13,29,0,0,0,0,0,0,0,0,117,161,23,0,0,0,0,3,37,50,0,0,448
,093A072,13,1,18,81,2,1,0,0,10,4,5,1,188,85,12,0,0,1,0,2,2,37,0,4,467
,093A073,13,2,17,59,36,11,0,0,19,3,1,0,64,62,22,0,1,0,0,6,4,21,0,2,343
,093A074,2,0,3,3,0,0,0,0,19,0,0,0,11,56,8,0,0,0,0,0,9,4,0,0,115
,093A075,3,0,4,33,60,91,0,0,0,0,4,0,70,24,12,0,0,0,0,2,5,10,0,1,319
,093A076,17,0,8,13,13,6,0,0,0,0,0,0,49,110,1,0,0,0,0,0,1,5,1,0,224
,093A077,5,0,0,9,0,0,0,0,0,1,0,0,20,157,4,0,0,0,0,0,1,0,0,0,197
,093A078,4,2,3,49,25,46,0,0,2,4,4,0,53,9,14,0,0,3,0,0,0,5,0,1,224
,093A079,21,2,32,61,0,0,0,0,5,1,4,0,126,66,15,0,0,0,0,3,6,15,0,3,360
,093A080,3,2,17,96,7,9,0,0,5,15,3,0,102,56,31,0,0,0,0,0,5,9,0,1,361
,093A081,9,0,12,99,8,6,0,0,6,5,4,0,109,80,29,0,0,1,1,0,9,12,0,3,393
,093A082,10,1,6,20,0,0,0,0,3,0,0,0,70,157,24,0,0,0,0,1,0,5,0,0,297
,093A083,4,0,6,8,1,0,0,0,2,0,0,0,19,67,44,0,0,0,0,0,0,1,0,1,153
,093A084,2,0,5,13,0,0,0,0,0,0,3,0,82,350,6,0,0,0,0,0,1,76,0,0,538
,093A085,9,1,23,85,21,17,0,0,4,10,9,0,101,86,59,2,0,0,2,0,6,11,1,3,450
,093A086,7,0,17,105,13,15,0,0,8,9,6,0,98,85,28,0,1,1,0,3,4,7,0,8,415
,093A087,10,2,15,73,23,11,0,2,10,5,2,0,95,77,45,0,0,0,0,2,1,5,0,7,385
,093A088,20,2,12,90,17,13,0,0,9,10,1,0,119,90,27,0,1,1,1,2,12,10,0,2,439
,093A089,12,1,17,65,34,12,0,0,6,6,0,0,136,94,45,0,0,0,0,1,1,9,0,1,440
,093A090,8,0,17,41,7,0,0,0,6,0,2,0,61,50,8,0,0,1,0,1,4,32,0,3,241
,093A091A,13,0,2,1,0,0,0,0,8,0,0,0,10,136,4,0,0,0,0,0,82,0,0,0,256
,093A091B,9,0,0,9,0,0,0,0,43,0,0,0,32,195,13,0,0,0,0,0,92,10,0,2,405
,093A092,13,2,16,50,3,1,0,0,4,0,0,0,112,79,20,0,0,0,0,1,1,20,0,3,325
,093A093,10,2,9,39,1,2,0,0,25,3,28,0,93,186,60,0,0,4,0,0,11,37,3,4,517
,093A094,2,0,1,8,0,0,0,0,1,0,0,0,105,180,8,0,0,0,0,0,0,13,1,0,319
,093A095,18,1,16,66,9,11,0,0,3,7,7,0,96,77,53,0,0,0,0,1,8,14,0,4,391
,093A096,15,1,17,46,0,0,0,0,11,0,3,0,122,189,16,0,1,0,0,1,8,4,1,1,436
,093A097,8,1,11,27,12,18,1,0,0,1,1,0,98,48,7,0,0,0,0,1,3,11,0,0,248
,093A098,6,0,11,10,0,0,0,0,0,0,0,0,108,152,93,0,0,0,0,0,43,5,0,0,428
,093A099,7,0,13,60,4,6,0,0,18,0,3,3,88,70,24,0,0,0,0,1,8,17,0,1,323
,093A100,6,0,25,71,6,4,0,0,14,9,1,0,84,49,26,2,0,1,0,0,7,1,0,0,306
,093A101,10,0,33,90,17,5,0,0,5,1,7,0,121,78,31,0,0,0,0,1,6,16,0,1,422
,093A102,7,2,11,53,3,1,0,0,3,1,2,0,94,33,8,0,0,0,0,0,1,9,0,1,229
,093A103,18,3,11,98,2,0,0,0,1,6,10,0,133,67,40,0,0,0,1,2,6,28,1,2,429
,093A104,20,0,25,50,1,5,0,0,3,4,1,1,101,97,20,0,0,0,0,5,5,21,0,4,363
,093A105,8,2,13,57,17,11,0,0,4,2,3,2,102,45,20,0,0,0,0,6,5,12,0,2,311
,093A106,9,1,15,74,6,6,0,0,3,18,1,1,98,69,41,0,0,0,1,2,6,6,0,3,360
,093A107,9,0,15,47,36,15,0,1,6,11,7,0,87,50,6,0,0,2,0,0,6,7,0,0,305
,093A108,11,0,6,32,42,36,0,0,2,6,3,0,55,59,17,0,0,5,0,1,3,11,0,2,291
,093A109,8,1,11,72,4,1,0,0,3,7,3,0,108,68,34,0,1,0,0,1,5,2,0,5,334
,093A110,8,1,13,39,8,2,0,0,9,2,4,0,94,54,17,0,0,0,0,14,6,3,0,0,274
,093A111,20,1,20,65,10,1,0,0,11,1,11,0,102,83,35,0,0,0,0,4,2,12,0,1,379
,093A112,15,0,10,28,2,0,0,0,0,1,0,0,98,95,52,0,0,0,0,0,15,20,0,2,338
,093A113,3,0,13,99,4,5,0,0,2,13,2,1,107,71,48,0,2,0,0,1,4,8,0,5,388
,093A114,3,0,13,93,18,7,0,1,5,3,4,2,68,65,42,1,1,0,1,2,6,12,1,3,351
,093A115,20,1,21,92,7,15,0,2,14,6,8,0,102,63,41,0,1,2,1,3,11,13,1,1,425
,093A116,7,0,16,91,6,12,0,1,4,4,1,0,115,59,15,0,0,0,0,0,7,11,1,1,351
,093A117,11,0,8,61,10,7,2,0,1,3,2,0,112,57,14,0,2,2,0,1,1,17,0,0,311
,093A118,12,2,16,46,30,0,0,0,21,0,0,1,86,86,23,0,1,1,0,5,6,28,0,0,364
,093A119,12,3,23,81,0,0,0,1,11,0,18,0,138,94,24,0,0,0,0,0,0,22,0,1,428
,093A120,20,1,25,61,1,4,0,1,2,0,0,0,96,157,3,0,0,0,0,1,7,58,0,2,439
,093A121,20,0,20,52,1,1,0,0,15,2,0,0,146,72,19,0,0,2,0,0,7,13,0,1,371
,093A122,4,0,5,5,0,0,0,0,0,0,0,0,76,220,3,0,0,0,0,0,5,40,0,0,358
,093A123,8,0,14,56,2,1,0,0,2,4,8,1,100,82,25,0,0,0,0,1,4,2,1,6,317
,093A124,8,0,13,16,0,0,0,0,0,0,0,0,60,66,23,0,0,0,0,0,1,2,0,0,189
,093A125,3,0,1,0,0,0,0,0,0,0,0,0,43,37,7,0,0,0,0,0,1,3,0,0,95
