"Biračko Mjesto","BOŽO SJERAN - SDS-SRPSKA DEMOKRATSKA STRANKA","GORDAN RAČIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
158B001,78,56
Ukupno,78,56
