"Biračko Mjesto","GORAN KARADŽIĆ - SDS-SRPSKA DEMOKRATSKA STRANKA","ZORICA TADIĆ - SOCIJALISTIČKA PARTIJA","NEĐO MAŠIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
169B001,255,115,177
169B002,273,158,178
169B003,138,109,101
169B004,142,83,75
169B005,84,60,71
169B006,33,31,57
169B007,10,8,23
169B008,35,3,51
169B009,23,22,10
169B010,43,13,30
169B011,8,0,2
169B012,32,32,16
169B013,5,21,7
169B014,20,17,6
169B015,12,4,6
169B016,4,0,0
169B017,36,10,8
Ukupno,1153,686,818
