"Biračko Mjesto","MILKA IVANKOVIĆ - ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA","MILOVAN MIHAJLOVIĆ - SOCIJALISTIČKA PARTIJA"
058B001,101,25
Ukupno,101,25
