"Biračko Mjesto","SAVO JOVANIĆ - SOCIJALISTIČKA PARTIJA","ZLATKO HUJIĆ - NEZAVISNI KANDIDAT","ADMIR SPAHIĆ - SDA/SBB"
030A001,38,263,13
030A002,87,273,31
030A003,239,51,1
030A004,65,25,0
030A005,74,91,0
030A006,78,69,1
030A007,106,55,1
030A008,22,49,16
030A009,48,23,1
030A010,47,10,0
030A011,57,3,1
030A012,121,214,17
030A013,47,277,27
030A014,43,327,45
030A015,45,224,47
Ukupno,1117,1954,201
